Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,48.72,49.08,48.23,48.25,1046600,46.79
2011-12-29,48.50,48.85,48.28,48.78,1043500,47.31
2011-12-28,48.87,49.15,48.30,48.37,1325200,46.91
2011-12-27,48.39,49.25,48.36,48.84,1279500,47.37
2011-12-23,48.29,48.64,47.67,48.51,820200,47.05
2011-12-22,47.04,48.28,46.82,48.14,2135000,46.69
2011-12-21,47.58,47.81,46.23,46.91,2731300,45.49
2011-12-20,46.12,47.90,46.12,47.81,3847500,46.37
2011-12-19,46.05,46.56,45.06,45.19,3333800,43.83
2011-12-16,46.35,46.71,45.67,46.04,4176800,44.65
2011-12-15,47.83,47.83,45.78,45.96,3274400,44.57
2011-12-14,46.75,46.99,45.88,46.22,2667500,44.83
2011-12-13,47.92,48.24,46.56,46.83,2550900,45.42
2011-12-12,48.23,48.49,46.96,47.59,3051800,46.15
2011-12-09,47.83,49.26,47.34,49.00,2418200,47.52
2011-12-08,48.66,49.31,47.95,48.05,2845800,46.60
2011-12-07,49.14,49.23,48.22,49.05,3111200,47.57
2011-12-06,48.47,49.39,48.46,49.15,3504200,47.67
2011-12-05,47.96,48.71,47.29,48.69,3926500,47.22
2011-12-02,47.67,48.07,46.92,46.95,3170600,45.53
2011-12-01,46.09,47.35,45.61,47.23,3000600,45.81
2011-11-30,44.81,46.25,44.18,46.10,3737900,44.71
2011-11-29,43.45,43.64,42.77,43.30,3324400,41.99
2011-11-28,43.37,43.76,43.13,43.52,2254500,42.21
2011-11-25,42.55,43.22,42.08,42.08,1020500,40.81
2011-11-23,42.99,43.17,42.30,42.51,2370400,41.23
2011-11-22,44.18,44.48,43.21,43.31,2501300,42.00
2011-11-21,43.99,44.47,43.34,44.26,3701600,42.92
2011-11-18,45.72,45.93,44.22,44.39,4090900,43.05
2011-11-17,47.37,47.37,44.85,45.49,5061400,44.12
2011-11-16,47.84,48.66,47.44,47.54,2230600,46.11
2011-11-15,47.70,48.75,47.47,48.42,2234800,46.96
2011-11-14,48.14,48.75,47.38,47.80,2510700,46.36
2011-11-11,46.97,48.62,46.73,48.45,2934500,46.99
2011-11-10,46.19,46.74,45.37,46.35,2685600,44.95
2011-11-09,46.26,46.37,45.38,45.49,3723200,44.12
2011-11-08,47.77,48.00,46.78,47.81,2522500,46.03
2011-11-07,47.67,47.67,46.36,47.29,2763500,45.53
2011-11-04,46.87,47.62,46.22,47.48,2510000,45.71
2011-11-03,46.24,47.32,45.06,47.26,3039100,45.50
2011-11-02,45.72,46.04,45.25,45.72,2591300,44.02
2011-11-01,45.49,46.19,45.16,45.20,3506000,43.52
2011-10-31,46.78,47.67,46.73,47.09,3433000,45.34
2011-10-28,45.94,47.57,45.78,47.35,3163800,45.59
2011-10-27,46.52,48.00,46.52,47.31,4468300,45.55
2011-10-26,45.83,45.83,44.41,45.21,3351900,43.53
2011-10-25,44.99,45.70,44.28,44.82,3018600,43.15
2011-10-24,43.78,45.00,43.68,44.82,3203600,43.15
2011-10-21,43.17,43.90,42.79,43.30,2469300,41.69
2011-10-20,42.71,42.82,41.57,42.54,5071700,40.95
2011-10-19,43.65,44.33,43.05,43.22,2786800,41.61
2011-10-18,43.18,43.94,42.67,43.75,2988800,42.12
2011-10-17,43.70,43.99,42.83,43.23,3348400,41.62
2011-10-14,44.26,44.26,43.07,43.85,2952600,42.22
2011-10-13,43.42,44.08,43.42,43.76,3777700,42.13
2011-10-12,43.18,44.59,43.17,43.83,5026300,42.20
2011-10-11,42.56,43.17,42.38,42.91,2801700,41.31
2011-10-10,42.26,43.20,41.86,42.91,4488000,41.31
2011-10-07,40.19,42.16,40.03,41.54,5502300,39.99
2011-10-06,40.04,40.36,39.41,40.08,5592700,38.59
2011-10-05,38.76,40.24,38.05,40.15,3539100,38.65
2011-10-04,36.71,38.77,36.62,38.77,4498000,37.33
2011-10-03,38.06,38.65,36.95,37.23,3834300,35.84
2011-09-30,38.78,39.18,38.15,38.28,3178800,36.85
2011-09-29,39.64,39.87,38.26,39.03,3775300,37.58
2011-09-28,39.91,40.43,38.74,38.86,4291100,37.41
2011-09-27,40.22,40.97,39.80,40.04,5399000,38.55
2011-09-26,38.20,39.79,37.67,39.69,9021200,38.21
2011-09-23,36.99,38.10,36.53,37.73,3594500,36.32
2011-09-22,37.19,37.44,36.28,37.08,4114600,35.70
2011-09-21,38.53,39.44,37.99,38.16,4200100,36.74
2011-09-20,38.94,39.21,38.24,38.33,2658500,36.90
2011-09-19,38.66,39.01,37.86,38.77,4172200,37.33
2011-09-16,39.33,39.76,38.91,39.35,3017300,37.88
2011-09-15,38.98,39.37,38.58,39.13,3031400,37.67
