Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,73.55,73.77,73.30,73.56,1391800,70.88
2011-12-29,73.67,74.06,73.57,74.00,1230900,71.30
2011-12-28,73.89,73.99,73.34,73.38,1439000,70.70
2011-12-27,73.69,74.00,73.38,73.82,1046500,71.13
2011-12-23,73.20,73.76,72.97,73.73,1433400,71.04
2011-12-22,73.06,73.23,72.67,72.92,1616800,70.26
2011-12-21,72.82,73.10,72.56,73.05,2445900,70.38
2011-12-20,71.70,72.69,71.43,72.60,2921200,69.95
2011-12-19,71.27,71.85,71.04,71.19,1596100,68.59
2011-12-16,71.53,71.62,70.90,71.28,3528200,68.68
2011-12-15,70.54,71.40,70.35,71.25,2229900,68.65
2011-12-14,70.21,70.58,70.11,70.21,1982600,67.65
2011-12-13,69.96,70.78,69.96,70.12,2592600,67.56
2011-12-12,69.96,70.20,69.44,69.91,1708800,67.36
2011-12-09,69.89,70.35,69.89,70.14,2003000,67.58
2011-12-08,70.44,70.57,69.66,69.82,2042300,67.27
2011-12-07,69.93,70.80,69.73,70.62,2175800,68.04
2011-12-06,70.53,71.08,70.23,70.79,2432600,67.53
2011-12-05,71.47,71.56,70.20,70.42,2772200,67.18
2011-12-02,71.75,71.77,70.60,70.73,2548100,67.48
2011-12-01,71.24,71.62,71.03,71.30,2745500,68.02
2011-11-30,70.94,71.51,70.75,71.47,3245500,68.18
2011-11-29,69.62,69.97,69.41,69.75,2590500,66.54
2011-11-28,69.57,69.90,69.40,69.67,2024500,66.46
2011-11-25,68.30,69.12,68.27,68.69,1093000,65.53
2011-11-23,69.00,69.08,68.30,68.52,2479900,65.37
2011-11-22,69.56,69.85,69.12,69.40,1812000,66.21
2011-11-21,69.16,69.65,69.00,69.45,8893600,66.25
2011-11-18,70.38,70.64,70.01,70.10,3202300,66.87
2011-11-17,70.15,70.55,69.55,70.03,3041300,66.81
2011-11-16,70.81,71.10,70.27,70.30,2024500,67.07
2011-11-15,71.23,71.50,70.87,71.38,1456300,68.10
2011-11-14,70.85,71.30,70.56,71.17,2169800,67.90
2011-11-11,70.91,71.18,70.86,71.10,1725400,67.83
2011-11-10,70.41,70.58,69.80,70.45,1644400,67.21
2011-11-09,70.15,70.39,69.41,69.77,2138400,66.56
2011-11-08,70.66,70.96,70.02,70.88,1702100,67.62
2011-11-07,69.50,70.22,69.28,70.19,1293300,66.96
2011-11-04,69.34,69.73,69.00,69.71,1580300,66.50
2011-11-03,69.50,69.78,68.95,69.69,1858600,66.48
2011-11-02,69.36,69.50,68.61,69.10,1764400,65.92
2011-11-01,68.71,69.38,68.52,68.70,3143600,65.54
2011-10-31,70.00,70.44,69.65,69.71,2798600,66.50
2011-10-28,70.97,71.08,70.27,70.37,2182400,67.13
2011-10-27,70.95,71.38,70.10,71.02,3769600,67.75
2011-10-26,70.25,70.30,69.30,70.28,3210200,67.05
2011-10-25,69.76,70.57,69.50,69.55,3544700,66.35
2011-10-24,70.89,70.89,69.06,69.65,7416400,66.45
