Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,31.77,32.25,31.63,32.17,2006500,30.95
2011-12-29,31.40,31.57,31.18,31.56,948800,30.36
2011-12-28,31.71,31.92,31.08,31.29,1500000,30.10
2011-12-27,31.51,31.87,31.39,31.74,975800,30.53
2011-12-23,31.08,31.59,31.00,31.37,1258200,30.18
2011-12-22,30.75,30.99,30.68,30.95,948300,29.77
2011-12-21,30.23,30.88,29.91,30.71,1508500,29.54
2011-12-20,30.08,30.28,29.70,30.14,1205500,29.00
2011-12-19,29.53,29.90,29.50,29.79,1174000,28.66
2011-12-16,29.12,29.88,28.87,29.84,5227100,28.71
2011-12-15,29.39,29.44,28.50,28.83,2182100,27.74
2011-12-14,29.23,29.28,29.01,29.09,2410300,27.99
2011-12-13,29.75,29.89,29.06,29.20,2798200,28.09
2011-12-12,29.51,29.71,29.20,29.49,2065100,28.37
2011-12-09,30.00,30.19,29.38,29.60,2197000,28.48
2011-12-08,30.37,30.51,29.10,29.55,2893400,28.43
2011-12-07,30.85,31.00,30.38,30.42,1929900,29.26
2011-12-06,31.08,31.57,30.49,30.86,1889200,29.69
2011-12-05,31.50,31.97,30.90,30.91,1903400,29.74
2011-12-02,30.89,31.70,30.61,31.00,4090000,29.82
2011-12-01,29.50,30.61,29.30,30.26,2597800,29.11
2011-11-30,30.63,30.66,29.35,29.50,2897800,28.38
2011-11-29,28.83,29.68,28.82,29.54,3221800,28.42
2011-11-28,29.71,29.71,28.69,28.80,2415000,27.71
2011-11-25,28.00,29.00,27.97,29.00,1160600,27.90
2011-11-23,28.29,28.55,28.00,28.02,2434800,26.96
2011-11-22,28.72,28.95,28.41,28.61,3260200,27.52
2011-11-21,28.37,28.97,28.00,28.59,1718400,27.50
2011-11-18,28.75,28.98,28.25,28.25,2682300,27.18
2011-11-17,27.88,28.42,27.60,28.32,3681200,27.24
2011-11-16,27.89,28.01,27.52,27.77,3082100,26.72
2011-11-15,27.74,28.12,27.55,27.96,2969400,26.90
2011-11-14,27.50,27.81,27.18,27.73,2151800,26.68
2011-11-11,27.76,28.14,27.42,27.57,1838500,26.52
2011-11-10,27.42,27.65,26.91,27.43,1579500,26.39
2011-11-09,28.16,28.24,27.03,27.03,1723000,26.00
2011-11-08,28.22,28.42,27.80,28.15,1483400,27.08
2011-11-07,28.35,28.57,27.66,27.96,1772400,26.90
2011-11-04,28.24,28.45,27.79,28.31,1963900,27.24
2011-11-03,28.27,28.49,27.65,28.17,3193000,27.10
2011-11-02,28.50,28.50,27.71,28.06,2355100,26.99
2011-11-01,28.10,28.47,27.41,27.82,3432400,26.76
2011-10-31,28.90,29.00,28.28,28.60,3360100,27.51
2011-10-28,29.26,29.42,28.50,29.10,2818200,28.00
2011-10-27,29.96,30.15,29.16,29.44,6102300,28.32
2011-10-26,30.50,30.50,29.59,29.66,5107000,28.25
2011-10-25,29.87,30.26,29.19,30.11,3195100,28.67
2011-10-24,30.04,30.04,28.78,29.98,3777600,28.55
2011-10-21,28.90,29.22,28.36,29.22,3718000,27.83
2011-10-20,28.04,29.25,27.82,28.23,5711000,26.88
2011-10-19,27.81,28.34,27.35,27.58,5671400,26.26
2011-10-18,28.16,28.67,27.07,28.06,7530200,26.72
2011-10-17,28.10,29.75,27.75,28.19,11278800,26.85
2011-10-14,27.29,27.29,26.68,26.89,977500,25.61
2011-10-13,26.71,27.13,26.40,26.92,526200,25.64
2011-10-12,27.10,27.15,26.71,26.90,692200,25.62
2011-10-11,26.86,27.25,26.69,26.85,664300,25.57
2011-10-10,26.87,26.96,26.52,26.87,785300,25.59
2011-10-07,26.84,26.94,26.21,26.34,446500,25.08
2011-10-06,26.57,26.85,26.13,26.70,795900,25.43
2011-10-05,26.18,26.70,25.83,26.59,1193100,25.32
2011-10-04,25.40,26.23,24.66,26.05,2500000,24.81
2011-10-03,25.74,25.81,25.00,25.48,860400,24.26
2011-09-30,26.12,26.25,25.72,25.89,769700,24.66
2011-09-29,27.05,27.18,25.85,26.32,801400,25.06
2011-09-28,26.90,27.19,26.56,26.62,894600,25.35
2011-09-27,26.88,27.36,26.82,27.03,1766000,25.74
2011-09-26,25.60,26.35,25.20,26.34,1366100,25.08
2011-09-23,25.71,25.85,25.18,25.52,699700,24.30
2011-09-22,26.06,26.40,25.34,25.69,1731800,24.46
2011-09-21,26.84,27.20,26.47,26.55,1400900,25.28
2011-09-20,26.89,26.89,26.52,26.70,849700,25.43
2011-09-19,25.22,27.31,25.16,26.68,3781600,25.41
2011-09-16,25.72,25.79,25.22,25.50,1882700,24.28
2011-09-15,25.46,25.83,25.34,25.54,472300,24.32
2011-09-14,25.20,25.29,24.76,25.25,834600,24.05
2011-09-13,25.09,25.23,24.62,24.97,1051000,23.78
2011-09-12,24.64,24.97,24.30,24.96,945500,23.77
2011-09-09,25.14,25.36,24.75,24.85,1141700,23.66
