Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,24.37,24.43,24.22,24.22,1787800,23.72
2011-12-29,24.45,24.50,24.36,24.45,1718800,23.94
2011-12-28,24.40,24.49,24.30,24.33,2327800,23.82
2011-12-27,24.38,24.57,24.30,24.47,1624400,23.96
2011-12-23,24.28,24.50,24.20,24.48,2108400,23.97
2011-12-22,24.52,24.52,24.10,24.16,3999800,23.66
2011-12-21,24.00,24.63,24.00,24.48,6338100,23.97
2011-12-20,23.78,24.02,23.77,23.98,4450600,23.48
2011-12-19,23.87,24.02,23.45,23.50,3324700,23.01
2011-12-16,23.99,24.04,23.64,23.71,6878600,23.22
2011-12-15,23.68,23.92,23.67,23.81,5229500,23.31
2011-12-14,23.79,23.96,23.54,23.55,4656900,23.06
2011-12-13,23.92,24.17,23.75,23.81,6145900,23.31
2011-12-12,23.80,23.97,23.67,23.92,4710000,23.42
2011-12-09,23.59,24.07,23.55,23.94,4726800,23.44
2011-12-08,23.65,23.72,23.46,23.52,3771300,23.03
2011-12-07,23.58,23.80,23.57,23.69,4182600,23.20
2011-12-06,23.71,23.86,23.66,23.72,4112100,23.23
2011-12-05,23.56,23.87,23.51,23.68,3822500,23.19
2011-12-02,23.40,23.51,23.27,23.36,5281700,22.87
2011-12-01,23.71,23.73,22.94,23.37,9920500,22.88
2011-11-30,22.73,23.18,22.49,23.18,11016500,22.70
2011-11-29,22.65,22.70,22.35,22.35,6816700,21.88
2011-11-28,22.42,22.77,22.41,22.68,5165200,22.21
2011-11-25,21.75,22.27,21.68,22.16,2779800,21.70
2011-11-23,21.80,22.02,21.76,21.82,4421500,21.37
2011-11-22,22.15,22.20,21.86,21.87,4715700,21.41
2011-11-21,22.02,22.23,21.98,22.11,3480800,21.65
2011-11-18,22.20,22.45,22.06,22.33,4506100,21.87
2011-11-17,22.47,22.62,21.99,22.11,6834700,21.65
2011-11-16,22.94,23.02,22.45,22.48,5865100,22.01
2011-11-15,23.05,23.23,22.92,23.11,5500900,22.63
2011-11-14,23.23,23.46,22.99,23.14,3376600,22.66
2011-11-11,23.04,23.47,23.02,23.43,3532400,22.94
2011-11-10,22.84,23.06,22.65,22.92,3248800,22.44
2011-11-09,22.96,23.03,22.69,22.75,4220800,22.16
2011-11-08,23.07,23.27,22.92,23.25,3947200,22.65
2011-11-07,22.78,23.11,22.69,23.08,3691700,22.49
2011-11-04,22.44,22.87,22.39,22.81,4420900,22.22
2011-11-03,22.69,22.70,22.33,22.64,6692200,22.06
2011-11-02,22.78,22.88,22.58,22.64,6251900,22.06
2011-11-01,22.77,22.93,22.45,22.49,5862100,21.91
2011-10-31,23.30,23.43,23.06,23.18,5798200,22.58
2011-10-28,23.49,23.65,23.35,23.45,4042600,22.85
2011-10-27,23.42,23.61,23.20,23.49,5926000,22.88
2011-10-26,23.17,23.17,22.70,23.02,5469600,22.43
2011-10-25,23.23,23.25,22.87,22.92,4831200,22.33
2011-10-24,23.10,23.33,23.09,23.26,3375700,22.66
2011-10-21,22.95,23.09,22.86,23.09,4990600,22.50
2011-10-20,22.76,22.94,22.37,22.72,3777700,22.13
2011-10-19,22.63,23.10,22.61,22.70,3722100,22.12
2011-10-18,22.34,22.83,22.25,22.74,4340200,22.15
2011-10-17,22.60,22.74,22.33,22.36,4160700,21.78
2011-10-14,22.75,22.75,22.22,22.61,4953600,22.03
2011-10-13,22.45,22.94,22.25,22.53,6859000,21.95
2011-10-12,22.83,23.05,22.63,22.70,6871600,22.12
2011-10-11,22.87,22.92,22.56,22.77,4594500,22.18
2011-10-10,22.82,22.92,22.68,22.89,5334000,22.30
2011-10-07,22.92,23.08,22.50,22.53,5530800,21.95
2011-10-06,22.12,22.78,22.12,22.78,6093400,22.19
2011-10-05,22.00,22.16,21.79,22.14,6400300,21.57
2011-10-04,21.52,22.06,21.34,22.01,8808000,21.44
2011-10-03,21.92,22.33,21.71,21.74,8038900,21.18
2011-09-30,22.06,22.36,21.96,21.96,6896000,21.39
2011-09-29,22.25,22.39,21.95,22.22,6572800,21.65
2011-09-28,21.85,22.21,21.85,21.95,6265200,21.38
2011-09-27,22.26,22.45,21.87,21.94,6589400,21.37
2011-09-26,21.98,22.10,21.70,22.04,11089400,21.47
2011-09-23,21.63,22.17,21.57,21.78,7755300,21.22
2011-09-22,21.34,21.87,21.31,21.73,9536500,21.17
2011-09-21,22.32,22.47,21.74,21.76,7163500,21.20
2011-09-20,22.44,22.65,22.24,22.41,5648600,21.83
2011-09-19,22.20,22.49,21.93,22.38,6360400,21.80
2011-09-16,22.66,22.73,22.39,22.39,6107500,21.81
2011-09-15,22.40,22.77,22.18,22.61,7929100,22.03
2011-09-14,22.00,22.23,21.86,22.10,6373900,21.53
2011-09-13,21.87,22.14,21.79,21.98,6330100,21.41
2011-09-12,21.72,21.98,21.14,21.82,11632100,21.26
2011-09-09,22.23,22.28,21.66,22.02,19502200,21.45
2011-09-08,23.56,23.78,23.32,23.35,7146100,22.75
2011-09-07,22.98,23.51,22.84,23.50,5546500,22.89
2011-09-06,22.61,22.87,22.46,22.76,8077500,22.17
2011-09-02,23.06,23.32,23.00,23.08,3761400,22.49
2011-09-01,23.63,23.66,23.30,23.31,6673900,22.71
2011-08-31,23.14,23.64,23.06,23.56,8243900,22.95
2011-08-30,23.27,23.47,22.94,23.06,7402700,22.47
2011-08-29,22.85,23.35,22.78,23.35,4702400,22.75
2011-08-26,22.46,22.78,21.99,22.68,5861900,22.10
2011-08-25,22.55,22.71,22.30,22.50,7822000,21.92
2011-08-24,22.69,23.07,22.45,22.50,9594600,21.92
2011-08-23,22.62,22.85,22.36,22.85,7451200,22.26
2011-08-22,23.04,23.08,22.60,22.72,7217400,22.13
2011-08-19,22.72,23.07,22.63,22.71,6937400,22.12
2011-08-18,22.90,23.50,22.64,22.93,13852800,22.34
2011-08-17,23.23,23.55,23.14,23.38,4481500,22.78
2011-08-16,22.75,23.29,22.68,23.08,7995700,22.49
2011-08-15,22.77,22.94,22.59,22.87,7374200,22.28
2011-08-12,22.82,22.95,22.31,22.73,6342700,22.14
2011-08-11,21.88,22.85,21.77,22.61,9070400,22.03
