Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,49.96,49.99,49.35,49.35,1921100,48.03
2011-12-29,50.10,50.50,49.80,49.84,1555900,48.51
2011-12-28,50.18,50.48,49.85,50.09,1815600,48.75
2011-12-27,49.83,50.11,49.65,49.87,1674800,48.54
2011-12-23,49.35,50.02,49.25,49.97,1587100,48.63
2011-12-22,49.55,49.90,49.25,49.30,2412700,47.98
2011-12-21,48.97,49.60,48.72,49.43,3299100,48.11
2011-12-20,48.86,49.33,48.60,49.09,3397000,47.78
2011-12-19,48.77,49.23,48.02,48.14,3472700,46.85
2011-12-16,49.50,49.55,48.38,48.82,7830000,47.52
2011-12-15,49.98,50.31,48.93,49.03,3837900,47.72
2011-12-14,49.33,50.36,49.24,49.34,5938100,48.02
2011-12-13,51.33,51.60,50.00,50.36,6190900,49.01
2011-12-12,50.45,51.46,50.40,51.33,4694700,49.96
2011-12-09,50.59,51.23,50.48,50.90,3234400,49.54
2011-12-08,50.54,51.16,50.43,50.56,3360900,49.21
2011-12-07,50.92,51.19,50.29,50.68,3989900,49.33
2011-12-06,50.93,51.04,50.43,50.73,4083700,49.37
2011-12-05,50.63,50.99,50.28,50.76,4382200,49.40
2011-12-02,50.33,51.50,50.27,50.51,5080700,48.92
2011-12-01,50.60,51.79,49.65,50.37,13270100,48.78
2011-11-30,53.83,53.97,53.08,53.80,4252000,52.10
2011-11-29,52.49,53.03,52.16,52.66,3412700,51.00
2011-11-28,53.73,53.89,51.98,52.28,5186300,50.63
2011-11-25,51.88,52.75,51.64,51.81,2008300,50.18
2011-11-23,53.12,53.16,52.13,52.14,3146200,50.50
2011-11-22,54.42,54.66,53.73,53.78,2853700,52.08
2011-11-21,54.64,54.75,53.25,54.35,3388400,52.64
2011-11-18,55.45,55.59,54.87,55.34,2707300,53.59
2011-11-17,55.60,56.19,54.50,54.97,3784100,53.24
2011-11-16,55.25,56.25,55.15,55.59,2906100,53.84
2011-11-15,55.43,56.23,55.20,55.76,2657100,54.00
2011-11-14,55.74,56.62,55.51,55.77,2608000,54.01
2011-11-11,55.90,56.66,55.59,56.52,3589400,54.74
2011-11-10,55.51,56.53,54.94,55.36,6355600,53.61
2011-11-09,54.45,54.99,53.77,54.29,3994700,52.58
2011-11-08,56.31,56.36,54.58,55.68,3297800,53.92
2011-11-07,55.69,56.63,55.42,55.85,2078000,54.09
2011-11-04,55.25,56.23,55.07,56.08,2804300,54.31
2011-11-03,54.56,56.39,53.05,55.80,6364000,54.04
2011-11-02,53.84,54.56,53.33,54.50,4011700,52.78
2011-11-01,51.63,53.75,51.43,53.18,5499400,51.50
2011-10-31,52.60,53.50,52.43,53.01,2932400,51.34
2011-10-28,54.03,54.74,52.28,53.07,4669000,51.40
2011-10-27,53.71,54.86,52.79,54.70,4619300,52.97
2011-10-26,53.64,53.77,51.71,52.32,4422400,50.67
2011-10-25,53.75,54.10,52.78,52.88,3097100,51.21
2011-10-24,54.19,55.45,53.90,54.37,4587000,52.65
2011-10-21,53.42,54.68,53.42,54.19,4326100,52.48
2011-10-20,51.18,53.73,51.18,52.93,6860500,51.26
2011-10-19,52.00,52.68,51.88,52.03,3908100,50.39
2011-10-18,50.01,52.88,49.63,52.20,5257500,50.55
2011-10-17,50.11,50.79,49.86,49.97,2961100,48.39
2011-10-14,50.27,50.65,49.85,50.45,2722600,48.86
2011-10-13,49.93,50.63,49.48,49.69,4620600,48.12
2011-10-12,50.23,51.02,49.91,50.22,5617800,48.64
2011-10-11,51.66,51.66,49.71,50.08,6524100,48.50
2011-10-10,50.92,52.12,50.90,51.74,4060400,50.11
2011-10-07,50.07,51.37,50.04,50.17,5159700,48.59
2011-10-06,50.61,50.97,49.49,50.08,6472200,48.50
2011-10-05,49.54,50.30,48.76,49.51,6150100,47.95
2011-10-04,47.20,49.81,47.04,49.74,6100000,48.17
2011-10-03,49.12,50.23,47.72,47.74,6463600,46.23
2011-09-30,48.33,50.84,48.03,49.10,9678900,47.55
2011-09-29,48.78,49.49,48.06,49.08,6749700,47.53
2011-09-28,47.94,48.96,47.47,47.73,6502000,46.22
2011-09-27,48.68,49.00,47.46,47.67,6035900,46.17
2011-09-26,46.51,48.13,46.46,47.94,5568900,46.43
2011-09-23,44.20,46.34,44.20,46.18,7085300,44.72
2011-09-22,43.72,45.43,43.68,44.63,5353900,43.22
2011-09-21,46.77,47.05,45.02,45.03,5331500,43.61
2011-09-20,47.55,47.74,46.54,46.85,4134600,45.37
2011-09-19,46.75,47.50,46.53,47.32,4139700,45.83
2011-09-16,47.13,48.25,47.13,47.50,6037900,46.00
2011-09-15,45.56,47.24,45.45,46.97,6882300,45.49
2011-09-14,43.96,45.82,43.78,45.02,5182700,43.60
2011-09-13,43.94,44.67,43.46,43.94,5228200,42.55
2011-09-12,42.20,44.05,42.14,43.98,5167300,42.59
2011-09-09,43.37,43.61,42.25,42.60,4680300,41.26
2011-09-08,44.62,44.84,43.61,43.87,4501400,42.49
2011-09-07,44.13,45.12,43.74,44.97,3763200,43.55
