Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,50.55,50.89,50.52,50.57,835600,48.92
2011-12-29,50.62,50.92,50.59,50.86,1083600,49.20
2011-12-28,50.87,50.90,50.64,50.68,941600,49.02
2011-12-27,50.30,50.88,50.30,50.75,1731700,49.09
2011-12-23,49.86,50.58,49.86,50.34,1069300,48.69
2011-12-22,49.92,49.98,49.44,49.91,1360700,48.28
2011-12-21,49.29,50.12,49.29,50.00,1519800,48.37
2011-12-20,48.83,49.37,48.71,49.33,1339900,47.72
2011-12-19,48.93,49.20,48.64,48.73,1396100,47.14
2011-12-16,49.00,49.12,48.47,48.77,2740200,47.18
2011-12-15,48.89,49.20,48.69,48.76,1978000,47.17
2011-12-14,48.74,48.99,48.63,48.69,1653800,47.10
2011-12-13,49.11,49.36,48.55,48.72,1937800,47.13
2011-12-12,49.77,49.82,48.91,49.11,1995000,47.50
2011-12-09,49.45,49.98,49.44,49.81,1189300,48.18
2011-12-08,49.72,49.80,49.22,49.31,1753100,47.70
2011-12-07,49.81,50.00,49.40,49.83,1333100,48.20
2011-12-06,50.08,50.15,49.75,49.79,1808800,48.16
2011-12-05,49.43,50.07,49.32,49.95,2877500,48.32
2011-12-02,49.09,49.32,48.92,49.12,2038800,47.51
2011-12-01,49.03,49.37,48.87,48.98,2927000,47.38
2011-11-30,48.78,49.26,48.64,49.16,2755900,47.55
2011-11-29,48.23,48.52,48.10,48.34,2417600,46.76
2011-11-28,48.81,49.11,48.46,48.62,3104900,46.61
2011-11-25,48.21,48.98,48.20,48.75,1201900,46.74
2011-11-23,48.64,48.83,48.11,48.25,2230800,46.26
2011-11-22,49.20,49.22,48.75,48.84,2824200,46.83
2011-11-21,49.03,49.34,48.97,49.14,2885500,47.11
2011-11-18,49.52,49.60,49.04,49.37,2905600,47.33
2011-11-17,49.21,49.61,49.08,49.38,2177900,47.34
2011-11-16,49.52,49.80,49.13,49.17,2448900,47.14
2011-11-15,49.33,49.91,49.15,49.80,5323800,47.75
2011-11-14,49.49,49.88,49.42,49.65,1754100,47.60
2011-11-11,49.69,49.95,49.59,49.72,1741500,47.67
2011-11-10,49.40,49.80,48.92,49.38,3415600,47.34
2011-11-09,49.83,49.88,48.82,49.08,3443700,47.06
2011-11-08,50.59,50.95,49.76,49.89,4304600,47.83
2011-11-07,49.89,50.48,49.70,50.44,2349500,48.36
2011-11-04,49.96,50.39,49.68,49.91,4191300,47.85
2011-11-03,49.94,50.67,49.52,49.91,9461300,47.85
2011-11-02,54.12,54.12,53.56,54.04,1749500,51.81
2011-11-01,53.60,54.25,53.26,53.56,2273000,51.35
2011-10-31,54.41,54.82,54.21,54.21,1431100,51.97
2011-10-28,55.09,55.11,54.41,54.78,1702100,52.52
2011-10-27,55.07,55.30,54.64,55.07,2140400,52.80
2011-10-26,54.25,54.65,53.89,54.54,2499200,52.29
2011-10-25,54.79,54.86,53.81,53.87,1762200,51.65
2011-10-24,55.00,55.10,54.62,54.77,1632600,52.51
2011-10-21,54.80,55.01,54.68,54.98,1740500,52.71
2011-10-20,54.44,54.93,54.11,54.39,1648200,52.15
2011-10-19,54.86,55.15,54.38,54.48,1059800,52.23
2011-10-18,54.67,55.01,54.17,54.82,1769300,52.56
2011-10-17,54.54,55.00,54.54,54.82,2481400,52.56
2011-10-14,54.40,54.85,54.34,54.84,1569900,52.58
2011-10-13,54.20,54.31,53.49,53.96,1733900,51.73
