Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,19.83,19.98,19.65,19.65,1887300,19.54
2011-12-29,19.10,19.88,19.10,19.86,3610400,19.75
2011-12-28,19.30,19.43,18.83,18.98,2150300,18.87
2011-12-27,19.33,19.48,19.24,19.30,2488900,19.19
2011-12-23,19.78,19.78,19.07,19.37,3954300,19.26
2011-12-22,20.13,20.19,19.54,19.58,4095900,19.47
2011-12-21,19.78,20.06,19.40,19.98,7204400,19.87
2011-12-20,18.93,19.74,18.93,19.68,5847500,19.57
2011-12-19,18.94,19.15,18.45,18.51,6287400,18.40
2011-12-16,18.54,18.95,18.51,18.77,5960600,18.66
2011-12-15,18.49,18.77,18.36,18.40,5406100,18.30
2011-12-14,18.58,18.68,18.21,18.23,4832800,18.13
2011-12-13,19.65,19.78,18.63,18.72,6244500,18.61
2011-12-12,19.30,19.60,19.03,19.53,5688100,19.42
2011-12-09,19.14,19.69,19.05,19.64,5083000,19.53
2011-12-08,19.44,19.50,18.90,19.02,5841700,18.91
2011-12-07,19.17,19.79,19.17,19.60,9028700,19.49
2011-12-06,19.26,19.60,19.09,19.27,7703600,19.16
2011-12-05,18.79,19.36,18.68,19.28,9118500,19.17
2011-12-02,18.66,18.91,18.36,18.41,5378400,18.31
2011-12-01,18.32,18.69,18.12,18.45,5486200,18.35
2011-11-30,17.90,18.47,17.50,18.41,8392200,18.31
2011-11-29,16.93,17.29,16.68,17.02,6089500,16.92
2011-11-28,16.92,17.19,16.65,16.79,8441200,16.69
2011-11-25,16.32,16.82,16.31,16.44,2361700,16.35
2011-11-23,16.86,16.90,16.42,16.44,10286100,16.35
2011-11-22,16.70,17.35,16.59,17.09,15254200,16.99
2011-11-21,17.36,17.51,17.11,17.32,5299100,17.22
2011-11-18,18.02,18.15,17.51,17.67,6856000,17.57
2011-11-17,18.40,18.62,17.83,18.12,5900400,18.02
2011-11-16,17.80,18.82,17.70,18.37,7577000,18.27
2011-11-15,17.75,18.20,17.59,18.04,3995200,17.94
2011-11-14,17.99,18.12,17.72,17.92,3295300,17.82
2011-11-11,17.81,18.19,17.61,18.11,5431700,18.01
2011-11-10,17.16,17.79,17.12,17.69,7045800,17.59
2011-11-09,17.49,17.67,16.80,16.94,6763700,16.84
2011-11-08,17.63,18.16,17.56,18.03,7211600,17.93
2011-11-07,17.24,17.65,17.02,17.49,6044600,17.39
2011-11-04,16.87,17.29,16.80,17.17,4502200,17.07
2011-11-03,16.70,17.16,16.19,17.07,6458000,16.97
2011-11-02,16.10,16.67,15.94,16.51,4567900,16.42
2011-11-01,16.03,16.35,15.61,15.79,6034900,15.70
2011-10-31,16.77,16.97,16.53,16.54,3665200,16.45
2011-10-28,17.02,17.19,16.66,17.05,5409900,16.95
2011-10-27,17.03,17.41,16.49,17.19,5927600,17.09
2011-10-26,16.32,16.59,15.93,16.48,5034400,16.39
2011-10-25,16.67,16.85,15.95,15.99,7817300,15.90
2011-10-24,16.81,17.25,16.67,17.02,5393800,16.92
