Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,86.51,86.84,85.86,85.97,397600,85.97
2011-12-29,86.15,86.64,85.77,86.46,480900,86.46
2011-12-28,87.81,87.94,85.63,85.82,492100,85.82
2011-12-27,87.14,88.15,87.08,87.68,337200,87.68
2011-12-23,86.83,87.76,86.83,87.32,622100,87.32
2011-12-22,84.79,86.99,84.56,86.87,751800,86.87
2011-12-21,83.93,85.20,83.93,84.69,595700,84.69
2011-12-20,82.75,84.33,82.75,84.24,676100,84.24
2011-12-19,81.99,83.17,81.28,81.62,525400,81.62
2011-12-16,82.27,82.65,81.35,81.63,662700,81.63
2011-12-15,80.86,82.47,80.52,81.53,549900,81.53
2011-12-14,81.50,82.29,81.23,81.40,527700,81.40
2011-12-13,82.67,83.49,81.39,81.64,603100,81.64
2011-12-12,83.30,83.40,82.14,82.34,807700,82.34
2011-12-09,83.31,84.38,83.11,83.43,619500,83.43
2011-12-08,84.93,85.26,82.79,82.92,691300,82.92
2011-12-07,85.31,85.63,84.22,85.14,672900,85.14
2011-12-06,86.59,86.87,85.45,85.61,409800,85.61
2011-12-05,87.30,87.59,85.78,86.34,600200,86.34
2011-12-02,86.90,88.15,85.71,86.23,843200,86.23
2011-12-01,85.53,87.18,85.18,86.10,515300,86.10
2011-11-30,85.50,86.09,84.59,85.72,1011300,85.72
2011-11-29,83.00,84.25,82.84,83.49,869100,83.49
2011-11-28,81.80,82.89,81.41,82.86,851700,82.86
2011-11-25,80.28,81.28,80.28,80.70,452900,80.70
2011-11-23,80.05,81.88,79.62,80.55,1001400,80.55
2011-11-22,79.45,81.63,79.31,80.37,1411700,80.37
2011-11-21,80.02,80.29,79.01,79.30,644800,79.30
2011-11-18,81.02,81.61,80.25,80.99,1009800,80.99
2011-11-17,82.27,82.44,80.06,80.57,952300,80.57
2011-11-16,82.69,84.21,82.10,82.59,1143000,82.59
2011-11-15,83.66,84.57,83.40,83.84,771200,83.84
2011-11-14,83.23,84.43,83.08,84.04,806200,84.04
2011-11-11,82.98,84.18,82.62,83.81,603600,83.81
