Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,39.36,39.40,38.55,38.91,1289000,38.91
2011-12-29,39.07,39.39,38.82,39.25,1094600,39.25
2011-12-28,39.94,39.97,38.81,38.86,778600,38.86
2011-12-27,39.77,40.20,39.62,40.00,488900,40.00
2011-12-23,40.21,40.33,39.76,39.92,521400,39.92
2011-12-22,39.48,40.37,39.48,40.16,952800,40.16
2011-12-21,39.85,40.21,38.90,39.50,1332300,39.50
2011-12-20,38.88,39.89,38.59,39.84,1528900,39.84
2011-12-19,39.00,39.18,37.97,38.04,1020600,38.04
2011-12-16,38.86,39.29,38.63,38.89,2034100,38.89
2011-12-15,38.75,38.97,38.26,38.39,2141000,38.39
2011-12-14,38.23,38.48,38.00,38.32,1313400,38.32
2011-12-13,38.83,39.02,38.12,38.30,1574400,38.30
2011-12-12,39.19,39.31,38.20,38.47,1849500,38.47
2011-12-09,39.39,39.96,39.23,39.56,1519100,39.56
2011-12-08,39.64,39.78,39.02,39.05,1250900,39.05
2011-12-07,39.76,40.20,39.37,39.97,1174400,39.97
2011-12-06,40.01,40.15,39.53,39.88,1036800,39.88
2011-12-05,39.66,40.49,39.37,39.89,1870400,39.89
2011-12-02,39.38,39.65,38.89,38.97,2023200,38.97
2011-12-01,38.83,39.27,38.56,39.17,1143500,39.17
2011-11-30,38.58,39.30,38.47,38.73,1909100,38.73
2011-11-29,37.57,37.95,37.35,37.54,1158400,37.54
2011-11-28,36.94,37.68,36.80,37.54,1560800,37.54
2011-11-25,36.65,36.93,36.07,36.08,553000,36.08
2011-11-23,36.96,37.02,36.55,36.68,1698300,36.68
2011-11-22,37.01,37.37,36.63,37.28,2001100,37.28
2011-11-21,37.26,37.26,36.18,36.70,3075800,36.70
2011-11-18,38.29,38.36,37.57,37.60,2574200,37.60
2011-11-17,39.76,39.81,37.67,38.29,2947700,38.29
2011-11-16,40.35,40.80,39.45,39.88,1744800,39.88
2011-11-15,40.89,41.16,40.50,40.91,1413600,40.91
2011-11-14,41.28,41.28,40.72,40.90,1106300,40.90
2011-11-11,40.70,41.60,40.67,41.35,1397300,41.35
2011-11-10,40.16,40.35,39.50,40.09,1149300,40.09
2011-11-09,40.56,40.60,39.41,39.53,1598500,39.53
2011-11-08,40.53,41.79,40.41,41.71,1197000,41.71
2011-11-07,40.16,40.67,39.64,40.47,1249700,40.47
2011-11-04,40.39,40.50,39.62,40.08,1591700,40.08
2011-11-03,40.44,40.76,40.08,40.60,764400,40.60
2011-11-02,39.89,40.16,39.06,40.08,1708500,40.08
2011-11-01,39.67,40.20,39.33,39.55,1608500,39.55
2011-10-31,42.67,42.72,40.36,40.67,2902100,40.67
2011-10-28,42.80,43.31,42.62,43.02,2209400,43.02
2011-10-27,41.35,42.97,41.03,42.74,2587700,42.74
2011-10-26,41.76,42.30,39.38,40.19,5005200,40.19
2011-10-25,40.36,41.20,39.94,40.48,3172300,40.48
2011-10-24,39.76,40.73,39.43,40.68,1622500,40.68
