Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,41.49,41.92,41.47,41.56,4391600,39.70
2011-12-29,41.44,41.66,41.42,41.50,4186400,39.64
2011-12-28,41.77,41.85,41.22,41.30,3230700,39.45
2011-12-27,41.47,41.88,41.45,41.75,3094400,39.88
2011-12-23,41.61,41.71,41.27,41.64,6535300,39.77
2011-12-22,41.77,41.86,41.28,41.46,4904000,39.60
2011-12-21,41.18,41.57,41.10,41.57,5994000,39.71
2011-12-20,41.15,41.18,40.74,41.12,8060000,39.28
2011-12-19,40.79,41.43,40.61,40.74,6979300,38.91
2011-12-16,41.43,41.43,40.44,40.53,12555400,38.71
2011-12-15,40.43,41.37,40.34,41.22,13059100,39.37
2011-12-14,39.61,40.48,39.51,40.04,12965800,38.25
2011-12-13,39.05,40.24,39.05,39.65,11747800,37.87
2011-12-12,39.28,39.40,38.72,38.99,4764500,37.24
2011-12-09,39.33,39.50,39.09,39.27,6309400,37.51
2011-12-08,39.40,39.48,38.80,38.89,8934700,37.15
2011-12-07,39.27,40.13,39.13,39.43,16615300,37.66
2011-12-06,37.88,39.12,37.76,38.86,16567500,37.12
2011-12-05,37.68,37.77,37.30,37.41,6042200,35.73
2011-12-02,37.81,37.89,37.35,37.37,5497400,35.70
2011-12-01,37.71,37.92,37.56,37.64,6250200,35.95
2011-11-30,36.85,37.86,36.85,37.85,8610000,36.15
2011-11-29,36.53,36.56,36.00,36.14,5956200,34.52
2011-11-28,36.38,36.55,36.09,36.27,6754300,34.64
2011-11-25,35.56,35.69,35.46,35.58,2364200,33.99
2011-11-23,35.88,35.96,35.62,35.65,3866100,34.05
2011-11-22,36.36,36.41,36.00,36.14,5030800,34.52
2011-11-21,36.57,36.75,36.29,36.34,5887500,34.71
2011-11-18,37.00,37.04,36.65,36.89,5101600,35.24
2011-11-17,36.90,37.10,36.51,36.81,5687500,35.16
2011-11-16,37.48,37.48,36.80,36.83,6153000,35.18
2011-11-15,37.61,37.80,37.36,37.65,4423200,35.96
2011-11-14,37.62,37.77,37.44,37.65,3990900,35.96
2011-11-11,37.60,37.92,37.54,37.85,4408400,36.15
2011-11-10,37.71,37.81,37.18,37.23,8292800,35.56
2011-11-09,38.53,38.53,37.69,37.85,8454800,35.69
2011-11-08,38.39,39.04,38.14,38.99,6426000,36.76
2011-11-07,37.80,38.40,37.64,38.35,26566100,36.16
2011-11-04,37.97,37.98,37.60,37.94,25551000,35.77
2011-11-03,37.73,38.12,37.62,38.05,25756700,35.87
2011-11-02,37.62,37.71,37.25,37.48,5233400,35.34
