Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,19.38,19.58,19.35,19.42,1434000,19.15
2011-12-29,19.16,19.65,19.09,19.47,1774300,19.20
2011-12-28,19.34,19.41,18.94,19.06,2150700,18.79
2011-12-27,19.67,19.85,19.38,19.38,1652300,19.11
2011-12-23,19.19,19.72,19.03,19.72,2976700,19.44
2011-12-22,18.79,19.21,18.70,19.13,3943100,18.86
2011-12-21,18.51,18.79,18.38,18.70,3950500,18.44
2011-12-20,18.32,18.70,18.23,18.60,4975100,18.34
2011-12-19,18.61,18.83,17.78,17.84,3785500,17.59
2011-12-16,18.87,19.02,18.38,18.51,5503400,18.25
2011-12-15,18.90,19.12,18.66,18.70,4893700,18.44
2011-12-14,18.40,18.80,18.20,18.46,5163000,18.20
2011-12-13,19.56,19.76,18.35,18.60,7563100,18.34
2011-12-12,19.68,19.68,18.93,19.16,4384200,18.89
2011-12-09,19.84,20.34,19.84,20.04,5178200,19.76
2011-12-08,20.49,20.49,19.57,19.64,5998100,19.37
2011-12-07,20.52,20.83,19.98,20.71,6581100,20.42
2011-12-06,20.34,20.98,20.22,20.79,5116700,20.50
2011-12-05,20.64,21.04,20.21,20.42,7172400,20.14
2011-12-02,20.59,21.00,19.98,20.06,7546700,19.78
2011-12-01,20.05,20.41,19.72,20.21,5257800,19.93
2011-11-30,19.36,20.21,19.28,20.18,6958200,19.90
2011-11-29,18.62,18.90,18.35,18.49,4632700,18.23
2011-11-28,18.48,18.80,18.24,18.52,5226800,18.26
2011-11-25,17.64,18.21,17.56,17.58,1835200,17.33
2011-11-23,18.07,18.23,17.63,17.63,7571400,17.38
2011-11-22,18.67,19.06,18.44,18.49,6540400,18.23
2011-11-21,19.12,19.12,18.34,18.86,7754700,18.60
2011-11-18,19.47,19.70,19.20,19.45,6214500,19.18
2011-11-17,20.01,20.31,19.15,19.31,10192800,19.04
2011-11-16,19.54,20.48,19.43,20.05,8623400,19.77
2011-11-15,19.75,20.18,19.45,19.93,4701100,19.65
2011-11-14,19.95,20.17,19.60,19.81,3992300,19.53
2011-11-11,20.00,20.94,19.96,20.22,6092700,19.94
2011-11-10,19.19,19.86,18.92,19.54,7068300,19.27
2011-11-09,18.95,19.25,18.64,18.74,7651900,18.48
2011-11-08,19.62,20.02,19.04,19.92,6379700,19.64
2011-11-07,19.23,19.44,18.68,19.41,4761900,19.14
2011-11-04,19.28,19.40,18.73,19.28,6240200,19.01
2011-11-03,20.17,20.61,18.98,19.52,11144500,19.25
2011-11-02,18.54,19.16,18.32,18.89,6470600,18.63
2011-11-01,17.83,18.56,17.54,17.98,8732200,17.73
2011-10-31,20.88,20.88,18.98,19.05,11638600,18.78
2011-10-28,21.37,21.88,20.88,21.40,7487800,21.10
2011-10-27,20.59,21.65,20.48,21.34,11153200,21.04
2011-10-26,19.21,19.68,18.41,19.48,6816800,19.21
2011-10-25,19.76,19.77,18.42,18.50,8388800,18.24
2011-10-24,19.09,20.12,19.06,20.07,8047200,19.79
2011-10-21,18.68,19.25,18.57,19.03,7174700,18.76
2011-10-20,17.83,18.49,17.45,18.37,6187800,18.11
2011-10-19,18.32,18.76,17.62,17.80,8288600,17.55
2011-10-18,17.28,18.49,17.00,18.34,9778200,18.08
2011-10-17,17.96,17.96,17.16,17.23,7312000,16.99
2011-10-14,17.26,18.11,17.23,17.99,10064500,17.74
2011-10-13,17.11,17.14,16.10,16.70,8053000,16.47
2011-10-12,16.57,17.80,16.57,17.36,10202700,17.12
2011-10-11,15.83,16.54,15.64,16.34,7801400,16.11
2011-10-10,15.50,16.06,15.50,16.04,6412600,15.82
2011-10-07,16.00,16.29,15.05,15.10,8982000,14.89
2011-10-06,15.23,16.04,14.98,15.85,8022000,15.63
2011-10-05,14.81,15.48,14.52,15.33,9079700,15.07
2011-10-04,14.05,14.74,13.75,14.68,12395900,14.43
2011-10-03,15.45,15.65,14.32,14.32,9167900,14.07
2011-09-30,16.07,16.09,15.63,15.63,5842000,15.36
2011-09-29,16.08,16.68,15.83,16.46,6803500,16.18
2011-09-28,16.84,16.85,15.59,15.59,6385600,15.32
2011-09-27,16.59,17.15,16.54,16.74,10489500,16.45
2011-09-26,15.56,16.07,15.22,16.01,10050700,15.74
2011-09-23,15.14,15.95,15.14,15.30,10171200,15.04
2011-09-22,15.69,15.94,15.00,15.48,12793100,15.21
2011-09-21,18.09,18.15,16.61,16.63,7341600,16.34
2011-09-20,18.63,19.16,18.14,18.16,5869700,17.85
2011-09-19,18.73,18.77,18.15,18.54,4355600,18.22
2011-09-16,19.82,20.03,18.95,19.20,7381000,18.87
2011-09-15,18.66,19.84,18.54,19.78,9381700,19.44
2011-09-14,18.22,18.60,17.64,18.28,7603800,17.97
2011-09-13,17.99,18.42,17.80,18.03,6998000,17.72
2011-09-12,17.60,18.16,17.22,17.98,7541300,17.67
2011-09-09,18.48,18.72,17.94,18.03,5550300,17.72
2011-09-08,18.92,19.35,18.72,18.81,4756800,18.49
2011-09-07,18.75,19.45,18.68,19.30,5236400,18.97
2011-09-06,18.11,18.50,17.88,18.22,7157900,17.91
2011-09-02,19.51,19.78,18.99,19.03,6209500,18.70
2011-09-01,20.66,20.87,20.06,20.10,5153800,19.76
2011-08-31,20.77,21.38,20.39,20.75,6938400,20.39
2011-08-30,20.71,20.75,20.01,20.56,5717400,20.21
2011-08-29,19.70,21.00,19.70,21.00,4643100,20.64
2011-08-26,18.87,19.50,18.41,19.29,5665300,18.96
2011-08-25,20.19,20.58,18.90,19.05,7309000,18.72
2011-08-24,19.05,19.88,18.97,19.81,6454200,19.47
2011-08-23,19.12,19.30,18.69,19.14,11377700,18.81
2011-08-22,20.09,20.15,18.97,19.02,7895600,18.69
2011-08-19,19.91,20.88,19.42,19.46,8146600,19.13
2011-08-18,21.03,21.03,20.12,20.31,7753000,19.96
2011-08-17,22.31,22.53,21.72,22.01,3844500,21.63
2011-08-16,22.44,22.72,21.94,22.18,5243100,21.80
2011-08-15,22.39,22.83,22.17,22.83,4551400,22.44
2011-08-12,22.64,22.83,22.14,22.24,9969700,21.86
2011-08-11,20.68,22.91,20.64,22.42,9368100,22.04
2011-08-10,22.15,22.18,20.60,20.67,12628700,20.32
2011-08-09,21.10,22.77,20.75,22.74,10688900,22.35
2011-08-08,22.69,23.24,20.40,20.65,10445600,20.30
2011-08-05,24.37,24.39,22.70,23.53,10326700,23.13
2011-08-04,25.06,25.27,23.88,23.91,8378200,23.50
2011-08-03,26.16,26.50,24.95,25.47,9562800,25.03
2011-08-02,26.08,26.32,25.37,25.45,5014300,25.01
2011-08-01,26.93,27.03,25.98,26.30,3625300,25.85
2011-07-29,26.37,26.97,26.07,26.50,3657300,26.05
2011-07-28,26.55,27.07,26.45,26.48,3848000,26.03
2011-07-27,27.00,27.09,26.44,26.49,4203800,26.04
2011-07-26,27.30,27.62,27.14,27.21,2971500,26.74
2011-07-25,27.37,27.40,27.11,27.34,4282500,26.87
2011-07-22,27.87,27.87,27.33,27.79,2330500,27.31
2011-07-21,27.40,28.13,27.39,27.73,3310200,27.25
2011-07-20,27.19,27.45,26.92,27.11,2027800,26.64
2011-07-19,26.89,27.25,26.68,27.04,2713300,26.58
2011-07-18,27.00,27.08,26.36,26.70,3588400,26.24
