Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,25.61,25.74,25.38,25.38,7981200,24.86
2011-12-29,25.07,25.75,25.05,25.68,11245800,25.15
2011-12-28,25.61,25.67,25.01,25.06,12285200,24.54
2011-12-27,25.21,25.71,25.16,25.54,9002800,25.01
2011-12-23,25.60,25.63,25.15,25.27,11578700,24.75
2011-12-22,25.93,25.95,25.43,25.46,15130100,24.93
2011-12-21,25.76,26.04,25.48,25.96,18322700,25.42
2011-12-20,25.15,25.76,25.11,25.73,18940600,25.20
2011-12-19,25.06,25.25,24.64,24.72,15501000,24.21
2011-12-16,24.82,25.02,24.51,25.02,28728600,24.50
2011-12-15,24.67,24.75,24.55,24.66,18239000,24.15
2011-12-14,24.16,24.58,24.12,24.48,22526300,23.97
2011-12-13,24.75,24.79,24.04,24.18,15660600,23.68
2011-12-12,24.72,24.84,24.38,24.69,14919900,24.18
2011-12-09,25.05,25.25,24.93,24.97,20340300,24.45
2011-12-08,24.97,25.22,24.83,24.88,26498300,24.37
2011-12-07,24.57,25.24,24.57,25.20,32269400,24.68
2011-12-06,24.30,24.90,24.21,24.77,18040200,24.26
2011-12-05,24.51,24.67,24.18,24.35,13785400,23.85
2011-12-02,24.12,24.38,23.95,24.31,19223500,23.81
2011-12-01,23.91,24.22,23.83,23.87,14051400,23.38
2011-11-30,24.88,25.10,23.75,24.01,27751200,23.51
2011-11-29,23.52,24.39,23.47,24.30,26520800,23.80
2011-11-28,23.16,23.68,22.96,23.36,13338100,22.88
2011-11-25,22.55,23.02,22.39,22.68,6049700,22.21
2011-11-23,22.71,22.71,22.40,22.48,11759900,22.02
2011-11-22,23.10,23.17,22.78,22.81,11564400,22.34
2011-11-21,22.94,23.22,22.82,23.09,12693700,22.61
2011-11-18,23.42,23.46,22.93,23.31,14795300,22.83
2011-11-17,23.51,23.92,23.23,23.38,18690600,22.90
2011-11-16,22.89,24.05,22.80,23.49,23133400,23.01
2011-11-15,23.34,23.56,22.89,23.20,14969300,22.72
2011-11-14,23.20,24.00,23.20,23.50,29351000,23.01
2011-11-11,22.75,23.75,22.75,23.11,27393900,22.63
2011-11-10,22.46,22.80,22.11,22.46,18154200,22.00
2011-11-09,22.37,22.83,22.05,22.20,14451500,21.74
2011-11-08,22.48,22.80,22.04,22.77,15432200,22.30
2011-11-07,21.60,22.32,21.48,22.31,16891300,21.85
2011-11-04,21.49,21.66,21.21,21.54,10412100,21.10
2011-11-03,21.39,21.65,21.06,21.63,12121000,21.18
2011-11-02,21.03,21.44,20.78,21.33,14293100,20.89
2011-11-01,20.39,20.94,20.34,20.60,14893500,20.17
2011-10-31,21.17,21.43,21.00,21.02,12529500,20.59
2011-10-28,21.85,21.85,21.26,21.37,14365600,20.93
2011-10-27,22.17,22.30,21.79,21.90,15974300,21.45
2011-10-26,21.72,21.92,21.36,21.64,13731800,21.19
2011-10-25,21.92,22.05,21.46,21.51,17920100,21.07
2011-10-24,22.11,22.48,21.74,21.78,16838300,21.33
2011-10-21,21.78,22.20,21.71,22.13,15755900,21.67
2011-10-20,21.05,21.58,21.04,21.52,12482400,21.08
2011-10-19,21.48,21.66,20.99,21.04,12162900,20.61
2011-10-18,20.98,21.71,20.79,21.49,12855600,21.05
