Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.00,37.49,36.96,37.02,1716500,37.02
2011-12-29,36.77,37.15,36.60,37.05,1480400,37.05
2011-12-28,37.04,37.32,36.40,36.60,1886900,36.60
2011-12-27,36.73,37.86,36.70,37.11,2384600,37.11
2011-12-23,37.02,37.02,36.12,36.93,1752200,36.93
2011-12-22,36.67,37.11,36.58,36.75,4269800,36.75
2011-12-21,35.85,36.76,35.32,36.71,5825500,36.71
2011-12-20,35.44,36.47,35.36,36.05,8333400,36.05
2011-12-19,35.94,36.10,34.81,34.86,5316000,34.86
2011-12-16,36.49,36.49,35.69,35.92,7841800,35.92
2011-12-15,38.43,38.59,35.50,36.17,21683100,36.17
2011-12-14,40.06,40.51,39.26,39.48,1866300,39.48
2011-12-13,42.35,42.56,40.07,40.18,2857300,40.18
2011-12-12,42.03,42.35,41.30,42.10,1889900,42.10
2011-12-09,41.91,42.91,41.14,42.63,1858100,42.63
2011-12-08,42.58,43.27,41.60,41.74,1414500,41.74
2011-12-07,42.53,43.31,42.16,42.89,1292600,42.89
2011-12-06,42.90,43.50,42.46,42.86,2421700,42.86
2011-12-05,42.73,43.67,42.43,42.85,2875400,42.85
2011-12-02,41.98,42.73,41.62,42.24,2737100,42.24
2011-12-01,40.85,41.87,40.78,41.64,3225200,41.64
2011-11-30,38.69,40.79,38.56,40.77,3362200,40.77
2011-11-29,38.06,38.07,37.49,37.82,1810600,37.82
2011-11-28,37.66,38.16,37.33,37.77,3892700,37.77
2011-11-25,36.75,37.81,36.59,36.76,955700,36.76
2011-11-23,37.86,38.02,36.96,36.97,1433000,36.97
2011-11-22,38.91,39.13,37.95,38.03,1758600,38.03
2011-11-21,40.00,40.09,38.75,38.99,3735800,38.99
2011-11-18,41.62,41.84,40.45,40.48,3386100,40.48
2011-11-17,43.75,43.76,41.37,41.60,3179500,41.60
2011-11-16,44.28,45.08,43.87,43.96,2347800,43.96
2011-11-15,44.34,45.48,44.23,45.01,2545800,45.01
2011-11-14,44.95,45.20,44.24,44.55,2419900,44.55
2011-11-11,42.88,45.04,42.64,44.88,2554400,44.88
2011-11-10,42.58,42.79,41.69,42.33,1607600,42.33
