Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,5.97,6.01,5.94,5.95,3156400,5.95
2011-12-29,5.83,5.99,5.82,5.98,3671900,5.98
2011-12-28,5.86,5.88,5.79,5.83,2317100,5.83
2011-12-27,5.90,5.91,5.84,5.89,4549500,5.89
2011-12-23,6.06,6.07,5.82,5.91,8167100,5.91
2011-12-22,5.77,6.08,5.73,6.06,9974700,6.06
2011-12-21,5.77,5.81,5.62,5.76,9056400,5.76
2011-12-20,5.54,5.81,5.54,5.79,11916200,5.79
2011-12-19,5.44,5.50,5.39,5.43,8836300,5.43
2011-12-16,5.47,5.54,5.32,5.42,8192400,5.42
2011-12-15,5.47,5.51,5.37,5.42,4009700,5.42
2011-12-14,5.46,5.53,5.34,5.40,6141200,5.40
2011-12-13,5.72,5.78,5.45,5.50,7525200,5.50
2011-12-12,5.67,5.72,5.52,5.71,8012500,5.71
2011-12-09,5.72,5.76,5.64,5.73,4688000,5.73
2011-12-08,5.72,5.83,5.70,5.71,6926700,5.71
2011-12-07,5.72,5.87,5.68,5.79,7544900,5.79
2011-12-06,5.77,5.82,5.69,5.77,5092500,5.77
2011-12-05,5.83,5.89,5.71,5.75,7051100,5.75
2011-12-02,5.82,5.84,5.72,5.77,8610400,5.77
2011-12-01,5.60,5.71,5.56,5.70,5823500,5.70
2011-11-30,5.57,5.66,5.48,5.62,13125400,5.62
2011-11-29,5.35,5.50,5.35,5.40,9061300,5.40
2011-11-28,5.28,5.42,5.25,5.30,6893400,5.30
2011-11-25,5.16,5.24,5.06,5.10,2528100,5.10
2011-11-23,5.31,5.34,5.18,5.18,5425600,5.18
2011-11-22,5.45,5.50,5.31,5.37,9122800,5.37
2011-11-21,5.55,5.60,5.41,5.48,11377700,5.48
2011-11-18,5.73,5.81,5.64,5.66,7838600,5.66
2011-11-17,5.90,5.95,5.55,5.69,12180100,5.69
2011-11-16,5.82,6.11,5.79,5.93,9319300,5.93
2011-11-15,5.65,6.02,5.62,5.95,9120300,5.95
2011-11-14,5.94,6.01,5.83,5.85,7012900,5.85
2011-11-11,5.91,6.01,5.87,5.94,9005300,5.94
2011-11-10,5.88,5.90,5.68,5.79,9076800,5.79
2011-11-09,6.00,6.05,5.78,5.79,11161600,5.79
2011-11-08,6.26,6.29,6.05,6.16,9528900,6.16
2011-11-07,6.30,6.30,6.09,6.22,7661900,6.22
2011-11-04,6.20,6.34,6.14,6.28,9961600,6.28
2011-11-03,6.00,6.28,5.90,6.27,15969000,6.27
2011-11-02,6.09,6.13,5.89,5.91,9397200,5.91
2011-11-01,6.07,6.13,5.88,5.99,20629600,5.99
2011-10-31,6.22,6.41,6.22,6.25,13105900,6.25
2011-10-28,6.30,6.31,6.21,6.29,6314800,6.29
2011-10-27,6.30,6.38,6.11,6.30,16953900,6.30
2011-10-26,5.96,6.01,5.71,5.93,9180300,5.93
2011-10-25,5.93,6.01,5.73,5.79,13709100,5.79
2011-10-24,5.89,6.04,5.89,6.02,8605600,6.02
2011-10-21,5.62,5.89,5.59,5.86,11861600,5.86
2011-10-20,5.39,5.52,5.30,5.50,7768500,5.50
2011-10-19,5.71,5.71,5.41,5.43,8084200,5.43
2011-10-18,5.63,5.75,5.42,5.72,6413500,5.72
2011-10-17,5.85,5.92,5.61,5.66,6921100,5.66
2011-10-14,5.98,5.98,5.77,5.94,4770500,5.94
2011-10-13,5.66,5.94,5.64,5.90,6363300,5.90
2011-10-12,5.72,5.82,5.63,5.70,11395000,5.70
2011-10-11,5.52,5.78,5.51,5.68,9273900,5.68
2011-10-10,5.52,5.65,5.49,5.58,4357100,5.58
2011-10-07,5.49,5.52,5.34,5.39,5995000,5.39
2011-10-06,5.30,5.50,5.25,5.46,9425900,5.46
2011-10-05,5.18,5.43,5.10,5.34,9725700,5.34
2011-10-04,4.76,5.24,4.75,5.14,11500000,5.14
2011-10-03,5.10,5.18,4.83,4.85,10253000,4.85
2011-09-30,5.28,5.38,5.17,5.18,6743300,5.18
2011-09-29,5.51,5.61,5.22,5.36,11628500,5.36
2011-09-28,5.75,5.78,5.41,5.44,13427700,5.44
2011-09-27,6.00,6.06,5.72,5.76,8958400,5.76
2011-09-26,5.86,5.93,5.56,5.90,7869900,5.90
2011-09-23,5.73,5.89,5.71,5.79,8471100,5.79
2011-09-22,5.88,5.99,5.68,5.77,11172600,5.77
2011-09-21,6.28,6.37,6.09,6.10,10403700,6.10
2011-09-20,6.56,6.56,6.25,6.28,8552700,6.28
2011-09-19,6.50,6.59,6.43,6.49,11601200,6.49
2011-09-16,6.72,6.78,6.61,6.65,7892700,6.65
2011-09-15,6.73,6.75,6.45,6.71,10706800,6.71
2011-09-14,6.50,6.72,6.40,6.66,12033000,6.66
2011-09-13,6.50,6.56,6.43,6.50,9696100,6.50
2011-09-12,6.46,6.63,6.39,6.57,7973700,6.57
2011-09-09,6.72,6.85,6.49,6.55,9598300,6.55
2011-09-08,6.83,6.92,6.74,6.83,7798100,6.83
2011-09-07,6.70,6.88,6.69,6.84,7049400,6.84
2011-09-06,6.35,6.61,6.30,6.60,4621300,6.60
2011-09-02,6.67,6.76,6.55,6.59,4739800,6.59
2011-09-01,6.81,6.91,6.77,6.81,7539800,6.81
2011-08-31,6.86,6.92,6.70,6.81,11953000,6.81
2011-08-30,6.84,6.90,6.72,6.83,8325500,6.83
2011-08-29,6.82,6.91,6.81,6.86,6173700,6.86
2011-08-26,6.57,6.80,6.43,6.76,7069600,6.76
2011-08-25,6.73,6.81,6.59,6.63,6804800,6.63
2011-08-24,6.68,6.75,6.55,6.73,11837100,6.73
2011-08-23,6.30,6.70,6.25,6.70,10661300,6.70
2011-08-22,6.44,6.50,6.22,6.25,6137400,6.25
2011-08-19,6.35,6.54,6.27,6.29,8042500,6.29
2011-08-18,6.76,6.77,6.20,6.34,10493300,6.34
2011-08-17,7.12,7.23,6.92,6.97,10503400,6.97
2011-08-16,7.08,7.24,6.97,7.09,11496500,7.09
2011-08-15,7.03,7.21,7.02,7.20,9224700,7.20
2011-08-12,7.14,7.20,6.93,6.99,8165700,6.99
2011-08-11,6.64,7.17,6.63,7.07,16924700,7.07
2011-08-10,6.46,6.86,6.35,6.58,17349200,6.58
2011-08-09,6.30,6.64,6.14,6.64,16700500,6.64
