Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,8.58,8.64,8.52,8.56,4516000,8.53
2011-12-29,8.41,8.62,8.41,8.60,3730500,8.57
2011-12-28,8.51,8.54,8.36,8.40,3333000,8.37
2011-12-27,8.52,8.60,8.39,8.51,4942400,8.48
2011-12-23,8.40,8.58,8.34,8.58,4904600,8.55
2011-12-22,8.36,8.50,8.28,8.40,5542000,8.37
2011-12-21,8.50,8.53,8.28,8.37,5069700,8.34
2011-12-20,8.44,8.65,8.39,8.48,7371700,8.45
2011-12-19,8.69,8.71,8.25,8.30,5981800,8.27
2011-12-16,8.49,8.71,8.47,8.71,14399400,8.68
2011-12-15,8.28,8.48,8.21,8.42,8771200,8.39
2011-12-14,8.17,8.37,8.13,8.17,7465600,8.14
2011-12-13,8.46,8.53,8.12,8.16,6475100,8.13
2011-12-12,8.34,8.49,8.21,8.43,6063200,8.40
2011-12-09,8.32,8.56,8.30,8.44,4348000,8.41
2011-12-08,8.49,8.49,8.25,8.27,6765500,8.24
2011-12-07,8.48,8.64,8.40,8.58,7716300,8.55
2011-12-06,8.48,8.58,8.36,8.54,9647200,8.51
2011-12-05,8.42,8.60,8.36,8.47,6446200,8.43
2011-12-02,8.40,8.48,8.27,8.28,6144600,8.24
2011-12-01,8.30,8.49,8.23,8.33,10944300,8.29
2011-11-30,7.98,8.43,7.97,8.38,23824200,8.34
2011-11-29,7.95,8.01,7.78,7.93,10006200,7.89
2011-11-28,7.73,7.94,7.68,7.87,7900900,7.84
2011-11-25,7.40,7.66,7.37,7.50,3716500,7.47
2011-11-23,7.58,7.60,7.40,7.40,8338000,7.37
2011-11-22,7.70,7.79,7.60,7.65,7605400,7.62
2011-11-21,7.71,7.81,7.61,7.73,5945700,7.70
2011-11-18,7.85,7.93,7.76,7.81,6165300,7.78
2011-11-17,8.04,8.10,7.72,7.78,8429700,7.75
2011-11-16,8.12,8.25,8.04,8.05,7410100,8.01
