Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,33.25,33.69,33.07,33.07,394200,31.63
2011-12-29,33.08,33.49,32.93,33.32,654200,31.86
2011-12-28,33.79,33.98,32.86,32.97,566900,31.53
2011-12-27,33.86,34.01,33.63,33.86,349200,32.38
2011-12-23,33.50,34.05,33.47,34.00,517900,32.52
2011-12-22,32.83,33.46,32.81,33.28,477600,31.83
2011-12-21,33.07,33.15,32.05,32.62,650000,31.20
2011-12-20,32.74,33.49,32.69,33.20,743100,31.75
2011-12-19,32.95,32.97,31.85,32.04,944100,30.64
2011-12-16,32.84,33.34,32.60,32.74,1245400,31.31
2011-12-15,32.84,33.19,32.48,32.59,952100,31.17
2011-12-14,32.23,32.54,31.83,32.42,1185500,31.00
2011-12-13,33.11,33.28,32.37,32.52,639800,31.10
2011-12-12,32.87,33.04,32.40,32.85,723600,31.42
2011-12-09,32.97,33.58,32.85,33.32,928000,31.86
2011-12-08,33.00,33.25,32.54,32.71,1064700,31.28
2011-12-07,33.06,33.41,32.70,33.26,1027000,31.81
2011-12-06,33.36,33.61,33.05,33.31,980100,31.86
2011-12-05,33.83,33.94,33.13,33.38,1556000,31.92
2011-12-02,34.04,34.14,33.14,33.19,1224600,31.74
2011-12-01,33.29,33.74,33.07,33.64,963700,32.17
2011-11-30,33.04,33.59,32.71,33.46,1813700,32.00
2011-11-29,32.25,32.42,31.68,31.94,892700,30.55
2011-11-28,32.25,32.30,31.82,32.09,966700,30.69
2011-11-25,31.37,31.94,31.13,31.17,842200,29.81
2011-11-23,31.80,32.01,31.27,31.49,1037100,30.11
2011-11-22,33.07,33.07,31.60,32.21,2535400,30.80
2011-11-21,33.01,33.50,32.72,33.24,1386900,31.79
2011-11-18,33.62,34.05,33.32,33.45,1044100,31.99
2011-11-17,33.73,33.79,32.89,33.44,1326900,31.98
2011-11-16,33.55,34.39,33.55,33.84,1989800,32.36
2011-11-15,33.81,34.24,33.28,34.09,1039600,32.60
2011-11-14,33.69,34.23,33.53,33.83,941000,32.35
2011-11-11,33.65,34.07,33.48,33.89,802200,32.41
2011-11-10,33.14,33.51,32.79,33.19,1162700,31.74
2011-11-09,33.51,33.79,32.77,33.09,1933500,31.41
2011-11-08,34.55,34.69,33.72,34.26,1363800,32.52
2011-11-07,33.49,34.50,33.30,34.33,1801600,32.58
2011-11-04,33.00,33.49,32.68,33.35,1276800,31.65
2011-11-03,31.89,33.40,31.37,33.33,2008500,31.63
2011-11-02,31.15,31.56,30.80,31.38,1009900,29.78
2011-11-01,30.60,31.49,30.43,30.67,1346500,29.11
2011-10-31,32.30,32.39,31.51,31.70,1387700,30.09
2011-10-28,31.48,33.14,31.39,32.69,2695800,31.03
2011-10-27,30.29,31.92,30.27,31.43,2413400,29.83
2011-10-26,29.75,29.75,28.72,29.41,2260300,27.91
2011-10-25,29.96,30.27,28.75,29.22,3734500,27.73
2011-10-24,29.67,31.43,29.45,31.27,2955800,29.68
2011-10-21,29.14,29.90,29.14,29.67,1454000,28.16
2011-10-20,28.23,28.86,27.83,28.71,1464500,27.25
2011-10-19,29.21,29.42,28.23,28.31,1375500,26.87
2011-10-18,29.26,29.45,28.50,29.20,1889600,27.71
2011-10-17,30.04,30.04,29.08,29.28,1657500,27.79
2011-10-14,29.94,30.27,29.57,29.98,937500,28.45
2011-10-13,29.61,29.64,28.63,29.37,1756000,27.88
2011-10-12,29.44,30.31,28.95,29.83,2215100,28.31
2011-10-11,29.48,30.44,29.18,30.27,1511800,28.73
2011-10-10,29.44,30.02,29.35,29.58,1362200,28.07
2011-10-07,29.74,29.89,28.73,28.92,2137400,27.45
2011-10-06,28.01,29.57,27.95,29.53,1889300,28.03
2011-10-05,27.36,28.88,27.27,27.99,2296200,26.57
2011-10-04,26.17,27.37,25.87,27.37,2100000,25.98
2011-10-03,26.82,27.37,26.25,26.48,2021900,25.13
2011-09-30,27.66,28.15,27.03,27.03,2439900,25.65
2011-09-29,28.47,28.63,27.62,28.03,1488300,26.60
2011-09-28,28.93,28.96,27.86,27.90,1567700,26.48
2011-09-27,29.26,29.87,28.60,28.93,1111400,27.46
2011-09-26,28.19,28.58,27.66,28.53,977900,27.08
2011-09-23,27.66,28.54,27.54,28.03,1713600,26.60
2011-09-22,29.37,29.50,27.38,27.87,2834700,26.45
2011-09-21,30.85,31.22,30.23,30.25,1835900,28.71
2011-09-20,31.27,31.48,30.81,30.83,1250900,29.26
2011-09-19,31.10,31.59,30.82,31.22,1291400,29.63
2011-09-16,31.95,32.10,31.26,31.49,1802700,29.89
2011-09-15,31.46,32.00,31.19,31.89,1301400,30.27
2011-09-14,31.05,31.39,30.58,31.03,1717300,29.45
2011-09-13,30.72,31.25,30.59,30.75,1582200,29.18
2011-09-12,29.96,30.84,29.79,30.64,1945700,29.08
2011-09-09,30.48,31.03,29.94,30.42,1852400,28.87
2011-09-08,31.03,31.51,30.67,30.81,1080800,29.24
2011-09-07,30.68,31.24,30.43,31.12,2285400,29.54
2011-09-06,29.71,30.44,29.42,30.40,2169400,28.85
2011-09-02,30.87,31.09,30.35,30.55,1409400,29.00
2011-09-01,32.12,32.46,31.51,31.57,1999100,29.96
2011-08-31,31.76,32.56,31.67,31.96,1363300,30.33
2011-08-30,31.23,31.89,31.04,31.53,1382600,29.93
2011-08-29,30.72,31.41,30.60,31.40,1273600,29.80
2011-08-26,29.78,30.82,29.44,30.36,1162600,28.81
2011-08-25,30.49,30.77,29.68,29.87,1941400,28.35
2011-08-24,30.05,30.57,29.74,30.47,1989200,28.92
2011-08-23,29.22,30.06,28.93,30.06,1832200,28.53
2011-08-22,29.07,29.53,28.92,29.00,3311700,27.52
2011-08-19,29.06,29.22,28.23,28.46,3067800,27.01
2011-08-18,30.11,30.16,29.28,29.62,2898100,28.11
2011-08-17,31.62,31.81,30.63,31.02,1451200,29.44
2011-08-16,31.45,31.93,30.84,31.37,1878400,29.77
2011-08-15,30.42,31.91,30.42,31.78,2182700,30.16
2011-08-12,31.60,32.04,31.02,31.69,1790500,30.08
2011-08-11,29.79,31.98,29.76,31.42,2526100,29.82
2011-08-10,29.75,31.17,29.31,29.92,2860200,28.40
2011-08-09,30.89,31.21,29.08,30.72,3924900,29.16
2011-08-08,32.31,32.68,30.37,30.38,4071400,28.83
2011-08-05,33.26,33.92,32.25,33.05,3753600,31.37
2011-08-04,33.73,33.92,32.70,32.81,3364100,31.14
2011-08-03,33.14,34.68,32.84,34.45,3846300,32.70
2011-08-02,33.22,33.61,32.54,32.58,2772100,30.92
2011-08-01,33.88,34.11,33.20,33.49,2250000,31.79
2011-07-29,33.48,34.41,33.25,33.57,1975100,31.86
2011-07-28,33.81,34.55,33.54,33.90,2295900,32.17
2011-07-27,33.83,34.25,33.17,33.73,3230300,32.01
2011-07-26,32.49,34.98,32.03,33.93,8933300,32.20
2011-07-25,29.36,29.92,28.73,28.84,2193800,27.37
2011-07-22,29.58,29.77,29.23,29.74,899300,28.23
2011-07-21,29.22,29.74,28.96,29.58,938300,28.07
2011-07-20,29.29,29.32,28.95,29.07,734700,27.59
2011-07-19,28.83,29.30,28.78,29.15,897600,27.67
2011-07-18,29.04,29.04,28.31,28.65,998900,27.19
