Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,10.66,10.68,10.46,10.48,3110300,10.24
2011-12-29,9.91,10.71,9.87,10.70,4674900,10.46
2011-12-28,10.21,10.23,9.78,9.87,2359500,9.65
2011-12-27,10.20,10.26,10.10,10.19,1438600,9.96
2011-12-23,10.29,10.34,10.15,10.20,2645700,9.97
2011-12-22,10.10,10.33,10.03,10.23,3341700,10.00
2011-12-21,9.78,10.08,9.63,10.02,3682500,9.79
2011-12-20,9.24,9.85,9.23,9.82,4421100,9.60
2011-12-19,9.20,9.36,8.97,9.02,5493700,8.81
2011-12-16,8.79,9.17,8.76,9.16,8251300,8.95
2011-12-15,8.71,8.90,8.59,8.70,3312700,8.50
2011-12-14,8.90,8.90,8.57,8.64,4447000,8.44
2011-12-13,9.42,9.58,8.90,8.99,5250100,8.79
2011-12-12,9.27,9.27,8.97,9.16,3685800,8.95
2011-12-09,9.06,9.42,9.05,9.39,2667900,9.18
2011-12-08,9.38,9.41,9.03,9.04,4236200,8.83
2011-12-07,9.34,9.57,9.26,9.45,6017500,9.23
2011-12-06,9.44,9.61,9.28,9.45,4842600,9.23
2011-12-05,9.51,9.58,9.34,9.41,6138100,9.20
2011-12-02,9.54,9.55,9.28,9.32,6026000,9.11
2011-12-01,9.52,9.64,9.37,9.43,4199200,9.22
2011-11-30,9.39,9.60,9.23,9.58,5199900,9.36
2011-11-29,8.97,9.11,8.87,9.00,4139000,8.80
2011-11-28,8.76,8.99,8.76,8.93,4370500,8.73
2011-11-25,8.37,8.60,8.36,8.42,1033700,8.23
2011-11-23,8.67,8.72,8.33,8.42,3274600,8.23
2011-11-22,8.77,8.85,8.52,8.76,4389900,8.56
2011-11-21,8.83,8.88,8.63,8.75,5681800,8.55
2011-11-18,9.26,9.31,9.00,9.01,5859400,8.80
2011-11-17,9.56,9.63,9.08,9.16,6231100,8.95
2011-11-16,9.51,9.90,9.43,9.60,5637200,9.38
2011-11-15,9.36,9.73,9.32,9.69,6364200,9.47
2011-11-14,9.48,9.59,9.26,9.39,9336500,9.18
2011-11-11,9.33,9.83,9.27,9.55,3973900,9.33
2011-11-10,9.14,9.24,9.03,9.13,4618500,8.92
2011-11-09,9.38,9.38,8.90,8.94,5160100,8.74
2011-11-08,9.45,9.77,9.31,9.71,3644800,9.49
2011-11-07,9.27,9.46,9.09,9.40,2948500,9.19
2011-11-04,9.30,9.45,9.11,9.39,3249100,9.18
2011-11-03,9.21,9.50,9.01,9.45,4566800,9.23
2011-11-02,9.15,9.30,8.94,9.09,5572700,8.88
2011-11-01,9.30,9.30,8.82,8.95,6317300,8.75
2011-10-31,9.74,9.97,9.58,9.60,5355400,9.38
2011-10-28,10.18,10.27,9.77,9.88,5355900,9.65
2011-10-27,10.05,10.46,9.86,10.23,9455000,10.00
2011-10-26,9.67,9.90,9.46,9.65,9007400,9.43
2011-10-25,9.13,9.90,9.05,9.50,12003100,9.28
2011-10-24,9.02,9.42,8.90,9.34,6423000,9.13
2011-10-21,8.80,9.02,8.68,9.00,4658100,8.80
2011-10-20,8.66,8.71,8.43,8.65,4779000,8.45
2011-10-19,8.75,8.80,8.57,8.64,5488900,8.44
2011-10-18,8.29,8.89,8.20,8.76,8546000,8.56
2011-10-17,8.48,8.48,8.25,8.29,7581200,8.10
2011-10-14,8.15,8.47,8.13,8.47,5722500,8.28
2011-10-13,7.96,8.08,7.81,8.01,4244200,7.83
2011-10-12,7.91,8.21,7.85,8.02,3975500,7.84
2011-10-11,7.82,7.97,7.76,7.84,4306000,7.66
2011-10-10,7.66,7.94,7.61,7.93,3334300,7.75
2011-10-07,7.90,7.91,7.37,7.49,5028800,7.32
2011-10-06,7.71,7.83,7.58,7.82,4429200,7.64
2011-10-05,7.26,7.77,7.09,7.74,6075100,7.56
2011-10-04,6.80,7.37,6.60,7.33,8800000,7.09
2011-10-03,7.04,7.26,6.91,6.91,7393700,6.68
2011-09-30,7.42,7.44,7.08,7.12,6201700,6.89
2011-09-29,7.58,7.64,7.28,7.52,10827400,7.27
2011-09-28,7.48,7.56,7.26,7.38,7649200,7.14
2011-09-27,7.49,7.85,7.30,7.38,6114100,7.14
2011-09-26,7.20,7.26,6.94,7.26,4791500,7.02
2011-09-23,6.95,7.31,6.91,7.14,5862600,6.91
2011-09-22,6.93,7.02,6.78,6.96,8806500,6.73
2011-09-21,7.58,7.60,7.18,7.19,5804900,6.95
2011-09-20,7.80,7.85,7.60,7.61,4585200,7.36
2011-09-19,7.77,7.81,7.59,7.73,3687600,7.48
2011-09-16,8.02,8.15,7.86,7.97,3784700,7.71
2011-09-15,8.07,8.17,7.91,7.99,4261000,7.73
2011-09-14,7.76,8.05,7.58,7.95,5653300,7.69
2011-09-13,7.62,7.77,7.47,7.69,3660200,7.44
2011-09-12,7.66,7.76,7.33,7.57,5323100,7.32
2011-09-09,7.87,7.98,7.65,7.80,5225600,7.54
2011-09-08,8.12,8.21,7.89,7.98,5998200,7.72
2011-09-07,8.02,8.30,7.90,8.25,4968800,7.98
