Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,377.99,378.19,372.82,372.82,521600,371.92
2011-12-29,373.99,378.40,373.66,378.27,487400,377.36
2011-12-28,376.90,376.90,371.39,373.78,525200,372.88
2011-12-27,378.79,381.32,374.15,374.75,444800,373.85
2011-12-23,373.31,378.15,371.76,378.15,465500,377.24
2011-12-22,374.69,376.56,367.59,371.25,934000,370.35
2011-12-21,373.14,374.50,366.69,374.18,793600,373.28
2011-12-20,363.31,374.17,360.01,373.91,1317900,373.01
2011-12-19,362.70,368.00,358.00,358.74,1093900,357.87
2011-12-16,360.13,365.95,358.29,362.16,839900,361.29
2011-12-15,367.94,367.96,358.97,359.21,766100,358.34
2011-12-14,366.05,367.08,360.00,361.12,1039900,360.25
2011-12-13,374.64,374.95,366.23,368.94,700600,368.05
2011-12-12,373.98,375.31,369.08,371.28,602500,370.38
2011-12-09,373.45,379.30,369.83,377.42,840500,376.51
2011-12-08,373.31,378.11,368.87,369.31,854400,368.42
2011-12-07,371.16,374.98,366.36,374.35,793400,373.45
2011-12-06,372.05,374.98,370.17,371.30,889500,370.40
2011-12-05,382.99,383.35,370.01,372.84,1098100,371.94
2011-12-02,383.70,384.99,378.38,378.38,932000,377.47
2011-12-01,372.41,381.96,372.41,380.96,1215100,380.04
2011-11-30,368.02,374.70,366.05,374.55,1275200,373.65
2011-11-29,360.05,361.46,355.00,357.68,720400,356.82
2011-11-28,355.92,359.99,354.80,359.25,1089800,358.38
2011-11-25,345.30,351.57,345.00,346.20,393900,345.36
2011-11-23,353.34,354.71,346.57,347.05,935000,346.21
2011-11-22,352.05,358.35,352.00,354.55,770700,353.69
2011-11-21,355.01,356.81,348.81,351.80,1407900,350.95
2011-11-18,361.58,362.00,356.00,360.42,1058600,359.55
2011-11-17,361.93,366.79,356.63,359.39,1142300,358.52
2011-11-16,368.52,369.83,361.00,361.00,975300,360.13
2011-11-15,367.43,373.55,367.00,371.33,888800,370.43
2011-11-14,366.27,373.20,366.01,367.27,694100,366.38
2011-11-11,362.56,370.37,362.54,370.15,1028300,369.26
2011-11-10,362.21,362.71,355.37,360.11,677800,359.24
2011-11-09,361.69,366.44,357.44,357.44,1111900,356.58
2011-11-08,368.12,368.99,363.05,368.07,915400,367.18
2011-11-07,361.97,365.95,358.74,365.91,1031000,365.03
2011-11-04,364.84,368.99,359.10,360.09,1242100,359.22
2011-11-03,355.35,367.99,355.01,366.59,1451200,365.70
2011-11-02,361.05,364.80,351.43,357.66,3075600,356.80
2011-11-01,336.74,341.00,333.36,334.30,1269000,333.49
2011-10-31,351.15,356.00,346.09,347.24,925400,346.40
2011-10-28,346.58,355.00,346.17,354.58,972900,353.72
2011-10-27,336.01,349.59,331.19,349.15,1693400,348.31
2011-10-26,332.60,332.98,324.58,329.06,1096400,328.27
2011-10-25,338.13,339.83,327.00,327.51,832300,326.72
2011-10-24,332.80,341.10,332.80,340.69,815600,339.87
2011-10-21,329.73,333.61,326.60,333.40,1003200,332.59
2011-10-20,326.47,329.37,322.49,325.68,1250600,324.89
2011-10-19,340.00,340.11,323.61,323.77,1291200,322.99
2011-10-18,335.61,341.48,331.16,339.89,1062500,339.07
2011-10-17,340.84,342.16,333.78,335.12,906500,334.31
2011-10-14,338.30,344.92,337.32,341.58,894300,340.76
2011-10-13,327.10,339.15,326.55,335.99,1299300,335.18
2011-10-12,334.41,337.37,327.10,327.99,1418300,327.20
2011-10-11,323.12,333.17,322.00,329.51,1095400,328.71
2011-10-10,315.53,325.82,315.53,325.81,952700,325.02
2011-10-07,317.53,319.25,309.29,311.46,1234000,310.71
2011-10-06,312.51,318.91,309.21,316.26,1336400,315.50
2011-10-05,308.03,313.78,302.28,313.33,1605900,312.57
2011-10-04,307.97,308.67,293.01,307.66,2700000,306.77
2011-10-03,314.50,324.00,310.10,310.88,1437700,309.98
2011-09-30,324.02,324.23,312.48,317.16,1719500,316.24
2011-09-29,336.38,337.79,321.47,328.37,1022800,327.42
2011-09-28,338.06,340.00,329.15,329.82,1026800,328.86
2011-09-27,339.08,341.99,333.47,338.11,1227200,337.13
2011-09-26,339.84,343.96,331.13,334.40,1589100,333.43
2011-09-23,330.08,338.14,328.22,337.03,1294100,336.05
2011-09-22,332.04,338.02,323.23,330.96,2218600,330.00
2011-09-21,354.56,356.48,340.93,340.97,1418200,339.98
2011-09-20,348.30,361.94,348.30,353.78,2290200,352.75
2011-09-19,341.55,352.00,338.93,347.98,1649400,346.97
2011-09-16,349.83,352.00,338.19,346.95,5244100,345.94
2011-09-15,338.75,349.56,330.53,347.94,2212600,346.93
2011-09-14,330.03,338.66,326.39,337.23,1789600,336.25
2011-09-13,322.36,328.89,320.05,328.86,1039400,327.91
2011-09-12,319.95,325.49,314.70,322.04,1541800,321.11
2011-09-09,336.18,337.61,321.88,322.02,1767100,321.09
2011-09-08,337.25,345.13,335.38,337.91,1601200,336.93
2011-09-07,328.14,339.34,327.34,339.10,1644100,338.12
