Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,100.43,100.82,100.06,100.33,2957200,97.21
2011-12-29,99.75,101.00,99.60,100.81,3986200,97.68
2011-12-28,100.73,100.75,99.46,99.58,3111600,96.48
2011-12-27,100.17,100.82,100.00,100.55,3052100,97.42
2011-12-23,98.84,100.15,98.76,100.15,3516800,97.04
2011-12-22,99.24,99.35,98.55,98.60,4752500,95.54
2011-12-21,98.98,99.50,98.70,99.20,5414500,96.12
2011-12-20,98.07,98.92,97.93,98.82,5981100,95.75
2011-12-19,97.92,98.37,96.98,97.24,5169500,94.22
2011-12-16,98.54,98.62,97.08,97.49,8867300,94.46
2011-12-15,98.51,98.78,97.86,98.14,5558600,95.09
2011-12-14,97.76,98.46,97.16,97.61,6347200,94.58
2011-12-13,98.74,98.95,97.76,98.00,6862400,94.95
2011-12-12,97.67,98.53,97.20,98.48,5804900,95.42
2011-12-09,97.67,98.43,97.62,98.03,5721200,94.98
2011-12-08,97.03,98.29,96.72,96.92,8123000,93.91
2011-12-07,95.83,96.65,95.50,96.45,5137800,93.45
2011-12-06,95.47,96.27,94.82,96.01,5346500,93.03
2011-12-05,96.42,96.59,95.08,95.35,5906900,92.39
2011-12-02,96.37,96.47,95.32,95.70,4023100,92.73
2011-12-01,95.44,95.88,95.22,95.50,4860300,92.53
2011-11-30,94.85,95.54,94.64,95.52,7683300,92.55
2011-11-29,93.54,93.79,93.11,93.46,5648300,90.55
2011-11-28,93.19,93.99,93.07,93.76,6101200,90.17
2011-11-25,91.87,92.45,91.80,92.10,2452400,88.57
2011-11-23,92.32,92.50,91.70,91.87,4555800,88.35
2011-11-22,91.90,93.14,91.81,92.65,4695700,89.10
2011-11-21,92.03,92.62,91.22,92.28,5869400,88.74
2011-11-18,92.56,93.00,92.19,92.74,4791500,89.19
2011-11-17,93.14,93.55,91.72,92.29,5435000,88.75
2011-11-16,93.91,94.33,93.07,93.15,3915600,89.58
2011-11-15,93.87,94.91,93.70,94.47,5577300,90.85
2011-11-14,94.35,94.80,93.86,94.06,3232200,90.46
2011-11-11,93.93,94.95,93.86,94.76,4425500,91.13
2011-11-10,93.28,93.49,92.59,93.26,4189400,89.69
2011-11-09,93.41,93.96,92.35,92.65,6666000,89.10
2011-11-08,94.96,95.45,93.84,94.60,7195500,90.98
2011-11-07,93.92,94.70,93.22,94.62,4646700,90.99
2011-11-04,92.84,93.83,92.30,93.81,5612500,90.22
2011-11-03,92.83,93.15,92.28,93.00,5245400,89.44
2011-11-02,92.33,92.83,91.67,92.53,5421700,88.98
2011-11-01,92.31,93.39,91.71,91.91,6503500,88.39
2011-10-31,92.78,93.68,92.78,92.85,4544600,89.29
2011-10-28,93.49,93.65,92.49,93.29,4942400,89.72
2011-10-27,93.31,93.84,92.01,93.51,7004300,89.93
2011-10-26,92.38,92.67,90.87,91.78,7046500,88.26
2011-10-25,91.86,92.86,91.45,91.77,6465700,88.25
2011-10-24,92.07,92.31,91.40,92.01,6653900,88.48
2011-10-21,91.22,92.45,91.09,92.32,12081700,88.78
2011-10-20,90.00,90.15,88.38,89.01,6969800,85.60
2011-10-19,89.92,90.63,89.31,89.62,5681700,86.19
2011-10-18,88.95,90.00,88.21,89.64,4864000,86.21
2011-10-17,89.41,89.90,88.51,88.66,4321700,85.26
2011-10-14,89.98,89.98,89.14,89.94,3702300,86.49
2011-10-13,88.39,89.94,88.28,89.31,4990800,85.89
2011-10-12,89.83,89.83,88.03,88.36,7847900,84.97
2011-10-11,88.83,89.89,88.67,89.34,6868200,85.92
2011-10-10,88.05,88.52,87.61,88.51,5136400,85.12
2011-10-07,87.29,87.97,86.59,87.20,5509200,83.86
2011-10-06,86.45,87.25,86.07,87.11,5861000,83.77
2011-10-05,86.67,86.77,84.90,85.83,7730400,82.54
2011-10-04,85.06,86.60,83.74,86.48,10700000,83.17
2011-10-03,87.43,87.78,86.00,86.02,9185600,82.72
2011-09-30,87.99,90.17,87.81,87.82,8776100,84.46
2011-09-29,89.45,89.82,87.38,88.78,8145900,85.38
2011-09-28,89.74,90.38,87.98,88.03,7027800,84.66
2011-09-27,90.24,91.00,89.40,89.74,8043200,86.30
2011-09-26,87.96,89.47,86.73,89.34,7515500,85.92
2011-09-23,86.10,87.85,85.75,87.37,7614900,84.02
2011-09-22,85.84,86.97,85.10,85.99,10785600,82.70
2011-09-21,89.26,89.72,87.48,87.52,5777500,84.17
2011-09-20,89.24,90.56,89.00,89.31,7942200,85.89
2011-09-19,87.61,89.22,87.54,88.81,6471600,85.41
2011-09-16,88.26,88.76,88.04,88.29,7594500,84.91
2011-09-15,87.55,88.24,87.37,88.07,6755100,84.70
2011-09-14,86.30,87.79,85.44,86.75,7666600,83.43
2011-09-13,86.17,86.30,85.17,86.12,6598700,82.82
2011-09-12,84.44,86.20,84.16,86.19,8271000,82.89
2011-09-09,86.29,86.46,83.65,85.03,18444800,81.77
2011-09-08,89.16,90.00,88.61,88.61,7330000,85.21
2011-09-07,89.48,89.48,88.62,89.29,7065300,85.87
2011-09-06,87.42,88.95,87.07,88.82,7198400,85.42
2011-09-02,89.46,89.93,89.01,89.09,5250800,85.68
2011-09-01,90.27,91.09,90.03,90.07,5475400,86.62
2011-08-31,91.06,91.20,90.02,90.41,9168400,86.95
2011-08-30,90.24,91.22,90.10,90.78,6311800,87.30
2011-08-29,90.60,90.82,90.07,90.79,6261700,86.72
2011-08-26,88.65,90.49,87.83,89.93,5958600,85.90
2011-08-25,90.06,90.46,88.36,88.71,8671900,84.74
2011-08-24,89.06,90.15,88.54,90.13,8174400,86.09
2011-08-23,87.76,89.56,87.75,89.53,6617100,85.52
2011-08-22,88.21,88.89,87.33,87.76,7087900,83.83
2011-08-19,85.82,88.43,85.82,87.23,11686500,83.32
2011-08-18,86.56,87.27,84.68,85.61,11373500,81.78
2011-08-17,87.14,87.51,86.44,87.50,5407500,83.58
2011-08-16,86.45,87.19,85.68,86.67,5627300,82.79
2011-08-15,86.82,86.87,85.76,86.82,6470400,82.93
2011-08-12,86.59,86.94,85.78,86.50,6531200,82.63
2011-08-11,84.73,86.97,84.44,86.28,11112100,82.42
2011-08-10,84.93,85.46,83.61,84.08,13493400,80.32
2011-08-09,83.46,86.03,82.57,85.96,15364200,82.11
