Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,36.85,36.99,36.63,36.63,894300,35.10
2011-12-29,36.45,36.87,36.21,36.84,921200,35.30
2011-12-28,36.77,36.78,36.24,36.29,837800,34.78
2011-12-27,36.62,36.95,36.46,36.72,618100,35.19
2011-12-23,36.56,36.70,36.14,36.60,817400,35.07
2011-12-22,35.67,36.44,35.49,36.29,1463800,34.78
2011-12-21,35.81,35.95,34.70,35.45,1509500,33.97
2011-12-20,34.69,35.78,34.67,35.70,2493200,34.21
2011-12-19,34.83,35.00,33.91,34.01,1954100,32.59
2011-12-16,33.91,34.85,33.87,34.48,3081900,33.04
2011-12-15,34.04,34.18,33.65,33.80,1035200,32.39
2011-12-14,33.86,34.09,33.58,33.69,1647000,32.29
2011-12-13,34.82,34.99,33.71,33.98,1958400,32.56
2011-12-12,34.46,34.72,33.97,34.67,1948400,33.22
2011-12-09,34.30,35.00,33.87,34.81,2773200,33.36
2011-12-08,34.87,35.23,34.57,34.65,1807400,33.21
2011-12-07,34.84,35.38,34.44,35.11,1968500,33.65
2011-12-06,34.83,35.06,34.53,34.90,1517800,33.44
2011-12-05,35.17,35.38,34.76,34.91,1466800,33.45
2011-12-02,35.12,35.40,34.56,34.65,1487700,33.21
2011-12-01,34.76,34.97,34.45,34.86,1216900,33.41
2011-11-30,33.69,34.94,33.47,34.91,2931000,33.45
2011-11-29,33.01,33.36,32.85,32.97,1161600,31.60
2011-11-28,33.11,33.32,32.81,33.07,2883500,31.69
2011-11-25,32.28,32.84,32.26,32.30,646400,30.95
2011-11-23,32.97,33.01,32.54,32.55,1853900,31.19
2011-11-22,33.93,34.22,33.14,33.19,2045500,31.81
2011-11-21,34.25,34.34,33.73,34.01,1372500,32.59
2011-11-18,34.90,35.07,34.34,34.58,1639900,33.14
2011-11-17,36.27,36.77,34.76,34.79,2926200,33.34
2011-11-16,36.44,37.38,36.35,36.62,2159900,34.76
2011-11-15,36.35,37.10,36.27,36.87,1825800,35.00
2011-11-14,36.62,37.00,36.31,36.43,1188000,34.58
2011-11-11,36.04,37.00,36.04,36.76,1638300,34.89
2011-11-10,35.73,35.99,35.26,35.76,1482900,33.94
2011-11-09,36.11,36.17,35.31,35.45,2186700,33.65
2011-11-08,36.74,37.04,36.27,36.92,2067500,35.04
2011-11-07,36.63,36.85,36.00,36.56,3648400,34.70
2011-11-04,37.09,38.00,36.72,37.02,3933500,35.14
2011-11-03,34.85,35.86,34.48,35.77,2739400,33.95
2011-11-02,34.73,35.04,34.38,34.62,2247300,32.86
2011-11-01,35.17,35.29,34.32,34.48,3693600,32.73
2011-10-31,36.23,36.59,35.83,36.18,2240300,34.34
2011-10-28,36.14,36.64,36.02,36.46,2070800,34.61
2011-10-27,36.04,36.53,35.77,36.36,2618900,34.51
2011-10-26,34.80,35.35,34.32,35.21,2080200,33.42
2011-10-25,34.45,35.14,33.85,34.53,2094600,32.78
2011-10-24,33.94,34.90,33.83,34.69,2042500,32.93
2011-10-21,33.51,33.93,33.34,33.80,3484500,32.08
2011-10-20,33.44,33.49,32.62,33.02,3763200,31.34
2011-10-19,33.60,33.99,33.27,33.44,2360500,31.74
2011-10-18,33.39,33.82,33.06,33.71,2752800,32.00
2011-10-17,33.45,33.71,33.21,33.37,2859000,31.67
2011-10-14,35.00,35.24,33.07,33.45,10265600,31.75
2011-10-13,34.37,35.53,34.29,35.31,3751700,33.52
2011-10-12,34.57,34.84,34.38,34.46,2610700,32.71
2011-10-11,34.34,34.52,34.07,34.31,2159600,32.57
2011-10-10,34.26,34.59,33.97,34.35,2151000,32.61
2011-10-07,33.35,34.06,33.10,33.68,2745800,31.97
2011-10-06,32.65,33.31,32.16,33.29,2698100,31.60
2011-10-05,31.81,32.74,31.20,32.66,2520400,31.00
2011-10-04,30.07,31.72,30.07,31.68,4512800,30.07
2011-10-03,31.00,31.40,30.34,30.43,2936600,28.88
2011-09-30,31.68,31.98,31.10,31.11,2694800,29.53
2011-09-29,32.88,33.11,31.65,32.02,3072100,30.39
2011-09-28,33.27,33.41,32.32,32.41,1782800,30.76
2011-09-27,33.17,33.80,32.89,33.20,1818900,31.51
2011-09-26,33.05,33.07,31.90,32.51,2579900,30.86
2011-09-23,32.02,33.01,31.91,32.92,1859100,31.25
2011-09-22,32.52,32.94,31.74,32.12,3371700,30.49
2011-09-21,33.91,34.15,33.18,33.19,1737700,31.50
2011-09-20,34.39,34.56,33.66,33.73,1992200,32.02
2011-09-19,34.03,34.48,33.82,34.19,2100600,32.45
2011-09-16,34.57,34.96,34.34,34.55,2832400,32.79
2011-09-15,34.89,34.92,34.15,34.32,2547000,32.58
2011-09-14,33.80,34.91,33.62,34.45,5338500,32.70
2011-09-13,32.91,33.71,32.72,33.63,2594000,31.92
2011-09-12,31.49,32.72,31.49,32.71,2950200,31.05
2011-09-09,31.94,32.66,31.78,32.06,2220300,30.43
2011-09-08,32.55,32.95,32.09,32.23,2203800,30.59
2011-09-07,31.97,32.63,31.94,32.62,2068700,30.96
2011-09-06,30.52,31.53,30.50,31.47,2186900,29.87
2011-09-02,31.76,32.06,31.13,31.36,2846200,29.77
2011-09-01,33.09,33.15,32.52,32.52,3278700,30.87
2011-08-31,33.08,33.36,32.56,32.81,2415100,31.14
2011-08-30,33.26,33.75,32.81,32.83,4157100,31.16
2011-08-29,32.69,33.41,32.60,33.38,2382600,31.68
2011-08-26,31.16,32.29,30.62,32.29,2300900,30.65
2011-08-25,31.86,31.94,31.39,31.45,3170900,29.85
2011-08-24,31.69,31.84,31.27,31.74,2414000,30.13
2011-08-23,30.33,31.72,30.23,31.70,3205900,30.09
2011-08-22,30.18,30.37,29.81,30.18,2543200,28.65
2011-08-19,29.45,30.35,29.30,29.60,3125400,28.10
2011-08-18,30.20,30.29,29.38,29.71,4382600,28.20
2011-08-17,31.28,31.92,30.81,31.05,3284300,29.47
2011-08-16,30.75,31.99,30.75,31.36,3895400,29.77
2011-08-15,32.25,32.51,32.04,32.34,2575300,30.37
2011-08-12,32.01,32.34,31.57,32.05,3290200,30.10
2011-08-11,30.95,32.41,30.88,32.08,3731800,30.12
2011-08-10,30.86,31.63,30.35,30.71,6125500,28.84
2011-08-09,30.68,31.51,29.50,31.51,7676000,29.59
2011-08-08,30.44,31.10,30.10,30.22,5734500,28.38
2011-08-05,32.07,32.51,30.34,31.18,7279200,29.28
2011-08-04,32.54,32.72,31.77,31.77,4891400,29.83
2011-08-03,32.62,33.13,32.00,33.08,4085200,31.06
2011-08-02,33.29,33.79,32.79,32.80,3812800,30.80
2011-08-01,34.24,34.57,33.27,33.72,3965200,31.66
2011-07-29,34.51,34.51,33.33,33.75,4381400,31.69
2011-07-28,33.61,34.52,33.41,33.86,3745300,31.80
2011-07-27,33.89,33.96,33.29,33.54,5470200,31.49
2011-07-26,33.76,34.34,33.76,34.24,3839900,32.15
2011-07-25,33.70,33.90,33.36,33.72,1846200,31.66
2011-07-22,33.32,34.36,33.27,34.11,3183300,32.03
2011-07-21,32.81,33.53,32.58,33.35,3969300,31.32
2011-07-20,32.85,32.90,32.39,32.70,3069000,30.71
2011-07-19,32.40,32.86,32.34,32.85,3122600,30.85
2011-07-18,32.06,32.17,31.44,31.97,3172100,30.02
2011-07-15,32.20,32.41,31.73,32.34,2812500,30.37
2011-07-14,32.59,32.94,31.81,32.01,5625700,30.06
2011-07-13,33.15,33.67,32.24,32.41,7434800,30.43
2011-07-12,33.62,33.82,32.17,32.93,16507600,30.92
2011-07-11,37.48,37.98,37.32,37.48,1531600,35.19
2011-07-08,37.95,38.22,37.60,37.87,1437700,35.56
2011-07-07,38.35,38.59,38.15,38.39,1553100,36.05
2011-07-06,37.77,38.09,37.59,38.06,1466400,35.74
2011-07-05,38.41,38.45,37.80,37.90,1557400,35.59
2011-07-01,37.98,38.49,37.76,38.35,1432100,36.01
2011-06-30,37.49,38.08,37.41,37.91,2766100,35.60
2011-06-29,37.09,37.37,36.64,37.26,4512200,34.99
2011-06-28,36.96,37.08,36.70,37.08,2244600,34.82
2011-06-27,36.59,37.07,36.25,36.93,1520300,34.68
2011-06-24,37.09,37.17,36.43,36.55,2061200,34.32
2011-06-23,36.30,37.28,36.02,37.24,3068800,34.97
2011-06-22,36.63,37.00,36.58,36.58,1529800,34.35
2011-06-21,36.17,36.91,35.84,36.85,2126500,34.60
2011-06-20,35.66,36.23,35.64,35.97,1870300,33.78
2011-06-17,36.12,36.15,35.52,35.69,2441200,33.51
2011-06-16,36.07,36.14,35.52,35.84,1569300,33.65
2011-06-15,36.14,36.45,35.93,36.09,1844400,33.89
2011-06-14,36.38,36.75,36.25,36.51,2521800,34.28
2011-06-13,36.15,36.51,35.89,36.15,1794200,33.95
2011-06-10,36.84,36.95,36.05,36.46,2153800,34.24
2011-06-09,37.00,37.20,36.79,36.96,1306200,34.71
2011-06-08,37.39,37.43,36.83,36.97,2106200,34.72
2011-06-07,37.55,37.71,37.37,37.37,1774800,35.09
2011-06-06,37.27,37.74,37.16,37.50,2759900,35.21
2011-06-03,37.93,38.15,37.31,37.37,2168400,35.09
2011-06-02,38.51,38.68,38.20,38.34,3184400,36.00
2011-06-01,39.31,39.48,38.28,38.28,2594000,35.95
2011-05-31,39.40,39.67,39.09,39.53,2451300,37.12
2011-05-27,38.94,39.30,38.89,39.13,1463800,36.74
