Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,78.34,78.52,77.87,77.91,966500,77.20
2011-12-29,77.56,78.40,77.41,78.28,1027900,77.57
2011-12-28,78.98,79.06,77.19,77.24,1300100,76.54
2011-12-27,78.34,79.27,78.34,79.05,723200,78.33
2011-12-23,78.50,78.91,78.41,78.73,746400,78.01
2011-12-22,77.81,78.64,77.69,78.35,706300,77.64
2011-12-21,78.37,78.83,77.19,77.84,1021300,77.13
2011-12-20,77.76,79.13,77.73,78.50,1275600,77.78
2011-12-19,77.67,78.23,76.37,76.61,718400,75.91
2011-12-16,77.55,78.99,77.46,77.70,1566300,76.99
2011-12-15,77.08,77.88,76.81,76.91,1265400,76.21
2011-12-14,78.57,78.68,76.36,76.67,1653900,75.97
2011-12-13,79.84,80.30,78.57,78.97,1584300,78.25
2011-12-12,79.40,79.62,78.84,79.57,1341700,78.84
2011-12-09,79.15,80.18,79.12,79.74,1272400,79.01
2011-12-08,80.51,80.70,78.50,78.63,1252400,77.91
2011-12-07,80.24,81.24,79.63,80.78,1227000,80.04
2011-12-06,80.73,81.51,80.53,80.66,977400,79.92
2011-12-05,81.63,81.78,79.52,80.84,1835600,80.10
2011-12-02,82.18,82.18,79.94,80.49,1400400,79.76
2011-12-01,81.46,82.26,81.26,81.70,1550400,80.96
2011-11-30,80.26,81.36,79.84,81.31,1909600,80.57
2011-11-29,78.63,79.18,78.12,78.69,1434200,77.97
2011-11-28,78.49,78.87,77.74,78.24,1477000,77.33
2011-11-25,76.56,77.49,76.31,76.34,546100,75.45
2011-11-23,77.44,77.89,76.72,77.28,1110700,76.38
2011-11-22,78.40,79.08,77.85,78.14,1271000,77.23
2011-11-21,79.27,79.39,77.61,78.58,1642800,77.66
2011-11-18,80.80,80.95,79.92,80.01,1582800,79.08
2011-11-17,80.80,81.13,79.59,80.43,1359900,79.49
2011-11-16,81.85,82.16,80.91,81.00,1659800,80.06
2011-11-15,82.08,83.17,81.63,82.81,1069000,81.85
2011-11-14,82.22,83.03,82.15,82.51,1058900,81.55
2011-11-11,82.53,83.64,82.53,82.77,1346900,81.81
2011-11-10,80.25,82.22,80.07,81.74,1959500,80.79
2011-11-09,80.63,81.41,79.16,79.38,2092400,78.46
2011-11-08,82.25,82.25,80.79,81.94,1213200,80.99
2011-11-07,80.83,82.09,79.85,82.05,1283200,81.09
2011-11-04,81.22,82.05,80.41,80.62,1334900,79.68
2011-11-03,80.47,82.24,80.47,81.66,1954500,80.71
2011-11-02,80.41,82.42,80.41,81.72,3255200,80.77
