Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,31.30,31.37,31.06,31.18,4600000,30.52
2011-12-29,31.06,31.52,30.90,31.42,5724100,30.76
2011-12-28,31.10,31.43,30.70,30.83,6561900,30.18
2011-12-27,31.60,31.79,31.17,31.20,6285200,30.54
2011-12-23,31.11,31.19,30.81,31.10,4882700,30.44
2011-12-22,30.56,31.15,30.44,31.03,6484600,30.37
2011-12-21,30.20,30.45,29.92,30.41,7471700,29.77
2011-12-20,29.71,30.49,29.71,30.17,11174200,29.53
2011-12-19,30.26,30.39,28.93,29.03,9726800,28.42
2011-12-16,30.55,30.88,30.05,30.23,10198600,29.59
2011-12-15,31.18,31.32,30.31,30.36,8408800,29.72
2011-12-14,30.32,31.22,30.09,30.53,8427900,29.89
2011-12-13,31.42,31.84,30.14,30.50,9454900,29.86
2011-12-12,31.39,31.41,30.60,31.07,7270400,30.41
2011-12-09,31.30,32.02,31.16,31.79,7581900,31.12
2011-12-08,32.52,32.55,30.86,30.96,10654300,30.31
2011-12-07,32.62,33.22,32.00,32.98,8400000,32.28
2011-12-06,32.77,33.20,32.22,32.89,8365400,32.20
2011-12-05,33.14,33.70,32.54,32.92,13791800,32.22
2011-12-02,31.63,32.27,31.55,31.76,9665700,31.09
2011-12-01,31.38,31.55,30.85,31.13,7701600,30.47
2011-11-30,30.16,31.58,29.89,31.48,15549700,30.81
2011-11-29,29.13,29.39,28.72,28.90,10434200,28.29
2011-11-28,29.07,29.57,28.57,29.14,20023600,28.52
2011-11-25,27.72,28.71,27.67,27.91,3696100,27.32
2011-11-23,29.08,29.12,27.83,27.86,10313300,27.27
2011-11-22,29.75,30.35,29.38,29.41,10114000,28.79
2011-11-21,29.96,30.17,29.34,29.90,9056900,29.27
2011-11-18,30.69,30.98,30.06,30.62,17736600,29.97
2011-11-17,31.91,32.00,30.51,30.71,11917200,30.06
2011-11-16,31.74,32.79,31.65,31.97,9902000,31.29
2011-11-15,31.92,32.51,31.70,32.18,6902200,31.50
2011-11-14,32.91,32.91,31.92,32.38,8284200,31.70
2011-11-11,32.71,33.41,32.61,33.07,6424400,32.37
2011-11-10,32.81,32.94,31.92,32.31,8314300,31.63
2011-11-09,32.86,33.01,31.94,32.05,10374500,31.37
2011-11-08,34.22,34.34,33.45,34.24,9446900,33.52
2011-11-07,33.81,34.11,33.06,33.84,18034400,33.13
2011-11-04,34.40,34.95,33.82,34.77,6316400,33.31
2011-11-03,34.84,35.19,33.68,34.95,11731600,33.48
2011-11-02,33.80,34.71,33.68,34.51,9773200,33.06
2011-11-01,32.92,33.99,32.64,32.96,13910000,31.58
2011-10-31,35.76,36.30,35.10,35.16,13012100,33.68
2011-10-28,36.86,37.40,36.12,36.82,15972100,35.28
2011-10-27,35.03,36.33,34.30,35.67,18102200,34.17
2011-10-26,31.75,33.41,31.35,33.19,22649400,31.80
2011-10-25,33.95,34.10,32.73,32.83,11183600,31.45
2011-10-24,33.50,35.00,33.43,34.69,33628100,33.23
2011-10-21,32.76,33.65,32.54,33.51,25914700,32.10
2011-10-20,31.52,32.17,30.63,32.10,24390400,30.75
2011-10-19,32.32,32.64,31.30,31.38,8146300,30.06
2011-10-18,30.97,32.80,30.21,32.43,10604400,31.07
2011-10-17,31.97,31.97,30.75,30.84,7909900,29.55
2011-10-14,31.86,32.50,31.41,32.17,8707200,30.82
2011-10-13,32.94,32.96,30.54,31.24,10202700,29.93
2011-10-12,30.87,32.30,30.57,31.75,13633600,30.42
2011-10-11,30.17,31.39,29.83,30.58,11137400,29.30
