Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,45.30,45.77,44.95,44.97,1032600,44.02
2011-12-29,44.69,45.43,44.69,45.35,1057900,44.39
2011-12-28,45.40,45.53,44.44,44.53,950700,43.59
2011-12-27,44.74,45.76,44.53,45.57,1040300,44.61
2011-12-23,44.45,45.20,44.39,45.15,1050700,44.20
2011-12-22,43.83,44.47,43.80,44.36,1101900,43.42
2011-12-21,43.40,43.80,43.22,43.66,2074700,42.74
2011-12-20,43.02,43.60,42.94,43.45,1824400,42.53
2011-12-19,42.53,42.95,42.14,42.27,1662700,41.38
2011-12-16,42.84,43.06,42.47,42.75,3202300,41.85
2011-12-15,42.59,42.87,42.38,42.47,1714300,41.57
2011-12-14,42.33,42.67,42.11,42.28,1758800,41.39
2011-12-13,43.62,44.03,42.27,42.54,2176000,41.64
2011-12-12,43.14,43.58,42.64,43.43,1711400,42.51
2011-12-09,42.18,43.52,42.06,43.21,1843600,42.30
2011-12-08,42.00,42.72,41.89,41.89,4475400,41.00
2011-12-07,42.36,42.45,41.90,42.14,1760000,41.25
2011-12-06,43.56,43.75,42.50,42.75,1303100,41.85
2011-12-05,43.70,44.40,43.25,43.47,1191700,42.55
2011-12-02,43.14,43.55,43.04,43.22,1228800,42.31
2011-12-01,42.50,43.16,42.44,42.80,1138600,41.89
2011-11-30,42.45,43.19,41.94,42.70,2811600,41.80
2011-11-29,41.22,41.65,41.08,41.09,1325300,40.22
2011-11-28,41.10,41.69,41.03,41.20,2540900,40.33
2011-11-25,40.56,41.21,40.50,40.54,599700,39.68
2011-11-23,42.92,43.01,40.70,40.70,2045500,39.84
2011-11-22,43.45,44.01,43.02,43.69,2072100,42.52
2011-11-21,42.79,43.74,42.33,43.45,2678200,42.29
2011-11-18,43.03,43.42,42.66,43.16,1726400,42.01
2011-11-17,43.25,43.74,42.66,42.86,1818000,41.71
2011-11-16,43.20,44.35,42.98,43.41,1871600,42.25
2011-11-15,42.40,44.05,42.35,43.78,1696400,42.61
2011-11-14,42.73,43.02,42.46,42.59,1745400,41.45
2011-11-11,42.94,43.52,42.71,43.22,1270900,42.06
2011-11-10,42.25,43.00,42.09,42.30,1876800,41.17
2011-11-09,42.09,42.38,41.64,41.82,2362400,40.70
2011-11-08,42.70,43.53,42.37,43.24,2333000,42.08
2011-11-07,42.63,42.63,42.17,42.56,1944600,41.42
2011-11-04,41.73,42.56,41.57,42.49,1659500,41.35
2011-11-03,42.42,42.52,41.83,42.05,2137000,40.93
2011-11-02,42.29,42.57,41.68,41.99,2315900,40.87
2011-11-01,41.16,42.10,40.95,41.68,2435000,40.57
2011-10-31,42.89,43.25,42.49,42.50,3065400,41.36
2011-10-28,44.30,44.43,43.29,43.36,2246600,42.20
2011-10-27,44.45,44.84,43.32,44.31,4815800,43.12
2011-10-26,43.74,43.99,42.94,43.31,2634000,42.15
2011-10-25,44.55,44.57,43.20,43.23,2689000,42.07
2011-10-24,44.99,45.09,44.68,44.70,2519300,43.50
2011-10-21,43.25,45.20,43.25,44.62,2713900,43.43
2011-10-20,42.47,43.17,41.73,42.91,2631000,41.76
2011-10-19,44.27,44.45,42.78,43.07,2014000,41.92
2011-10-18,43.81,44.58,43.13,44.24,1761600,43.06
2011-10-17,44.48,44.63,43.70,43.82,1099400,42.65
2011-10-14,44.69,45.15,44.23,44.97,1671800,43.77
2011-10-13,43.73,44.41,43.62,44.22,925100,43.04
2011-10-12,43.95,44.58,43.74,44.23,1913900,43.05
2011-10-11,43.25,43.83,43.09,43.71,1301100,42.54
2011-10-10,42.55,43.35,42.42,43.33,1294800,42.17
2011-10-07,42.04,42.55,41.48,41.83,2070000,40.71
2011-10-06,40.90,41.93,40.45,41.92,1661900,40.80
2011-10-05,41.35,41.44,40.13,40.88,3365200,39.79
2011-10-04,39.04,41.11,38.68,41.10,2200000,40.00
2011-10-03,40.82,41.87,39.76,39.94,1899800,38.87
2011-09-30,40.89,41.82,40.55,41.00,3666600,39.90
2011-09-29,43.75,43.80,41.90,42.31,2976500,41.18
2011-09-28,43.62,44.26,43.04,43.10,2089600,41.95
2011-09-27,43.63,44.56,43.37,43.64,2669100,42.47
2011-09-26,42.89,43.26,41.50,43.20,2639500,42.04
2011-09-23,42.41,43.13,42.02,42.93,2920300,41.78
2011-09-22,41.95,42.93,41.75,42.64,3306100,41.50
2011-09-21,45.28,45.32,43.30,43.35,3136900,42.19
2011-09-20,45.47,46.99,45.17,45.25,3704200,44.04
2011-09-19,44.48,45.81,44.07,45.44,2862000,44.22
2011-09-16,44.77,45.65,44.73,45.29,3958500,44.08
2011-09-15,44.03,44.78,43.58,44.56,3012400,43.37
2011-09-14,41.66,43.89,41.64,43.45,4295000,42.29
2011-09-13,40.61,41.58,40.46,41.50,4200800,40.39
2011-09-12,39.79,40.44,39.09,40.26,4441900,39.18
2011-09-09,39.94,40.25,38.68,38.72,2503500,37.68
2011-09-08,40.72,41.33,40.14,40.44,2721300,39.36
2011-09-07,40.67,41.27,40.60,41.11,1712200,40.01
2011-09-06,40.20,40.33,38.98,40.10,1492300,39.03
2011-09-02,40.63,41.18,40.43,40.62,1327400,39.53
2011-09-01,42.27,42.77,41.47,41.55,1606700,40.44
2011-08-31,42.40,42.89,41.68,42.11,2081800,40.98
2011-08-30,42.06,42.49,41.70,42.20,1783200,41.07
2011-08-29,40.96,42.43,40.83,42.32,2163000,41.19
2011-08-26,40.21,40.92,39.23,40.59,2107300,39.50
2011-08-25,41.35,42.10,40.06,40.30,3118400,39.22
2011-08-24,38.52,41.36,38.40,41.30,5396600,40.20
2011-08-23,37.28,38.69,36.83,38.69,3459100,37.41
2011-08-22,37.74,37.82,36.92,37.04,3059900,35.82
2011-08-19,36.64,38.05,36.43,37.00,3417400,35.78
2011-08-18,38.67,38.85,36.74,37.15,6027700,35.92
2011-08-17,38.93,40.23,38.69,40.05,5583000,38.73
2011-08-16,38.54,39.06,37.56,38.81,3004500,37.53
2011-08-15,38.00,39.11,37.97,39.00,2700700,37.71
2011-08-12,37.36,38.15,36.49,37.77,4432100,36.52
2011-08-11,35.40,37.43,34.95,36.92,5280000,35.70
2011-08-10,36.93,36.93,35.29,35.35,7301600,34.18
