Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,50.79,50.82,50.40,50.42,243200,49.37
2011-12-29,50.42,50.81,50.40,50.79,228000,49.73
2011-12-28,50.49,50.57,50.23,50.31,326300,49.26
2011-12-27,50.33,50.85,50.18,50.74,283100,49.38
2011-12-23,50.10,50.45,49.91,50.34,286800,48.99
2011-12-22,50.33,50.33,49.74,49.89,558500,48.55
2011-12-21,49.48,50.25,49.48,50.20,517600,48.86
2011-12-20,49.16,49.67,49.10,49.56,518100,48.23
2011-12-19,48.98,49.16,48.62,48.82,479100,47.51
2011-12-16,49.07,49.63,48.60,48.76,854800,47.45
2011-12-15,49.27,49.44,49.05,49.33,543200,48.01
2011-12-14,48.59,48.99,48.48,48.82,493700,47.51
2011-12-13,49.12,49.41,48.50,48.69,643000,47.39
2011-12-12,49.70,49.74,48.92,49.10,490100,47.79
2011-12-09,49.19,49.92,49.00,49.79,534900,48.46
2011-12-08,49.28,49.35,48.87,48.97,655800,47.66
2011-12-07,49.26,49.52,48.82,49.47,753600,48.15
2011-12-06,49.19,49.60,49.04,49.40,649800,48.08
2011-12-05,49.25,49.42,48.77,49.16,533200,47.84
2011-12-02,48.79,49.02,48.60,48.77,566100,47.46
2011-12-01,48.54,49.12,48.44,48.54,750100,47.24
2011-11-30,48.77,49.25,48.32,48.70,1055700,47.40
2011-11-29,47.82,48.12,47.75,47.84,598400,46.56
2011-11-28,48.21,48.22,47.39,47.60,788400,46.33
2011-11-25,46.65,47.44,46.28,47.44,571100,46.17
2011-11-23,47.13,47.25,46.55,46.61,751300,45.36
2011-11-22,47.49,47.65,47.07,47.31,449300,46.04
2011-11-21,47.69,48.12,47.20,47.49,693000,46.22
2011-11-18,48.46,48.66,48.16,48.17,652200,46.88
2011-11-17,48.63,48.97,47.97,48.21,577900,46.92
2011-11-16,49.10,49.65,48.79,48.84,498000,47.53
2011-11-15,49.06,49.52,49.00,49.43,434800,48.11
2011-11-14,49.49,49.49,48.87,49.15,350600,47.83
2011-11-11,49.35,49.74,49.22,49.55,237200,48.22
2011-11-10,48.84,48.96,48.32,48.82,417100,47.51
2011-11-09,49.24,49.28,48.22,48.35,588400,47.06
2011-11-08,50.05,50.09,49.65,50.03,507700,48.69
2011-11-07,49.60,50.01,49.41,50.01,385900,48.67
2011-11-04,49.78,49.89,49.33,49.73,475400,48.40
2011-11-03,49.03,50.00,48.98,49.91,873900,48.57
2011-11-02,48.33,48.67,48.05,48.61,635000,47.31
2011-11-01,47.79,48.56,47.47,48.03,1166900,46.74
2011-10-31,49.28,49.48,48.56,48.56,742200,47.26
2011-10-28,49.21,49.66,49.12,49.62,585700,48.29
2011-10-27,49.70,49.78,49.14,49.46,627100,48.14
2011-10-26,48.78,49.25,48.37,48.83,520100,47.52
2011-10-25,49.19,49.47,48.41,48.49,605900,47.19
2011-10-24,49.69,49.81,49.34,49.48,793900,48.16
2011-10-21,48.95,49.84,48.95,49.81,811900,48.48
2011-10-20,48.42,48.63,47.97,48.59,569200,47.29
2011-10-19,48.76,49.51,48.21,48.25,823600,46.96
2011-10-18,47.79,49.17,47.44,48.79,1462900,47.48
2011-10-17,47.22,47.90,47.22,47.66,1309000,46.38
