Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,82.23,82.45,81.60,81.73,1706500,79.59
2011-12-29,81.37,82.20,81.19,82.11,1935200,79.96
2011-12-28,82.22,82.44,80.94,81.15,2613300,79.02
2011-12-27,81.91,82.64,81.62,82.28,1722600,80.12
2011-12-23,81.24,82.21,80.78,82.20,2042200,80.04
2011-12-22,80.27,81.18,79.93,80.97,3164200,78.85
2011-12-21,80.43,80.47,78.97,80.00,3611800,77.90
2011-12-20,79.19,80.40,78.87,80.31,4660200,78.20
2011-12-19,79.02,79.50,77.51,77.82,3485400,75.78
2011-12-16,79.52,80.02,78.42,78.87,6492600,76.80
2011-12-15,79.43,79.78,78.60,78.86,3247000,76.79
2011-12-14,79.18,79.45,78.26,78.51,4203000,76.45
2011-12-13,81.00,81.22,78.91,79.41,3975800,77.33
2011-12-12,81.90,81.99,80.03,80.59,3338000,78.48
2011-12-09,80.92,82.42,80.77,82.20,4075500,80.04
2011-12-08,81.83,82.14,80.26,80.46,3980600,78.35
2011-12-07,82.03,82.73,80.78,82.39,4306100,80.23
2011-12-06,82.13,82.80,81.61,82.13,6011800,79.98
2011-12-05,81.33,81.60,80.34,80.93,5910500,78.81
2011-12-02,81.39,81.46,79.05,79.76,5578000,77.67
2011-12-01,81.25,81.31,80.25,80.30,3867100,78.19
2011-11-30,79.71,81.05,79.43,81.04,8721000,78.91
2011-11-29,78.00,78.18,77.03,77.24,3853300,75.21
2011-11-28,77.20,78.01,77.05,77.72,4923100,75.68
2011-11-25,75.55,76.86,75.55,76.13,2094000,74.13
2011-11-23,77.08,77.16,75.49,75.54,4149900,73.56
2011-11-22,77.63,78.94,77.45,77.83,4170600,75.79
2011-11-21,79.28,79.64,77.54,78.39,5438800,75.80
2011-11-18,80.70,81.02,79.98,80.54,3928300,77.88
2011-11-17,81.53,81.67,79.67,80.43,5077900,77.77
2011-11-16,81.29,83.10,80.86,81.87,5097100,79.16
2011-11-15,81.44,82.38,81.06,81.87,3602400,79.16
2011-11-14,81.56,82.49,81.38,81.87,3168600,79.16
2011-11-11,81.30,82.66,81.30,82.29,3645800,79.57
2011-11-10,80.31,81.16,79.65,80.32,4646300,77.66
2011-11-09,80.13,80.31,78.47,79.00,6393500,76.39
2011-11-08,80.29,82.00,80.00,81.83,4230500,79.12
2011-11-07,79.27,80.19,78.30,79.69,4311700,77.05
2011-11-04,78.97,79.54,78.12,79.30,3771900,76.68
2011-11-03,78.86,79.82,77.89,79.64,4337800,77.01
2011-11-02,77.39,78.64,77.35,78.06,3559600,75.48
2011-11-01,77.89,78.22,76.26,76.53,5772100,74.00
2011-10-31,79.88,80.59,78.93,79.02,4022500,76.41
2011-10-28,81.53,81.84,80.50,81.00,5252000,78.32
2011-10-27,79.51,82.33,78.92,81.41,7413700,78.72
2011-10-26,77.98,78.40,75.97,77.02,5788900,74.47
2011-10-25,76.88,79.02,76.28,77.04,12651800,74.49
2011-10-24,80.32,82.40,80.23,82.18,5428700,79.46
2011-10-21,79.38,80.56,78.98,80.48,5125200,77.82
2011-10-20,77.77,79.06,77.11,78.68,4087300,76.08
2011-10-19,78.26,78.86,77.27,77.70,3865000,75.13
2011-10-18,76.18,79.15,75.71,78.36,4167200,75.77
2011-10-17,78.63,79.05,75.66,75.88,4359500,73.37
2011-10-14,78.94,79.23,78.12,78.89,2840800,76.28
2011-10-13,78.27,78.40,76.67,77.80,3726900,75.23
2011-10-12,76.73,79.34,76.73,78.36,5663300,75.77
2011-10-11,76.55,76.87,75.89,76.42,3320200,73.89
2011-10-10,75.12,76.74,75.09,76.72,3855600,74.18
2011-10-07,75.20,75.45,73.07,73.82,5291800,71.38
2011-10-06,72.72,74.69,72.00,74.65,4835800,72.18
2011-10-05,71.74,72.84,71.01,72.53,5467000,70.13
2011-10-04,70.13,72.18,68.63,72.01,8700000,69.63
2011-10-03,71.13,73.24,70.93,70.93,7619300,68.58
2011-09-30,73.91,73.94,71.71,71.79,7184500,69.42
2011-09-29,74.97,75.68,73.50,74.53,5633500,72.07
2011-09-28,76.42,77.20,73.50,73.60,5932100,71.17
2011-09-27,76.37,77.77,75.82,76.28,4875300,73.76
2011-09-26,74.39,75.26,73.45,75.19,5033400,72.70
2011-09-23,72.64,74.33,72.34,73.99,4583800,71.54
2011-09-22,74.82,74.90,72.00,72.90,10108500,70.49
2011-09-21,79.33,79.76,76.27,76.34,4957800,73.82
2011-09-20,79.44,79.92,78.46,79.21,3914800,76.59
2011-09-19,79.57,79.57,77.88,79.21,4552700,76.59
2011-09-16,81.43,81.65,80.01,80.53,6027600,77.87
2011-09-15,80.18,81.03,79.48,80.63,4222300,77.96
2011-09-14,77.96,80.39,76.91,79.44,5402500,76.81
2011-09-13,78.28,78.79,77.19,77.81,6469100,75.24
2011-09-12,76.21,78.28,76.00,78.22,5848900,75.63
2011-09-09,78.06,78.18,76.00,76.65,7423400,74.12
2011-09-08,79.88,80.65,78.78,79.26,4722200,76.64
2011-09-07,79.36,80.64,78.66,80.57,5213800,77.91
2011-09-06,77.44,78.26,76.70,78.08,5271200,75.50
2011-09-02,80.02,80.33,78.92,79.35,4391300,76.73
2011-09-01,83.02,83.95,81.28,81.61,4535400,78.91
2011-08-31,82.70,83.37,82.20,82.98,4737700,80.24
2011-08-30,81.68,82.61,80.71,82.07,3734200,79.36
2011-08-29,81.30,82.23,80.90,82.10,3467000,79.38
2011-08-26,77.73,80.26,76.50,80.01,5390000,77.36
2011-08-25,80.45,80.65,77.79,78.19,6604500,75.60
2011-08-24,79.40,80.45,78.85,80.29,5176800,77.63
2011-08-23,77.17,79.81,76.87,79.67,5819100,77.04
2011-08-22,78.34,78.52,76.50,76.95,4434200,74.41
2011-08-19,76.65,78.82,76.60,76.87,6151600,74.33
2011-08-18,79.83,80.02,76.74,77.42,8546300,74.86
2011-08-17,82.19,83.03,80.58,80.93,5429400,78.25
2011-08-16,82.53,82.68,81.05,82.13,5078200,78.88
2011-08-15,82.66,83.66,81.97,83.31,4157200,80.02
2011-08-12,81.89,82.76,80.80,82.54,5718100,79.28
2011-08-11,78.69,82.36,78.29,81.22,7142300,78.01
2011-08-10,81.00,81.22,78.01,78.23,9377400,75.14
2011-08-09,80.23,82.86,78.06,82.69,12008400,79.42
2011-08-08,80.75,81.37,78.53,78.59,11496200,75.48
2011-08-05,83.44,84.22,81.24,82.75,8453100,79.48
2011-08-04,85.07,85.07,82.11,82.23,9061600,78.98
2011-08-03,85.56,86.45,84.82,86.18,6277000,82.77
2011-08-02,85.67,87.25,85.25,85.27,6406300,81.90
2011-08-01,87.98,88.17,85.54,86.77,5997600,83.34
2011-07-29,86.94,87.71,86.60,87.14,4883800,83.69
2011-07-28,88.19,88.72,87.41,87.57,4285900,84.11
2011-07-27,89.69,89.72,87.75,88.08,6658400,84.60
2011-07-26,91.92,92.50,89.56,89.93,11432000,86.37
2011-07-25,94.84,95.53,93.90,95.07,3438600,91.31
2011-07-22,96.09,96.38,95.11,95.38,2846200,91.61
