Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,93.97,93.97,92.13,92.14,845600,46.07
2011-12-29,92.10,93.90,91.76,93.75,1092000,46.88
2011-12-28,94.83,94.83,91.39,91.66,1289400,45.83
2011-12-27,94.90,95.70,94.67,94.99,683800,47.49
2011-12-23,94.96,94.96,92.25,94.94,1492800,47.47
2011-12-22,97.01,97.48,95.54,95.68,701400,47.84
2011-12-21,97.05,97.42,95.60,96.92,715200,48.46
2011-12-20,96.23,97.52,96.23,97.13,1472000,48.56
2011-12-19,96.24,98.36,94.92,95.27,1820400,47.63
2011-12-16,93.05,96.81,92.60,95.89,8021000,47.94
2011-12-15,93.46,93.81,91.13,91.94,2053400,45.97
2011-12-14,94.48,94.48,92.41,92.73,1408000,46.37
2011-12-13,96.30,96.69,94.33,94.70,1681400,47.35
2011-12-12,96.46,96.58,94.02,95.71,1925200,47.85
2011-12-09,95.40,97.17,94.50,97.14,1217800,48.57
2011-12-08,95.22,96.46,94.89,95.35,1232000,47.67
2011-12-07,94.66,95.86,93.86,95.77,1267000,47.88
2011-12-06,93.77,95.36,93.34,95.01,1501000,47.51
2011-12-05,94.40,94.74,92.98,93.54,1199200,46.77
2011-12-02,93.04,94.53,92.72,93.83,1197600,46.92
2011-12-01,91.38,93.24,91.01,92.08,956400,46.04
2011-11-30,90.58,92.91,90.58,92.20,1408400,46.10
2011-11-29,90.21,91.67,88.76,89.11,1114200,44.56
2011-11-28,87.36,90.00,87.20,89.48,1493400,44.74
2011-11-25,85.67,86.69,84.53,85.02,851200,42.51
2011-11-23,87.84,88.24,85.82,85.82,1278200,42.91
2011-11-22,87.99,89.25,87.40,88.90,890400,44.45
2011-11-21,89.56,89.97,87.50,88.14,1705200,44.07
2011-11-18,91.73,91.78,90.53,91.01,679200,45.51
2011-11-17,93.45,93.64,90.51,91.40,1107200,45.70
2011-11-16,94.10,95.31,93.04,93.27,1692600,46.63
2011-11-15,92.81,95.38,92.63,94.92,1285800,47.46
2011-11-14,93.60,94.10,92.72,93.27,1008200,46.63
2011-11-11,90.95,94.00,90.23,93.45,1281800,46.72
2011-11-10,91.40,91.58,89.10,89.99,2046800,44.99
2011-11-09,92.19,92.59,89.61,90.09,2226600,45.04
2011-11-08,93.99,94.71,92.04,94.48,1389200,47.24
2011-11-07,95.79,96.36,92.32,93.47,1948200,46.74
2011-11-04,88.00,97.31,87.02,95.56,6378600,47.78
2011-11-03,88.96,90.86,86.80,90.13,2843200,45.06
2011-11-02,86.60,89.51,86.45,88.22,2249600,44.11
2011-11-01,86.43,87.17,84.59,85.93,2530400,42.97
2011-10-31,86.36,91.09,86.15,89.09,3123000,44.54
2011-10-28,85.44,87.29,84.69,86.72,1635400,43.36
2011-10-27,85.19,88.75,83.92,85.49,3400200,42.74
2011-10-26,84.40,85.40,81.76,83.08,4661000,41.54
2011-10-25,91.45,91.59,83.35,84.47,6070000,42.24
2011-10-24,93.10,93.12,91.62,91.95,2277600,45.97
2011-10-21,92.26,93.36,91.65,92.75,1630400,46.38
2011-10-20,91.42,92.75,90.58,90.98,1548800,45.49
2011-10-19,93.03,94.79,91.49,91.50,1359000,45.75
2011-10-18,93.15,93.93,92.15,93.04,1343200,46.52
2011-10-17,93.72,95.93,92.48,92.95,1306400,46.47
2011-10-14,93.81,96.94,93.50,94.37,2502000,47.19
2011-10-13,91.38,93.13,91.05,92.40,1782200,46.20
2011-10-12,90.93,93.43,90.44,91.18,2893000,45.59
2011-10-11,87.36,90.45,86.38,90.10,1790000,45.05
2011-10-10,87.27,88.70,87.08,87.71,1205400,43.85
2011-10-07,84.62,87.56,84.62,86.05,2347400,43.03
2011-10-06,83.29,85.75,82.79,84.30,2344800,42.15
2011-10-05,82.13,83.82,80.88,83.29,1991600,41.65
2011-10-04,78.49,81.75,76.39,81.70,3685000,40.85
2011-10-03,86.85,87.14,79.66,79.76,4328400,39.88
2011-09-30,87.56,89.60,86.01,87.29,1426000,43.65
2011-09-29,90.84,91.57,86.70,88.32,1640400,44.16
2011-09-28,90.50,91.98,89.00,89.30,1588200,44.65
2011-09-27,92.17,93.39,89.94,90.39,2858600,45.19
2011-09-26,88.78,90.61,86.79,90.45,2037400,45.22
2011-09-23,88.92,89.23,86.06,87.81,2663400,43.90
2011-09-22,88.54,89.88,86.34,89.45,2797200,44.72
2011-09-21,92.27,94.66,90.99,91.01,2546600,45.51
2011-09-20,92.43,94.14,91.00,91.96,2934200,45.98
2011-09-19,91.03,93.47,90.55,92.25,2919400,46.12
2011-09-16,88.40,93.37,88.15,92.11,6602400,46.06
2011-09-15,89.30,89.38,86.62,87.95,2837200,43.97
2011-09-14,88.39,89.27,87.10,88.38,2511600,44.19
2011-09-13,86.54,88.84,85.24,88.41,2265600,44.21
2011-09-12,84.86,86.39,84.58,86.22,1952600,43.11
2011-09-09,86.71,87.31,85.27,86.46,2483600,43.23
2011-09-08,84.30,87.84,83.86,87.25,2633600,43.62
2011-09-07,86.80,86.84,84.38,85.07,2259200,42.53
2011-09-06,81.30,85.57,81.29,85.34,2196400,42.67
2011-09-02,81.82,85.42,79.00,83.63,2779400,41.81
2011-09-01,85.36,87.68,83.82,84.08,2691400,42.04
2011-08-31,89.78,89.88,81.72,85.32,7423400,42.66
2011-08-30,88.90,90.24,88.00,89.58,2236400,44.79
2011-08-29,86.00,89.13,86.00,89.03,2883600,44.51
2011-08-26,84.15,85.36,81.30,84.63,2823800,42.31
2011-08-25,86.76,86.78,84.33,84.51,2127800,42.26
2011-08-24,85.50,87.37,83.80,86.36,4033000,43.18
2011-08-23,80.49,85.60,80.00,84.75,5180000,42.38
2011-08-22,80.82,81.25,78.56,79.80,2258400,39.90
2011-08-19,79.09,81.18,79.00,79.51,3012800,39.76
2011-08-18,79.17,81.05,78.81,80.61,2996800,40.31
2011-08-17,80.28,80.98,79.80,80.91,1295600,40.46
2011-08-16,80.11,81.12,79.84,79.95,1884600,39.97
2011-08-15,81.47,81.61,79.68,81.05,1706000,40.53
2011-08-12,81.76,82.00,80.00,80.88,1873400,40.44
2011-08-11,76.80,81.59,75.82,80.98,2993000,40.49
2011-08-10,74.14,77.94,72.81,76.46,3177200,38.23
2011-08-09,70.30,75.72,69.61,75.71,4054200,37.85
2011-08-08,73.97,75.02,68.86,68.91,3471000,34.46
2011-08-05,71.05,78.16,70.24,75.92,4846400,37.96
2011-08-04,74.71,75.29,69.84,70.04,3550800,35.02
2011-08-03,74.17,75.71,73.30,75.67,2187800,37.83
2011-08-02,76.02,76.86,74.10,74.17,2057800,37.08
2011-08-01,77.53,78.14,75.86,76.61,1883800,38.31
2011-07-29,76.36,77.59,75.56,76.62,1681400,38.31
2011-07-28,75.21,78.71,75.06,77.30,2494000,38.65
2011-07-27,77.17,77.19,74.55,75.20,3403200,37.60
2011-07-26,79.41,79.62,77.49,77.54,1855400,38.77
2011-07-25,79.56,79.95,78.96,79.18,1581200,39.59
2011-07-22,81.50,81.50,80.11,80.51,1249600,40.26
2011-07-21,81.27,82.31,80.73,81.81,1558200,40.90
2011-07-20,81.14,81.48,80.03,80.80,1683400,40.40
2011-07-19,78.99,82.17,78.99,81.49,4228800,40.74
2011-07-18,78.22,78.50,76.90,77.88,1550200,38.94
2011-07-15,78.49,78.71,77.80,78.29,1730400,39.15
2011-07-14,78.89,80.00,77.78,78.24,1585200,39.12
2011-07-13,78.35,79.65,78.32,78.87,2028600,39.44
2011-07-12,79.00,79.05,77.43,77.91,2940600,38.96
2011-07-11,80.25,80.33,78.80,79.07,2043000,39.53
2011-07-08,80.70,81.08,78.25,81.00,2879000,40.50
2011-07-07,83.39,83.99,81.54,81.75,3220200,40.88
2011-07-06,82.59,83.28,82.28,82.99,2248000,41.49
2011-07-05,83.94,84.00,81.96,82.19,2194400,41.10
2011-07-01,81.12,83.93,80.91,83.63,2783000,41.81
2011-06-30,80.18,81.25,79.50,80.95,2310400,40.47
2011-06-29,80.72,81.79,80.00,80.04,2470800,40.02
2011-06-28,79.47,80.85,79.18,80.24,3054200,40.12
2011-06-27,78.26,79.74,78.25,79.11,2204600,39.56
2011-06-24,75.30,79.59,75.30,78.05,4721800,39.03
2011-06-23,74.04,75.20,73.70,75.01,1696400,37.51
2011-06-22,75.10,75.74,74.48,74.81,1552800,37.40
2011-06-21,74.13,75.12,74.04,74.97,1659200,37.49
2011-06-20,72.04,73.93,72.04,73.83,1371000,36.92
2011-06-17,71.25,72.71,71.12,72.31,2032600,36.15
2011-06-16,72.04,72.55,70.64,70.72,2033400,35.36
2011-06-15,72.54,72.84,71.78,72.20,979400,36.10
2011-06-14,71.84,73.11,71.84,72.98,931400,36.49
2011-06-13,71.88,72.37,71.20,71.88,939200,35.94
2011-06-10,72.75,73.12,71.38,71.59,1155000,35.79
2011-06-09,72.90,73.57,72.76,73.12,1432600,36.56
2011-06-08,71.79,72.88,71.49,72.75,1786000,36.38
2011-06-07,72.46,72.63,71.67,71.68,1371000,35.84
2011-06-06,72.84,73.09,71.78,72.11,1122200,36.06
2011-06-03,71.54,73.23,71.54,72.78,1149800,36.39
2011-06-02,72.28,72.67,71.78,72.35,1322800,36.17
2011-06-01,71.60,73.79,71.48,72.26,1730200,36.13
2011-05-31,71.61,71.96,70.83,71.65,1649600,35.83
2011-05-27,71.12,71.36,70.68,70.89,591000,35.44
2011-05-26,70.43,70.84,70.10,70.82,1286600,35.41
2011-05-25,70.72,71.24,69.00,70.72,1946600,35.36
2011-05-24,69.50,69.93,69.20,69.62,1013400,34.81
2011-05-23,68.77,69.34,68.75,69.27,1097200,34.63
2011-05-20,68.95,70.00,68.70,69.56,1673800,34.78
2011-05-19,68.50,69.15,68.13,68.94,1317800,34.47
2011-05-18,67.04,68.22,66.40,68.11,1680400,34.06
2011-05-17,66.22,67.19,66.13,67.07,1360800,33.53
2011-05-16,66.21,67.21,66.02,66.74,1563600,33.37
2011-05-13,66.45,66.88,66.10,66.50,1254000,33.25
2011-05-12,64.71,66.96,64.71,66.76,1348000,33.38
2011-05-11,65.25,65.51,64.77,65.04,1418800,32.52
2011-05-10,65.39,65.79,65.11,65.48,1233000,32.74
2011-05-09,64.96,65.82,64.10,65.53,1930800,32.76
2011-05-06,65.00,68.58,64.41,64.74,4959600,32.37
2011-05-05,62.25,62.73,61.51,61.94,2009000,30.97
2011-05-04,63.46,63.79,62.72,62.74,1371000,31.37
2011-05-03,64.90,64.90,62.68,63.46,2600000,31.73
2011-05-02,66.26,66.49,65.05,65.11,993000,32.56
2011-04-29,66.22,66.49,65.75,66.15,1560000,33.08
2011-04-28,65.92,66.51,65.51,66.28,1225000,33.14
2011-04-27,66.01,66.27,65.68,66.10,1296200,33.05
2011-04-26,64.70,65.88,64.28,65.78,1341200,32.89
2011-04-25,65.26,65.27,64.50,64.60,1173400,32.30
2011-04-21,63.73,65.30,63.70,65.29,2583800,32.65
2011-04-20,64.04,64.68,63.53,63.81,1724600,31.91
2011-04-19,62.78,63.47,62.73,63.40,1469000,31.70
2011-04-18,62.87,63.11,62.41,62.77,1543800,31.39
2011-04-15,62.82,63.51,62.35,63.28,952400,31.64
2011-04-14,62.04,62.80,61.65,62.60,843800,31.30
2011-04-13,62.29,62.40,61.74,62.08,690000,31.04
2011-04-12,62.05,62.27,61.66,61.85,1126800,30.92
2011-04-11,62.11,63.50,61.94,62.26,1202200,31.13
2011-04-08,62.40,63.23,61.60,61.98,1089400,30.99
2011-04-07,61.75,62.83,61.61,62.04,2166600,31.02
2011-04-06,61.04,62.30,61.04,61.94,1541200,30.97
2011-04-05,61.00,61.49,60.77,61.01,1129400,30.50
2011-04-04,60.94,61.36,60.62,61.07,586800,30.53
2011-04-01,60.32,61.10,59.81,61.00,1173400,30.50
2011-03-31,60.36,60.52,59.82,60.23,1123200,30.11
2011-03-30,59.17,60.32,59.09,60.25,1302400,30.12
2011-03-29,58.41,59.46,58.13,58.91,1127600,29.45
2011-03-28,59.02,59.45,58.18,58.35,769800,29.17
2011-03-25,58.18,59.85,58.16,59.08,1839200,29.54
2011-03-24,57.14,57.82,56.60,57.78,1300400,28.89
2011-03-23,54.99,57.13,54.74,56.99,1528200,28.50
2011-03-22,54.94,55.19,54.43,55.01,2133000,27.50
2011-03-21,55.84,56.33,54.86,54.89,1682400,27.44
2011-03-18,55.36,55.50,54.58,55.34,1691600,27.67
2011-03-17,55.53,55.78,54.58,54.94,1267600,27.47
2011-03-16,54.66,55.78,54.03,54.81,1586600,27.41
2011-03-15,53.81,55.23,53.28,54.85,1332200,27.42
2011-03-14,55.25,55.45,54.49,55.29,1336200,27.65
2011-03-11,54.89,55.74,53.54,55.38,2296800,27.69
2011-03-10,55.81,56.51,55.47,56.37,1389800,28.18
2011-03-09,56.00,56.51,55.20,56.37,1109000,28.18
2011-03-08,55.82,56.30,55.45,56.03,1471400,28.01
2011-03-07,56.25,56.25,55.16,55.88,1322600,27.94
2011-03-04,56.50,56.50,55.54,56.19,978200,28.09
2011-03-03,55.58,56.85,55.58,56.57,2874600,28.28
2011-03-02,56.21,56.63,55.09,55.38,2073000,27.69
2011-03-01,57.28,57.65,56.16,56.35,2010000,28.17
2011-02-28,58.94,58.94,57.38,57.55,2948200,28.77
2011-02-25,55.33,59.85,55.17,59.00,7954600,29.50
2011-02-24,55.75,55.88,54.43,54.69,2412200,27.34
2011-02-23,55.59,56.86,55.38,55.86,1801600,27.93
2011-02-22,56.79,56.88,55.59,55.69,1389800,27.84
2011-02-18,57.57,57.85,56.98,57.27,1072400,28.64
2011-02-17,57.21,57.71,56.58,57.41,1099000,28.70
2011-02-16,57.14,57.35,56.72,57.26,1045200,28.63
2011-02-15,56.29,57.06,56.17,56.95,1005600,28.48
2011-02-14,56.57,57.05,55.73,56.39,806200,28.19
2011-02-11,55.00,57.72,54.74,56.57,1742200,28.28
2011-02-10,54.88,55.78,54.56,55.21,1491600,27.60
2011-02-09,55.72,56.16,54.70,55.07,1591400,27.53
2011-02-08,55.76,56.31,55.00,55.67,2003600,27.83
2011-02-07,57.13,57.51,55.26,55.76,2519000,27.88
2011-02-04,57.24,57.80,56.84,56.91,1208600,28.45
2011-02-03,57.46,57.63,56.19,57.03,1536000,28.51
2011-02-02,57.90,58.48,57.27,57.50,1133000,28.75
2011-02-01,56.96,58.11,56.70,57.95,2694800,28.98
2011-01-31,55.09,57.03,54.74,56.64,2371600,28.32
2011-01-28,55.85,56.75,54.95,55.15,1199400,27.58
2011-01-27,55.97,56.14,55.25,55.65,1121400,27.83
2011-01-26,55.54,56.66,55.47,56.00,2001400,28.00
2011-01-25,54.82,55.51,54.50,55.30,1295200,27.65
2011-01-24,56.08,56.08,54.62,54.84,1389400,27.42
2011-01-21,55.28,56.32,55.11,55.68,2129600,27.84
2011-01-20,54.02,55.11,53.84,55.02,2415800,27.51
2011-01-19,54.84,54.94,53.59,54.26,1817800,27.13
2011-01-18,54.25,54.99,54.16,54.99,1277600,27.50
2011-01-14,52.97,54.49,52.78,54.49,1204600,27.25
2011-01-13,53.28,53.50,52.69,53.15,1412600,26.58
2011-01-12,53.64,53.76,52.85,53.21,1239600,26.60
2011-01-11,53.66,53.66,53.13,53.27,787800,26.64
2011-01-10,53.19,53.70,52.81,53.54,878400,26.77
2011-01-07,53.78,53.97,52.45,53.38,1128200,26.69
2011-01-06,52.21,54.48,51.67,53.62,2129400,26.81
2011-01-05,52.27,52.45,51.72,51.96,981200,25.98
2011-01-04,53.72,53.72,52.25,52.29,1658000,26.15
2011-01-03,52.65,54.05,52.65,53.55,1535400,26.77
