Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,70.30,70.69,70.07,70.07,1482400,68.99
2011-12-29,69.40,70.75,69.24,70.45,1726800,69.36
2011-12-28,71.12,71.22,69.27,69.64,2072200,68.56
2011-12-27,70.69,71.50,70.45,70.98,1161600,69.88
2011-12-23,70.66,71.25,70.22,70.98,1485300,69.88
2011-12-22,70.61,71.06,70.25,70.63,1951600,69.54
2011-12-21,70.34,70.98,69.93,70.72,3154300,69.63
2011-12-20,68.55,70.66,68.43,70.29,3435000,69.20
2011-12-19,68.63,69.29,67.27,67.45,1927800,66.41
2011-12-16,69.00,69.21,67.62,68.14,4122300,67.09
2011-12-15,68.23,68.95,67.72,68.41,2953700,67.35
2011-12-14,67.79,68.36,67.09,67.72,3268400,66.67
2011-12-13,69.55,70.65,67.64,68.05,4287100,67.00
2011-12-12,70.83,70.83,68.26,69.04,3809200,67.97
2011-12-09,69.99,71.73,69.31,71.23,3390700,70.13
2011-12-08,71.54,71.85,69.70,69.89,3575900,68.81
2011-12-07,72.03,72.45,70.03,71.73,5903300,70.62
2011-12-06,70.52,72.90,70.27,72.32,3876300,71.20
2011-12-05,70.81,71.65,69.81,70.36,3849800,69.27
2011-12-02,72.79,73.29,69.49,70.42,7142700,69.33
2011-12-01,73.56,74.33,72.82,73.20,2395200,72.07
2011-11-30,72.56,73.51,71.91,73.45,4258400,72.31
2011-11-29,69.94,70.88,69.92,70.15,3223000,69.06
2011-11-28,68.60,70.38,68.59,69.49,3660000,68.41
2011-11-25,67.60,68.70,67.50,67.71,1108800,66.66
2011-11-23,68.88,68.88,67.60,67.97,3528500,66.92
2011-11-22,70.77,70.84,69.10,69.38,3290100,68.31
2011-11-21,70.00,71.11,69.11,70.69,3564800,69.60
2011-11-18,71.19,72.00,70.60,71.39,3453300,70.28
2011-11-17,72.61,72.63,69.68,70.49,5459300,69.40
2011-11-16,73.93,74.13,72.32,72.62,3767200,71.50
2011-11-15,74.21,75.11,73.87,74.59,2443700,73.44
2011-11-14,74.78,75.28,73.65,74.39,3039100,73.24
2011-11-11,74.68,75.50,74.17,75.10,3339900,73.94
2011-11-10,72.49,73.98,71.53,73.51,4429800,72.37
2011-11-09,72.47,73.69,71.78,71.93,4497600,70.82
2011-11-08,73.29,74.80,73.18,74.69,3930300,73.53
2011-11-07,72.75,73.43,71.54,72.92,2748100,71.79
2011-11-04,72.40,72.70,70.80,72.50,3467700,71.38
2011-11-03,73.23,73.35,71.46,73.12,3073300,71.99
2011-11-02,72.69,72.95,71.02,72.21,3260500,71.09
2011-11-01,70.92,72.48,70.25,71.20,5382300,70.10
2011-10-31,75.50,75.51,72.68,72.75,5265200,71.62
2011-10-28,77.70,78.10,76.35,76.43,4153600,75.25
2011-10-27,75.50,78.71,74.90,77.97,6544100,76.76
2011-10-26,73.71,74.71,72.37,74.22,3574900,73.07
2011-10-25,74.24,74.79,72.88,72.96,3294300,71.83
2011-10-24,74.51,75.34,74.27,74.79,4489800,73.63
2011-10-21,74.34,74.99,73.94,74.83,5207100,73.67
2011-10-20,72.15,74.22,71.95,73.67,3518500,72.53
2011-10-19,74.28,74.32,72.19,72.52,4787800,71.40
2011-10-18,72.45,74.88,71.66,74.53,4039100,73.38
2011-10-17,73.71,74.60,72.32,72.53,4067600,71.41
2011-10-14,72.93,74.50,72.35,74.40,5277000,73.25
2011-10-13,72.97,73.50,71.72,73.18,5225100,72.05
2011-10-12,72.69,74.90,72.10,73.64,6966900,72.50
2011-10-11,72.01,74.21,71.76,73.66,5856600,72.52
2011-10-10,71.47,73.79,71.11,73.76,5213900,72.62
2011-10-07,70.44,71.86,69.87,70.93,6842200,69.83
2011-10-06,67.50,71.68,67.39,71.29,12635200,70.19
2011-10-05,64.52,66.50,63.75,66.25,9752100,65.22
2011-10-04,59.15,63.26,59.15,63.25,9100000,61.98
2011-10-03,59.27,61.38,58.89,60.11,8529900,58.90
2011-09-30,61.73,61.89,59.99,60.04,7675000,58.83
2011-09-29,64.12,64.53,61.87,63.15,5372200,61.88
2011-09-28,66.07,66.07,62.68,62.88,4342400,61.61
2011-09-27,66.21,67.35,65.53,66.01,3860300,64.68
2011-09-26,64.07,65.00,62.51,64.95,3911000,63.64
2011-09-23,63.76,64.56,62.27,63.64,4837100,62.36
2011-09-22,63.67,64.85,62.40,64.32,6991700,63.02
2011-09-21,67.59,68.53,65.80,65.86,3957700,64.53
2011-09-20,69.35,69.68,67.65,67.71,3412700,66.35
2011-09-19,68.71,69.55,68.30,69.28,3393400,67.88
2011-09-16,70.67,70.88,69.50,69.77,5219400,68.36
2011-09-15,69.99,70.46,69.45,70.35,5369200,68.93
2011-09-14,67.56,70.20,67.12,69.47,6388500,68.07
2011-09-13,66.25,68.00,66.25,67.40,5902500,66.04
2011-09-12,65.70,66.98,64.20,65.87,6529700,64.54
2011-09-09,66.42,66.42,64.37,65.01,5094500,63.70
2011-09-08,67.56,68.63,67.14,67.36,3489200,66.00
2011-09-07,65.86,67.91,65.22,67.89,4759800,66.52
2011-09-06,64.16,64.98,62.92,64.86,8222200,63.55
2011-09-02,67.71,68.21,65.03,65.80,6683900,64.47
2011-09-01,69.03,70.30,68.69,68.93,3816000,67.54
2011-08-31,69.80,70.10,68.12,68.93,7360100,67.54
2011-08-30,69.13,71.05,69.13,69.47,6342900,68.07
2011-08-29,69.25,71.14,67.36,69.78,10884000,68.37
2011-08-26,69.10,70.79,67.00,70.68,5160600,69.26
2011-08-25,70.94,71.17,69.30,69.66,4368200,68.26
2011-08-24,68.74,70.86,68.37,70.77,4717900,69.34
2011-08-23,65.55,69.12,65.51,69.12,4531900,67.73
2011-08-22,67.35,67.57,65.13,65.28,3820100,63.96
2011-08-19,65.67,68.09,65.28,66.00,5115900,64.67
2011-08-18,67.84,68.45,65.78,66.49,4949600,65.15
2011-08-17,69.65,70.49,69.54,70.20,3889100,68.79
2011-08-16,68.92,69.48,68.17,69.00,4496900,67.61
2011-08-15,70.42,70.62,68.67,69.86,3575000,68.45
2011-08-12,70.16,70.39,68.87,69.85,4490000,68.44
2011-08-11,66.58,70.08,66.48,69.21,6684700,67.82
2011-08-10,66.80,68.46,65.24,65.81,7647000,64.48
2011-08-09,64.18,67.45,63.03,67.29,7291000,65.93
2011-08-08,65.29,67.05,63.21,63.44,6270700,62.16
2011-08-05,67.01,68.72,65.83,67.15,6573600,65.80
2011-08-04,70.11,70.11,65.85,66.00,6643600,64.67
2011-08-03,71.13,71.95,69.62,70.91,4464400,69.48
2011-08-02,72.11,73.37,71.01,71.04,4396300,69.61
2011-08-01,74.37,74.50,71.75,72.35,4106000,70.89
2011-07-29,73.48,74.56,72.61,73.48,3924500,72.00
2011-07-28,74.06,75.27,73.96,74.52,3334900,73.02
2011-07-27,74.30,74.90,73.76,73.90,3594900,72.41
2011-07-26,76.40,76.41,74.77,74.91,3459800,73.40
2011-07-25,74.21,77.09,73.65,76.42,4175000,74.88
2011-07-22,74.94,75.79,74.94,75.41,2621800,73.89
2011-07-21,75.43,75.77,74.65,75.74,3082300,74.21
2011-07-20,75.16,75.74,74.64,75.21,5411400,73.69
2011-07-19,73.41,74.16,73.18,73.85,3381800,72.36
2011-07-18,73.87,73.88,72.65,73.21,3497300,71.73
2011-07-15,74.54,74.54,73.71,74.06,4679000,72.57
2011-07-14,74.37,75.15,74.23,74.45,5632200,72.95
2011-07-13,74.08,75.28,74.08,74.39,3945700,72.89
2011-07-12,74.19,75.00,73.70,74.14,5127100,72.65
