Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,33.33,33.50,33.01,33.29,1082800,32.43
2011-12-29,33.35,33.36,32.86,33.28,1063500,32.42
2011-12-28,33.59,33.84,32.74,33.14,1642500,32.29
2011-12-27,33.55,33.98,33.39,33.65,769900,32.78
2011-12-23,33.32,33.58,33.21,33.53,920500,32.67
2011-12-22,32.93,33.41,32.67,33.31,1846500,32.45
2011-12-21,32.05,32.85,32.00,32.67,2154400,31.83
2011-12-20,32.67,32.96,31.81,32.20,3145500,31.37
2011-12-19,32.00,32.82,31.72,31.94,3137300,31.12
2011-12-16,32.85,33.25,31.79,31.96,4228400,31.14
2011-12-15,33.01,33.27,32.33,32.53,1747900,31.69
2011-12-14,33.67,33.84,32.03,32.68,3501900,31.84
2011-12-13,34.11,34.89,33.45,33.95,3691700,33.08
2011-12-12,34.42,34.59,33.90,34.59,5458200,33.70
2011-12-09,34.03,34.91,33.80,34.88,3189300,33.98
2011-12-08,34.33,34.57,33.49,34.02,4937400,33.15
2011-12-07,34.46,34.60,33.81,34.50,4015700,33.61
2011-12-06,34.57,34.78,34.00,34.64,2965300,33.75
2011-12-05,34.03,35.45,33.86,34.40,4556100,33.52
2011-12-02,34.42,34.77,33.13,33.31,3735600,32.45
2011-12-01,33.92,34.33,33.36,33.95,2998600,33.08
2011-11-30,34.11,34.53,32.45,33.39,6158700,32.53
2011-11-29,33.51,33.61,32.78,33.17,3813700,32.32
2011-11-28,33.62,34.19,32.67,33.28,3815500,32.42
2011-11-25,32.64,32.72,32.19,32.27,1366100,31.44
2011-11-23,32.98,33.43,32.49,32.83,4120100,31.99
2011-11-22,33.09,33.55,32.23,33.52,3047800,32.66
2011-11-21,32.33,33.31,31.30,32.84,3282300,32.00
2011-11-18,31.85,32.95,31.61,32.82,3167900,31.98
2011-11-17,32.72,33.33,31.24,31.62,7821000,30.81
2011-11-16,34.74,35.06,32.20,32.64,12384700,31.80
2011-11-15,36.51,37.32,36.24,36.98,2806900,36.03
2011-11-14,37.63,37.63,35.37,36.71,4073200,35.77
2011-11-11,38.27,39.18,37.64,37.77,4018600,36.55
2011-11-10,37.69,37.89,36.00,37.70,3460400,36.49
2011-11-09,37.02,38.99,36.54,37.02,3487000,35.83
2011-11-08,39.03,39.44,37.72,38.11,2509600,36.88
2011-11-07,38.13,39.05,38.13,38.92,2055500,37.67
2011-11-04,38.20,38.72,37.49,38.62,2828800,37.38
2011-11-03,39.00,39.55,38.10,38.67,3901300,37.43
2011-11-02,36.90,38.43,36.75,38.33,4585700,37.10
2011-11-01,35.50,38.12,34.29,36.00,6594300,34.84
2011-10-31,37.01,37.01,35.42,35.90,3290600,34.75
