Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.59,37.87,37.47,37.70,7859900,36.19
2011-12-29,37.60,37.75,37.49,37.73,6860600,36.22
2011-12-28,37.69,37.80,37.40,37.43,7275200,35.93
2011-12-27,37.78,37.90,37.71,37.75,7564300,36.23
2011-12-23,37.68,37.90,37.64,37.90,9550100,36.38
2011-12-22,37.38,37.75,37.21,37.56,11536500,36.05
2011-12-21,37.06,37.41,37.02,37.33,13158500,35.83
2011-12-20,36.72,37.15,36.50,37.07,20442500,35.58
2011-12-19,36.43,36.80,36.34,36.47,16506800,35.01
2011-12-16,36.50,36.62,36.02,36.25,26492300,34.79
2011-12-15,35.92,36.68,35.89,36.36,31904200,34.90
2011-12-14,34.93,35.76,34.90,35.56,22542300,34.13
2011-12-13,35.22,35.36,34.86,34.99,18318800,33.59
2011-12-12,35.58,35.67,35.18,35.41,12611100,33.59
2011-12-09,35.31,35.86,35.21,35.68,40329200,33.84
2011-12-08,35.67,35.73,35.07,35.19,42406200,33.38
2011-12-07,35.28,35.78,35.20,35.61,20848500,33.77
2011-12-06,35.43,35.60,35.25,35.40,13892900,33.58
2011-12-05,35.78,35.86,35.06,35.26,17207800,33.44
2011-12-02,35.91,35.91,35.37,35.48,14485200,33.65
2011-12-01,35.73,35.99,35.56,35.68,12563700,33.84
2011-11-30,35.20,35.80,35.20,35.75,18442200,33.91
2011-11-29,34.50,34.91,34.37,34.48,12142400,32.70
2011-11-28,33.74,34.31,33.69,34.26,15561700,32.49
2011-11-25,33.29,33.40,33.13,33.16,4906400,31.45
2011-11-23,33.44,33.57,33.19,33.19,13736600,31.48
2011-11-22,34.09,34.22,33.76,33.81,16980500,32.07
2011-11-21,34.39,34.56,34.00,34.14,16499800,32.38
2011-11-18,34.94,35.22,34.94,34.95,12595400,33.15
2011-11-17,34.92,35.18,34.42,34.84,16576200,33.04
2011-11-16,35.16,35.62,35.03,35.09,12843300,33.28
2011-11-15,35.54,35.87,35.34,35.73,8922700,33.89
2011-11-14,35.39,35.75,35.11,35.67,14147800,33.83
2011-11-11,35.36,36.25,35.36,35.97,30384900,34.12
2011-11-10,34.57,35.14,34.29,34.97,26442900,33.17
2011-11-09,34.02,34.56,33.56,33.79,21458900,32.05
2011-11-08,34.35,34.61,34.04,34.47,14334800,32.69
2011-11-07,33.90,34.34,33.82,34.32,9586100,32.55
2011-11-04,34.33,34.41,33.78,34.02,10727000,32.27
2011-11-03,34.50,34.73,34.34,34.53,14824600,32.75
