Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,29.25,29.82,29.21,29.27,5949900,28.59
2011-12-29,28.99,29.35,28.89,29.30,3473900,28.62
2011-12-28,29.52,29.52,28.73,28.83,4989500,28.16
2011-12-27,29.20,29.49,28.95,29.34,3702800,28.66
2011-12-23,28.99,29.22,28.88,29.22,3828200,28.55
2011-12-22,28.35,28.99,28.25,28.88,8245700,28.21
2011-12-21,27.58,28.25,27.34,28.14,7726400,27.49
2011-12-20,27.17,27.66,27.17,27.50,6171200,26.87
2011-12-19,27.21,27.33,26.36,26.45,6775500,25.84
2011-12-16,27.06,27.42,26.96,27.38,8658100,26.75
2011-12-15,27.31,27.61,27.00,27.08,8390300,26.45
2011-12-14,27.17,27.36,26.58,26.99,6914000,26.37
2011-12-13,28.00,28.53,27.39,27.64,8770100,27.00
2011-12-12,27.96,28.00,26.85,27.32,5474400,26.69
2011-12-09,27.53,28.42,27.28,28.33,6638900,27.68
2011-12-08,28.27,28.31,27.27,27.36,7212400,26.73
2011-12-07,28.51,28.63,27.90,28.41,6670500,27.75
2011-12-06,28.58,28.73,28.08,28.48,6636900,27.82
2011-12-05,28.52,28.85,28.25,28.53,8727400,27.87
2011-12-02,28.22,28.25,27.61,27.77,6103900,27.13
2011-12-01,27.69,28.26,27.59,27.72,5931400,27.08
2011-11-30,27.45,28.10,27.45,27.96,7880300,27.31
2011-11-29,26.11,26.71,25.98,26.52,6191700,25.91
2011-11-28,25.87,26.28,25.68,25.98,7141500,25.38
2011-11-25,24.84,25.12,24.62,24.66,2507100,24.09
2011-11-23,25.60,25.62,24.80,24.84,6442600,24.27
2011-11-22,26.30,26.44,25.76,26.01,6836200,25.41
2011-11-21,25.52,26.41,25.36,26.30,8434800,25.69
2011-11-18,26.75,26.87,26.01,26.13,7282600,25.53
2011-11-17,27.53,27.56,26.22,26.46,9241500,25.85
2011-11-16,27.37,28.37,27.25,27.63,8109700,26.99
2011-11-15,27.12,27.98,27.02,27.76,6775300,27.12
2011-11-14,28.25,28.34,27.50,27.67,5169400,27.03
2011-11-11,27.85,28.49,27.78,28.33,6618200,27.53
2011-11-10,27.35,27.68,26.77,27.33,6118700,26.56
2011-11-09,27.32,27.67,26.76,26.86,8494000,26.10
2011-11-08,27.88,28.29,27.43,28.26,8371900,27.46
2011-11-07,27.00,27.62,26.96,27.52,7086900,26.74
2011-11-04,26.53,27.20,26.38,27.03,7781600,26.27
2011-11-03,26.50,26.90,26.08,26.74,7488200,25.98
2011-11-02,25.99,26.25,25.50,26.01,9426100,25.28
2011-11-01,24.96,25.77,24.51,25.38,12818700,24.66
2011-10-31,27.44,27.51,26.03,26.03,10040700,25.29
2011-10-28,27.51,28.13,27.40,27.97,6312300,27.18
2011-10-27,27.26,28.05,27.00,27.76,7523300,26.98
2011-10-26,26.22,26.48,25.59,26.34,5959400,25.60
2011-10-25,26.11,26.15,25.38,25.74,6741300,25.01
2011-10-24,25.88,26.33,25.78,26.26,9293200,25.52
2011-10-21,25.35,26.01,25.27,25.81,7937500,25.08
2011-10-20,24.68,24.94,24.13,24.84,5957300,24.14
2011-10-19,24.84,25.10,24.49,24.65,7376800,23.95
2011-10-18,23.78,25.00,23.40,24.84,6680500,24.14
2011-10-17,24.37,24.47,23.69,23.84,6417900,23.17
2011-10-14,24.08,24.55,24.08,24.55,5673300,23.86
2011-10-13,23.50,23.77,22.99,23.65,6328200,22.98
2011-10-12,23.91,23.94,23.45,23.49,8565200,22.83
2011-10-11,23.60,24.09,23.38,23.55,8064300,22.88
2011-10-10,23.01,23.95,23.01,23.90,5424900,23.22
2011-10-07,23.50,23.58,22.45,22.53,7676400,21.89
2011-10-06,22.54,23.22,22.30,23.20,9906000,22.54
2011-10-05,22.21,22.75,21.43,22.64,11157600,22.00
2011-10-04,19.78,21.11,19.13,21.09,13200000,20.49
2011-10-03,21.31,21.41,20.26,20.27,10678100,19.70
2011-09-30,22.14,22.20,21.58,21.58,9987700,20.97
2011-09-29,22.85,22.95,21.79,22.32,8212300,21.69
2011-09-28,23.26,23.40,22.12,22.15,6969300,21.52
2011-09-27,23.83,24.28,23.00,23.16,8122900,22.51
2011-09-26,22.23,23.27,21.65,23.23,10562700,22.57
2011-09-23,22.21,22.56,21.82,22.06,7873100,21.44
2011-09-22,22.84,22.88,21.58,22.05,12991500,21.43
2011-09-21,24.65,24.99,23.70,23.73,8530800,23.06
2011-09-20,25.32,25.57,24.75,24.77,4497100,24.07
2011-09-19,24.79,25.41,24.49,25.17,7383100,24.46
2011-09-16,25.88,25.92,25.12,25.33,8965800,24.61
2011-09-15,24.99,25.74,24.79,25.69,6617400,24.96
2011-09-14,24.70,24.95,24.15,24.63,12872300,23.93
2011-09-13,24.51,25.04,24.38,24.58,14552200,23.89
2011-09-12,24.41,24.89,23.79,24.39,10836200,23.70
2011-09-09,25.37,25.43,24.51,24.82,11000200,24.12
2011-09-08,26.41,26.72,25.62,25.80,6912500,25.07
2011-09-07,26.11,26.54,25.80,26.51,7832800,25.76
2011-09-06,24.45,25.08,24.03,25.05,10127700,24.34
2011-09-02,25.97,26.15,25.60,25.78,5412500,25.05
2011-09-01,27.05,27.47,26.71,26.78,6001500,26.02
2011-08-31,26.83,27.29,26.54,26.92,8067400,26.16
2011-08-30,26.12,26.68,25.93,26.50,9359300,25.75
2011-08-29,26.27,26.57,25.93,26.41,6269300,25.66
2011-08-26,24.99,25.97,24.45,25.89,7279800,25.16
2011-08-25,25.90,26.03,25.07,25.19,6736800,24.48
2011-08-24,25.91,26.19,25.15,25.70,8553000,24.97
2011-08-23,25.37,25.99,25.15,25.99,10106200,25.26
2011-08-22,26.20,26.42,24.92,25.30,9103200,24.59
2011-08-19,25.12,25.97,25.00,25.17,9753300,24.46
2011-08-18,26.41,26.41,25.31,25.59,11485200,24.87
2011-08-17,27.85,28.24,27.01,27.43,8716900,26.65
2011-08-16,27.42,27.59,26.85,27.11,9161200,26.34
2011-08-15,27.06,27.57,26.92,27.54,8948200,26.76
2011-08-12,26.97,27.13,26.35,26.65,10311000,25.75
2011-08-11,25.57,26.80,25.13,26.43,25157800,25.54
2011-08-10,25.05,26.33,25.04,25.29,24681600,24.44
2011-08-09,24.35,25.65,23.60,25.47,20454800,24.61
2011-08-08,24.14,25.10,23.32,23.37,22394400,22.58
2011-08-05,26.65,26.71,24.10,26.12,28428700,25.24
2011-08-04,27.17,27.18,25.05,25.10,18139600,24.25
2011-08-03,27.96,28.63,26.82,27.63,22157800,26.70
2011-08-02,30.05,30.43,29.12,29.12,10827500,28.14
2011-08-01,31.41,31.43,30.35,30.64,8193200,29.61
2011-07-29,30.75,31.12,30.50,30.97,8861300,29.93
2011-07-28,31.44,31.66,31.08,31.09,7689200,30.04
2011-07-27,32.09,32.09,31.16,31.50,6882500,30.44
2011-07-26,32.65,32.67,32.12,32.33,5720600,31.24
2011-07-25,31.75,32.83,31.69,32.48,7747300,31.38
2011-07-22,32.07,32.07,31.74,32.01,4938900,30.93
2011-07-21,31.42,32.05,31.27,31.99,7770400,30.91
2011-07-20,31.78,31.79,30.97,31.03,8226100,29.98
2011-07-19,31.65,31.87,30.92,31.23,12320800,30.18
2011-07-18,31.47,31.59,31.10,31.40,7228000,30.34
2011-07-15,31.45,31.80,31.14,31.68,8761800,30.61
2011-07-14,31.89,32.06,31.25,31.30,7605900,30.24
2011-07-13,32.00,32.29,31.54,31.71,10133700,30.64
2011-07-12,31.72,31.87,31.50,31.52,8328100,30.46
2011-07-11,32.33,32.37,31.67,32.01,9712900,30.93
2011-07-08,32.63,32.97,32.32,32.67,9070300,31.57
2011-07-07,33.59,33.60,32.40,33.10,14330200,31.98
2011-07-06,34.91,34.97,32.52,32.81,18806000,31.70
2011-07-05,33.83,34.39,33.36,34.07,17142200,32.92
2011-07-01,33.28,33.28,32.08,32.95,12950000,31.84
2011-06-30,51.84,52.75,51.57,52.68,8249200,30.90
2011-06-29,51.54,52.17,50.98,51.63,7473800,30.29
2011-06-28,49.68,51.49,49.44,51.38,8730500,30.14
2011-06-27,49.01,49.39,48.63,49.06,10166400,28.78
2011-06-24,51.65,51.78,49.33,49.55,13501700,29.07
2011-06-23,51.71,51.71,50.28,51.62,10913300,30.28
2011-06-22,51.91,53.32,51.75,52.79,7026600,30.97
2011-06-21,51.14,52.62,50.77,52.15,7226000,30.59
2011-06-20,50.21,51.10,50.02,51.10,5201700,29.97
2011-06-17,51.64,51.74,50.49,50.59,7940400,29.68
2011-06-16,50.87,51.87,50.36,51.19,6776000,30.03
2011-06-15,51.26,51.49,50.19,50.77,8338900,29.78
2011-06-14,50.38,52.38,50.33,52.01,9391700,30.51
2011-06-13,49.79,50.83,49.09,49.79,5799000,29.21
2011-06-10,50.91,50.91,50.09,50.25,9173600,29.48
2011-06-09,51.34,51.73,51.05,51.15,5193000,30.00
2011-06-08,51.20,51.74,50.45,50.87,5289700,29.84
2011-06-07,50.89,52.05,50.70,51.20,6623600,30.03
2011-06-06,51.65,51.98,50.53,50.59,5983100,29.68
2011-06-03,51.46,52.31,51.37,51.80,5972000,30.39
2011-06-02,52.74,52.99,51.61,52.51,5899600,30.80
2011-06-01,53.29,53.49,52.23,52.65,10027600,30.88
2011-05-31,53.81,54.20,53.49,54.17,7189400,31.78
2011-05-27,53.67,54.23,52.71,53.37,6646200,31.31
2011-05-26,52.60,53.64,52.41,53.58,6567600,31.43
2011-05-25,52.76,53.22,51.39,52.76,8048900,30.95
2011-05-24,51.06,52.50,50.83,51.88,8424200,30.43
2011-05-23,50.49,50.71,49.56,50.48,8444500,29.61
2011-05-20,51.94,52.05,51.05,51.20,6414500,30.03
2011-05-19,51.66,52.27,51.11,51.92,5675600,30.46
2011-05-18,50.43,51.80,50.28,51.53,6805100,30.23
2011-05-17,49.90,50.23,49.20,50.03,6429800,29.35
2011-05-16,50.75,51.37,50.09,50.29,4992800,29.50
2011-05-13,51.50,51.69,50.37,51.10,6616600,29.83
2011-05-12,50.42,51.54,49.55,51.17,6800000,29.87
2011-05-11,52.23,52.29,50.08,50.83,8024800,29.67
2011-05-10,52.09,52.66,51.60,52.43,6838600,30.60
2011-05-09,50.25,52.31,50.06,52.19,7901700,30.46
2011-05-06,50.06,51.06,49.42,49.57,10738600,28.93
2011-05-05,50.82,50.91,49.08,49.55,10916600,28.92
2011-05-04,52.18,52.18,51.10,51.55,7018200,30.09
2011-05-03,52.72,53.20,51.02,52.56,10636300,30.68
2011-05-02,54.11,54.33,52.92,53.41,7469000,31.18
2011-04-29,52.68,54.11,52.52,54.04,5957200,31.54
2011-04-28,52.51,52.74,51.88,52.61,4340500,30.71
2011-04-27,52.77,52.95,51.63,52.64,5137200,30.73
2011-04-26,52.64,52.88,51.86,52.66,5502400,30.74
2011-04-25,53.90,54.04,52.47,52.59,4857300,30.70
2011-04-21,53.54,53.90,53.02,53.84,4299400,31.43
2011-04-20,52.04,53.40,51.95,53.32,6629800,31.12
2011-04-19,50.85,51.28,50.30,51.28,5665700,29.93
2011-04-18,50.66,51.37,50.14,51.09,5298300,29.82
2011-04-15,51.31,51.73,51.01,51.33,5118100,29.96
2011-04-14,50.24,51.26,49.89,51.17,5057400,29.87
2011-04-13,50.69,50.95,49.77,50.33,4577900,29.38
2011-04-12,51.24,51.25,49.76,50.18,9402400,29.29
2011-04-11,52.67,53.02,51.57,51.77,4953200,30.22
2011-04-08,53.21,53.55,52.50,52.76,5037600,30.80
2011-04-07,53.03,53.87,52.40,53.00,5249000,30.94
2011-04-06,53.81,53.91,52.73,52.90,3801200,30.88
2011-04-05,53.41,53.81,52.81,53.43,4643800,31.19
2011-04-04,53.81,53.88,52.81,53.09,5515200,30.99
2011-04-01,53.81,54.19,53.35,53.55,5705900,31.26
2011-03-31,53.25,53.74,52.98,53.31,6712200,31.12
2011-03-30,52.50,53.13,52.19,52.95,5816700,30.91
2011-03-29,51.24,52.40,51.20,52.22,6780200,30.48
2011-03-28,51.89,52.44,51.14,51.14,7274100,29.85
2011-03-25,50.85,51.76,50.67,51.70,7753800,30.18
2011-03-24,50.73,51.01,50.21,50.73,5695500,29.61
2011-03-23,51.02,51.34,50.51,50.56,5895300,29.51
2011-03-22,51.92,51.94,50.78,51.21,5550000,29.89
2011-03-21,51.58,51.95,50.83,51.84,7750000,30.26
2011-03-18,50.06,50.31,49.51,49.65,9383700,28.98
2011-03-17,49.00,49.79,49.00,49.54,8101200,28.92
2011-03-16,49.33,50.23,48.03,48.73,10375700,28.44
2011-03-15,47.68,49.46,47.18,48.97,7515300,28.58
2011-03-14,49.93,50.69,49.18,49.67,6862200,28.99
2011-03-11,48.22,50.35,48.12,50.17,6834200,29.29
2011-03-10,49.08,49.47,48.53,48.59,8247700,28.36
2011-03-09,50.18,50.39,49.36,49.62,7970200,28.96
2011-03-08,50.96,50.98,49.60,50.18,8867400,29.29
2011-03-07,52.51,52.52,50.79,51.42,6247700,30.01
2011-03-04,52.78,52.79,51.42,51.66,9026500,30.15
2011-03-03,52.02,52.77,51.62,52.66,8289200,30.74
2011-03-02,50.87,51.20,50.15,50.93,8640900,29.73
2011-03-01,52.35,52.38,50.40,50.75,17135000,29.62
2011-02-28,48.91,50.06,48.83,49.60,7386200,28.95
2011-02-25,48.44,48.78,47.97,48.62,6970100,28.38
2011-02-24,48.87,49.00,47.56,48.13,10349600,28.09
2011-02-23,48.25,50.21,48.11,49.18,12845200,28.71
2011-02-22,49.15,49.48,47.56,47.71,12542200,27.85
2011-02-18,50.08,50.19,49.07,49.51,9312200,28.90
2011-02-17,49.31,50.56,49.06,50.08,8628800,29.23
2011-02-16,48.67,49.47,48.31,49.31,9976400,28.78
2011-02-15,48.73,48.83,47.96,48.07,7043300,28.06
2011-02-14,46.51,49.33,46.25,49.05,12709600,28.63
2011-02-11,46.32,46.60,45.97,46.48,6460900,26.99
2011-02-10,46.14,46.59,45.85,46.43,6769900,26.96
2011-02-09,46.23,46.42,45.69,46.34,5744500,26.90
2011-02-08,46.40,46.53,45.92,46.28,6253700,26.87
2011-02-07,46.66,47.40,46.21,46.40,7347100,26.94
2011-02-04,46.00,46.14,45.32,45.86,6033700,26.63
2011-02-03,45.79,46.05,44.95,45.95,6694900,26.68
2011-02-02,45.99,47.00,45.36,45.89,10368100,26.64
2011-02-01,46.03,46.74,45.55,46.60,10382900,27.05
2011-01-31,44.97,45.75,44.48,45.70,8381700,26.53
2011-01-28,44.10,45.17,44.10,44.76,9403700,25.99
2011-01-27,45.22,45.38,44.48,44.66,11707300,25.93
2011-01-26,44.33,45.65,44.25,45.38,16005000,26.35
2011-01-25,42.18,43.58,42.05,43.55,12531200,25.28
2011-01-24,42.00,42.22,41.89,42.15,9485200,24.47
2011-01-21,42.09,42.30,41.90,42.04,10046200,24.41
2011-01-20,42.01,42.25,41.35,41.85,9534300,24.30
2011-01-19,42.53,42.85,41.97,42.05,10932300,24.41
2011-01-18,42.39,43.12,42.37,42.47,9689500,24.66
2011-01-14,42.54,43.00,42.08,42.59,12349900,24.73
2011-01-13,44.29,44.90,42.80,42.98,44343800,24.95
2011-01-12,40.00,40.77,39.87,40.53,8339400,23.53
2011-01-11,39.39,40.00,39.19,39.72,7493600,23.06
2011-01-10,38.82,39.27,38.61,39.15,7192300,22.73
2011-01-07,38.24,38.73,38.00,38.63,7764800,22.43
2011-01-06,37.42,37.71,37.32,37.60,5560000,21.83
2011-01-05,37.33,37.47,36.97,37.34,4290800,21.68
2011-01-04,37.80,37.86,36.98,37.38,4904000,21.70
2011-01-03,37.39,37.82,37.10,37.59,4375900,21.82
