Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,15.14,15.29,15.00,15.13,16065400,14.94
2011-12-29,14.92,15.30,14.90,15.24,14000600,15.05
2011-12-28,15.36,15.38,14.88,14.90,17015400,14.72
2011-12-27,15.64,15.80,15.29,15.29,13135100,15.10
2011-12-23,16.01,16.03,15.54,15.76,14677300,15.56
2011-12-22,15.07,15.95,15.03,15.88,30203000,15.68
2011-12-21,14.81,14.98,14.48,14.91,20955300,14.73
2011-12-20,14.73,14.90,14.39,14.80,31173200,14.62
2011-12-19,14.96,15.03,14.03,14.16,31225900,13.98
2011-12-16,15.23,15.46,14.94,14.98,31307900,14.79
2011-12-15,15.62,15.66,14.98,15.01,28218400,14.82
2011-12-14,15.01,15.39,14.85,15.06,30075500,14.87
2011-12-13,16.49,16.55,14.91,15.17,40873800,14.98
2011-12-12,15.79,15.81,15.22,15.38,28770500,15.19
2011-12-09,16.35,16.83,16.25,16.38,34670000,16.18
2011-12-08,17.12,17.38,15.76,15.88,44160000,15.68
2011-12-07,16.36,17.50,16.28,17.34,41598400,17.13
2011-12-06,16.41,16.74,16.27,16.58,33481600,16.37
2011-12-05,16.10,16.62,15.99,16.57,67235400,16.36
2011-12-02,15.09,15.90,14.98,15.52,52525100,15.33
2011-12-01,14.56,14.90,14.35,14.51,25387900,14.33
2011-11-30,14.26,14.82,13.87,14.79,48837100,14.61
2011-11-29,13.58,13.67,13.28,13.31,35547100,13.15
2011-11-28,14.22,14.35,13.53,13.80,37036100,13.63
2011-11-25,13.15,13.63,13.06,13.26,13540100,13.10
2011-11-23,13.30,13.33,12.86,13.03,31756400,12.87
2011-11-22,13.55,13.85,13.32,13.52,28507500,13.35
2011-11-21,13.82,13.86,13.21,13.60,43250000,13.43
2011-11-18,14.28,14.46,13.95,14.21,28193500,14.03
2011-11-17,14.89,14.94,13.98,14.13,45254300,13.95
2011-11-16,15.75,15.75,14.62,14.66,48861600,14.48
2011-11-15,15.78,16.16,15.62,15.93,21580100,15.73
2011-11-14,16.24,16.34,15.74,15.92,31961700,15.72
2011-11-11,16.27,16.53,16.15,16.36,19969700,16.16
2011-11-10,16.28,16.32,15.51,15.86,35148400,15.66
2011-11-09,16.50,16.52,15.68,15.76,33822500,15.56
2011-11-08,17.12,17.37,16.75,17.32,26418800,17.11
2011-11-07,16.86,16.98,16.30,16.92,26971200,16.71
2011-11-04,16.58,16.87,16.15,16.72,29340100,16.51
2011-11-03,17.62,17.75,15.92,16.95,50797200,16.74
2011-11-02,16.94,17.04,16.29,16.76,23876900,16.55
2011-11-01,16.14,16.78,15.44,16.23,48498000,16.03
2011-10-31,18.63,18.66,17.62,17.64,32488300,17.42
2011-10-28,18.98,19.67,18.83,19.31,32877200,19.07
2011-10-27,18.05,19.57,17.90,19.41,64100300,19.17
2011-10-26,16.97,17.04,16.36,16.64,30490700,16.38
2011-10-25,16.93,16.97,16.46,16.52,23647600,16.27
2011-10-24,17.30,17.42,16.91,17.15,26051800,16.89
2011-10-21,16.92,17.20,16.73,17.02,33004700,16.76
2011-10-20,16.61,16.77,16.00,16.61,35380300,16.35
2011-10-19,17.07,17.72,16.40,16.64,66831000,16.38
2011-10-18,15.55,16.94,15.45,16.63,51760300,16.37
2011-10-17,15.18,15.39,15.00,15.25,29580900,15.02
2011-10-14,15.38,15.44,14.83,15.22,30698400,14.99
2011-10-13,15.59,15.59,14.80,15.14,30447600,14.91
2011-10-12,15.73,16.29,15.34,15.84,36426800,15.60
