Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,6.26,6.37,6.25,6.29,15259600,6.29
2011-12-29,6.18,6.30,6.14,6.27,13894400,6.27
2011-12-28,6.26,6.33,6.06,6.17,19365100,6.17
2011-12-27,6.35,6.40,6.20,6.25,13530400,6.25
2011-12-23,6.49,6.54,6.25,6.40,23493200,6.40
2011-12-22,5.71,6.55,5.69,6.41,67720600,6.41
2011-12-21,5.89,5.90,5.52,5.54,26623100,5.54
2011-12-20,5.59,5.82,5.58,5.79,19290700,5.79
2011-12-19,5.70,5.74,5.44,5.45,31607800,5.45
2011-12-16,5.59,5.70,5.51,5.68,23098300,5.68
2011-12-15,5.53,5.58,5.48,5.55,17193800,5.55
2011-12-14,5.64,5.73,5.31,5.45,36992800,5.45
2011-12-13,5.80,5.95,5.57,5.61,20509300,5.61
2011-12-12,5.72,5.85,5.63,5.82,19996300,5.82
2011-12-09,5.84,5.99,5.79,5.89,23982100,5.89
2011-12-08,5.97,6.10,5.78,5.82,32613800,5.82
2011-12-07,5.62,6.08,5.56,6.06,31511900,6.06
2011-12-06,5.75,5.77,5.50,5.65,31710700,5.65
2011-12-05,5.87,5.89,5.68,5.73,26033700,5.73
2011-12-02,5.99,6.01,5.68,5.80,27340600,5.80
2011-12-01,5.96,5.98,5.75,5.89,22135000,5.89
2011-11-30,5.86,6.02,5.77,5.99,19709400,5.99
2011-11-29,5.63,5.75,5.56,5.64,20816100,5.64
2011-11-28,5.75,5.86,5.55,5.62,22267700,5.62
2011-11-25,5.66,5.86,5.46,5.50,18263700,5.50
2011-11-23,6.03,6.04,5.67,5.71,39724000,5.71
2011-11-22,6.06,6.36,6.01,6.10,38105400,6.10
2011-11-21,6.08,6.16,5.86,6.09,41397000,6.09
2011-11-18,6.36,6.53,6.15,6.29,43618300,6.29
2011-11-17,6.91,7.00,6.28,6.33,96098100,6.33
2011-11-16,5.45,6.84,5.45,6.74,72164600,6.74
2011-11-15,5.31,5.71,5.26,5.46,41898700,5.46
2011-11-14,5.40,5.43,5.22,5.35,22943600,5.35
2011-11-11,5.26,5.44,5.26,5.43,19289000,5.43
2011-11-10,5.50,5.55,5.06,5.18,53084800,5.18
2011-11-09,5.72,5.72,5.33,5.35,36730300,5.35
2011-11-08,5.89,5.96,5.75,5.91,23164100,5.91
2011-11-07,5.81,5.91,5.69,5.85,24821000,5.85
2011-11-04,5.67,5.95,5.58,5.89,20811200,5.89
2011-11-03,5.51,5.87,5.36,5.84,32490000,5.84
2011-11-02,5.40,5.53,5.34,5.43,22591400,5.43
2011-11-01,5.39,5.46,5.29,5.29,30226500,5.29
2011-10-31,5.77,5.79,5.57,5.59,23699700,5.59
2011-10-28,5.68,5.90,5.65,5.88,21809600,5.88
2011-10-27,5.70,5.76,5.49,5.70,53855400,5.70
2011-10-26,5.53,5.61,5.21,5.47,50102800,5.47
2011-10-25,5.61,5.64,5.48,5.49,26533800,5.49
2011-10-24,5.45,5.68,5.45,5.66,34548800,5.66
2011-10-21,5.67,5.85,5.40,5.46,39296000,5.46
2011-10-20,5.52,5.64,5.37,5.59,23439600,5.59
2011-10-19,5.74,5.85,5.51,5.53,27546700,5.53
2011-10-18,5.46,5.80,5.40,5.77,31427300,5.77
2011-10-17,5.63,5.68,5.41,5.44,29637900,5.44
2011-10-14,5.59,5.70,5.44,5.70,31319900,5.70
2011-10-13,5.11,5.58,5.10,5.52,37580700,5.52
2011-10-12,5.28,5.30,5.18,5.20,25595000,5.20
2011-10-11,5.16,5.29,5.12,5.20,23823400,5.20
2011-10-10,5.21,5.28,5.09,5.16,26958200,5.16
2011-10-07,4.94,5.03,4.84,4.95,29683000,4.95
2011-10-06,4.95,5.00,4.77,4.96,35914300,4.96
2011-10-05,4.50,4.98,4.36,4.95,53137900,4.95
2011-10-04,4.20,4.52,3.97,4.52,57671800,4.52
2011-10-03,4.96,5.03,4.32,4.33,56806200,4.33
2011-09-30,5.44,5.50,5.01,5.04,63504100,5.04
2011-09-29,6.13,6.20,5.61,5.87,50176800,5.87
2011-09-28,6.50,6.50,6.10,6.12,34898500,6.12
2011-09-27,6.68,6.74,6.41,6.46,32075400,6.46
2011-09-26,6.68,6.69,6.37,6.58,31674900,6.58
2011-09-23,6.40,6.77,6.30,6.65,34163100,6.65
2011-09-22,6.28,6.49,6.22,6.43,46336300,6.43
2011-09-21,6.88,6.94,6.60,6.61,48814200,6.61
2011-09-20,6.92,7.09,6.84,6.85,32775800,6.85
2011-09-19,6.97,7.24,6.80,6.88,57270300,6.88
2011-09-16,7.09,7.16,6.94,7.03,68700200,7.03
2011-09-15,7.35,7.42,6.90,7.04,60702700,7.04
2011-09-14,6.95,7.35,6.93,7.20,68478100,7.20
2011-09-13,6.88,6.95,6.76,6.86,51199200,6.86
2011-09-12,6.30,6.71,6.28,6.69,46726700,6.69
2011-09-09,6.19,6.71,6.19,6.35,54169600,6.35
2011-09-08,6.03,6.63,6.00,6.25,63001600,6.25
2011-09-07,5.82,6.07,5.82,6.06,32666500,6.06
2011-09-06,5.28,5.70,5.28,5.67,24119400,5.67
2011-09-02,5.60,5.62,5.45,5.50,22734400,5.50
2011-09-01,5.94,6.06,5.74,5.74,25641700,5.74
2011-08-31,6.07,6.12,5.83,5.91,33297600,5.91
2011-08-30,6.02,6.09,5.85,5.95,34539300,5.95
2011-08-29,5.96,6.16,5.91,6.15,30866400,6.15
2011-08-26,5.43,5.84,5.38,5.66,48604800,5.66
2011-08-25,5.32,5.54,5.31,5.38,31593800,5.38
2011-08-24,5.63,5.66,5.18,5.30,64872300,5.30
2011-08-23,5.32,5.66,5.27,5.66,33804900,5.66
2011-08-22,5.41,5.52,5.22,5.26,35010000,5.26
2011-08-19,5.50,5.66,5.20,5.25,49901300,5.25
2011-08-18,5.88,5.89,5.60,5.64,45540000,5.64
2011-08-17,6.35,6.41,6.07,6.11,29669900,6.11
2011-08-16,6.41,6.47,6.19,6.29,20070200,6.29
2011-08-15,6.27,6.48,6.18,6.48,23301800,6.48
2011-08-12,6.41,6.54,6.16,6.18,29275400,6.18
2011-08-11,5.78,6.50,5.78,6.37,57387100,6.37
2011-08-10,5.98,6.04,5.71,5.72,57549800,5.72
2011-08-09,5.96,6.20,5.76,6.19,44655700,6.19
2011-08-08,6.00,6.19,5.65,5.71,55283000,5.71
2011-08-05,6.52,6.75,6.09,6.31,55675500,6.31
2011-08-04,6.81,6.86,6.37,6.40,50716700,6.40
2011-08-03,7.07,7.12,6.69,6.99,53044700,6.99
2011-08-02,7.32,7.38,7.02,7.04,35879400,7.04
2011-08-01,7.57,7.59,7.20,7.41,38046900,7.41
2011-07-29,7.30,7.53,7.22,7.37,44891200,7.37
2011-07-28,7.48,7.56,7.31,7.42,31674500,7.42
2011-07-27,7.80,7.80,7.38,7.43,45399600,7.43
2011-07-26,7.85,7.99,7.80,7.86,21586200,7.86
2011-07-25,7.90,7.96,7.76,7.89,25080400,7.89
2011-07-22,7.71,8.20,7.69,8.09,47025800,8.09
2011-07-21,7.69,7.75,7.49,7.65,82188200,7.65
2011-07-20,7.53,7.60,7.40,7.60,29432900,7.60
2011-07-19,7.28,7.53,7.28,7.52,29174400,7.52
2011-07-18,7.36,7.55,7.13,7.23,25876500,7.23
2011-07-15,7.37,7.45,7.26,7.41,23618600,7.41
2011-07-14,7.52,7.59,7.23,7.29,31774800,7.29
2011-07-13,7.40,7.76,7.37,7.49,30414100,7.49
2011-07-12,7.39,7.45,7.21,7.31,28775500,7.31
2011-07-11,7.55,7.70,7.45,7.49,22304000,7.49
2011-07-08,7.69,7.79,7.61,7.68,20454000,7.68
2011-07-07,7.63,7.89,7.61,7.82,23411000,7.82
2011-07-06,7.73,7.74,7.48,7.56,24556000,7.56
2011-07-05,7.88,7.99,7.69,7.78,32206100,7.78
2011-07-01,7.46,7.85,7.37,7.83,30641400,7.83
2011-06-30,7.53,7.61,7.44,7.48,37979900,7.48
2011-06-29,7.37,7.59,7.31,7.47,38048800,7.47
2011-06-28,7.34,7.38,7.26,7.35,28892000,7.35
2011-06-27,7.25,7.41,7.20,7.34,34482700,7.34
2011-06-24,7.72,7.77,7.20,7.21,117825100,7.21
2011-06-23,8.05,8.45,7.94,8.43,56026400,8.43
2011-06-22,8.15,8.32,8.10,8.17,29105100,8.17
2011-06-21,8.00,8.18,7.85,8.14,35254800,8.14
2011-06-20,7.83,8.11,7.81,7.91,32936000,7.91
2011-06-17,7.99,8.01,7.64,7.83,43133500,7.83
2011-06-16,8.12,8.13,7.81,7.87,54514800,7.87
2011-06-15,8.33,8.36,8.05,8.07,44050500,8.07
2011-06-14,8.40,8.56,8.20,8.40,35940800,8.40
2011-06-13,8.29,8.59,8.28,8.29,34700700,8.29
2011-06-10,8.61,8.65,8.38,8.44,46209900,8.44
