Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.59,32.68,32.10,32.18,2996500,31.52
2011-12-29,32.61,33.00,32.29,32.49,3890400,31.82
2011-12-28,32.37,32.98,31.95,32.67,5293600,32.00
2011-12-27,32.09,32.51,31.89,32.28,2875100,31.62
2011-12-23,32.19,32.20,31.72,32.20,2174600,31.54
2011-12-22,32.11,32.35,31.66,31.87,3480600,31.22
2011-12-21,31.80,32.13,31.43,32.04,3454900,31.38
2011-12-20,31.14,31.95,30.95,31.84,4244100,31.19
2011-12-19,31.26,31.34,30.42,30.57,4353800,29.94
2011-12-16,31.71,31.99,30.99,31.03,7250000,30.39
2011-12-15,31.38,31.67,30.92,31.47,5428300,30.82
2011-12-14,30.53,31.41,30.52,30.82,8206800,30.19
2011-12-13,32.54,32.59,30.49,30.71,14099000,30.08
2011-12-12,32.48,32.70,32.00,32.42,4592800,31.66
2011-12-09,32.54,32.96,32.42,32.79,4304500,32.02
2011-12-08,32.56,33.04,32.20,32.29,4553400,31.53
2011-12-07,32.71,33.25,32.46,32.75,6146000,31.98
2011-12-06,33.19,33.20,32.63,32.95,4414200,32.17
2011-12-05,32.81,33.26,32.78,33.14,6202400,32.36
2011-12-02,32.49,33.01,32.40,32.54,8296100,31.77
2011-12-01,32.30,33.00,31.91,32.16,7438300,31.40
2011-11-30,32.09,32.39,31.50,32.33,9830900,31.57
2011-11-29,30.84,31.12,30.38,31.03,8295400,30.30
2011-11-28,30.78,31.26,30.59,30.84,8325100,30.11
2011-11-25,29.60,29.90,29.43,29.45,2904400,28.76
2011-11-23,30.08,30.22,29.44,29.56,5813800,28.86
2011-11-22,30.94,31.19,30.25,30.48,10227400,29.76
2011-11-21,30.02,31.15,29.69,31.01,10580000,30.28
2011-11-18,30.69,30.73,30.05,30.36,4916300,29.64
2011-11-17,30.79,31.14,30.14,30.42,7546900,29.70
2011-11-16,30.67,31.45,30.47,30.72,7497900,30.00
2011-11-15,30.44,31.25,30.35,30.94,6053600,30.21
2011-11-14,30.88,31.05,30.44,30.55,8783600,29.83
2011-11-11,31.10,31.58,30.79,31.14,6611600,30.41
2011-11-10,31.02,31.39,30.28,30.77,8323700,30.04
2011-11-09,30.80,31.58,30.20,30.45,14585200,29.73
2011-11-08,32.50,32.67,31.36,32.16,11893200,31.40
2011-11-07,31.43,32.40,31.36,32.35,11292000,31.59
2011-11-04,31.09,31.43,30.70,31.36,7862300,30.62
