Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,17.55,17.62,17.31,17.34,3928300,17.34
2011-12-29,17.47,17.69,17.42,17.59,3487200,17.59
2011-12-28,18.20,18.22,17.41,17.41,3638200,17.41
2011-12-27,18.24,18.34,18.01,18.16,2602300,18.16
2011-12-23,18.31,18.48,18.08,18.24,2122400,18.24
2011-12-22,17.92,18.34,17.85,18.26,3878100,18.26
2011-12-21,17.74,17.87,17.29,17.83,5104200,17.83
2011-12-20,16.71,17.74,16.58,17.63,8060000,17.63
2011-12-19,17.01,17.01,16.18,16.23,6252100,16.23
2011-12-16,16.51,16.95,16.46,16.74,5565600,16.74
2011-12-15,16.78,16.84,16.32,16.37,5161800,16.37
2011-12-14,16.71,16.92,16.04,16.42,8716500,16.42
2011-12-13,17.47,17.82,16.95,17.09,5312100,17.09
2011-12-12,17.65,17.65,16.89,17.34,5554900,17.34
2011-12-09,17.57,18.13,17.27,17.98,4110200,17.98
2011-12-08,18.01,18.22,17.32,17.40,5841200,17.40
2011-12-07,18.57,18.57,17.95,18.18,6585600,18.18
2011-12-06,18.35,19.01,18.31,18.69,8962900,18.69
2011-12-05,18.15,18.83,18.02,18.32,8121000,18.32
2011-12-02,18.15,18.29,17.46,17.52,5565900,17.52
2011-12-01,17.86,18.24,17.65,17.70,5125500,17.70
2011-11-30,17.33,18.03,17.33,17.94,6655400,17.94
2011-11-29,16.52,16.90,16.21,16.65,5800900,16.65
2011-11-28,16.78,17.01,16.33,16.60,7951800,16.60
2011-11-25,16.07,16.53,15.96,15.98,3217200,15.98
2011-11-23,17.15,17.26,16.22,16.22,7834200,16.22
2011-11-22,17.87,18.08,17.18,17.44,6691600,17.44
2011-11-21,18.18,18.25,17.64,17.94,6595900,17.94
2011-11-18,19.14,19.29,18.41,18.59,7323000,18.59
2011-11-17,19.78,19.96,18.73,18.90,9320800,18.90
2011-11-16,19.83,20.69,19.57,19.96,9406100,19.96
2011-11-15,19.87,20.22,19.34,19.94,7987500,19.94
2011-11-14,20.50,20.60,19.66,19.98,6689600,19.98
2011-11-11,19.98,21.00,19.93,20.57,8403400,20.57
2011-11-10,19.86,20.10,19.03,19.62,8441000,19.62
2011-11-09,19.63,19.88,19.23,19.48,11523000,19.48
2011-11-08,20.16,20.64,19.96,20.45,10373200,20.45
2011-11-07,19.15,20.12,19.04,19.98,9449200,19.98
2011-11-04,18.58,19.35,18.47,19.21,6859800,19.21
2011-11-03,18.23,18.91,17.76,18.83,8124200,18.83
2011-11-02,17.55,18.02,17.26,17.97,8672100,17.97
2011-11-01,17.25,17.64,16.72,17.03,15164600,17.03
2011-10-31,20.03,20.04,18.31,18.33,17317100,18.33
2011-10-28,18.52,19.13,18.34,19.05,7411900,19.05
2011-10-27,18.12,19.12,18.00,18.73,14596100,18.73
2011-10-26,16.41,17.57,15.96,17.35,15815000,17.35
2011-10-25,16.23,16.28,15.38,15.80,10226200,15.80
2011-10-24,15.48,16.33,15.38,16.28,13360400,16.28
2011-10-21,15.49,15.67,15.09,15.22,6764700,15.22
2011-10-20,14.80,15.28,14.42,15.21,6158300,15.21
2011-10-19,15.42,15.54,14.65,14.72,6251600,14.72
2011-10-18,14.62,15.58,14.42,15.46,5748800,15.46
2011-10-17,15.27,15.30,14.62,14.67,6227100,14.67
2011-10-14,14.90,15.42,14.61,15.37,6343500,15.37
2011-10-13,14.48,14.80,13.87,14.75,8711500,14.75
2011-10-12,14.60,15.14,14.46,14.65,8798200,14.65
2011-10-11,14.06,14.58,14.06,14.31,6688100,14.31
2011-10-10,14.01,15.27,13.88,14.31,12958500,14.31
2011-10-07,14.39,14.46,13.06,13.42,8447900,13.42
2011-10-06,13.43,14.07,13.22,14.05,11674800,14.05
2011-10-05,12.42,13.44,12.07,13.42,13366900,13.42
2011-10-04,11.14,12.35,11.05,12.32,10400000,12.32
2011-10-03,12.12,12.35,11.73,11.74,8802800,11.74
2011-09-30,12.69,12.75,12.26,12.26,11754400,12.26
2011-09-29,13.58,13.66,12.65,13.11,9642900,13.11
2011-09-28,14.20,14.22,13.05,13.12,10542400,13.12
2011-09-27,15.30,15.49,14.01,14.18,12023300,14.18
2011-09-26,14.16,14.86,13.50,14.82,9375200,14.82
2011-09-23,14.20,14.52,13.77,14.07,10317300,14.07
2011-09-22,14.96,14.96,13.90,14.35,11685600,14.35
2011-09-21,16.75,16.84,15.59,15.63,7468700,15.63
2011-09-20,17.56,17.77,16.79,16.79,6073400,16.79
2011-09-19,17.74,17.76,17.02,17.53,5901900,17.53
2011-09-16,18.63,18.76,18.03,18.18,4757000,18.18
2011-09-15,18.28,18.53,18.05,18.50,5363500,18.50
2011-09-14,17.70,18.34,17.30,18.00,6599300,18.00
2011-09-13,17.38,17.75,17.00,17.57,6418200,17.57
2011-09-12,16.54,17.39,16.42,17.37,9755200,17.37
2011-09-09,17.35,17.52,16.65,16.79,6663200,16.79
2011-09-08,18.04,18.39,17.62,17.75,4791800,17.75
2011-09-07,17.56,18.25,17.44,18.24,4608600,18.24
2011-09-06,16.81,17.22,16.65,17.16,5381300,17.16
2011-09-02,17.95,18.03,17.33,17.58,4955800,17.58
2011-09-01,18.54,18.86,18.09,18.39,7365600,18.39
2011-08-31,18.67,19.15,18.33,18.44,5947700,18.44
2011-08-30,18.45,18.61,18.04,18.44,5290900,18.44
2011-08-29,18.09,18.52,17.86,18.51,3459500,18.51
2011-08-26,16.89,17.89,16.78,17.70,5724300,17.70
2011-08-25,17.50,17.70,16.75,17.08,6163800,17.08
2011-08-24,17.13,17.34,16.69,17.33,4411700,17.33
2011-08-23,16.44,17.23,16.20,17.21,5655400,17.21
2011-08-22,16.98,17.11,16.26,16.36,6642100,16.36
2011-08-19,16.96,17.64,16.35,16.43,7307200,16.43
2011-08-18,18.32,18.32,17.09,17.30,8134300,17.30
2011-08-17,19.21,19.42,18.85,19.10,5678100,19.10
2011-08-16,19.47,19.70,18.80,18.97,8972100,18.97
2011-08-15,19.47,20.05,19.20,19.98,8970600,19.98
2011-08-12,19.21,19.44,18.78,19.16,8262300,19.16
2011-08-11,18.47,19.23,18.00,18.86,12904600,18.86
2011-08-10,18.57,19.12,18.16,18.26,13659400,18.26
2011-08-09,18.53,19.24,17.88,19.21,10612400,19.21
2011-08-08,19.76,20.07,17.98,18.06,11350000,18.06
2011-08-05,22.56,22.67,20.15,20.83,14409100,20.83
2011-08-04,24.35,24.35,22.06,22.12,10076100,22.12
2011-08-03,25.23,25.32,24.30,24.89,6208200,24.89
2011-08-02,25.94,26.41,25.19,25.21,5593000,25.21
2011-08-01,26.94,27.14,25.92,26.24,6594400,26.24
2011-07-29,26.47,26.68,26.10,26.41,5410600,26.41
2011-07-28,26.39,27.43,26.35,26.86,6283900,26.86
2011-07-27,26.90,27.53,26.31,26.43,6997200,26.43
2011-07-26,27.22,27.62,26.90,27.13,5701100,27.13
2011-07-25,27.16,27.44,26.96,26.99,4395500,26.99
2011-07-22,27.10,27.63,26.96,27.57,3734500,27.57
2011-07-21,26.96,27.30,26.80,27.21,4968900,27.21
2011-07-20,26.98,26.98,26.55,26.82,3266300,26.82
2011-07-19,26.35,26.97,26.30,26.88,5391400,26.88
2011-07-18,26.42,26.71,25.85,26.04,6845300,26.04
2011-07-15,24.94,26.38,24.78,26.32,12030600,26.32
2011-07-14,24.40,24.75,23.96,24.37,6372500,24.37
2011-07-13,23.74,24.93,23.74,24.31,5033800,24.31
2011-07-12,23.64,24.07,23.64,23.66,3373700,23.66
2011-07-11,23.93,24.20,23.70,23.85,4057700,23.85
2011-07-08,24.44,24.51,24.13,24.43,4369400,24.43
2011-07-07,24.99,25.14,24.73,24.92,4992300,24.92
2011-07-06,24.49,24.89,24.42,24.61,3471600,24.61
2011-07-05,24.90,25.13,24.45,24.58,4467800,24.58
2011-07-01,24.48,24.92,24.11,24.87,3508100,24.87
2011-06-30,24.25,24.98,24.25,24.64,5022800,24.64
2011-06-29,24.05,24.45,23.63,24.15,5400700,24.15
2011-06-28,23.05,24.09,23.05,23.91,6408100,23.91
2011-06-27,23.09,23.17,22.43,22.81,8728800,22.81
2011-06-24,23.93,24.16,22.93,23.04,7364700,23.04
2011-06-23,23.55,23.98,22.70,23.90,5295300,23.90
2011-06-22,23.79,24.54,23.76,24.11,4568100,24.11
2011-06-21,23.29,24.04,23.28,23.88,7287600,23.88
2011-06-20,23.28,23.71,23.07,23.59,10346700,23.59
2011-06-17,25.22,25.26,23.90,24.03,8621400,24.03
2011-06-16,25.18,25.39,24.57,24.95,3773500,24.95
2011-06-15,25.38,25.90,24.89,25.15,4338800,25.15
2011-06-14,25.35,25.92,25.17,25.70,4222800,25.70
2011-06-13,25.01,26.19,24.74,25.01,6720700,25.01
2011-06-10,26.72,26.74,26.08,26.13,4056900,26.13
2011-06-09,26.35,27.03,26.23,26.90,4794000,26.90
2011-06-08,26.26,26.56,25.99,26.15,3486400,26.15
2011-06-07,26.05,26.60,25.87,26.26,5577800,26.26
2011-06-06,27.33,27.53,25.92,25.95,6117500,25.95
2011-06-03,27.01,27.76,26.85,27.45,5156300,27.45
2011-06-02,26.85,27.76,26.76,27.51,8162800,27.51
2011-06-01,27.80,27.99,26.71,26.79,5433400,26.79
2011-05-31,28.15,28.50,27.66,27.89,5750700,27.89
2011-05-27,27.75,27.97,27.44,27.62,4211700,27.62
2011-05-26,27.72,27.92,27.09,27.50,6676900,27.50
2011-05-25,27.73,28.06,26.85,27.73,6558300,27.73
2011-05-24,26.77,27.37,26.68,26.97,4494500,26.97
2011-05-23,26.32,26.56,25.95,26.40,3877600,26.40
2011-05-20,26.85,27.01,26.32,26.85,4788500,26.85
2011-05-19,26.77,27.05,26.34,26.83,5223300,26.83
2011-05-18,25.99,26.85,25.85,26.74,5270000,26.74
2011-05-17,26.27,26.42,25.50,25.78,7496700,25.78
2011-05-16,26.57,27.00,26.24,26.36,4112200,26.36
2011-05-13,26.89,27.14,26.44,26.74,4581700,26.74
2011-05-12,26.78,27.10,26.37,26.74,5440600,26.74
2011-05-11,28.16,28.16,26.75,26.93,5819000,26.93
2011-05-10,27.95,28.63,27.66,28.32,5228600,28.32
2011-05-09,27.78,28.26,27.57,28.14,4449400,28.14
2011-05-06,28.05,28.74,27.19,27.40,5466100,27.40
2011-05-05,27.68,28.36,27.27,27.64,4628800,27.64
2011-05-04,28.94,28.98,28.00,28.23,5590200,28.23
2011-05-03,29.99,30.01,28.78,28.95,6047200,28.95
2011-05-02,30.78,30.85,29.65,29.86,5028800,29.86
2011-04-29,30.34,30.83,30.23,30.64,5231500,30.64
2011-04-28,30.71,30.87,30.01,30.29,4713800,30.29
2011-04-27,32.36,32.41,30.04,30.65,9770900,30.65
2011-04-26,31.80,32.20,31.64,32.06,6903100,32.06
2011-04-25,31.97,32.07,31.42,31.68,4344500,31.68
2011-04-21,32.15,32.47,31.65,31.93,4249000,31.93
2011-04-20,31.54,32.03,31.17,31.98,6361000,31.98
2011-04-19,31.03,31.50,30.76,31.07,4316400,31.07
2011-04-18,30.85,31.24,30.23,31.00,6154900,31.00
2011-04-15,30.79,31.51,30.50,31.34,7347100,31.34
2011-04-14,29.20,30.74,29.17,30.61,9212700,30.61
2011-04-13,29.67,29.87,28.93,29.76,6577000,29.76
2011-04-12,30.41,30.52,29.15,29.42,5372300,29.42
2011-04-11,31.71,31.80,30.64,30.84,4280800,30.84
2011-04-08,31.27,32.00,31.13,31.56,6770600,31.56
2011-04-07,29.94,30.71,29.88,30.50,4100800,30.50
2011-04-06,30.83,31.00,29.66,29.99,4810200,29.99
2011-04-05,30.19,30.71,30.02,30.56,3833700,30.56
2011-04-04,30.52,30.94,30.14,30.19,4351100,30.19
2011-04-01,30.60,30.96,30.20,30.38,5521900,30.38
2011-03-31,30.16,30.70,30.07,30.38,7379500,30.38
2011-03-30,30.02,30.19,29.60,30.07,6913200,30.07
2011-03-29,29.35,29.98,28.93,29.84,7092100,29.84
2011-03-28,29.56,29.58,28.92,29.40,6664800,29.40
2011-03-25,28.91,29.85,28.70,29.57,8311900,29.57
2011-03-24,28.18,28.95,27.85,28.88,7015700,28.88
2011-03-23,27.21,28.11,26.92,28.01,4545400,28.01
2011-03-22,27.64,27.80,27.13,27.20,3622200,27.20
2011-03-21,27.25,27.66,27.05,27.64,3451100,27.64
2011-03-18,27.76,27.76,26.64,26.72,5529400,26.72
2011-03-17,26.55,27.43,26.42,27.30,4653800,27.30
2011-03-16,26.44,27.00,25.65,25.99,4764700,25.99
2011-03-15,26.02,26.83,25.78,26.49,3586800,26.49
2011-03-14,26.77,27.15,26.38,27.11,3436400,27.11
2011-03-11,26.00,27.25,25.64,26.96,3519500,26.96
2011-03-10,26.81,27.03,26.09,26.11,5753600,26.11
2011-03-09,27.23,27.65,27.15,27.25,2835200,27.25
2011-03-08,27.64,27.70,27.09,27.36,3225100,27.36
2011-03-07,28.35,28.49,27.52,27.58,4303800,27.58
2011-03-04,28.27,28.46,27.90,28.26,4271600,28.26
2011-03-03,28.27,28.31,27.78,28.21,3490800,28.21
2011-03-02,27.25,28.15,27.15,27.99,4338900,27.99
2011-03-01,28.66,28.74,27.26,27.31,6156700,27.31
2011-02-28,28.80,28.80,27.91,28.47,4438400,28.47
2011-02-25,27.90,28.39,27.70,28.34,3903700,28.34
2011-02-24,28.45,28.60,27.51,27.65,5855800,27.65
2011-02-23,27.85,28.42,27.81,28.33,7628400,28.33
2011-02-22,28.47,28.78,27.59,27.79,9228400,27.79
2011-02-18,27.81,28.17,27.30,28.16,7666700,28.16
2011-02-17,26.93,28.05,26.69,27.68,11450100,27.68
2011-02-16,26.11,27.05,25.91,26.74,9307500,26.74
2011-02-15,26.43,26.46,25.52,25.93,5341000,25.93
2011-02-14,25.66,26.59,25.65,26.44,5160100,26.44
2011-02-11,25.50,25.93,25.35,25.71,3197200,25.71
2011-02-10,24.87,25.73,24.82,25.66,4220300,25.66
2011-02-09,25.54,26.13,24.82,25.09,4646000,25.09
2011-02-08,25.72,25.79,25.38,25.71,3504000,25.71
2011-02-07,25.88,26.63,25.79,25.84,3502900,25.84
2011-02-04,25.90,26.14,25.28,25.70,5450400,25.70
2011-02-03,25.27,25.99,25.04,25.89,5635200,25.89
2011-02-02,24.70,25.61,24.60,25.36,5716900,25.36
2011-02-01,24.67,25.00,24.48,24.83,4368500,24.83
2011-01-31,24.02,24.61,23.81,24.40,4070800,24.40
2011-01-28,24.19,24.43,23.83,23.84,6082800,23.84
2011-01-27,23.50,24.45,23.38,24.28,8235100,24.28
2011-01-26,22.33,23.50,22.26,23.39,5326400,23.39
2011-01-25,22.32,22.40,21.95,22.25,3623300,22.25
2011-01-24,22.37,22.56,21.99,22.46,3295900,22.46
2011-01-21,22.62,22.89,22.13,22.44,5574000,22.44
2011-01-20,22.28,22.40,21.50,22.33,4847800,22.33
2011-01-19,22.70,22.75,22.29,22.44,3610500,22.44
2011-01-18,22.37,22.73,22.32,22.68,3581100,22.68
2011-01-14,22.01,22.59,21.75,22.52,4655600,22.52
2011-01-13,22.48,22.56,21.96,22.08,4057400,22.08
2011-01-12,22.72,22.82,22.22,22.37,3692000,22.37
2011-01-11,22.45,22.76,22.32,22.47,3629600,22.47
2011-01-10,22.62,22.62,21.95,22.27,5989400,22.27
2011-01-07,22.85,23.06,22.15,22.76,5329600,22.76
2011-01-06,23.14,23.25,22.58,22.80,3270400,22.80
2011-01-05,22.57,23.36,22.50,23.18,4690000,23.18
2011-01-04,23.41,23.45,22.43,22.72,4790100,22.72
2011-01-03,23.74,23.74,23.24,23.35,2630500,23.35
