Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,61.15,61.20,60.77,60.88,1229300,58.67
2011-12-29,60.95,61.14,60.61,61.08,1212300,58.87
2011-12-28,60.71,60.97,60.60,60.67,1471200,58.47
2011-12-27,60.26,60.87,60.21,60.77,1478900,58.57
2011-12-23,59.68,60.34,59.68,60.25,1848300,58.07
2011-12-22,59.74,59.91,59.48,59.72,2630900,57.56
2011-12-21,58.88,59.92,58.86,59.68,2937300,57.52
2011-12-20,58.08,58.94,57.98,58.74,2642700,56.61
2011-12-19,57.71,58.01,57.30,57.55,1974700,55.46
2011-12-16,58.22,58.25,57.56,57.87,3967900,55.77
2011-12-15,57.82,58.08,57.42,57.91,2147900,55.81
2011-12-14,57.21,57.50,56.95,57.17,1931600,55.10
2011-12-13,57.29,57.98,57.05,57.38,1825200,55.30
2011-12-12,57.37,57.53,56.60,56.99,1756000,54.92
2011-12-09,56.92,57.58,56.73,57.48,1829700,55.40
2011-12-08,56.77,57.25,56.51,56.62,2152600,54.57
2011-12-07,56.59,57.27,56.48,57.08,1829300,55.01
2011-12-06,56.65,57.20,56.40,56.78,1876100,54.72
2011-12-05,56.55,56.98,56.09,56.51,2219200,54.46
2011-12-02,56.00,56.37,55.65,55.76,2488800,53.74
2011-12-01,55.44,55.97,55.34,55.58,1329100,53.57
2011-11-30,55.35,55.65,54.93,55.44,3092800,53.43
2011-11-29,53.83,54.59,53.72,54.40,1569200,52.43
2011-11-28,53.62,53.96,53.28,53.55,1994700,51.61
2011-11-25,52.35,52.93,52.32,52.57,989400,50.66
2011-11-23,53.15,53.29,52.37,52.38,2266700,50.48
2011-11-22,54.02,54.24,53.13,53.46,2040400,51.52
2011-11-21,55.16,55.28,54.45,54.70,2270900,52.19
2011-11-18,55.53,55.81,55.17,55.53,1856500,52.98
2011-11-17,55.46,55.95,54.97,55.38,2186400,52.84
2011-11-16,55.24,56.22,55.12,55.60,2528800,53.05
2011-11-15,55.30,55.87,55.01,55.65,3559100,53.09
2011-11-14,55.90,55.90,55.06,55.27,1275100,52.73
2011-11-11,55.66,56.21,55.66,55.82,1775800,53.26
2011-11-10,55.48,55.59,55.00,55.29,1553500,52.75
2011-11-09,55.76,55.76,54.72,54.88,2540500,52.36
2011-11-08,56.02,56.46,55.79,56.45,1670700,53.86
2011-11-07,55.65,56.67,55.43,56.03,3000600,53.46
2011-11-04,55.55,56.90,55.55,56.44,3605000,53.85
