Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,30.66,30.99,30.13,30.22,4430900,29.79
2011-12-29,30.69,31.02,30.57,30.72,1940100,30.28
2011-12-28,31.41,31.60,30.63,30.66,1943000,30.23
2011-12-27,31.55,31.83,31.44,31.46,1193000,31.01
2011-12-23,31.63,31.87,31.47,31.63,1740800,31.18
2011-12-22,31.67,31.84,31.32,31.64,2665400,31.19
2011-12-21,31.62,31.84,30.91,31.60,3032400,31.15
2011-12-20,30.55,32.02,30.52,31.77,6896200,31.32
2011-12-19,30.61,30.79,29.85,29.96,3203300,29.54
2011-12-16,30.78,31.03,30.21,30.60,3737600,30.17
2011-12-15,31.06,31.26,30.60,30.68,3020000,30.24
2011-12-14,31.07,31.45,30.50,30.71,4989500,30.27
2011-12-13,32.08,32.66,31.52,31.61,5054600,31.16
2011-12-12,32.52,32.52,31.34,31.87,3336600,31.42
2011-12-09,32.66,33.27,32.51,33.04,4176300,32.57
2011-12-08,33.50,33.91,32.13,32.66,6761700,32.20
2011-12-07,35.02,35.06,33.73,34.04,4434000,33.56
2011-12-06,35.14,35.47,34.72,35.21,2549700,34.71
2011-12-05,35.39,36.14,34.98,35.24,3482800,34.74
2011-12-02,35.11,35.44,34.51,34.65,4419000,34.16
2011-12-01,34.48,34.93,34.30,34.73,3004100,34.24
2011-11-30,35.15,35.55,34.03,34.53,8559800,34.04
2011-11-29,33.93,34.91,33.72,34.13,4249800,33.65
2011-11-28,33.93,34.31,33.52,33.87,3614900,33.39
2011-11-25,32.65,33.17,32.38,32.46,1265500,32.00
2011-11-23,33.89,34.00,32.70,32.70,4455600,32.24
2011-11-22,34.75,35.05,34.24,34.52,2951600,34.03
2011-11-21,34.54,34.89,33.93,34.71,3271100,34.22
2011-11-18,35.50,35.81,34.86,35.07,2824000,34.57
2011-11-17,36.57,36.83,34.80,35.13,5077100,34.63
2011-11-16,37.00,37.62,36.64,36.68,5293300,36.16
2011-11-15,36.96,37.63,36.90,37.28,3190900,36.75
2011-11-14,37.28,37.48,36.81,37.11,1477700,36.58
2011-11-11,37.28,38.16,37.20,37.59,2432900,37.06
2011-11-10,36.79,37.24,35.76,36.77,4519900,36.25
2011-11-09,36.86,37.05,35.76,35.92,5616300,35.41
2011-11-08,38.08,38.60,37.51,38.42,3250300,37.88
2011-11-07,37.91,38.20,36.90,37.90,3339900,37.36
2011-11-04,37.66,38.00,37.12,37.79,3576500,37.25
2011-11-03,36.42,38.28,36.04,38.06,9384000,37.52
2011-11-02,36.32,36.52,35.38,35.91,6084000,35.25
2011-11-01,34.61,35.87,34.02,35.41,7125400,34.76
2011-10-31,36.78,36.98,35.94,35.94,3659800,35.28
2011-10-28,37.00,37.67,36.49,37.55,4272900,36.86
2011-10-27,36.91,37.72,36.56,37.14,6089200,36.46
2011-10-26,35.50,35.98,34.44,35.69,4295100,35.03
2011-10-25,35.19,35.64,34.44,34.94,3996900,34.30
2011-10-24,34.90,35.87,34.75,35.49,4920200,34.84
2011-10-21,33.95,35.28,33.77,34.75,7987000,34.11
2011-10-20,31.10,33.49,30.77,33.45,8472100,32.84
2011-10-19,32.26,32.76,31.64,31.77,4021200,31.19
2011-10-18,31.17,32.62,30.58,32.40,5164800,31.81
2011-10-17,31.61,31.78,31.12,31.21,5542400,30.64
2011-10-14,30.57,31.54,30.57,31.48,3512900,30.90
2011-10-13,30.43,30.81,29.40,30.68,4652400,30.12
2011-10-12,30.88,31.50,30.55,30.57,4099500,30.01
2011-10-11,30.56,31.13,30.16,30.50,6997200,29.94
2011-10-10,30.32,31.00,30.16,30.86,3400300,30.29
2011-10-07,30.07,30.31,28.94,29.56,5850500,29.02
2011-10-06,29.24,30.23,28.53,30.00,4222200,29.45
2011-10-05,28.97,29.34,28.08,28.87,8787500,28.34
2011-10-04,28.04,28.99,27.33,28.98,6190300,28.45
2011-10-03,28.74,29.73,28.55,28.58,4233600,28.06
2011-09-30,29.76,30.50,29.32,29.35,3930900,28.81
2011-09-29,30.95,31.15,29.73,30.36,3547100,29.80
2011-09-28,31.90,31.99,30.16,30.20,3611700,29.65
