Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.77,38.64,37.72,37.73,1356200,37.73
2011-12-29,37.19,38.05,37.15,37.95,1845800,37.95
2011-12-28,37.77,37.99,36.74,37.20,2336600,37.20
2011-12-27,37.65,37.79,36.94,37.69,1772800,37.69
2011-12-23,38.24,38.33,37.33,37.59,1123900,37.59
2011-12-22,37.30,38.16,37.08,38.03,2630800,38.03
2011-12-21,37.68,37.90,36.50,37.06,3371600,37.06
2011-12-20,36.93,37.76,36.84,37.62,1818500,37.62
2011-12-19,37.15,37.24,35.79,35.89,2125000,35.89
2011-12-16,37.35,37.69,36.23,37.01,2933000,37.01
2011-12-15,38.32,38.33,36.52,36.97,2126300,36.97
2011-12-14,38.46,38.78,37.53,37.62,3075100,37.62
2011-12-13,40.76,41.13,38.64,39.02,1967100,39.02
2011-12-12,40.86,40.97,39.69,40.29,1740800,40.29
2011-12-09,41.47,42.08,40.86,41.88,2151900,41.88
2011-12-08,42.97,43.25,41.24,41.41,2038300,41.41
2011-12-07,43.19,43.72,42.32,43.17,2677700,43.17
2011-12-06,43.86,44.10,42.59,43.32,3492100,43.32
2011-12-05,45.99,46.65,43.40,44.03,5064900,44.03
2011-12-02,46.53,47.40,45.48,45.60,1911000,45.60
2011-12-01,45.60,46.74,45.50,45.92,2335700,45.92
2011-11-30,44.00,46.20,43.97,45.80,3471700,45.80
2011-11-29,41.31,42.72,41.09,42.26,3083800,42.26
2011-11-28,39.92,41.33,39.74,41.19,2471000,41.19
2011-11-25,38.74,39.37,38.48,38.54,680200,38.54
2011-11-23,39.17,39.33,38.20,38.85,2103900,38.85
2011-11-22,40.69,41.10,39.84,39.99,1748400,39.99
2011-11-21,40.58,41.31,39.76,40.78,3247500,40.78
2011-11-18,41.08,41.24,40.18,40.87,2328400,40.87
2011-11-17,42.26,42.71,40.22,40.60,2226300,40.60
2011-11-16,42.54,43.79,42.35,42.41,3462300,42.41
2011-11-15,42.95,43.44,42.21,42.93,1393700,42.93
2011-11-14,43.59,43.79,42.58,43.14,1131300,43.14
2011-11-11,43.05,44.09,42.77,44.01,2169300,44.01
2011-11-10,41.04,42.83,40.37,42.43,2708000,42.43
2011-11-09,41.39,41.50,40.05,40.22,2461000,40.22
2011-11-08,42.63,42.93,41.42,42.83,1428100,42.83
2011-11-07,43.02,43.79,41.50,42.16,2099400,42.16
2011-11-04,41.71,43.32,41.71,42.92,2241500,42.92
2011-11-03,41.96,42.57,40.69,42.31,2678100,42.31
2011-11-02,40.00,41.16,39.55,41.09,3037500,41.09
2011-11-01,38.68,39.60,38.00,38.75,3961200,38.75
2011-10-31,41.41,41.41,40.13,40.26,2863800,40.26
2011-10-28,40.50,42.14,40.29,42.00,3017500,42.00
2011-10-27,39.19,41.45,39.19,40.72,5158600,40.72
2011-10-26,37.82,38.44,37.13,38.14,5506000,38.14
2011-10-25,37.04,38.20,36.00,37.19,5569200,37.19
2011-10-24,36.30,37.84,36.22,37.15,3236300,37.15
2011-10-21,36.35,36.75,35.49,36.73,4715200,36.73
2011-10-20,36.14,37.42,34.42,35.81,15008700,35.81
2011-10-19,41.32,42.55,41.06,42.05,5097700,42.05
2011-10-18,40.36,41.84,39.97,41.14,5276900,41.14
2011-10-17,41.56,42.23,40.41,40.51,3786600,40.51
2011-10-14,41.76,42.22,40.84,41.68,4906200,41.68
2011-10-13,41.95,41.95,40.02,40.80,4439000,40.80
2011-10-12,42.77,43.60,42.40,42.42,3207800,42.42
2011-10-11,42.56,43.06,41.76,42.34,2419300,42.34
2011-10-10,41.61,43.56,41.61,43.13,1584900,43.13
2011-10-07,42.81,42.81,40.39,40.65,2084000,40.65
2011-10-06,40.89,42.71,40.66,42.35,3235800,42.35
2011-10-05,39.23,41.44,38.33,41.26,2813900,41.26
2011-10-04,35.96,39.24,34.99,39.15,2002800,39.15
2011-10-03,39.22,39.43,36.71,37.01,2542900,37.01
2011-09-30,39.98,40.32,39.16,39.69,2992300,39.69
2011-09-29,42.65,42.97,39.92,40.82,2102600,40.82
2011-09-28,43.26,43.78,41.27,41.34,2093300,41.34
2011-09-27,43.62,45.19,43.10,43.40,1865700,43.40
2011-09-26,40.71,42.27,39.32,42.23,1614200,42.23
2011-09-23,40.65,41.43,39.92,40.32,1695700,40.32
2011-09-22,42.61,42.71,39.57,40.79,2699700,40.79
2011-09-21,47.57,48.76,44.25,44.30,2845900,44.30
2011-09-20,49.04,49.87,47.56,47.62,2470300,47.62
2011-09-19,47.58,49.05,46.92,48.51,2276000,48.51
2011-09-16,49.31,50.29,48.52,48.96,2690100,48.96
2011-09-15,48.83,49.31,48.28,48.97,1352200,48.97
2011-09-14,47.11,48.89,46.27,48.18,2353500,48.18
2011-09-13,46.71,47.23,45.56,46.81,2268900,46.81
2011-09-12,46.65,47.25,45.28,46.30,2744500,46.30
2011-09-09,49.16,49.98,47.08,47.60,2516600,47.60
2011-09-08,49.36,50.87,49.10,49.98,3139500,49.98
2011-09-07,48.57,49.88,48.01,49.86,2314900,49.86
2011-09-06,46.24,47.17,45.64,47.08,1362200,47.08
2011-09-02,48.83,48.96,47.49,47.99,1657600,47.99
2011-09-01,51.51,52.10,50.12,50.15,1635300,50.15
2011-08-31,50.80,51.55,50.50,51.05,2045500,51.05
2011-08-30,49.23,50.82,48.71,50.37,1748100,50.37
2011-08-29,48.97,49.84,48.97,49.45,1986100,49.45
2011-08-26,46.09,48.39,45.20,48.10,1562800,48.10
2011-08-25,48.63,49.25,46.33,46.57,1562100,46.57
2011-08-24,47.36,48.36,46.57,48.33,1857900,48.33
2011-08-23,45.59,47.55,44.69,47.53,2945200,47.53
2011-08-22,48.17,48.50,45.27,45.55,2891100,45.55
2011-08-19,47.47,48.40,46.66,46.74,2263500,46.74
2011-08-18,51.46,51.46,47.90,48.47,3320100,48.47
2011-08-17,53.87,54.81,53.31,53.40,2995600,53.40
2011-08-16,55.15,55.55,53.08,53.18,3020600,53.18
2011-08-15,55.18,56.59,55.16,56.20,1623700,56.20
2011-08-12,54.57,56.52,54.07,54.50,2858000,54.50
2011-08-11,50.38,54.53,49.74,53.70,3997600,53.70
2011-08-10,50.13,52.09,49.41,49.58,2621100,49.58
2011-08-09,50.22,52.20,48.17,52.14,3213100,52.14
