Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,23.81,23.97,23.80,23.81,2059000,22.92
2011-12-29,23.64,23.91,23.64,23.88,1288600,22.99
2011-12-28,23.64,23.77,23.52,23.64,2161800,22.75
2011-12-27,23.47,23.68,23.33,23.66,1132300,22.77
2011-12-23,23.32,23.50,23.24,23.42,1074200,22.54
2011-12-22,23.31,23.31,23.08,23.19,1408400,22.32
2011-12-21,22.94,23.23,22.81,23.21,2745000,22.34
2011-12-20,22.40,22.94,22.35,22.90,2450800,22.04
2011-12-19,22.65,22.70,22.06,22.13,1987100,21.30
2011-12-16,22.39,22.57,22.34,22.53,5608600,21.69
2011-12-15,22.01,22.32,21.97,22.28,3014200,21.45
2011-12-14,22.25,22.33,21.87,21.87,2808800,21.05
2011-12-13,21.96,22.47,21.87,22.25,2876200,21.42
2011-12-12,22.15,22.17,21.67,21.87,2131600,21.05
2011-12-09,21.97,22.31,21.91,22.25,3027800,21.42
2011-12-08,22.30,22.30,21.85,21.85,3438000,21.03
2011-12-07,22.48,22.52,22.23,22.34,2351800,21.50
2011-12-06,22.57,22.76,22.45,22.59,1995000,21.74
2011-12-05,22.83,23.03,22.51,22.64,2446100,21.79
2011-12-02,22.96,22.96,22.54,22.56,2568700,21.71
2011-12-01,22.77,22.99,22.75,22.82,2266200,21.96
2011-11-30,22.55,22.93,22.51,22.91,3390700,22.05
2011-11-29,21.60,22.14,21.60,22.10,2897100,21.27
2011-11-28,21.80,21.85,21.40,21.51,2576500,20.70
2011-11-25,21.20,21.54,21.17,21.35,835700,20.55
2011-11-23,21.37,21.44,21.20,21.23,2427000,20.43
2011-11-22,21.58,21.83,21.42,21.53,2980600,20.72
2011-11-21,21.81,21.84,21.45,21.62,2516700,20.81
2011-11-18,22.11,22.17,21.97,22.00,2874700,21.18
2011-11-17,21.81,22.16,21.71,21.99,3532100,21.17
2011-11-16,21.94,22.15,21.83,21.84,2392700,21.02
2011-11-15,22.08,22.16,21.94,22.11,2031200,21.28
2011-11-14,22.36,22.38,22.04,22.07,1909000,21.24
2011-11-11,22.19,22.49,22.19,22.47,2428200,21.63
2011-11-10,21.96,22.08,21.67,21.92,2889000,21.10
2011-11-09,22.09,22.09,21.61,21.70,4330100,20.89
2011-11-08,22.24,22.42,21.98,22.34,3165400,21.50
2011-11-07,22.27,22.28,21.89,22.18,3382900,21.35
2011-11-04,22.09,22.30,21.79,22.23,3030100,21.40
2011-11-03,22.01,22.21,21.87,22.15,2236200,21.32
2011-11-02,21.57,21.91,21.57,21.78,3877700,20.96
2011-11-01,21.56,21.72,21.21,21.32,4430400,20.52
2011-10-31,22.36,22.48,22.07,22.09,3184300,21.26
2011-10-28,22.40,22.84,22.27,22.52,6393500,21.68
2011-10-27,22.57,22.71,22.16,22.40,7236600,21.56
2011-10-26,22.90,22.98,22.37,22.41,5197800,21.35
2011-10-25,22.81,22.87,22.60,22.61,2440600,21.54
2011-10-24,22.87,22.95,22.77,22.92,7188500,21.83
2011-10-21,22.67,22.90,22.58,22.90,6396800,21.82
2011-10-20,22.34,22.62,22.25,22.39,7761800,21.33
2011-10-19,22.52,23.00,22.18,22.24,5436000,21.19
2011-10-18,22.22,22.80,21.81,22.47,5910500,21.41
2011-10-17,21.99,22.30,21.85,22.13,4292900,21.08
2011-10-14,22.03,22.14,21.63,21.75,4864600,20.72
2011-10-13,21.51,21.83,21.38,21.77,3519800,20.74
2011-10-12,21.69,21.86,21.48,21.55,3728300,20.53
2011-10-11,22.11,22.14,21.56,21.59,4113400,20.57
2011-10-10,21.85,22.28,21.85,22.25,2493000,21.20
2011-10-07,21.76,21.84,21.51,21.55,2999700,20.53
2011-10-06,21.38,21.71,21.20,21.71,2433300,20.68
2011-10-05,21.20,21.46,20.87,21.41,3157600,20.40
2011-10-04,20.69,21.21,20.31,21.18,4209200,20.18
2011-10-03,21.37,21.51,20.86,20.86,4633700,19.87
2011-09-30,21.52,21.79,21.35,21.38,3694800,20.37
2011-09-29,21.69,21.82,21.29,21.66,4297800,20.63
2011-09-28,21.71,22.10,21.29,21.42,4988500,20.41
2011-09-27,21.46,21.86,21.44,21.58,4478800,20.56
2011-09-26,21.27,21.41,20.98,21.34,3261000,20.33
2011-09-23,20.87,21.26,20.80,21.09,3733000,20.09
2011-09-22,21.12,21.17,20.69,20.91,4626600,19.92
2011-09-21,22.50,22.57,21.65,21.67,4096800,20.64
2011-09-20,22.36,22.91,22.23,22.51,3473600,21.44
2011-09-19,21.86,22.29,21.78,22.21,2338000,21.16
2011-09-16,22.21,22.43,22.10,22.18,2884900,21.13
