Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,97.39,97.54,96.37,96.37,3304800,47.49
2011-12-29,96.55,97.92,96.49,97.46,4286000,48.02
2011-12-28,97.93,98.00,96.28,96.43,3415200,47.51
2011-12-27,96.98,98.00,96.51,97.77,3224200,48.18
2011-12-23,95.27,96.93,94.77,96.90,3582800,47.75
2011-12-22,96.59,96.59,94.25,94.82,5854800,46.72
2011-12-21,95.83,97.29,94.29,96.35,12522400,47.48
2011-12-20,94.48,95.90,92.89,93.63,9150600,46.14
2011-12-19,93.92,94.14,93.06,93.38,4378400,46.01
2011-12-16,94.78,95.08,93.55,93.67,6392800,46.16
2011-12-15,95.44,95.74,93.41,94.08,5366200,46.36
2011-12-14,94.97,95.72,93.75,94.39,4727800,46.51
2011-12-13,97.13,97.79,94.41,95.05,5357000,46.84
2011-12-12,97.34,97.75,95.78,96.95,5425600,47.77
2011-12-09,95.48,98.25,95.30,97.68,6211600,48.13
2011-12-08,95.60,96.48,95.00,95.18,4696200,46.90
2011-12-07,96.78,96.99,95.26,95.89,5604600,47.25
2011-12-06,97.20,97.24,95.96,96.25,3494000,47.43
2011-12-05,96.73,97.49,95.94,96.60,4428000,47.60
2011-12-02,95.78,96.71,95.51,96.25,4733000,47.43
2011-12-01,95.36,96.34,94.51,95.25,4780200,46.93
2011-11-30,97.08,97.50,94.92,96.18,6746600,47.21
2011-11-29,95.26,95.43,94.31,94.87,5508400,46.57
2011-11-28,92.04,95.83,91.90,94.91,7721400,46.59
2011-11-25,90.66,91.86,90.28,90.28,1738000,44.32
2011-11-23,90.73,91.97,90.50,90.93,3735400,44.64
2011-11-22,91.19,92.62,90.99,91.63,3829200,44.98
2011-11-21,91.62,92.16,89.79,91.06,3677200,44.70
2011-11-18,92.62,93.48,91.45,92.75,4720600,45.53
2011-11-17,93.13,93.68,90.90,91.89,4517600,45.11
2011-11-16,95.14,95.50,93.54,93.70,4425000,46.00
2011-11-15,95.26,96.60,94.67,95.95,3507000,47.10
2011-11-14,95.84,96.89,95.20,95.75,3424800,47.00
2011-11-11,94.75,96.41,94.45,96.15,4054200,47.20
2011-11-10,93.42,94.54,92.57,93.92,4697000,46.10
2011-11-09,93.47,94.05,91.61,92.36,5853400,45.34
2011-11-08,94.39,95.64,93.70,95.42,4829800,46.84
2011-11-07,94.52,95.30,93.44,93.80,4365400,46.05
2011-11-04,95.20,95.99,93.61,94.38,4119800,46.33
2011-11-03,96.15,96.24,93.57,95.68,5396600,46.97
2011-11-02,95.65,95.80,94.09,94.94,5812400,46.61
2011-11-01,93.51,95.43,93.46,93.88,5323600,46.09
2011-10-31,95.76,97.68,95.54,96.35,6114200,47.30
2011-10-28,95.66,96.93,94.92,96.75,6111000,47.49
2011-10-27,96.17,96.49,95.43,95.83,7720600,47.04
2011-10-26,94.64,94.99,92.73,94.21,4777800,46.25
2011-10-25,94.11,95.34,93.47,93.75,4744600,46.02
2011-10-24,94.34,95.93,94.12,95.07,6587000,46.67
2011-10-21,92.80,94.35,92.53,94.35,6184200,46.32
2011-10-20,91.64,92.46,90.69,91.89,4222600,45.11
2011-10-19,91.67,92.50,91.07,91.29,4283200,44.81
2011-10-18,90.61,92.33,87.98,91.48,5563200,44.91
2011-10-17,92.27,92.90,90.71,91.02,4102800,44.68
2011-10-14,92.58,93.18,91.91,92.97,4285600,45.64
2011-10-13,91.42,92.50,90.93,92.21,4232400,45.27
2011-10-12,90.33,92.50,89.95,91.79,7027800,45.06
2011-10-11,89.79,90.70,89.43,89.85,4343800,44.11
2011-10-10,89.78,90.87,89.34,90.72,4104200,44.53
