Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,67.83,68.67,67.53,67.99,1639700,67.54
2011-12-29,67.09,68.24,66.99,67.87,2154000,67.42
2011-12-28,68.78,68.79,66.73,66.83,2211700,66.39
2011-12-27,68.40,69.10,68.02,68.64,2216200,68.19
2011-12-23,68.52,68.79,68.15,68.47,2163400,68.02
2011-12-22,67.56,68.63,66.86,68.29,3320600,67.84
2011-12-21,67.37,67.90,65.39,67.34,3670400,66.90
2011-12-20,65.82,67.69,65.79,67.36,3754600,66.92
2011-12-19,65.87,65.93,63.63,63.84,3349800,63.42
2011-12-16,64.92,66.03,64.07,65.53,5430700,65.10
2011-12-15,67.22,67.33,63.87,64.23,4911400,63.81
2011-12-14,67.62,68.44,65.58,65.97,5380100,65.54
2011-12-13,71.37,72.68,68.36,68.95,4451900,68.50
2011-12-12,72.14,72.18,69.35,70.75,4428500,70.28
2011-12-09,71.23,73.84,71.03,73.40,3257300,72.92
2011-12-08,72.36,73.42,70.67,71.03,4494900,70.56
2011-12-07,72.95,73.35,71.86,72.74,4051700,72.26
2011-12-06,73.45,74.00,71.85,73.10,3922900,72.62
2011-12-05,72.90,73.38,72.23,73.14,4477500,72.66
2011-12-02,72.39,73.09,70.82,71.05,4072400,70.58
2011-12-01,71.35,72.68,70.92,71.43,3504000,70.96
2011-11-30,70.67,72.02,70.13,71.70,5631700,71.23
2011-11-29,66.08,69.09,65.67,67.65,5156600,67.09
2011-11-28,66.70,67.00,65.07,65.81,6333000,65.26
2011-11-25,63.41,65.46,63.05,64.52,2105300,63.98
2011-11-23,63.43,64.64,62.90,63.76,5056400,63.23
2011-11-22,65.60,66.14,63.57,64.61,5298300,64.07
2011-11-21,66.40,66.52,64.79,65.72,5435900,65.17
2011-11-18,68.97,69.26,66.64,67.50,4801300,66.94
2011-11-17,70.40,70.56,67.06,67.87,5785900,67.30
2011-11-16,69.92,73.15,69.81,70.78,4421600,70.19
2011-11-15,69.70,71.35,69.07,70.65,2664700,70.06
2011-11-14,70.59,70.70,68.88,69.94,2618800,69.36
2011-11-11,69.93,71.36,69.46,71.05,3098500,70.46
2011-11-10,68.80,69.21,66.76,68.80,5320900,68.23
2011-11-09,68.22,70.04,66.90,67.05,5818200,66.49
2011-11-08,71.78,72.95,70.43,72.65,3515500,72.04
2011-11-07,70.93,72.45,69.76,71.11,4051300,70.52
2011-11-04,72.00,72.83,70.23,71.08,5272900,70.49
2011-11-03,70.98,73.03,69.77,72.76,4453700,72.15
2011-11-02,70.49,70.56,68.50,70.15,5398700,69.57
2011-11-01,66.73,69.62,65.00,68.38,7891100,67.81
2011-10-31,74.49,74.75,71.28,71.33,5108100,70.74
2011-10-28,73.96,75.85,73.65,75.73,5310000,75.10
2011-10-27,72.26,76.05,72.24,74.72,7604800,74.10
2011-10-26,69.41,70.20,67.38,69.45,5322800,68.87
2011-10-25,71.05,71.15,64.98,67.99,7074400,67.42
2011-10-24,66.26,68.64,66.26,68.41,6075100,67.84
2011-10-21,65.93,67.11,64.75,65.72,4773100,65.17
2011-10-20,64.44,65.78,63.31,65.13,4710300,64.59
2011-10-19,65.62,66.65,63.72,64.15,4431200,63.62
2011-10-18,62.86,66.56,61.80,65.73,5697900,65.18
2011-10-17,65.99,66.01,62.57,62.73,3864000,62.21
2011-10-14,64.46,66.50,64.28,66.41,4217700,65.86
2011-10-13,62.52,63.33,61.21,62.96,4855500,62.44
2011-10-12,63.11,64.64,62.43,62.85,6383900,62.33
2011-10-11,61.00,63.63,60.49,62.74,6251800,62.22
2011-10-10,60.36,62.02,60.23,61.43,5332500,60.92
2011-10-07,60.12,60.22,57.83,58.81,7496700,58.32
2011-10-06,55.42,59.59,55.29,59.47,11124500,58.97
2011-10-05,52.53,55.14,51.74,55.11,7927800,54.65
2011-10-04,48.66,52.83,47.97,52.78,7396900,52.34
2011-10-03,50.62,52.63,50.13,50.23,6954100,49.81
2011-09-30,51.54,52.90,49.57,51.22,8489400,50.79
2011-09-29,55.27,55.53,51.46,52.78,7102400,52.34
2011-09-28,55.82,56.24,53.67,53.95,6256700,53.50
2011-09-27,57.39,58.35,56.25,56.75,7043700,56.28
2011-09-26,53.91,55.21,50.98,55.05,7305900,54.59
2011-09-23,53.12,54.23,52.09,53.23,10057800,52.79
2011-09-22,55.44,55.93,53.06,54.41,10579700,53.96
2011-09-21,61.42,61.64,57.92,58.04,7460500,57.56
2011-09-20,63.97,64.35,61.59,61.69,5536700,61.18
2011-09-19,63.53,64.13,62.18,63.47,3648100,62.94
2011-09-16,65.97,66.50,64.08,65.03,3859600,64.49
2011-09-15,65.88,66.47,65.08,65.73,3801500,65.18
2011-09-14,64.12,65.85,62.56,64.82,4087100,64.28
2011-09-13,62.80,64.35,62.04,63.82,4146100,63.29
2011-09-12,60.88,63.40,60.84,63.27,4804500,62.74
2011-09-09,63.66,64.44,61.60,62.66,4876900,62.14
2011-09-08,65.64,66.92,64.64,65.09,3353100,64.55
2011-09-07,64.96,66.10,64.42,65.97,4242900,65.42
2011-09-06,61.23,63.75,61.07,63.68,3689100,63.04
2011-09-02,63.62,64.62,62.50,63.64,3216000,63.00
2011-09-01,66.34,66.86,64.93,65.18,3849400,64.52
2011-08-31,67.73,68.39,65.21,66.12,5341300,65.46
2011-08-30,65.96,67.65,64.89,67.01,4547500,66.34
2011-08-29,65.00,66.63,64.70,66.59,3750000,65.92
2011-08-26,62.03,64.39,61.23,63.73,4420100,63.09
2011-08-25,65.10,65.65,62.24,62.62,4604100,61.99
2011-08-24,63.41,64.42,62.24,64.39,4347700,63.74
2011-08-23,60.64,63.71,59.99,63.65,4615700,63.01
2011-08-22,62.75,62.97,60.14,60.37,6170800,59.76
2011-08-19,61.61,63.93,60.50,60.71,6492800,60.10
2011-08-18,65.54,65.86,62.42,63.25,7359200,62.61
2011-08-17,69.40,70.24,67.57,68.31,4305500,67.62
2011-08-16,69.33,70.31,67.71,68.37,6156000,67.68
2011-08-15,69.47,70.95,68.38,70.29,7055900,69.58
2011-08-12,66.99,67.87,65.85,66.78,4815800,66.11
2011-08-11,64.18,67.22,62.75,66.13,5907400,65.47
2011-08-10,65.64,66.69,63.24,63.39,9499600,62.75
2011-08-09,63.45,66.46,60.73,66.39,9798000,65.72
2011-08-08,62.24,66.83,60.00,60.26,10151700,59.65
2011-08-05,70.50,71.69,63.03,67.48,9257800,66.80
2011-08-04,76.36,76.36,68.10,68.36,9084500,67.67
2011-08-03,78.17,78.24,75.03,77.58,5447200,76.80
2011-08-02,79.02,80.77,78.07,78.12,4763900,77.33
2011-08-01,81.93,82.28,78.83,79.91,3817300,79.11
2011-07-29,80.09,81.19,79.59,80.57,4040600,79.76
2011-07-28,80.12,82.23,80.02,81.25,5459700,80.43
2011-07-27,81.03,82.18,79.27,80.00,5997000,79.20
2011-07-26,83.26,86.71,81.90,81.96,7083600,81.14
2011-07-25,81.56,83.36,81.40,82.31,3655600,81.48
2011-07-22,81.53,83.34,81.32,83.31,5878500,82.47
2011-07-21,79.43,81.73,79.37,81.47,5469300,80.65
2011-07-20,79.92,80.10,78.35,78.94,2642100,78.15
2011-07-19,78.69,80.12,78.23,80.07,3070400,79.27
2011-07-18,78.32,78.92,77.34,77.91,2565700,77.13
2011-07-15,77.00,78.85,76.82,78.56,2906200,77.77
2011-07-14,77.82,78.59,76.05,76.41,3264800,75.64
2011-07-13,77.07,79.30,76.87,77.30,3383800,76.52
2011-07-12,76.83,77.83,76.16,76.43,3748300,75.66
2011-07-11,79.03,79.24,76.33,77.29,4066000,76.51
2011-07-08,79.19,80.40,78.79,80.21,2711900,79.40
2011-07-07,81.22,81.90,79.40,80.95,4371700,80.14
2011-07-06,79.56,80.56,78.78,80.16,3284700,79.35
2011-07-05,77.97,80.57,77.54,80.05,4517400,79.25
2011-07-01,77.59,78.34,76.57,78.31,3052600,77.52
2011-06-30,76.19,78.39,76.01,78.21,4908600,77.42
2011-06-29,75.03,77.07,74.20,75.80,6139700,75.04
2011-06-28,71.62,74.82,71.15,74.56,4177900,73.81
2011-06-27,69.82,71.13,69.41,70.70,2831600,69.99
2011-06-24,71.82,72.13,70.10,70.10,4614700,69.40
2011-06-23,70.41,71.98,69.32,71.81,4527700,71.09
2011-06-22,71.86,73.46,71.56,72.10,2617700,71.38
2011-06-21,70.43,72.13,70.28,71.72,2574900,71.00
2011-06-20,68.97,70.34,68.50,69.90,2911300,69.20
2011-06-17,70.48,70.74,68.76,69.05,4859400,68.36
2011-06-16,70.00,70.79,68.85,69.98,3534700,69.28
2011-06-15,70.84,71.77,69.83,70.12,4533600,69.42
2011-06-14,70.35,72.21,70.17,71.63,3631200,70.91
2011-06-13,69.08,71.63,68.05,69.08,3952400,68.39
2011-06-10,72.25,72.25,70.46,70.74,4355400,70.03
2011-06-09,72.16,73.57,71.63,73.00,3313100,72.27
2011-06-08,71.22,72.20,70.61,71.35,3226600,70.63
2011-06-07,71.78,72.41,71.05,71.22,3041100,70.40
2011-06-06,73.04,73.68,71.18,71.19,3373400,70.37
2011-06-03,71.21,73.91,70.74,73.34,4259000,72.49
2011-06-02,71.73,73.19,71.38,72.36,3030000,71.52
2011-06-01,72.29,72.66,71.47,71.54,4785800,70.71
2011-05-31,73.99,74.00,71.98,72.58,4693900,71.74
2011-05-27,72.94,74.00,72.29,72.86,3672500,72.02
2011-05-26,72.02,72.78,71.46,72.55,4469100,71.71
2011-05-25,72.34,73.11,67.74,72.34,10417500,71.50
2011-05-24,67.24,68.50,67.04,68.47,6642000,67.68
2011-05-23,66.51,67.25,65.50,66.77,4601100,66.00
2011-05-20,68.26,68.56,67.06,67.76,5288900,66.98
2011-05-19,68.08,68.40,66.57,67.93,5091600,67.14
2011-05-18,65.86,68.82,65.22,67.74,7243300,66.96
2011-05-17,66.40,67.29,65.09,65.40,8540600,64.64
2011-05-16,67.82,69.05,66.62,66.86,6263400,66.09
2011-05-13,68.54,69.31,67.55,68.02,5009900,67.23
2011-05-12,67.39,69.07,66.11,68.17,7377100,67.38
2011-05-11,70.93,70.93,67.98,68.30,6399100,67.51
2011-05-10,70.66,72.08,69.82,71.49,4404500,70.66
2011-05-09,69.26,71.07,69.25,70.67,3832400,69.85
2011-05-06,69.66,71.19,68.12,68.60,5067000,67.81
2011-05-05,68.51,70.23,67.62,68.70,7539700,67.90
2011-05-04,72.13,72.32,68.32,69.92,10298300,69.11
2011-05-03,74.26,74.73,71.81,72.38,6190600,71.54
2011-05-02,77.02,77.81,74.14,74.73,4068300,73.86
2011-04-29,76.92,77.93,76.15,76.69,3876900,75.80
2011-04-28,77.68,77.98,75.69,76.98,5359100,76.09
2011-04-27,80.54,80.54,74.89,76.88,9946000,75.99
2011-04-26,79.43,80.65,78.71,80.60,3900000,79.67
2011-04-25,78.93,79.73,78.39,79.40,2015200,78.48
2011-04-21,79.01,79.66,78.01,79.23,2493000,78.31
2011-04-20,78.69,78.93,77.15,78.63,3077300,77.72
2011-04-19,76.33,77.84,76.26,77.51,2665400,76.61
2011-04-18,75.67,77.03,74.46,76.22,3690700,75.34
2011-04-15,75.70,76.57,75.43,76.50,3429000,75.61
2011-04-14,74.43,76.25,74.26,76.00,4043000,75.12
2011-04-13,75.10,75.64,74.14,75.07,4681600,74.20
2011-04-12,76.59,76.67,73.34,74.64,6505500,73.78
2011-04-11,79.80,80.48,77.14,77.51,3326000,76.61
2011-04-08,78.74,80.30,78.72,79.63,3494500,78.71
2011-04-07,78.32,78.75,77.06,78.51,3914100,77.60
2011-04-06,80.99,81.55,77.96,78.57,3888600,77.66
2011-04-05,81.06,81.75,80.25,80.48,3248200,79.55
2011-04-04,81.04,81.99,80.68,81.46,3025300,80.52
2011-04-01,80.00,81.33,80.00,80.68,3292400,79.75
2011-03-31,80.76,81.43,79.19,79.27,3838600,78.35
2011-03-30,82.76,82.80,79.74,79.90,5113000,78.97
2011-03-29,80.37,82.61,80.12,82.26,3327400,81.31
2011-03-28,80.55,81.90,79.47,80.72,3176800,79.79
2011-03-25,79.99,81.12,79.34,80.65,2963900,79.72
2011-03-24,79.97,80.20,78.15,80.20,3164900,79.27
2011-03-23,78.83,79.75,77.88,79.56,2901800,78.64
2011-03-22,79.17,79.67,78.25,78.61,2631600,77.70
