Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,18.29,18.32,18.03,18.12,1598800,17.96
2011-12-29,18.28,18.29,18.07,18.25,1861600,18.09
2011-12-28,18.59,18.59,18.16,18.17,1352300,18.01
2011-12-27,18.48,18.72,18.48,18.58,1464500,18.42
2011-12-23,18.71,18.76,18.47,18.57,1265000,18.41
2011-12-22,18.59,18.75,18.43,18.66,2176600,18.50
2011-12-21,18.63,18.75,18.32,18.64,2834200,18.48
2011-12-20,17.88,18.68,17.86,18.62,3500900,18.46
2011-12-19,18.23,18.40,17.47,17.57,3025600,17.42
2011-12-16,18.31,18.52,18.02,18.31,4341200,18.15
2011-12-15,18.28,18.44,18.18,18.21,2050500,18.05
2011-12-14,18.27,18.39,17.97,18.00,2350300,17.84
2011-12-13,18.37,18.87,18.33,18.39,3283200,18.23
2011-12-12,18.75,18.79,18.16,18.29,2997300,18.13
2011-12-09,18.64,18.98,18.64,18.93,3103000,18.77
2011-12-08,19.12,19.33,18.57,18.61,3208000,18.45
2011-12-07,19.22,19.69,19.14,19.53,2900900,19.36
2011-12-06,19.38,19.47,19.34,19.37,2945000,19.20
2011-12-05,19.61,19.71,19.32,19.38,2841300,19.21
2011-12-02,19.82,19.82,19.33,19.37,2961200,19.20
2011-12-01,19.69,19.85,19.60,19.67,2719500,19.50
2011-11-30,19.50,19.70,19.28,19.68,3915300,19.51
2011-11-29,19.14,19.17,18.86,19.01,2216900,18.85
2011-11-28,19.21,19.46,18.79,19.01,2168400,18.85
2011-11-25,18.81,19.01,18.71,18.71,1996800,18.55
2011-11-23,19.67,19.69,18.76,18.77,3887700,18.61
2011-11-22,20.18,20.18,19.78,19.86,1714000,19.69
2011-11-21,20.29,20.34,19.95,20.16,3165400,19.99
2011-11-18,20.86,21.01,20.52,20.52,3235400,20.34
2011-11-17,20.85,21.06,20.48,20.74,2452500,20.56
2011-11-16,21.19,21.28,20.82,20.87,2783000,20.69
2011-11-15,21.53,21.64,21.36,21.36,2017000,21.18
2011-11-14,21.93,22.04,21.52,21.59,1690900,21.40
2011-11-11,21.98,22.07,21.77,21.91,1573500,21.72
2011-11-10,22.03,22.13,21.46,21.64,2535800,21.45
2011-11-09,21.91,22.04,21.56,21.62,2704100,21.43
2011-11-08,22.06,22.61,21.94,22.57,2384100,22.38
2011-11-07,21.45,22.10,21.36,21.96,3328500,21.77
2011-11-04,21.50,21.65,21.31,21.52,3326000,21.33
2011-11-03,21.09,22.46,20.71,21.69,3774400,21.50
2011-11-02,20.77,21.11,20.75,21.00,2356700,20.82
2011-11-01,20.76,21.02,20.42,20.51,2520500,20.33
2011-10-31,21.43,21.66,21.18,21.42,1975800,21.24
2011-10-28,21.89,21.92,21.57,21.71,2878800,21.52
2011-10-27,21.30,22.16,21.26,21.92,3638700,21.73
2011-10-26,21.20,21.27,20.59,20.81,2337000,20.63
2011-10-25,21.40,21.40,20.88,20.92,1699000,20.74
2011-10-24,21.42,21.67,21.21,21.48,2257700,21.29
2011-10-21,21.16,21.63,21.08,21.43,2043800,21.24
2011-10-20,20.89,20.99,20.45,20.92,2390500,20.74
2011-10-19,21.01,21.41,20.79,20.89,2788900,20.71
2011-10-18,20.58,21.11,20.34,21.03,2876400,20.85
2011-10-17,21.03,21.16,20.47,20.52,2066400,20.34
