Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,16.36,16.45,16.13,16.15,1568400,15.79
2011-12-29,16.00,16.47,16.00,16.42,1634700,16.05
2011-12-28,16.01,16.05,15.85,15.97,1665100,15.61
2011-12-27,16.07,16.20,15.97,16.06,998900,15.70
2011-12-23,15.94,16.13,15.81,16.08,1812600,15.72
2011-12-22,15.86,16.00,15.78,15.86,1255800,15.51
2011-12-21,15.40,15.82,15.29,15.79,2403000,15.44
2011-12-20,14.93,15.43,14.93,15.37,2159200,15.03
2011-12-19,15.04,15.26,14.64,14.67,1670200,14.34
2011-12-16,15.17,15.28,14.96,14.99,2579300,14.66
2011-12-15,14.97,15.12,14.86,15.05,2340100,14.72
2011-12-14,14.94,15.08,14.82,14.82,2497600,14.49
2011-12-13,15.53,15.77,14.92,15.08,3224200,14.74
2011-12-12,15.48,15.50,15.21,15.39,1988600,15.05
2011-12-09,15.29,15.76,15.19,15.60,2725200,15.25
2011-12-08,15.57,15.58,15.16,15.19,2682300,14.85
2011-12-07,15.29,15.74,15.17,15.66,3057300,15.31
2011-12-06,15.31,15.39,15.06,15.31,2098200,14.97
2011-12-05,15.25,15.47,15.16,15.27,2361800,14.93
2011-12-02,15.31,15.34,14.99,15.02,2670200,14.69
2011-12-01,15.21,15.34,15.10,15.22,1599800,14.88
2011-11-30,15.53,15.53,15.09,15.30,3616400,14.96
2011-11-29,14.87,15.15,14.70,15.05,3922900,14.72
2011-11-28,14.53,14.75,14.35,14.69,2290200,14.36
2011-11-25,14.30,14.47,14.22,14.25,889600,13.86
2011-11-23,14.58,14.68,14.26,14.27,4798700,13.87
2011-11-22,14.72,14.89,14.60,14.68,4506800,14.27
2011-11-21,14.94,15.04,14.66,14.76,3114800,14.35
2011-11-18,15.29,15.34,15.04,15.15,3588000,14.73
2011-11-17,15.71,15.82,15.15,15.27,4889800,14.85
2011-11-16,15.99,16.18,15.76,15.79,2096200,15.35
2011-11-15,16.15,16.23,15.89,16.08,4734100,15.63
2011-11-14,16.15,16.34,16.01,16.22,4605600,15.77
2011-11-11,16.04,16.53,16.01,16.20,2997600,15.75
2011-11-10,15.81,15.97,15.66,15.82,3010500,15.38
2011-11-09,15.68,15.85,15.47,15.55,4059400,15.12
2011-11-08,15.90,16.09,15.69,16.08,3276100,15.63
2011-11-07,15.87,15.94,15.61,15.81,3482000,15.37
2011-11-04,15.68,15.93,15.61,15.91,3471400,15.47
2011-11-03,15.95,16.07,15.70,15.78,6471600,15.34
2011-11-02,15.25,15.93,15.06,15.86,7877000,15.42
2011-11-01,14.40,15.60,14.38,14.98,9289300,14.56
2011-10-31,15.18,15.50,14.71,14.80,8237000,14.39
2011-10-28,14.55,15.98,14.55,15.36,17359900,14.93
2011-10-27,13.93,14.06,13.62,13.82,6225800,13.44
2011-10-26,13.42,13.62,13.13,13.51,3563600,13.14
2011-10-25,13.47,13.56,13.18,13.21,3880800,12.84
2011-10-24,13.44,13.67,13.39,13.54,3447500,13.16
2011-10-21,13.28,13.47,13.22,13.44,3897100,13.07
2011-10-20,13.13,13.24,12.96,13.11,3911600,12.75
2011-10-19,13.14,13.29,12.99,13.14,3798300,12.78
2011-10-18,12.86,13.36,12.67,13.14,3886000,12.78
2011-10-17,12.97,13.07,12.76,12.88,3330100,12.52
2011-10-14,13.01,13.17,12.89,13.09,3808200,12.73
2011-10-13,12.65,12.87,12.58,12.81,2681800,12.45
2011-10-12,12.64,13.00,12.50,12.79,3955300,12.44
2011-10-11,12.36,12.60,12.31,12.53,3141000,12.18
2011-10-10,12.40,12.58,12.36,12.50,2200800,12.15
2011-10-07,12.31,12.38,12.04,12.20,3217600,11.86
2011-10-06,11.95,12.30,11.84,12.20,1967900,11.86
2011-10-05,11.69,12.01,11.61,11.95,2613900,11.62
2011-10-04,10.91,11.70,10.87,11.67,3692300,11.35
2011-10-03,11.72,11.81,11.14,11.14,4240800,10.83
2011-09-30,11.74,12.00,11.59,11.87,5286500,11.54
2011-09-29,12.21,12.36,11.70,11.94,2957800,11.61
2011-09-28,12.28,12.29,11.94,11.95,4023600,11.62
2011-09-27,11.96,12.49,11.90,12.24,5661900,11.90
2011-09-26,11.52,11.79,11.31,11.77,7178000,11.44
2011-09-23,11.43,11.86,11.36,11.44,4903900,11.12
2011-09-22,11.56,11.86,11.44,11.57,5676000,11.25
2011-09-21,12.54,12.60,11.94,11.96,4490400,11.63
2011-09-20,13.03,13.18,12.59,12.59,3248700,12.24
2011-09-19,12.76,13.04,12.73,12.95,2299200,12.59
2011-09-16,13.10,13.22,12.94,12.99,3384300,12.63
2011-09-15,13.22,13.27,12.93,13.08,3323600,12.72
2011-09-14,12.99,13.37,12.73,13.09,2998700,12.73
2011-09-13,12.79,13.02,12.66,12.97,2365900,12.61
2011-09-12,12.62,12.86,12.43,12.73,2895400,12.38
2011-09-09,13.15,13.21,12.68,12.81,2605300,12.45
2011-09-08,13.56,13.74,13.26,13.33,2933800,12.96
2011-09-07,13.39,13.81,13.21,13.70,4098100,13.32
2011-09-06,12.79,13.18,12.72,13.07,2571000,12.71
2011-09-02,13.48,13.58,13.19,13.25,2281600,12.88
2011-09-01,13.78,14.03,13.69,13.76,4206400,13.38
2011-08-31,13.67,13.94,13.64,13.84,3886300,13.46
2011-08-30,13.59,13.65,13.28,13.55,4043200,13.17
2011-08-29,13.57,13.75,13.51,13.61,4257300,13.23
2011-08-26,13.10,13.64,12.82,13.46,3281000,13.01
2011-08-25,13.36,13.50,13.09,13.23,3780700,12.79
2011-08-24,12.93,13.37,12.83,13.34,3736100,12.89
2011-08-23,12.59,12.97,12.52,12.97,3369800,12.54
2011-08-22,12.78,12.86,12.53,12.59,3658100,12.17
2011-08-19,12.25,12.81,12.12,12.46,5947200,12.04
2011-08-18,12.69,12.71,12.08,12.38,6286400,11.97
2011-08-17,13.51,13.61,12.93,13.01,3861800,12.57
2011-08-16,13.53,13.68,13.27,13.45,3018200,13.00
2011-08-15,13.96,13.96,13.44,13.67,4797300,13.21
2011-08-12,13.04,13.96,12.98,13.94,10745100,13.47
