Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,17.88,17.95,17.78,17.84,7205600,17.70
2011-12-29,17.70,17.90,17.56,17.87,16025000,17.73
2011-12-28,17.75,17.76,17.38,17.45,11594100,17.31
2011-12-27,17.57,17.81,17.53,17.75,5928000,17.61
2011-12-23,17.44,17.62,17.39,17.62,6001500,17.48
2011-12-22,17.38,17.47,17.20,17.36,12179700,17.23
2011-12-21,17.23,17.45,17.15,17.40,16627800,17.27
2011-12-20,17.02,17.23,16.92,17.18,20304600,17.05
2011-12-19,17.09,17.15,16.68,16.75,12967500,16.62
2011-12-16,17.18,17.44,16.98,16.98,41654900,16.85
2011-12-15,17.38,17.41,17.02,17.05,17172400,16.92
2011-12-14,17.13,17.30,16.95,17.14,18691300,17.01
2011-12-13,17.58,17.75,17.17,17.26,15626300,17.13
2011-12-12,17.50,17.51,17.25,17.45,16317500,17.31
2011-12-09,17.28,17.67,17.24,17.56,13918800,17.42
2011-12-08,17.64,17.65,17.12,17.15,17691600,17.02
2011-12-07,17.72,17.87,17.37,17.69,20772400,17.55
2011-12-06,17.77,17.99,17.70,17.86,14122500,17.72
2011-12-05,17.99,18.00,17.58,17.71,14713000,17.57
2011-12-02,17.75,17.92,17.59,17.60,9651200,17.46
2011-12-01,17.53,17.69,17.33,17.56,16024700,17.42
2011-11-30,17.01,17.45,17.01,17.44,21471000,17.30
2011-11-29,16.50,16.78,16.44,16.54,14839100,16.41
2011-11-28,16.36,16.65,16.33,16.50,12953200,16.37
2011-11-25,15.93,16.22,15.93,15.97,4916500,15.85
2011-11-23,16.20,16.30,15.94,16.03,15834900,15.91
2011-11-22,16.24,16.49,16.17,16.41,18966700,16.28
2011-11-21,16.17,16.39,16.00,16.29,25538100,16.16
2011-11-18,16.67,16.75,16.30,16.32,30815800,16.19
2011-11-17,16.76,16.94,16.51,16.61,22075900,16.48
2011-11-16,17.09,17.26,16.77,16.79,20893100,16.66
2011-11-15,16.99,17.57,16.99,17.45,14323600,17.31
2011-11-14,17.04,17.12,16.92,17.08,14325100,16.95
2011-11-11,17.06,17.31,16.99,17.17,17453200,17.04
2011-11-10,16.70,16.90,16.37,16.82,16569700,16.69
2011-11-09,16.79,16.88,16.35,16.44,21831800,16.31
2011-11-08,17.09,17.26,16.70,17.22,28256200,17.09
2011-11-07,16.81,17.02,16.68,16.95,25141600,16.82
2011-11-04,16.77,16.88,16.55,16.80,17204500,16.67
2011-11-03,17.44,17.47,16.73,16.88,48116400,16.75
2011-11-02,16.90,17.07,16.60,16.90,34230900,16.77
2011-11-01,16.95,17.01,16.64,16.69,24262400,16.56
2011-10-31,17.63,17.71,17.48,17.52,18021500,17.38
2011-10-28,17.82,17.93,17.57,17.80,15696600,17.66
2011-10-27,17.27,17.98,17.24,17.84,36307000,17.70
2011-10-26,17.03,17.18,16.73,16.87,28488800,16.74
2011-10-25,17.31,17.33,16.83,16.88,22521100,16.75
2011-10-24,17.28,17.45,17.19,17.40,23857000,17.27
2011-10-21,17.03,17.20,16.67,17.20,26653800,17.07
2011-10-20,16.75,17.01,16.46,16.85,22673100,16.72
2011-10-19,17.02,17.24,16.58,16.70,24261200,16.57
2011-10-18,16.95,17.24,16.78,17.03,32035000,16.90
2011-10-17,17.07,17.17,16.73,16.88,16227200,16.75
2011-10-14,17.29,17.50,17.13,17.18,16442700,17.05
2011-10-13,16.92,17.23,16.78,17.12,13439900,16.99
2011-10-12,17.00,17.37,16.95,17.09,20716400,16.96
2011-10-11,16.86,17.06,16.67,16.81,15202700,16.68
2011-10-10,16.52,16.94,16.48,16.93,15598700,16.80
2011-10-07,16.03,16.44,16.02,16.25,30657500,16.12
2011-10-06,15.96,15.99,15.71,15.97,20752300,15.85
