Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,26.13,26.40,26.10,26.10,1033900,24.90
2011-12-29,25.89,26.33,25.89,26.16,1213700,24.96
2011-12-28,26.20,26.35,25.74,25.84,1255100,24.65
2011-12-27,26.18,26.71,26.06,26.21,1285300,25.01
2011-12-23,26.18,26.40,25.57,26.38,1377200,25.17
2011-12-22,25.95,26.55,25.69,26.35,2982000,25.14
2011-12-21,26.00,26.06,25.38,25.97,1416000,24.78
2011-12-20,25.77,26.39,25.73,26.00,2656900,24.81
2011-12-19,26.35,26.35,24.85,25.16,4018400,24.00
2011-12-16,26.63,26.70,26.00,26.23,3716600,25.02
2011-12-15,26.87,27.00,26.22,26.45,4015600,25.23
2011-12-14,26.54,27.00,26.35,26.62,1821900,25.40
2011-12-13,26.94,27.00,26.49,26.71,2726600,25.48
2011-12-12,26.62,27.30,26.56,27.24,3564500,25.70
2011-12-09,26.99,27.42,26.86,27.25,2696500,25.71
2011-12-08,27.03,27.24,26.66,26.89,3319900,25.37
2011-12-07,27.49,27.55,27.00,27.28,4645400,25.74
2011-12-06,28.44,28.62,28.00,28.38,1305500,26.78
2011-12-05,28.14,28.51,28.04,28.27,2218700,26.67
2011-12-02,28.47,28.47,27.57,27.66,1585000,26.10
2011-12-01,28.76,28.92,27.95,28.02,1940200,26.44
2011-11-30,28.47,28.85,28.25,28.56,3189500,26.95
2011-11-29,27.15,27.53,26.92,27.30,2076700,25.76
2011-11-28,26.99,27.40,26.83,26.95,3214800,25.43
2011-11-25,25.86,26.15,25.60,25.76,779600,24.31
2011-11-23,26.80,26.84,25.95,25.97,2146100,24.50
2011-11-22,26.75,27.53,26.67,26.72,2364700,25.21
2011-11-21,26.79,27.07,26.77,26.80,2016400,25.29
2011-11-18,27.98,27.99,27.03,27.08,3087700,25.55
2011-11-17,26.77,27.30,26.44,26.58,2205300,25.08
2011-11-16,27.00,27.35,26.74,26.77,2891800,25.26
2011-11-15,26.74,27.76,26.60,27.33,2677800,25.79
2011-11-14,27.25,27.45,26.75,26.96,1894700,25.44
2011-11-11,27.43,28.00,27.40,27.73,1853700,26.16
2011-11-10,27.01,27.36,26.36,26.93,2207000,25.41
2011-11-09,26.77,27.21,26.50,26.72,3748700,25.21
2011-11-08,26.90,27.81,26.90,27.56,2555400,26.00
2011-11-07,26.76,26.92,26.10,26.63,1844900,25.13
2011-11-04,26.77,26.97,26.43,26.66,2124600,25.15
2011-11-03,26.26,27.19,25.70,27.08,4047700,25.55
2011-11-02,25.48,25.69,25.09,25.53,3043400,24.09
2011-11-01,25.39,25.75,24.76,24.76,3783900,23.36
2011-10-31,27.50,27.57,26.51,26.57,2328500,25.07
2011-10-28,27.51,28.18,27.28,28.00,3148800,26.42
2011-10-27,27.86,28.50,27.24,27.51,4241800,25.96
2011-10-26,26.37,26.66,25.46,26.05,2015200,24.58
2011-10-25,27.26,27.41,25.83,25.95,2779100,24.48
2011-10-24,26.40,27.68,26.12,27.49,2543600,25.94
2011-10-21,27.45,27.76,26.43,26.78,2777700,25.27
2011-10-20,26.83,27.22,26.38,27.03,2561000,25.50
2011-10-19,27.08,27.09,26.44,26.53,1993700,25.03
2011-10-18,26.99,27.35,26.34,27.19,2390500,25.65
2011-10-17,27.32,27.51,26.79,26.89,2860800,25.37
2011-10-14,27.17,27.53,27.09,27.50,2810600,25.95
2011-10-13,27.10,27.25,26.75,26.99,6356400,25.47
2011-10-12,26.63,27.97,26.60,27.71,5730800,26.15
2011-10-11,25.71,26.55,25.54,26.46,3461500,24.97
2011-10-10,25.00,25.94,24.82,25.87,2399600,24.41
2011-10-07,24.65,24.90,24.29,24.37,3151800,22.99
2011-10-06,23.62,24.52,23.35,24.45,3877000,23.07
2011-10-05,23.50,24.40,23.25,24.25,5382000,22.88
2011-10-04,21.98,23.63,21.80,23.51,5900000,22.18
2011-10-03,23.28,23.46,21.97,21.98,3509700,20.74
2011-09-30,23.70,23.84,23.24,23.24,3139000,21.93
2011-09-29,24.34,24.45,23.74,24.45,3321300,23.07
2011-09-28,25.12,25.12,24.01,24.01,3318700,22.65
2011-09-27,25.86,26.13,25.42,25.61,3405000,24.16
2011-09-26,24.85,25.30,24.33,25.30,3416100,23.87
2011-09-23,24.14,24.75,24.04,24.72,2489500,23.32
2011-09-22,24.39,24.75,23.93,24.37,6258800,22.99
2011-09-21,26.38,26.39,25.61,25.70,4296100,24.25
2011-09-20,26.45,26.87,26.05,26.39,2466300,24.90
2011-09-19,26.27,26.67,25.84,26.28,4518900,24.80
2011-09-16,28.24,28.34,27.43,27.73,2688100,26.16
2011-09-15,27.95,28.17,27.78,28.16,4227200,26.57
2011-09-14,26.97,28.09,26.64,27.66,4692800,26.10
2011-09-13,25.41,26.38,25.25,26.28,3724000,24.80
2011-09-12,24.46,25.42,24.40,25.42,5005700,23.70
2011-09-09,25.85,25.85,24.91,25.67,9612600,23.93
2011-09-08,26.88,27.04,26.45,26.50,3997800,24.71
2011-09-07,25.93,27.27,25.89,27.23,5444900,25.39
2011-09-06,24.95,25.19,24.78,25.09,3441700,23.39
2011-09-02,26.33,26.47,25.76,25.88,2134700,24.13
2011-09-01,27.25,27.27,26.76,26.88,3695700,25.06
2011-08-31,27.47,27.49,27.02,27.28,3047300,25.44
2011-08-30,27.46,27.65,26.98,27.46,4521700,25.60
2011-08-29,27.39,27.96,27.37,27.93,2375500,26.04
2011-08-26,26.49,27.36,26.14,27.15,3819300,25.31
2011-08-25,27.11,27.11,26.02,26.68,5410300,24.88
2011-08-24,25.63,27.34,25.63,27.28,3122200,25.44
2011-08-23,24.87,26.24,24.62,26.23,10099800,24.46
2011-08-22,25.82,25.98,24.84,24.94,2570800,23.25
2011-08-19,25.17,25.83,25.05,25.25,3473500,23.54
2011-08-18,26.44,26.44,25.19,25.31,5166300,23.60
2011-08-17,26.97,27.48,26.46,27.16,7960700,25.32
2011-08-16,28.35,28.52,25.71,26.54,10950100,24.75
2011-08-15,28.39,28.98,28.21,28.97,2658400,27.01
2011-08-12,28.55,28.76,28.02,28.16,1892200,26.26
2011-08-11,26.39,28.68,26.28,28.37,4089600,26.45
2011-08-10,27.46,27.96,26.78,26.87,4095300,25.05
2011-08-09,26.06,28.30,26.06,28.22,6783700,26.31
2011-08-08,27.43,27.98,25.22,25.38,8952200,23.66
2011-08-05,29.48,29.61,27.41,28.00,7041900,26.11
2011-08-04,30.30,30.50,29.20,29.20,5288000,27.23
2011-08-03,31.76,31.92,31.00,31.24,3709500,29.13
2011-08-02,32.45,32.58,30.83,31.40,3033000,29.28
2011-08-01,33.74,33.75,32.40,33.00,2632900,30.77
2011-07-29,33.47,33.78,33.01,33.46,1750800,31.20
2011-07-28,34.05,34.39,33.47,33.60,3505100,31.33
2011-07-27,35.20,35.20,34.14,34.24,2905600,31.93
2011-07-26,35.20,35.45,35.19,35.28,1540200,32.90
2011-07-25,35.01,35.23,34.90,35.18,2321100,32.80
2011-07-22,35.04,35.24,34.94,35.06,1741900,32.69
2011-07-21,34.87,35.21,34.78,35.00,2738500,32.63
2011-07-20,34.33,34.70,34.27,34.52,2271900,32.19
2011-07-19,34.04,34.31,33.87,34.23,3050200,31.92
2011-07-18,34.09,34.21,33.57,34.07,2962600,31.77
2011-07-15,34.05,34.52,34.04,34.35,3288000,32.03
2011-07-14,33.82,34.18,33.51,33.81,2504400,31.52
2011-07-13,33.43,34.10,33.37,33.85,3372800,31.56
2011-07-12,33.31,33.40,32.90,33.19,3783700,30.95
2011-07-11,34.44,34.44,33.55,33.64,3416200,31.37
2011-07-08,34.86,35.49,34.86,35.44,2406600,33.04
2011-07-07,34.91,35.48,34.91,35.40,3423900,33.01
2011-07-06,34.41,34.44,34.27,34.36,2331700,32.04
2011-07-05,34.65,34.92,34.60,34.67,1702800,32.33
2011-07-01,34.27,34.83,34.23,34.72,2555500,32.37
2011-06-30,34.15,34.33,34.07,34.27,3987300,31.95
2011-06-29,33.76,34.04,33.67,33.92,5338000,31.63
2011-06-28,32.86,33.34,32.80,33.24,4484400,30.99
2011-06-27,32.20,32.75,32.16,32.65,3616800,30.44
2011-06-24,32.69,32.70,31.86,31.87,3576800,29.72
2011-06-23,33.06,33.15,32.39,32.76,4844700,30.55
2011-06-22,33.83,33.90,33.65,33.67,3580000,31.39
2011-06-21,33.72,34.10,33.70,34.02,3010000,31.72
2011-06-20,33.27,33.53,33.05,33.37,2272900,31.11
2011-06-17,33.45,33.56,32.99,33.34,5440200,31.09
2011-06-16,33.73,33.75,32.79,32.98,5501800,30.75
2011-06-15,34.23,34.34,33.93,34.04,5728000,31.74
2011-06-14,34.55,34.83,34.44,34.61,3586600,32.27
2011-06-13,34.43,34.67,34.39,34.63,4028300,32.01
2011-06-10,34.62,34.62,34.20,34.24,2964800,31.65
2011-06-09,34.49,34.96,34.42,34.70,4050100,32.07
2011-06-08,35.10,35.29,34.47,34.55,4351400,31.94
2011-06-07,35.60,36.00,35.25,35.27,4945600,32.60
2011-06-06,35.70,35.85,35.47,35.50,2813800,32.81
2011-06-03,35.79,36.08,35.54,35.80,4024200,33.09
2011-06-02,36.11,36.13,35.51,35.61,3984500,32.92
2011-06-01,36.19,36.28,35.42,35.49,3570400,32.80
2011-05-31,36.10,36.41,36.02,36.41,7931900,33.65
2011-05-27,35.61,35.67,35.42,35.67,3557500,32.97
2011-05-26,35.49,35.60,35.17,35.52,2269500,32.83
2011-05-25,35.60,35.61,35.15,35.60,2730500,32.91
2011-05-24,35.23,35.48,35.17,35.36,3683700,32.68
2011-05-23,34.93,35.27,34.72,35.24,4613100,32.57
2011-05-20,35.70,35.85,35.36,35.76,3480200,33.05
2011-05-19,35.32,35.91,35.22,35.82,3326100,33.11
2011-05-18,34.85,35.30,34.65,35.16,7647900,32.50
2011-05-17,35.34,35.40,34.37,34.50,10651800,31.89
2011-05-16,36.73,36.95,35.60,35.73,21424500,33.03
2011-05-13,40.53,40.94,40.33,40.89,2410500,37.80
2011-05-12,40.51,40.64,40.26,40.60,2453600,37.53
2011-05-11,41.46,41.56,40.58,40.68,3177800,37.60
2011-05-10,40.53,41.60,40.53,41.55,3272600,38.41
2011-05-09,39.77,40.74,39.77,40.64,2370300,37.56
2011-05-06,39.94,40.25,39.80,39.98,2616700,36.95
