Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,86.32,87.17,86.32,86.69,1118600,42.12
2011-12-29,86.33,86.98,86.33,86.70,1266600,42.13
2011-12-28,86.82,86.89,85.74,85.90,891000,41.74
2011-12-27,86.20,87.18,86.20,86.70,863400,42.13
2011-12-23,85.59,86.75,85.59,86.49,776400,42.02
2011-12-22,86.03,86.21,85.16,85.57,1087400,41.58
2011-12-21,84.50,85.66,84.05,85.58,1427400,41.58
2011-12-20,83.92,84.73,83.38,84.56,1095600,41.09
2011-12-19,82.50,83.69,82.37,82.54,1046800,40.11
2011-12-16,82.58,83.38,81.63,82.06,5489800,39.87
2011-12-15,81.87,83.11,81.81,82.47,1295000,40.07
2011-12-14,81.90,82.07,80.93,81.11,1239200,39.41
2011-12-13,83.20,83.75,82.07,82.37,1315200,40.02
2011-12-12,82.88,83.12,81.77,82.34,1338800,40.01
2011-12-09,81.54,83.72,81.31,83.51,1409000,40.58
2011-12-08,82.50,82.54,80.31,81.04,1780400,39.38
2011-12-07,83.14,83.40,82.38,82.95,1135400,40.30
2011-12-06,83.82,83.86,82.95,83.14,1234800,40.40
2011-12-05,84.00,84.34,83.14,83.89,1263600,40.76
2011-12-02,83.96,84.17,83.12,83.12,1885800,40.39
2011-12-01,82.78,84.00,82.77,83.17,1481200,40.41
2011-11-30,82.62,83.67,82.07,83.16,2124800,40.41
2011-11-29,80.12,80.85,79.83,80.56,1310400,39.14
2011-11-28,79.96,80.48,79.32,79.76,1736600,38.75
2011-11-25,77.42,78.62,77.04,77.73,365600,37.77
2011-11-23,78.12,78.27,77.33,77.39,1166800,37.60
2011-11-22,78.66,79.33,78.17,78.81,1039600,38.29
2011-11-21,78.73,79.13,77.97,78.61,1406800,38.20
2011-11-18,79.77,80.31,79.35,79.66,1513200,38.71
2011-11-17,79.23,79.97,78.78,79.53,1757600,38.64
2011-11-16,78.77,80.00,78.33,79.46,2126600,38.61
2011-11-15,78.77,80.39,78.60,79.56,1860200,38.66
2011-11-14,78.42,78.93,77.60,78.21,1703400,38.00
2011-11-11,77.90,78.74,77.79,78.71,1230400,38.24
2011-11-10,76.34,77.47,75.67,77.16,1593200,37.49
2011-11-09,76.35,77.18,75.26,75.42,1537600,36.65
2011-11-08,77.46,78.09,76.29,77.96,1598000,37.88
2011-11-07,77.68,77.85,76.26,77.52,1019000,37.67
2011-11-04,75.95,77.70,75.75,77.53,1722600,37.67
2011-11-03,75.83,77.28,75.70,77.02,1534800,37.42
2011-11-02,75.59,77.13,74.80,75.65,1648200,36.49
2011-11-01,73.80,75.00,73.13,73.76,1391600,35.57
2011-10-31,75.89,76.91,75.61,76.05,1010000,36.68
2011-10-28,76.50,77.00,76.11,76.70,1007400,36.99
2011-10-27,76.14,77.28,75.64,76.75,2303000,37.02
2011-10-26,74.57,74.87,73.57,74.52,1296000,35.94
2011-10-25,74.33,74.52,73.62,73.81,2204200,35.60
2011-10-24,73.51,74.81,73.35,74.74,1776200,36.05
2011-10-21,73.28,73.66,72.57,73.66,1466400,35.53
2011-10-20,72.08,72.60,71.68,72.33,1252000,34.88
2011-10-19,72.35,73.58,71.50,71.86,1825200,34.66
2011-10-18,71.12,72.97,70.41,72.25,1871400,34.85
2011-10-17,70.83,71.80,70.67,71.02,1973200,34.25
2011-10-14,71.12,71.20,70.28,70.66,1481000,34.08
2011-10-13,69.79,70.41,69.28,70.19,1616000,33.85
2011-10-12,71.21,71.44,70.37,70.42,1628400,33.96
2011-10-11,70.68,70.87,70.15,70.57,2633000,34.04
2011-10-10,69.11,71.31,69.07,71.31,2232200,34.39
2011-10-07,68.15,69.22,67.51,67.92,2525800,32.76
2011-10-06,65.57,67.48,65.12,67.48,1736800,32.55
2011-10-05,64.56,66.19,63.44,65.82,2381800,31.74
2011-10-04,63.86,64.39,62.43,64.21,3600000,30.97
2011-10-03,65.89,67.11,64.54,64.54,2543000,31.13
2011-09-30,66.80,67.40,66.04,66.04,2113800,31.85
2011-09-29,68.23,68.81,66.92,67.67,2970600,32.64
2011-09-28,67.85,68.24,66.56,66.76,1769000,32.20
2011-09-27,67.04,68.65,66.99,67.56,2536800,32.58
2011-09-26,65.00,65.68,64.79,65.49,2857400,31.59
2011-09-23,63.92,64.72,63.26,64.37,2069400,31.05
2011-09-22,64.42,65.28,63.44,64.36,2209800,31.04
2011-09-21,67.94,68.30,66.33,66.41,1585000,32.03
2011-09-20,68.26,69.43,67.65,68.06,1281000,32.82
2011-09-19,66.92,68.24,66.77,67.94,1530800,32.77
2011-09-16,68.56,69.59,67.74,68.27,3145600,32.93
2011-09-15,68.07,68.48,67.31,68.25,1349200,32.92
2011-09-14,67.26,68.13,66.11,67.62,2227000,32.61
2011-09-13,66.20,67.15,65.65,67.00,2055000,32.31
2011-09-12,65.73,66.22,64.81,65.87,2052800,31.77
2011-09-09,67.72,67.90,66.09,66.45,1458600,32.05
2011-09-08,69.15,69.87,68.24,68.38,1852200,32.98
2011-09-07,68.64,69.57,68.40,69.35,1658600,33.45
2011-09-06,66.28,67.66,66.25,67.54,2026600,32.57
2011-09-02,69.57,69.77,68.32,68.55,1964800,33.06
2011-09-01,71.14,72.11,70.83,70.96,1758600,34.22
2011-08-31,71.34,71.89,70.48,70.90,2030800,34.19
2011-08-30,70.50,71.39,69.85,70.97,1524400,34.23
2011-08-29,69.66,71.01,69.55,70.91,1124800,34.20
2011-08-26,66.97,68.89,66.01,68.80,1496000,33.18
2011-08-25,68.57,68.75,66.88,67.37,1888000,32.49
2011-08-24,66.85,68.42,66.00,68.36,1735800,32.97
2011-08-23,65.59,67.37,65.00,67.30,2031400,32.46
2011-08-22,67.23,67.33,65.09,65.36,1942400,31.52
2011-08-19,65.84,67.25,65.52,65.76,1935600,31.72
2011-08-18,66.81,67.18,65.90,66.63,2774600,32.14
2011-08-17,68.70,69.50,67.94,68.39,1393200,32.98
2011-08-16,67.55,68.61,67.29,68.17,1531400,32.88
2011-08-15,66.96,68.67,66.88,68.20,2408000,32.89
2011-08-12,66.84,67.23,65.80,66.32,1713200,31.99
2011-08-11,62.53,67.00,62.40,66.09,3203000,31.87
2011-08-10,62.39,64.69,62.00,62.26,3917800,30.03
2011-08-09,60.29,63.53,58.61,63.51,3980000,30.63
2011-08-08,61.99,62.71,58.95,59.31,5222800,28.60
2011-08-05,64.87,65.33,62.23,63.70,5867600,30.72
2011-08-04,68.13,68.16,64.14,64.46,6616400,31.09
2011-08-03,71.03,71.29,68.03,69.15,5168800,33.35
2011-08-02,72.40,72.95,71.25,71.50,1917600,34.48
2011-08-01,73.60,73.70,72.10,72.75,1595000,35.09
2011-07-29,72.19,73.54,71.51,72.79,2286200,35.11
2011-07-28,73.53,73.92,72.92,72.97,2654800,35.19
2011-07-27,74.31,74.62,73.82,73.84,1597600,35.34
2011-07-26,75.10,75.44,74.57,74.67,1310600,35.74
2011-07-25,75.19,75.80,75.01,75.19,1076400,35.99
2011-07-22,76.20,76.27,75.47,75.65,933400,36.21
2011-07-21,75.05,76.19,75.04,75.95,1312000,36.35
2011-07-20,74.92,75.05,74.16,74.53,1553400,35.67
2011-07-19,74.17,75.16,74.00,74.84,1181400,35.82
2011-07-18,74.13,74.20,73.57,73.94,1842600,35.39
2011-07-15,74.01,74.72,73.66,74.40,3372400,35.61
2011-07-14,74.11,74.76,73.42,73.64,2047000,35.25
2011-07-13,74.20,74.71,73.64,73.78,939600,35.31
2011-07-12,73.83,74.45,73.54,73.89,1154800,35.37
2011-07-11,74.45,74.47,73.70,74.05,1233400,35.44
2011-07-08,74.55,75.29,74.55,75.25,1146600,36.02
2011-07-07,76.00,76.11,75.08,75.38,1494000,36.08
2011-07-06,75.01,75.57,74.87,75.53,1789600,36.15
2011-07-05,75.17,76.04,75.12,75.22,1644200,36.00
2011-07-01,74.08,75.48,74.03,75.35,1178200,36.07
2011-06-30,74.18,74.54,73.71,74.01,1622600,35.42
2011-06-29,73.50,74.06,72.89,73.89,2306800,35.37
2011-06-28,73.82,73.82,72.95,73.19,2843800,35.03
2011-06-27,73.49,74.66,73.36,73.49,2763200,35.17
2011-06-24,72.35,73.77,72.24,73.27,3684600,35.07
2011-06-23,71.14,72.44,70.88,72.33,2273600,34.62
2011-06-22,71.74,72.48,71.49,72.00,1828000,34.46
2011-06-21,71.14,71.94,71.02,71.81,3609200,34.37
2011-06-20,69.05,70.69,68.98,70.68,1633600,33.83
2011-06-17,68.95,69.67,68.79,69.37,1568800,33.20
2011-06-16,68.82,69.32,68.10,68.43,1912400,32.75
2011-06-15,69.13,69.54,68.27,68.72,1378600,32.89
2011-06-14,69.49,69.80,69.18,69.69,1364200,33.36
2011-06-13,68.83,69.54,68.29,68.83,1251800,32.94
2011-06-10,69.29,69.64,68.96,69.04,1253000,33.04
2011-06-09,69.22,70.10,68.85,69.53,1613400,33.28
2011-06-08,68.97,69.28,68.27,69.10,1097800,33.07
2011-06-07,68.81,69.48,68.52,68.93,1210000,32.99
2011-06-06,69.44,69.62,68.31,68.40,1171400,32.74
2011-06-03,69.03,70.38,68.69,69.70,1277400,33.36
2011-06-02,70.51,70.60,69.71,70.01,1335600,33.51
2011-06-01,70.83,71.21,70.26,70.40,1645800,33.70
2011-05-31,70.82,71.12,70.62,71.09,1779800,34.03
2011-05-27,70.20,70.54,69.89,70.01,1457400,33.51
2011-05-26,70.15,70.21,69.55,69.98,1598000,33.49
2011-05-25,69.59,70.68,69.43,70.44,1275000,33.72
2011-05-24,70.30,70.41,69.59,69.80,1965000,33.41
2011-05-23,69.58,70.29,69.56,69.96,1431800,33.49
2011-05-20,70.60,71.13,70.33,70.57,1358400,33.78
2011-05-19,70.90,71.10,70.47,70.64,1198800,33.81
2011-05-18,69.40,70.81,69.27,70.63,1506200,33.81
2011-05-17,68.72,69.36,68.68,69.08,2329000,33.06
2011-05-16,69.06,69.69,68.75,69.10,1576400,33.07
2011-05-13,69.67,70.14,68.64,69.22,1288400,33.13
2011-05-12,69.39,69.67,68.84,69.44,1282000,33.24
2011-05-11,70.50,70.75,68.95,69.69,1640000,33.36
2011-05-10,70.64,71.05,70.32,70.89,968200,33.93
2011-05-09,69.33,70.61,69.13,70.38,1427400,33.69
2011-05-06,68.60,69.59,68.52,69.48,1696600,33.26
2011-05-05,66.98,68.12,66.37,67.54,1687800,32.33
2011-05-04,66.91,67.84,66.90,67.45,3432600,32.28
2011-05-03,69.34,69.90,69.08,69.52,3488400,33.27
2011-05-02,70.11,70.25,69.53,69.75,1600400,33.38
2011-04-29,69.16,69.99,68.93,69.94,1478000,33.48
2011-04-28,68.54,69.33,68.50,69.10,1091800,33.07
2011-04-27,68.34,68.75,67.66,68.60,1467600,32.83
2011-04-26,67.50,68.55,67.37,68.48,1768400,32.53
2011-04-25,66.94,67.20,66.28,67.19,994200,31.92
2011-04-21,66.85,66.91,66.29,66.88,642200,31.77
2011-04-20,65.18,66.67,65.12,66.54,1433200,31.61
2011-04-19,64.23,64.64,64.01,64.35,1025800,30.57
2011-04-18,64.33,64.49,63.61,64.23,1056200,30.51
2011-04-15,64.45,65.11,64.12,65.05,1623800,30.90
2011-04-14,64.08,64.52,63.64,64.45,1052800,30.61
2011-04-13,64.54,65.29,64.44,64.44,1179200,30.61
2011-04-12,64.48,64.74,63.43,64.40,1531400,30.59
2011-04-11,65.58,65.71,64.60,64.90,977600,30.83
2011-04-08,66.12,66.28,65.18,65.45,764600,31.09
