Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,44.36,44.69,44.07,44.58,1577000,43.52
2011-12-29,43.46,44.32,43.39,44.27,1265000,43.22
2011-12-28,43.98,44.07,43.30,43.37,1322600,42.34
2011-12-27,43.67,44.46,43.54,44.03,976200,42.99
2011-12-23,43.50,44.22,43.41,43.91,1103300,42.87
2011-12-22,42.74,43.63,42.70,43.42,1525500,42.39
2011-12-21,42.49,42.74,42.07,42.68,1269700,41.67
2011-12-20,41.91,42.62,41.86,42.49,1704500,41.48
2011-12-19,41.12,41.70,41.04,41.16,1683000,40.18
2011-12-16,42.33,42.38,41.08,41.34,3102100,40.11
2011-12-15,42.27,42.70,41.92,42.01,1977900,40.77
2011-12-14,43.12,43.25,42.03,42.21,1854200,40.96
2011-12-13,43.98,44.19,42.97,43.23,1186000,41.95
2011-12-12,44.11,44.13,43.22,43.77,2177000,42.47
2011-12-09,43.77,44.73,43.72,44.61,1489100,43.29
2011-12-08,44.34,44.61,43.42,43.49,2034200,42.20
2011-12-07,44.08,44.74,43.58,44.50,1992900,43.18
2011-12-06,44.70,44.70,44.00,44.36,1170400,43.05
2011-12-05,44.69,45.00,44.39,44.74,2068700,43.41
2011-12-02,44.18,44.48,43.86,43.95,1423800,42.65
2011-12-01,43.26,44.11,43.12,43.80,1916800,42.50
2011-11-30,42.64,43.23,42.20,43.17,2241800,41.89
2011-11-29,41.20,41.72,41.07,41.42,1963000,40.19
2011-11-28,40.82,41.62,40.68,41.01,1664700,39.79
2011-11-25,39.91,40.63,39.72,40.02,675500,38.83
2011-11-23,40.68,40.78,39.80,39.89,1463100,38.71
2011-11-22,40.99,41.50,40.87,40.94,1553000,39.73
2011-11-21,40.85,41.31,40.67,41.04,1982900,39.82
2011-11-18,42.21,42.21,41.38,41.55,1753600,40.32
2011-11-17,42.57,42.65,41.50,41.87,2037500,40.63
2011-11-16,43.09,43.57,42.72,42.73,1842800,41.46
2011-11-15,43.50,44.03,43.06,43.72,1234400,42.42
2011-11-14,44.08,44.09,43.40,43.56,1465700,42.27
2011-11-11,44.11,44.51,44.09,44.35,1129500,43.04
2011-11-10,43.46,43.87,42.98,43.56,1646000,42.27
2011-11-09,43.57,43.63,42.54,42.87,1740300,41.60
2011-11-08,44.17,44.74,43.68,44.66,1642200,43.34
2011-11-07,44.12,44.55,43.40,44.09,2292700,42.78
2011-11-04,43.97,44.37,43.40,44.21,1347700,42.90
2011-11-03,43.82,44.50,43.00,44.42,2168900,43.10
2011-11-02,43.61,43.91,42.96,43.27,2604900,41.99
2011-11-01,43.01,43.80,42.66,42.84,2539500,41.57
2011-10-31,44.66,44.92,43.93,44.48,2633700,43.16
2011-10-28,45.18,45.46,44.78,45.34,2292100,44.00
2011-10-27,44.72,45.65,44.25,45.33,2556400,43.99
2011-10-26,43.59,43.80,42.67,43.61,1695600,42.32
2011-10-25,43.93,43.93,42.92,43.00,1803100,41.73
2011-10-24,43.62,44.15,43.15,44.05,2449800,42.74
2011-10-21,42.52,43.56,42.52,43.00,2042000,41.73
2011-10-20,42.39,42.46,41.44,42.19,2270900,40.94
2011-10-19,42.16,42.64,42.01,42.24,2604000,40.99
2011-10-18,41.71,42.52,40.43,42.26,3571200,41.01
2011-10-17,41.81,42.13,41.52,41.80,3421300,40.56
2011-10-14,41.86,42.28,41.54,42.22,2309100,40.97
2011-10-13,41.00,41.36,40.56,41.21,1723700,39.99
2011-10-12,40.87,41.75,40.68,41.26,2450800,40.04
2011-10-11,39.99,40.60,39.76,40.51,1876900,39.31
2011-10-10,39.55,40.16,39.50,40.15,1258900,38.96
2011-10-07,39.31,39.64,38.48,38.81,2174000,37.66
2011-10-06,38.59,39.10,37.72,39.07,2522000,37.91
2011-10-05,38.33,38.84,37.95,38.73,2540100,37.58
2011-10-04,35.36,38.16,35.34,38.16,5200000,37.03
2011-10-03,36.51,37.23,35.90,35.95,5040800,34.88
2011-09-30,37.13,37.79,36.63,36.84,3065900,35.75
2011-09-29,38.93,39.03,36.99,37.72,3514100,36.60
2011-09-28,39.15,39.20,38.21,38.25,4754800,37.12
2011-09-27,38.74,39.65,38.70,39.14,2988800,37.98
2011-09-26,36.66,37.98,36.32,37.92,3470500,36.80
2011-09-23,35.84,36.60,35.69,36.36,2576100,35.28
2011-09-22,36.29,36.83,35.27,36.02,5193100,34.95
2011-09-21,38.80,39.02,37.23,37.24,2952600,36.14
2011-09-20,38.92,40.05,38.76,39.15,2853100,37.75
2011-09-19,39.03,39.07,38.31,38.76,3530400,37.37
2011-09-16,40.35,40.35,39.38,39.82,2903900,38.39
2011-09-15,40.09,40.34,39.44,39.77,2400400,38.35
2011-09-14,39.14,39.97,38.31,39.52,2030600,38.10
2011-09-13,38.36,39.01,38.30,38.91,2115100,37.52
2011-09-12,37.30,38.22,37.12,38.17,2879900,36.80
2011-09-09,38.21,38.44,37.44,37.85,2471200,36.49
2011-09-08,39.26,39.51,38.54,38.62,1665800,37.24
2011-09-07,38.92,39.62,38.85,39.59,1427000,38.17
2011-09-06,37.64,38.46,37.19,38.41,2358700,37.03
2011-09-02,39.06,39.47,38.62,38.72,1739600,37.33
2011-09-01,40.48,40.82,39.73,39.92,2014800,38.49
2011-08-31,40.54,40.93,40.13,40.55,2029500,39.10
2011-08-30,39.82,40.56,39.71,40.26,3267800,38.82
2011-08-29,39.57,40.01,39.41,40.01,1802200,38.58
2011-08-26,38.10,39.48,37.78,39.17,2306600,37.77
2011-08-25,39.56,39.58,38.34,38.63,2657200,37.25
2011-08-24,38.23,39.65,38.17,39.43,3502900,38.02
2011-08-23,37.11,38.63,36.99,38.55,3302800,37.17
2011-08-22,37.96,37.96,36.88,37.00,5086200,35.67
2011-08-19,37.65,38.60,37.03,37.05,5179500,35.72
2011-08-18,39.66,39.69,37.79,38.18,3807400,36.81
2011-08-17,41.24,41.63,40.38,40.73,2138200,39.27
2011-08-16,40.71,41.77,40.63,41.11,3060700,39.64
2011-08-15,41.15,41.43,40.72,41.39,2320500,39.91
2011-08-12,40.33,41.27,40.01,41.12,3059600,39.65
2011-08-11,39.52,40.47,38.26,39.96,6435900,38.53
2011-08-10,40.93,41.40,39.26,39.33,6806200,37.92
2011-08-09,40.20,41.99,39.10,41.96,5689200,40.46
2011-08-08,41.40,41.56,39.63,39.69,5273000,38.27
2011-08-05,43.59,43.84,41.65,42.39,6142300,40.87
2011-08-04,44.67,44.70,43.08,43.13,5016600,41.58
2011-08-03,45.17,45.39,44.25,45.31,3375000,43.69
2011-08-02,45.68,46.11,45.14,45.19,3444900,43.57
2011-08-01,47.10,47.10,45.82,46.35,2351500,44.69
2011-07-29,47.24,47.66,46.81,46.92,3820400,45.24
2011-07-28,47.01,47.82,46.50,47.50,3564300,45.80
2011-07-27,47.52,47.58,46.95,47.01,2613300,45.33
2011-07-26,47.77,48.19,47.45,47.83,1696600,46.12
2011-07-25,48.04,48.40,47.78,47.84,1282300,46.13
2011-07-22,48.56,48.75,48.24,48.55,1193500,46.81
2011-07-21,48.37,49.00,48.31,48.77,1942100,47.02
2011-07-20,48.65,48.66,47.93,48.09,1745400,46.37
2011-07-19,49.20,49.55,48.02,48.43,2936800,46.69
2011-07-18,47.18,47.72,46.87,47.49,2611700,45.79
2011-07-15,47.34,47.59,46.96,47.29,2382600,45.60
2011-07-14,47.67,48.02,46.99,47.11,1612700,45.42
2011-07-13,47.90,48.29,47.48,47.59,1559800,45.88
2011-07-12,47.70,48.00,47.50,47.60,1549900,45.89
2011-07-11,48.13,48.43,47.77,47.88,1415200,46.16
2011-07-08,48.62,48.65,48.34,48.63,1308300,46.89
2011-07-07,49.02,49.19,48.67,49.11,1428900,47.35
2011-07-06,48.61,48.68,48.38,48.54,1362600,46.80
2011-07-05,48.55,49.00,48.41,48.73,1458600,46.98
2011-07-01,48.18,48.85,47.66,48.74,1570400,46.99
2011-06-30,47.27,48.29,47.27,48.16,2023000,46.43
2011-06-29,47.00,47.49,46.97,47.20,1708400,45.51
2011-06-28,46.24,46.95,46.22,46.95,1236700,45.27
2011-06-27,45.46,46.28,45.33,46.08,2088100,44.43
2011-06-24,46.41,46.65,45.58,45.61,4306200,43.98
2011-06-23,45.67,46.55,45.43,46.45,1954800,44.79
2011-06-22,46.72,46.82,46.11,46.15,2280500,44.50
2011-06-21,46.11,46.98,46.00,46.93,2079900,45.25
2011-06-20,45.24,45.92,45.04,45.89,1438200,44.25
2011-06-17,45.50,45.81,45.27,45.32,2636900,43.70
2011-06-16,44.94,45.20,44.61,45.01,2097600,43.40
2011-06-15,45.43,45.76,44.93,45.01,1628400,43.40
2011-06-14,45.69,46.10,45.68,45.87,1731000,44.23
2011-06-13,45.29,45.73,45.08,45.29,1554700,43.67
2011-06-10,46.01,46.02,45.07,45.18,1970400,43.56
