Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,12.84,12.96,12.82,12.85,2104900,12.19
2011-12-29,12.79,12.93,12.75,12.91,1956600,12.25
2011-12-28,12.83,12.87,12.67,12.71,1837700,12.06
2011-12-27,12.70,12.86,12.64,12.84,1978900,12.18
2011-12-23,12.85,12.86,12.67,12.74,1637200,12.09
2011-12-22,12.51,12.83,12.44,12.80,3061200,12.15
2011-12-21,12.45,12.54,12.34,12.48,4086300,11.84
2011-12-20,12.34,12.50,12.29,12.46,4750500,11.82
2011-12-19,12.43,12.48,12.14,12.18,2676100,11.56
2011-12-16,12.41,12.66,12.36,12.42,6671200,11.78
2011-12-15,12.49,12.51,12.31,12.32,3270800,11.69
2011-12-14,12.31,12.41,12.24,12.29,3823400,11.66
2011-12-13,12.63,12.66,12.25,12.34,4455800,11.71
2011-12-12,12.40,12.60,12.30,12.59,4621000,11.95
2011-12-09,12.34,12.57,12.26,12.50,4285100,11.86
2011-12-08,12.61,12.63,12.19,12.21,6605800,11.59
2011-12-07,12.55,12.72,12.43,12.66,4401200,12.01
2011-12-06,12.63,12.67,12.51,12.61,2752200,11.97
2011-12-05,12.64,12.80,12.55,12.64,3458400,11.99
2011-12-02,12.60,12.64,12.42,12.49,3281700,11.85
2011-12-01,12.44,12.54,12.27,12.51,3376300,11.87
2011-11-30,12.12,12.48,12.01,12.45,4771700,11.81
2011-11-29,11.99,12.00,11.73,11.79,4733100,11.19
2011-11-28,12.23,12.23,11.81,11.92,4081700,11.31
2011-11-25,11.58,11.88,11.58,11.82,2940100,11.22
2011-11-23,11.83,11.91,11.58,11.58,2668500,10.99
2011-11-22,12.03,12.10,11.81,11.97,3996900,11.36
2011-11-21,12.07,12.16,11.96,11.99,3564700,11.38
2011-11-18,12.45,12.49,12.17,12.18,4905400,11.56
2011-11-17,12.52,12.63,12.26,12.32,3571600,11.69
2011-11-16,12.57,12.76,12.50,12.52,4904000,11.88
2011-11-15,12.55,12.72,12.49,12.67,3977300,12.02
2011-11-14,12.74,12.76,12.44,12.51,3656400,11.87
2011-11-11,12.74,12.88,12.69,12.79,3077400,12.14
2011-11-10,12.64,12.71,12.44,12.64,4879900,11.99
2011-11-09,12.53,12.70,12.41,12.49,7498900,11.85
2011-11-08,12.63,12.89,12.47,12.85,4989100,12.19
2011-11-07,12.41,12.56,12.31,12.55,4112600,11.91
2011-11-04,12.44,12.46,12.23,12.40,3707700,11.77
2011-11-03,12.52,12.59,12.26,12.53,4764800,11.89
2011-11-02,12.35,12.45,12.23,12.37,5147300,11.74
2011-11-01,12.41,12.56,12.11,12.12,8600500,11.50
2011-10-31,12.87,12.99,12.73,12.75,6479900,12.10
2011-10-28,12.65,13.07,12.55,13.02,9142800,12.35
2011-10-27,12.60,13.03,12.60,12.91,8098900,12.10
2011-10-26,12.22,12.39,12.07,12.38,6107500,11.60
2011-10-25,12.32,12.36,12.08,12.13,6258300,11.37
2011-10-24,12.25,12.40,12.16,12.36,13241600,11.58
2011-10-21,12.44,12.45,11.98,12.24,18049200,11.47
2011-10-20,12.19,12.34,11.94,12.34,13466000,11.57
2011-10-19,12.23,12.44,12.14,12.16,7531900,11.40
2011-10-18,11.86,12.43,11.77,12.30,6839700,11.53
2011-10-17,12.01,12.05,11.75,11.81,5075800,11.07
2011-10-14,12.30,12.30,11.82,12.02,11012100,11.27
2011-10-13,12.18,12.26,11.87,12.19,5357500,11.43
2011-10-12,12.18,12.41,12.10,12.25,7977200,11.48
2011-10-11,11.94,12.15,11.77,12.10,4071700,11.34
2011-10-10,11.80,12.01,11.72,12.01,3677200,11.26
2011-10-07,11.93,11.96,11.58,11.60,5800100,10.87
2011-10-06,11.54,11.90,11.47,11.88,6028500,11.13
2011-10-05,11.56,11.60,11.25,11.56,4941300,10.83
2011-10-04,11.11,11.55,10.91,11.53,6888600,10.81
2011-10-03,11.37,11.74,11.13,11.14,5461900,10.44
2011-09-30,11.61,11.69,11.40,11.40,3827500,10.68
