Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,18.60,18.65,18.52,18.54,1247000,16.72
2011-12-29,18.40,18.62,18.40,18.56,1334000,16.74
2011-12-28,18.61,18.66,18.33,18.41,1251600,16.60
2011-12-27,18.59,18.70,18.51,18.56,896800,16.74
2011-12-23,18.44,18.70,18.44,18.64,1377200,16.81
2011-12-22,18.38,18.54,18.29,18.44,1538700,16.63
2011-12-21,18.35,18.45,18.12,18.30,1735400,16.50
2011-12-20,18.34,18.60,18.24,18.27,2493400,16.47
2011-12-19,18.45,18.59,17.96,18.02,1840500,16.25
2011-12-16,18.33,18.67,18.23,18.34,6887200,16.54
2011-12-15,18.40,18.40,18.06,18.23,4647800,16.44
2011-12-14,18.43,18.48,18.12,18.24,2500700,16.45
2011-12-13,18.97,19.00,18.34,18.44,2823500,16.63
2011-12-12,18.72,18.90,18.56,18.86,2361800,17.01
2011-12-09,18.66,18.91,18.35,18.83,2939900,16.98
2011-12-08,18.85,18.99,18.56,18.61,3007300,16.78
2011-12-07,18.95,18.99,18.71,18.98,4732300,17.11
2011-12-06,18.95,19.11,18.80,19.00,2463900,17.13
2011-12-05,18.78,19.00,18.74,18.96,2985700,17.10
2011-12-02,18.68,18.96,18.50,18.53,2319300,16.71
2011-12-01,18.39,18.70,18.39,18.45,2235300,16.64
2011-11-30,18.38,18.63,18.32,18.63,3146100,16.80
2011-11-29,17.77,17.94,17.61,17.88,4084300,16.12
2011-11-28,17.79,17.85,17.54,17.68,2589600,15.94
2011-11-25,17.35,17.63,17.34,17.35,1014400,15.64
2011-11-23,17.73,17.78,17.33,17.36,1782400,15.65
2011-11-22,17.83,18.04,17.71,17.86,1795800,16.10
2011-11-21,18.24,18.25,17.76,17.92,2886700,16.16
2011-11-18,18.56,18.68,18.34,18.48,2064500,16.66
2011-11-17,18.78,18.80,18.31,18.46,2479000,16.65
2011-11-16,18.88,19.16,18.74,18.75,2284400,16.91
2011-11-15,19.25,19.48,19.12,19.43,2756900,17.19
2011-11-14,19.46,19.50,19.23,19.31,1670200,17.08
2011-11-11,19.21,19.53,19.17,19.44,1573700,17.20
2011-11-10,19.40,19.45,18.94,19.00,3407000,16.81
2011-11-09,19.77,19.80,19.17,19.21,3159100,16.99
2011-11-08,20.38,20.46,19.94,20.13,3680200,17.81
2011-11-07,19.97,20.30,19.87,20.25,5845600,17.91
2011-11-04,19.52,19.96,19.40,19.96,5286100,17.66
2011-11-03,19.16,19.77,18.90,19.75,6271700,17.47
2011-11-02,20.19,20.19,18.65,19.01,7745500,16.81
2011-11-01,20.12,20.36,19.65,19.72,3455200,17.44
2011-10-31,20.41,20.52,20.27,20.38,3254300,18.03
2011-10-28,20.77,20.82,20.60,20.70,2540100,18.31
2011-10-27,21.07,21.20,20.67,20.75,3775300,18.35
2011-10-26,20.70,20.76,20.33,20.57,3551500,18.19
2011-10-25,20.67,20.70,20.35,20.39,2795900,18.04
2011-10-24,20.31,20.74,20.28,20.65,2742500,18.27
2011-10-21,20.10,20.29,19.98,20.24,2452700,17.90
2011-10-20,19.91,20.01,19.56,19.85,2296900,17.56
2011-10-19,20.20,20.28,19.85,19.98,1991100,17.67
2011-10-18,19.93,20.37,19.68,20.20,2872100,17.87
2011-10-17,20.14,20.39,19.88,19.93,2754800,17.63
2011-10-14,20.14,20.39,20.11,20.26,2548400,17.92
2011-10-13,19.92,20.03,19.72,19.96,2642500,17.66
2011-10-12,20.10,20.20,19.91,19.95,2554800,17.65
2011-10-11,19.95,20.10,19.81,19.97,2365100,17.66
2011-10-10,19.98,20.15,19.85,20.09,2576100,17.77
2011-10-07,20.12,20.14,19.53,19.57,3123400,17.31
2011-10-06,19.59,20.09,19.50,19.97,4005900,17.66
2011-10-05,19.29,19.75,19.26,19.66,3997700,17.39
2011-10-04,18.05,19.31,17.95,19.29,3900000,17.06
2011-10-03,18.76,19.07,18.24,18.26,2599500,16.15
2011-09-30,19.30,19.47,18.80,18.80,2085400,16.63
2011-09-29,19.50,19.63,19.06,19.45,2255900,17.20
2011-09-28,19.92,20.01,19.14,19.16,2757500,16.95
2011-09-27,19.77,20.30,19.72,19.82,2541600,17.53
2011-09-26,18.97,19.46,18.81,19.44,6062300,17.20
2011-09-23,18.25,18.83,18.21,18.79,3280400,16.62
2011-09-22,18.86,18.91,18.00,18.22,4354500,16.12
2011-09-21,19.80,19.95,19.31,19.32,2859100,17.09
2011-09-20,20.29,20.42,19.83,19.84,2298400,17.55
2011-09-19,20.11,20.21,19.86,20.08,2667200,17.76
2011-09-16,20.30,20.59,20.27,20.53,2238000,18.16
2011-09-15,20.22,20.34,20.01,20.25,2175300,17.91
2011-09-14,19.65,20.26,19.30,20.00,2717200,17.69
2011-09-13,19.29,19.66,19.29,19.57,2160000,17.31
2011-09-12,18.89,19.22,18.76,19.22,3316200,17.00
2011-09-09,19.28,19.38,18.86,19.07,3072800,16.87
2011-09-08,19.44,19.70,19.37,19.49,4541200,17.24
2011-09-07,19.39,19.73,19.37,19.60,2135300,17.34
2011-09-06,18.61,19.13,18.45,19.11,3230100,16.90
2011-09-02,19.35,19.49,19.08,19.17,1984700,16.96
2011-09-01,20.33,20.47,19.73,19.78,2218500,17.50
2011-08-31,20.21,20.53,20.12,20.31,2598000,17.96
2011-08-30,19.95,20.14,19.63,20.03,2232100,17.72
2011-08-29,19.39,20.03,19.34,20.02,2634000,17.71
2011-08-26,18.88,19.26,18.72,19.06,4000700,16.86
2011-08-25,19.47,19.56,18.93,19.01,3041000,16.81
2011-08-24,18.93,19.45,18.75,19.42,2896400,17.18
2011-08-23,18.26,18.90,18.26,18.90,2655300,16.72
2011-08-22,18.54,18.74,18.12,18.17,2308100,16.07
2011-08-19,18.30,18.55,18.12,18.18,3297700,16.08
2011-08-18,18.69,18.75,18.20,18.37,3565700,16.25
2011-08-17,19.28,19.45,18.94,19.13,1901400,16.92
2011-08-16,19.38,19.41,19.07,19.21,2885000,16.99
2011-08-15,19.08,19.53,19.06,19.50,2846100,17.25
2011-08-12,19.23,19.28,18.89,18.99,3487900,16.80
2011-08-11,18.26,19.28,18.25,19.06,4903400,16.86
2011-08-10,18.72,18.95,18.12,18.15,5934800,16.05
2011-08-09,18.66,19.38,18.20,19.38,9175200,16.81
2011-08-08,19.65,19.70,18.43,18.45,5704700,16.01
2011-08-05,19.85,20.26,19.50,20.02,6246200,17.37
2011-08-04,20.45,20.51,19.62,19.64,5912600,17.04
2011-08-03,20.63,20.77,20.31,20.62,4040500,17.89
2011-08-02,21.06,21.09,20.62,20.63,5024700,17.90
2011-08-01,21.76,21.76,21.09,21.17,4528700,18.37
2011-07-29,21.67,21.87,21.50,21.55,5062700,18.70
2011-07-28,21.75,22.06,21.69,21.85,5548800,18.96
2011-07-27,22.06,22.13,21.77,21.78,2023100,18.90
2011-07-26,22.19,22.30,21.98,22.14,2340500,19.21
2011-07-25,22.26,22.42,22.13,22.25,1751900,19.30
2011-07-22,22.48,22.63,22.26,22.41,1917800,19.44
2011-07-21,22.35,22.57,22.32,22.46,2162200,19.49
2011-07-20,22.28,22.52,22.26,22.29,2651400,19.34
2011-07-19,21.92,22.27,21.87,22.21,2546800,19.27
2011-07-18,22.07,22.12,21.66,21.87,1868300,18.98
2011-07-15,22.14,22.20,21.97,22.13,2282800,19.20
2011-07-14,22.41,22.65,22.07,22.09,2798500,19.17
2011-07-13,22.43,22.58,22.27,22.34,1686400,19.38
2011-07-12,22.56,22.71,22.35,22.36,1739100,19.40
2011-07-11,22.68,22.73,22.44,22.55,1837800,19.57
2011-07-08,23.15,23.15,22.77,22.90,2183800,19.87
2011-07-07,23.32,23.47,23.32,23.36,2079300,20.27
2011-07-06,23.10,23.20,23.00,23.20,1304600,20.13
2011-07-05,23.30,23.31,23.02,23.14,2360900,20.08
2011-07-01,22.99,23.37,22.92,23.37,1686800,20.28
2011-06-30,22.83,23.11,22.82,22.99,1701500,19.95
2011-06-29,22.46,22.85,22.43,22.79,1999900,19.77
2011-06-28,22.27,22.38,22.25,22.38,1557300,19.42
2011-06-27,22.17,22.30,22.15,22.22,1654900,19.28
2011-06-24,22.63,22.70,22.05,22.12,4455700,19.19
2011-06-23,22.50,22.68,22.26,22.66,2477300,19.66
2011-06-22,22.73,22.86,22.55,22.67,2187000,19.67
2011-06-21,22.65,22.79,22.55,22.78,1828300,19.76
2011-06-20,22.43,22.59,22.43,22.55,3969000,19.57
2011-06-17,22.70,22.80,22.43,22.47,2426000,19.50
2011-06-16,22.40,22.60,22.32,22.54,2625800,19.56
2011-06-15,22.69,22.69,22.33,22.38,2004200,19.42
2011-06-14,22.70,22.89,22.66,22.81,2065000,19.79
2011-06-13,22.48,22.74,22.46,22.48,1955400,19.50
2011-06-10,22.80,22.86,22.59,22.61,1753700,19.62
2011-06-09,22.88,22.93,22.73,22.84,1810500,19.82
2011-06-08,23.09,23.13,22.75,22.84,2491900,19.82
2011-06-07,23.21,23.35,23.08,23.13,4477400,20.07
2011-06-06,23.19,23.32,23.09,23.17,1569000,20.10
2011-06-03,23.31,23.46,23.19,23.24,1865500,20.16
2011-06-02,23.58,23.75,23.41,23.52,2490000,20.41
2011-06-01,23.91,23.93,23.47,23.47,2122400,20.36
2011-05-31,23.89,23.94,23.76,23.89,1842500,20.73
2011-05-27,23.82,23.89,23.66,23.77,1516800,20.62
2011-05-26,23.69,23.80,23.55,23.75,2726900,20.61
2011-05-25,23.76,24.08,23.67,23.76,2669000,20.61
2011-05-24,24.43,24.43,24.02,24.09,1361000,20.90
2011-05-23,24.39,24.49,24.23,24.32,3360800,21.10
2011-05-20,24.86,24.86,24.53,24.63,1710700,21.37
