Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.41,37.84,37.25,37.47,1147800,36.77
2011-12-29,37.06,37.50,36.85,37.46,977900,36.76
2011-12-28,37.82,37.93,36.69,36.83,1691500,36.14
2011-12-27,37.92,38.17,37.65,37.97,812300,37.26
2011-12-23,37.81,37.98,37.48,37.98,1295300,37.27
2011-12-22,37.08,37.70,37.08,37.55,1499100,36.85
2011-12-21,37.31,37.50,36.47,37.05,2164500,36.36
2011-12-20,36.19,37.51,36.02,37.29,2542900,36.59
2011-12-19,36.54,36.78,35.38,35.48,2123800,34.82
2011-12-16,36.72,37.30,36.11,36.22,4097700,35.54
2011-12-15,36.92,37.22,36.31,36.38,2428000,35.70
2011-12-14,37.30,37.57,36.55,37.28,3116500,35.90
2011-12-13,38.90,39.44,37.26,37.60,2785800,36.20
2011-12-12,39.77,39.79,37.79,38.68,3568700,37.24
2011-12-09,39.11,40.26,39.01,40.10,2766200,38.61
2011-12-08,39.56,40.09,38.64,38.74,2494900,37.30
2011-12-07,40.20,40.23,39.17,39.77,2738800,38.29
2011-12-06,40.71,40.83,40.12,40.36,2150100,38.86
2011-12-05,41.10,41.14,40.19,40.54,3456800,39.04
2011-12-02,40.87,41.29,40.28,40.34,2064400,38.84
2011-12-01,40.49,41.21,40.20,40.35,2323200,38.85
2011-11-30,39.76,40.74,39.74,40.57,3273200,39.06
2011-11-29,38.55,39.12,38.16,38.32,1514400,36.90
2011-11-28,38.60,39.18,38.18,38.52,2964600,37.09
2011-11-25,37.04,38.13,36.84,37.28,1780700,35.90
2011-11-23,37.53,37.55,36.87,37.05,2968800,35.67
2011-11-22,38.10,38.35,37.24,37.87,2619700,36.46
2011-11-21,38.30,38.57,37.82,38.39,2706400,36.97
2011-11-18,39.42,39.69,38.94,39.16,2214000,37.71
2011-11-17,40.39,40.65,39.17,39.41,3840800,37.95
2011-11-16,40.57,41.19,40.25,40.29,2689200,38.79
2011-11-15,41.27,41.44,40.11,41.22,3368700,39.52
2011-11-14,42.62,42.66,40.85,41.30,3414900,39.59
2011-11-11,42.34,43.16,42.34,42.66,1779000,40.90
2011-11-10,42.45,42.66,41.51,41.85,3247400,40.12
2011-11-09,42.79,42.82,41.47,41.80,5157400,40.07
2011-11-08,43.70,44.11,43.18,43.99,2157900,42.17
2011-11-07,43.55,43.85,42.62,43.48,2143400,41.68
2011-11-04,43.39,43.71,42.70,43.56,2517200,41.76
2011-11-03,43.09,44.02,42.29,43.84,3581900,42.03
2011-11-02,42.86,43.43,42.35,42.77,3618700,41.00
2011-11-01,41.92,43.03,41.50,42.20,5371800,40.46
2011-10-31,43.53,44.17,43.00,43.24,3462700,41.45
2011-10-28,43.74,44.21,43.45,44.19,2834200,42.36
2011-10-27,42.98,44.34,42.21,43.89,5790600,42.08
2011-10-26,42.26,42.47,40.63,41.51,4822500,39.79
2011-10-25,43.35,43.39,40.70,41.48,5876600,39.77
2011-10-24,41.04,42.67,40.79,42.38,4612600,40.63
2011-10-21,40.64,41.19,40.19,40.76,3863600,39.08
2011-10-20,40.27,40.46,38.85,40.01,3612700,38.36
2011-10-19,40.20,40.72,39.77,40.09,2630400,38.43
2011-10-18,38.82,40.51,38.28,40.33,4223100,38.66
2011-10-17,39.85,39.85,38.44,38.67,2794100,37.07
2011-10-14,39.50,40.09,38.70,39.84,2913600,38.19
2011-10-13,38.62,38.96,37.90,38.79,2718300,37.19
2011-10-12,38.48,39.18,37.98,38.89,3863100,37.28
2011-10-11,37.28,38.09,37.11,38.03,2654600,36.46
2011-10-10,36.70,37.40,36.11,37.38,2845200,35.84
2011-10-07,36.65,36.87,35.65,36.18,2416200,34.69
2011-10-06,35.74,36.52,35.24,36.52,2165900,35.01
2011-10-05,34.55,35.67,34.11,35.60,3599600,34.13
2011-10-04,32.08,34.46,31.57,34.41,5152800,32.99
2011-10-03,33.51,33.99,32.59,32.63,3823000,31.28
2011-09-30,35.10,35.33,33.55,33.82,6128500,32.42
2011-09-29,35.80,36.20,34.85,35.69,3297500,34.22
2011-09-28,36.35,36.51,34.89,35.06,3228600,33.61
2011-09-27,35.75,37.28,35.69,36.22,3303000,34.72
2011-09-26,34.36,35.06,33.52,34.98,4080100,33.53
2011-09-23,33.17,34.34,33.00,34.06,4203300,32.65
2011-09-22,34.27,34.63,33.14,33.42,6888900,32.04
2011-09-21,37.02,37.50,35.43,35.44,4246700,33.98
2011-09-20,37.92,38.12,37.07,37.16,3019500,35.62
2011-09-19,37.47,37.91,36.84,37.65,2878100,36.09
2011-09-16,38.57,39.38,37.61,38.10,4222900,36.53
2011-09-15,37.69,38.81,37.60,38.38,4393600,36.79
2011-09-14,36.45,37.65,35.76,37.13,3842600,35.60
2011-09-13,35.55,36.60,35.47,36.06,5218200,34.57
2011-09-12,34.77,35.61,34.46,35.57,4321700,34.10
2011-09-09,36.13,36.18,34.99,35.38,5948600,33.92
2011-09-08,36.55,37.14,36.29,36.52,4403200,35.01
2011-09-07,36.17,36.99,35.94,36.82,2675900,35.30
2011-09-06,34.32,35.76,34.29,35.47,3103900,34.00
2011-09-02,36.21,36.28,35.29,35.67,3130300,34.20
2011-09-01,37.79,38.06,36.82,36.96,3585700,35.43
2011-08-31,38.25,39.10,37.01,37.63,4647200,36.08
2011-08-30,37.75,38.61,37.38,38.12,4120800,36.54
2011-08-29,36.32,38.02,36.08,38.00,3630600,36.43
2011-08-26,35.30,36.11,34.38,35.80,4104600,34.32
2011-08-25,36.65,36.89,35.21,35.36,3463600,33.90
2011-08-24,35.73,36.48,35.26,36.43,3351900,34.92
2011-08-23,34.43,35.88,34.00,35.88,3377600,34.40
2011-08-22,34.78,35.00,33.63,34.19,3446100,32.78
