Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,41.50,41.58,41.19,41.22,1649100,39.50
2011-12-29,40.98,41.47,40.95,41.45,1674300,39.72
2011-12-28,41.12,41.24,40.62,40.85,1618200,39.15
2011-12-27,41.15,41.80,41.07,41.71,1800300,39.54
2011-12-23,41.14,41.60,40.99,41.09,2231800,38.95
2011-12-22,41.26,41.29,40.86,40.95,3345200,38.81
2011-12-21,40.46,41.16,40.38,41.06,3301000,38.92
2011-12-20,39.77,40.43,39.70,40.37,3470800,38.26
2011-12-19,40.01,40.16,39.22,39.44,3590700,37.38
2011-12-16,39.77,40.25,39.60,39.98,9067200,37.90
2011-12-15,38.99,39.68,38.86,39.56,3949700,37.50
2011-12-14,38.56,39.12,38.44,38.61,4146700,36.60
2011-12-13,38.16,38.97,38.16,38.54,3642300,36.53
2011-12-12,38.16,38.23,37.85,38.10,10819500,36.11
2011-12-09,38.00,38.29,37.83,38.24,9294800,36.25
2011-12-08,38.26,38.30,37.83,37.90,9702900,35.92
2011-12-07,38.54,38.56,38.11,38.36,3401100,36.36
2011-12-06,38.71,38.92,38.49,38.61,2392400,36.60
2011-12-05,38.41,38.74,38.37,38.60,2812200,36.59
2011-12-02,38.57,38.70,37.89,38.03,3015300,36.05
2011-12-01,38.73,38.83,38.47,38.52,3137200,36.51
2011-11-30,38.74,38.99,38.18,38.84,5718900,36.81
2011-11-29,38.18,38.42,37.90,38.01,2487900,36.03
2011-11-28,37.92,38.11,37.63,38.05,3956100,36.07
2011-11-25,36.91,37.51,36.86,37.21,1080600,35.27
2011-11-23,37.37,37.40,36.84,36.86,2743900,34.94
2011-11-22,38.16,38.25,37.42,37.52,2797100,35.56
2011-11-21,38.68,38.68,38.03,38.24,2612800,36.25
2011-11-18,38.92,39.13,38.73,39.00,2668500,36.97
2011-11-17,38.94,39.28,38.59,38.73,3448600,36.71
2011-11-16,39.50,39.77,38.89,38.90,5507200,36.87
2011-11-15,40.04,40.11,39.59,39.91,2670200,37.83
2011-11-14,40.10,40.38,39.96,40.02,2826500,37.93
2011-11-11,40.25,40.55,40.21,40.34,1546700,38.24
2011-11-10,40.11,40.28,39.93,40.09,3445700,38.00
2011-11-09,40.06,40.34,39.96,40.01,4601900,37.92
2011-11-08,40.37,40.57,40.06,40.53,2401800,38.42
2011-11-07,40.68,40.80,39.88,40.33,3980300,38.23
2011-11-04,40.50,40.91,40.02,40.86,3606800,38.73
2011-11-03,41.13,41.31,39.68,40.86,8758200,38.73
2011-11-02,42.22,42.63,42.14,42.35,2298400,40.14
2011-11-01,42.13,42.38,41.62,41.78,2629700,39.60
2011-10-31,42.78,43.40,42.75,42.90,2423200,40.66
2011-10-28,43.15,43.30,42.70,42.94,3305400,40.70
2011-10-27,42.81,43.47,42.68,43.16,4716000,40.91
2011-10-26,42.50,42.65,42.20,42.31,3312200,40.10
2011-10-25,42.48,42.74,42.15,42.22,2519700,40.02
2011-10-24,42.79,42.83,42.48,42.57,2149400,40.35
2011-10-21,42.96,43.17,42.81,43.00,2052200,40.76
2011-10-20,42.57,42.84,42.32,42.62,2311100,40.40
2011-10-19,43.03,43.25,42.29,42.34,3682100,40.13
2011-10-18,42.39,43.19,42.11,43.01,3355700,40.77
2011-10-17,42.42,42.67,42.22,42.29,2214600,40.08
2011-10-14,42.61,42.61,42.25,42.50,2457100,40.28
2011-10-13,41.59,42.37,41.39,42.27,3397400,40.07
2011-10-12,42.37,42.52,41.80,41.82,3108600,39.64
2011-10-11,43.03,43.11,42.11,42.26,3223300,40.06
2011-10-10,43.36,43.56,42.96,43.24,3103200,40.99
2011-10-07,43.19,43.30,42.45,42.97,3798900,40.73
2011-10-06,42.15,43.22,41.59,42.99,7302300,40.75
2011-10-05,41.50,41.64,40.77,41.39,2076000,39.23
2011-10-04,41.17,41.43,40.32,41.41,3300000,39.25
2011-10-03,42.16,42.63,41.38,41.41,2379600,39.25
2011-09-30,42.55,42.85,42.27,42.30,2361500,40.09
2011-09-29,42.48,42.89,42.30,42.77,2253000,40.54
2011-09-28,43.26,43.71,42.40,42.46,3051000,39.81
2011-09-27,43.57,43.82,43.12,43.32,2372200,40.62
