Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,474.70,477.90,467.50,467.71,476200,467.71
2011-12-29,476.31,477.59,465.85,476.00,446800,476.00
2011-12-28,483.00,483.91,474.26,475.40,519600,475.40
2011-12-27,480.00,487.24,479.29,484.21,375000,484.21
2011-12-23,482.33,483.61,478.12,481.73,432000,481.73
2011-12-22,472.59,482.61,470.84,479.69,708400,479.69
2011-12-21,478.25,478.80,464.51,472.33,898100,472.33
2011-12-20,466.01,480.09,466.01,480.09,1097900,480.09
2011-12-19,456.65,465.45,455.10,459.73,865500,459.73
2011-12-16,450.00,457.68,448.13,457.08,1334200,457.08
2011-12-15,450.05,452.50,438.76,445.39,1631600,445.39
2011-12-14,462.06,463.12,441.60,445.19,1701300,445.19
2011-12-13,476.14,481.66,461.40,462.69,805600,462.69
2011-12-12,474.50,476.27,468.00,475.39,629400,475.39
2011-12-09,480.00,482.00,474.38,479.74,762900,479.74
2011-12-08,482.86,486.00,477.00,479.46,860600,479.46
2011-12-07,476.71,486.39,472.00,484.29,994100,484.29
2011-12-06,482.77,485.88,473.36,479.10,860700,479.10
2011-12-05,495.63,495.63,478.99,484.02,888000,484.02
2011-12-02,497.42,498.82,485.00,486.48,979100,486.48
2011-12-01,483.87,493.27,482.01,488.43,816400,488.43
2011-11-30,478.89,486.45,472.94,485.89,1160900,485.89
2011-11-29,475.41,475.50,460.66,463.00,893600,463.00
2011-11-28,474.51,483.03,468.75,472.50,893900,472.50
2011-11-25,462.97,466.97,456.27,459.18,447800,459.18
2011-11-23,478.00,479.39,464.03,464.53,894900,464.53
2011-11-22,472.78,485.99,472.16,481.07,894800,481.07
2011-11-21,486.97,494.91,474.38,477.65,1225300,477.65
2011-11-18,514.63,515.63,493.62,496.92,1682100,496.92
2011-11-17,538.05,541.00,511.41,513.40,1593300,513.40
2011-11-16,541.37,548.00,537.00,538.33,1007100,538.33
2011-11-15,531.54,549.76,530.17,546.82,1188200,546.82
2011-11-14,530.98,544.38,530.16,534.40,1054600,534.40
2011-11-11,535.11,535.47,525.07,533.31,1225400,533.31
2011-11-10,542.34,543.00,525.55,528.36,1367900,528.36
2011-11-09,543.00,547.79,535.10,536.55,1819400,536.55
2011-11-08,520.00,553.33,519.63,552.85,3903600,552.85
2011-11-07,517.24,519.00,503.20,509.00,2448600,509.00
2011-11-04,509.00,516.98,498.00,513.37,1638600,513.37
2011-11-03,498.57,511.77,490.31,511.71,1017200,511.71
2011-11-02,496.15,497.23,487.00,493.64,968100,493.64
2011-11-01,492.08,499.23,478.65,489.02,1475900,489.02
2011-10-31,519.00,522.00,507.69,507.72,971700,507.72
2011-10-28,515.00,526.75,511.00,523.68,995100,523.68
2011-10-27,512.38,524.42,510.69,520.55,1543000,520.55
2011-10-26,510.11,513.61,480.32,495.63,1489300,495.63
2011-10-25,517.02,522.99,503.67,505.06,1147300,505.06
2011-10-24,494.00,521.24,491.85,519.82,1232300,519.82
2011-10-21,479.72,495.79,478.32,495.46,1450500,495.46
2011-10-20,478.47,480.50,468.67,473.82,954000,473.82
2011-10-19,490.82,493.26,473.81,479.00,1166900,479.00
2011-10-18,492.16,496.72,475.90,493.21,1121700,493.21
2011-10-17,495.29,506.87,491.47,492.85,710000,492.85
2011-10-14,503.13,503.35,492.51,499.13,761700,499.13
2011-10-13,485.06,495.75,483.93,493.77,1105700,493.77
2011-10-12,499.45,503.98,485.11,485.54,1427700,485.54
2011-10-11,480.95,494.64,478.62,493.26,1049400,493.26
2011-10-10,475.75,483.95,474.00,483.85,960500,483.85
2011-10-07,474.12,474.84,457.80,467.73,1545000,467.73
2011-10-06,447.78,472.83,444.28,469.56,1935400,469.56
2011-10-05,441.17,449.50,424.12,445.67,1882400,445.67
2011-10-04,440.70,447.97,411.26,444.00,2650500,444.00
2011-10-03,454.35,467.00,445.29,445.75,1940000,445.75
2011-09-30,469.12,472.27,449.33,449.46,2199700,449.46
2011-09-29,506.03,506.78,463.15,478.02,2383200,478.02
2011-09-28,512.74,518.00,495.34,498.09,1080100,498.09
2011-09-27,523.49,523.58,504.07,511.12,1323700,511.12
2011-09-26,514.70,515.99,492.00,513.59,1476800,513.59
2011-09-23,503.00,517.61,500.70,514.61,1342800,514.61
2011-09-22,516.39,521.49,499.25,505.57,1832300,505.57
2011-09-21,538.00,549.96,531.00,531.27,1137400,531.27
2011-09-20,533.09,554.00,528.00,537.24,1735000,537.24
2011-09-19,518.34,536.45,510.54,531.45,1155500,531.45
2011-09-16,528.62,531.17,523.13,525.47,1341200,525.47
2011-09-15,533.68,534.70,522.70,524.00,943500,524.00
2011-09-14,524.93,539.00,513.00,529.56,1473400,529.56
2011-09-13,530.47,530.70,516.60,523.03,1001400,523.03
2011-09-12,511.45,531.77,508.14,528.87,1197400,528.87
2011-09-09,534.89,538.04,516.90,520.75,1613300,520.75
2011-09-08,538.65,549.33,533.10,538.39,1483700,538.39
