Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,8.22,8.75,8.19,8.68,5558500,8.68
2011-12-29,8.17,8.27,8.06,8.24,2132500,8.24
2011-12-28,8.33,8.33,7.99,8.04,2806300,8.04
2011-12-27,8.15,8.36,8.08,8.35,2083900,8.35
2011-12-23,8.44,8.52,8.13,8.17,3290100,8.17
2011-12-22,8.34,8.51,8.29,8.42,1408300,8.42
2011-12-21,8.24,8.38,8.16,8.32,1982000,8.32
2011-12-20,8.15,8.35,8.14,8.29,3259100,8.29
2011-12-19,8.34,8.38,7.90,7.95,2875200,7.95
2011-12-16,8.47,8.52,8.23,8.33,4548200,8.33
2011-12-15,8.44,8.72,8.33,8.44,4920400,8.44
2011-12-14,8.49,8.56,8.15,8.19,3434300,8.19
2011-12-13,8.44,8.75,8.40,8.53,5011800,8.53
2011-12-12,8.58,8.64,8.20,8.37,5058400,8.37
2011-12-09,8.33,8.50,8.33,8.47,2352500,8.47
2011-12-08,8.50,8.64,8.23,8.27,3498400,8.27
2011-12-07,8.89,8.94,8.53,8.58,5322800,8.58
2011-12-06,8.79,9.04,8.50,9.00,7267400,9.00
2011-12-05,8.44,8.50,8.21,8.35,2850600,8.35
2011-12-02,8.42,8.54,8.21,8.29,2908200,8.29
2011-12-01,8.33,8.42,8.09,8.30,3577000,8.30
2011-11-30,8.12,8.47,8.05,8.38,5507800,8.38
2011-11-29,7.91,8.01,7.73,7.75,4478100,7.75
2011-11-28,7.82,8.05,7.70,7.92,4894500,7.92
2011-11-25,7.60,7.80,7.51,7.51,1148700,7.51
2011-11-23,7.67,7.82,7.57,7.57,2750400,7.57
2011-11-22,7.89,7.96,7.68,7.74,5855800,7.74
2011-11-21,7.91,7.99,7.86,7.93,2833800,7.93
2011-11-18,8.33,8.37,8.06,8.06,3010200,8.06
2011-11-17,8.69,8.82,8.09,8.28,5746000,8.28
2011-11-16,8.57,8.90,8.53,8.64,3340000,8.64
2011-11-15,8.61,8.90,8.59,8.79,3289400,8.79
2011-11-14,8.73,8.92,8.66,8.68,1898700,8.68
2011-11-11,8.64,8.94,8.60,8.83,2829400,8.83
2011-11-10,8.56,8.64,8.48,8.48,3785000,8.48
2011-11-09,8.49,8.71,8.40,8.43,4850600,8.43
2011-11-08,8.92,9.05,8.72,8.73,4638400,8.73
2011-11-07,8.94,9.04,8.79,8.89,2914400,8.89
2011-11-04,8.86,8.98,8.70,8.97,3721900,8.97
2011-11-03,8.67,9.05,8.49,8.99,7303400,8.99
2011-11-02,7.87,8.65,7.87,8.57,10258500,8.57
2011-11-01,7.88,8.08,7.58,7.66,12836900,7.66
2011-10-31,8.88,8.94,8.46,8.50,11802200,8.50
2011-10-28,9.59,9.60,8.89,8.94,9022000,8.94
2011-10-27,10.03,10.03,9.47,9.73,5366400,9.73
2011-10-26,9.33,9.83,9.23,9.69,5773500,9.69
2011-10-25,9.25,9.30,9.02,9.10,2930500,9.10
2011-10-24,9.06,9.42,9.06,9.30,2668600,9.30
2011-10-21,9.17,9.45,9.12,9.19,5527800,9.19
2011-10-20,8.71,9.04,8.43,9.03,5310600,9.03
2011-10-19,9.04,9.10,8.64,8.66,2838800,8.66
2011-10-18,8.86,9.13,8.64,9.07,3108800,9.07
2011-10-17,9.06,9.10,8.83,8.84,2278200,8.84
2011-10-14,9.10,9.23,9.02,9.10,3352500,9.10
2011-10-13,8.52,8.98,8.48,8.94,4001100,8.94
2011-10-12,8.33,8.65,8.33,8.53,4388000,8.53
2011-10-11,8.44,8.58,8.26,8.32,3907000,8.32
2011-10-10,8.11,8.70,8.07,8.54,5153100,8.54
2011-10-07,8.70,8.72,7.75,7.93,7356900,7.93
2011-10-06,8.36,8.60,8.23,8.60,7310300,8.60
2011-10-05,8.24,8.39,7.98,8.30,8722900,8.30
2011-10-04,8.10,8.26,7.86,8.24,10900000,8.24
2011-10-03,8.65,8.93,8.14,8.18,8909500,8.18
2011-09-30,8.87,9.02,8.59,8.71,7173900,8.71
2011-09-29,9.14,9.25,8.85,9.07,4161600,9.07
2011-09-28,9.30,9.46,8.88,8.90,2883700,8.90
2011-09-27,9.30,9.68,9.20,9.42,3330400,9.42
2011-09-26,9.19,9.40,9.02,9.09,7798200,9.09
2011-09-23,8.84,9.26,8.80,9.11,6901600,9.11
2011-09-22,8.91,9.11,8.78,8.94,7944500,8.94
2011-09-21,10.07,10.07,9.26,9.29,7774900,9.29
2011-09-20,10.10,10.30,9.96,10.07,5971500,10.07
2011-09-19,9.91,10.08,9.62,10.00,8607000,10.00
2011-09-16,10.41,10.51,9.98,10.10,11596600,10.10
2011-09-15,10.49,10.57,10.20,10.35,5105100,10.35
2011-09-14,10.58,10.65,10.24,10.39,8881600,10.39
2011-09-13,10.48,10.70,10.34,10.45,7225500,10.45
2011-09-12,10.26,10.48,10.16,10.44,4188100,10.44
2011-09-09,10.41,10.56,10.21,10.46,6178000,10.46
2011-09-08,10.55,10.80,10.46,10.60,4270100,10.60
2011-09-07,10.41,10.74,10.23,10.67,5779100,10.67
2011-09-06,9.93,10.25,9.93,10.13,7701600,10.13
2011-09-02,10.74,10.84,10.23,10.32,6752500,10.32
2011-09-01,11.15,11.39,10.96,10.96,5633700,10.96
2011-08-31,11.34,11.54,11.07,11.16,6269300,11.16
2011-08-30,11.04,11.31,10.99,11.25,3140900,11.25
2011-08-29,10.80,11.16,10.78,11.16,2881900,11.16
2011-08-26,10.30,10.72,10.07,10.67,3008500,10.67
2011-08-25,10.85,10.91,10.39,10.44,5255900,10.44
2011-08-24,10.52,10.81,10.44,10.81,3773400,10.81
2011-08-23,10.23,10.65,10.18,10.58,6942600,10.58
2011-08-22,10.57,10.63,10.03,10.13,6837800,10.13
2011-08-19,10.30,10.65,10.21,10.27,7938000,10.27
2011-08-18,10.85,11.17,10.34,10.48,10656300,10.48
2011-08-17,11.06,11.21,10.99,11.20,5746800,11.20
2011-08-16,10.93,11.11,10.73,11.02,8062100,11.02
2011-08-15,10.41,11.00,10.31,10.97,7745000,10.97
2011-08-12,10.42,10.56,10.02,10.23,7729900,10.23
2011-08-11,9.59,10.42,9.48,10.26,10285700,10.26
2011-08-10,9.53,9.74,9.29,9.57,16665100,9.57
2011-08-09,9.11,9.36,8.79,9.33,16775400,9.33
2011-08-08,9.02,9.26,8.69,8.92,15226200,8.92
2011-08-05,9.50,9.79,9.20,9.53,13868500,9.53
2011-08-04,10.21,10.24,8.70,9.31,29821800,9.31
2011-08-03,10.74,10.98,9.77,10.27,34131200,10.27
2011-08-02,13.27,13.31,10.19,10.26,69902000,10.26
2011-08-01,16.03,16.26,15.90,16.18,5441000,16.18
2011-07-29,16.11,16.46,15.98,16.28,3188100,16.28
2011-07-28,16.39,16.81,16.24,16.29,5201300,16.29
2011-07-27,16.75,16.82,16.41,16.45,2231400,16.45
2011-07-26,16.90,17.03,16.66,16.90,2810500,16.90
2011-07-25,17.04,17.10,16.80,16.94,1674100,16.94
2011-07-22,17.17,17.26,17.10,17.23,3397500,17.23
2011-07-21,17.15,17.39,17.03,17.15,4025200,17.15
2011-07-20,17.11,17.14,16.79,17.08,2475300,17.08
2011-07-19,16.95,17.25,16.86,17.15,4098400,17.15
2011-07-18,16.90,16.94,16.57,16.80,2769200,16.80
2011-07-15,16.90,17.05,16.83,16.99,2544000,16.99
2011-07-14,17.18,17.19,16.63,16.82,4079000,16.82
2011-07-13,17.13,17.37,17.06,17.09,4551200,17.09
2011-07-12,17.18,17.19,16.83,16.96,3378900,16.96
2011-07-11,17.16,17.33,17.14,17.31,6225900,17.31
2011-07-08,17.08,17.41,16.90,17.40,3547500,17.40
2011-07-07,17.62,17.74,17.34,17.35,3704200,17.35
2011-07-06,17.46,17.47,17.23,17.44,3491500,17.44
2011-07-05,17.71,17.71,17.25,17.47,3900400,17.47
2011-07-01,17.16,17.84,17.16,17.77,4868400,17.77
2011-06-30,17.27,17.44,17.19,17.21,3778200,17.21
2011-06-29,17.29,17.45,17.15,17.23,3732200,17.23
2011-06-28,16.89,17.36,16.77,17.19,4258100,17.19
2011-06-27,16.61,16.95,16.39,16.87,4506000,16.87
2011-06-24,16.76,16.79,16.49,16.66,6305700,16.66
2011-06-23,16.31,16.77,16.06,16.77,5819000,16.77
2011-06-22,16.42,16.77,16.38,16.50,3980400,16.50
2011-06-21,16.16,16.62,16.15,16.45,3545600,16.45
2011-06-20,15.99,16.16,15.84,16.10,3930100,16.10
2011-06-17,16.13,16.28,15.93,16.02,3157900,16.02
2011-06-16,15.97,16.01,15.73,15.98,4922100,15.98
2011-06-15,16.35,16.45,15.92,15.94,5524600,15.94
2011-06-14,16.42,16.61,16.34,16.50,2692700,16.50
2011-06-13,16.31,16.44,16.02,16.25,4798800,16.25
2011-06-10,16.59,16.62,16.27,16.32,4186700,16.32
2011-06-09,16.82,16.85,16.44,16.60,5614900,16.60
2011-06-08,16.77,16.93,16.51,16.74,4341300,16.74
2011-06-07,17.19,17.19,16.88,16.92,4931200,16.92
2011-06-06,17.15,17.41,16.94,17.06,6007200,17.06
2011-06-03,18.00,18.00,17.49,17.56,5709900,17.56
2011-06-02,18.20,18.50,18.05,18.23,6336400,18.23
2011-06-01,17.79,18.52,17.79,18.15,9425000,18.15
2011-05-31,18.36,18.44,17.68,17.90,7235300,17.90
2011-05-27,18.40,18.54,18.03,18.16,3573700,18.16
2011-05-26,17.81,18.34,17.72,18.30,8243000,18.30
2011-05-25,17.83,17.95,17.45,17.83,4430100,17.83
2011-05-24,17.74,17.90,17.52,17.55,5608800,17.55
2011-05-23,17.52,17.73,17.42,17.66,4697100,17.66
2011-05-20,17.79,17.85,17.55,17.73,9083300,17.73
2011-05-19,18.69,18.79,18.14,18.29,5258600,18.29
2011-05-18,18.08,18.74,18.03,18.69,10827800,18.69
2011-05-17,17.79,18.26,17.71,18.07,6774800,18.07
2011-05-16,17.76,17.98,17.67,17.93,5465400,17.93
2011-05-13,18.05,18.10,17.61,17.85,3555200,17.85
2011-05-12,17.81,18.21,17.72,18.10,5725100,18.10
2011-05-11,18.17,18.22,17.73,17.96,7346600,17.96
2011-05-10,17.55,18.30,17.50,18.22,10673600,18.22
2011-05-09,17.36,17.65,17.24,17.56,9546800,17.56
2011-05-06,17.50,17.57,17.17,17.32,8638100,17.32
2011-05-05,17.73,17.99,17.42,17.71,10161100,17.71
2011-05-04,18.19,18.23,17.59,17.85,8288200,17.85
2011-05-03,17.13,18.18,16.81,18.15,22915700,18.15
2011-05-02,16.96,16.98,16.40,16.48,7714400,16.48
2011-04-29,16.90,17.02,16.78,16.83,4340000,16.83
2011-04-28,17.05,17.22,16.77,16.87,5291500,16.87
2011-04-27,16.68,17.09,16.59,17.05,5688000,17.05
2011-04-26,16.81,16.85,16.58,16.69,3000000,16.69
2011-04-25,16.91,16.98,16.70,16.72,2901900,16.72
2011-04-21,16.72,16.99,16.61,16.89,2922300,16.89
2011-04-20,16.51,16.64,16.16,16.62,5287900,16.62
2011-04-19,16.13,16.27,16.05,16.26,5167900,16.26
2011-04-18,16.34,16.36,15.88,16.07,8329900,16.07
2011-04-15,16.61,16.72,16.44,16.50,4326200,16.50
2011-04-14,16.65,16.70,16.36,16.60,4487800,16.60
2011-04-13,16.79,16.92,16.58,16.75,3404700,16.75
2011-04-12,16.71,16.80,16.56,16.75,4392500,16.75
2011-04-11,16.74,17.03,16.68,16.79,7324900,16.79
2011-04-08,16.64,16.68,16.50,16.66,4114100,16.66
2011-04-07,16.44,16.63,16.34,16.57,6432600,16.57
2011-04-06,16.57,16.62,16.30,16.47,4162300,16.47
2011-04-05,16.37,16.66,16.29,16.51,3833200,16.51
2011-04-04,16.59,16.60,16.26,16.33,5893200,16.33
2011-04-01,16.28,16.49,16.16,16.49,4864800,16.49
2011-03-31,16.22,16.40,15.96,16.24,5044800,16.24
2011-03-30,15.94,16.41,15.83,16.32,7952600,16.32
2011-03-29,15.76,15.88,15.62,15.81,3215100,15.81
2011-03-28,15.94,15.96,15.71,15.79,6100100,15.79
2011-03-25,15.80,15.83,15.46,15.54,5445700,15.54
2011-03-24,15.59,15.83,15.46,15.78,5851900,15.78
2011-03-23,15.52,15.55,15.32,15.50,3278600,15.50
2011-03-22,15.77,15.80,15.40,15.50,4699800,15.50
2011-03-21,15.85,15.92,15.54,15.64,10089900,15.64
2011-03-18,15.02,15.27,14.90,14.93,6056500,14.93
2011-03-17,14.80,14.89,14.55,14.81,3527100,14.81
2011-03-16,14.83,14.94,14.35,14.51,5529900,14.51
2011-03-15,14.51,14.96,14.31,14.85,3140500,14.85
2011-03-14,14.92,15.18,14.79,14.90,2921200,14.90
2011-03-11,14.78,15.05,14.72,15.01,4543800,15.01
2011-03-10,14.88,15.00,14.75,14.89,4163000,14.89
2011-03-09,15.04,15.20,14.90,15.11,4500900,15.11
2011-03-08,14.96,15.10,14.83,15.04,5379600,15.04
2011-03-07,15.02,15.15,14.77,14.98,5694400,14.98
2011-03-04,15.05,15.07,14.69,14.91,8307400,14.91
2011-03-03,14.37,15.02,14.28,14.94,10357100,14.94
2011-03-02,14.29,14.50,13.97,14.20,6447400,14.20
2011-03-01,14.42,14.45,14.13,14.26,7392500,14.26
2011-02-28,14.11,14.40,14.11,14.40,6959900,14.40
2011-02-25,13.60,14.13,13.55,14.11,8156700,14.11
2011-02-24,13.01,13.56,12.79,13.53,7972100,13.53
2011-02-23,13.05,13.23,12.75,12.76,6898200,12.76
2011-02-22,13.29,13.31,13.02,13.08,5103600,13.08
2011-02-18,13.15,13.69,13.12,13.41,6161200,13.41
2011-02-17,13.27,13.30,13.11,13.12,2751900,13.12
2011-02-16,13.40,13.42,13.22,13.34,2501700,13.34
2011-02-15,13.31,13.51,13.24,13.38,3954600,13.38
2011-02-14,13.09,13.44,13.05,13.31,4399300,13.31
2011-02-11,12.85,13.10,12.77,13.06,4204100,13.06
2011-02-10,13.01,13.04,12.70,12.84,3930600,12.84
2011-02-09,12.92,13.10,12.84,13.00,3723600,13.00
2011-02-08,12.93,13.00,12.68,12.99,4958400,12.99
2011-02-07,13.02,13.18,12.85,12.85,5424800,12.85
2011-02-04,12.93,13.07,12.81,12.95,9583500,12.95
2011-02-03,12.80,12.95,12.65,12.91,2434300,12.91
2011-02-02,13.04,13.07,12.84,12.86,2712200,12.86
2011-02-01,13.08,13.16,12.91,13.02,11382900,13.02
2011-01-31,13.21,13.25,12.92,12.93,4582000,12.93
2011-01-28,13.62,13.65,13.11,13.16,3673100,13.16
2011-01-27,13.65,13.68,13.28,13.59,3284900,13.59
2011-01-26,13.55,13.60,13.35,13.57,3914100,13.57
2011-01-25,12.90,13.50,12.86,13.49,8592300,13.49
2011-01-24,12.81,12.89,12.67,12.85,2641900,12.85
2011-01-21,12.72,12.82,12.63,12.72,3607000,12.72
2011-01-20,12.61,12.72,12.42,12.60,3606400,12.60
2011-01-19,12.90,13.01,12.46,12.53,5462400,12.53
2011-01-18,13.08,13.23,12.82,12.83,3499500,12.83
2011-01-14,12.98,13.20,12.94,13.06,3391800,13.06
2011-01-13,13.03,13.24,12.93,12.96,2854700,12.96
2011-01-12,13.06,13.14,12.94,12.97,3564000,12.97
2011-01-11,13.31,13.36,12.90,12.95,7147900,12.95
2011-01-10,12.80,13.23,12.77,13.18,6375500,13.18
2011-01-07,13.13,13.26,12.85,12.95,7559900,12.95
2011-01-06,13.01,13.48,12.94,13.30,15080800,13.30
2011-01-05,13.80,14.40,13.68,14.26,15590200,14.26
2011-01-04,13.28,13.97,13.20,13.92,18884500,13.92
2011-01-03,12.76,13.10,12.67,13.07,7238000,13.07
