Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,33.01,33.22,32.84,33.01,2667100,31.51
2011-12-29,32.64,32.96,32.60,32.94,1919700,31.45
2011-12-28,32.78,32.80,32.45,32.52,1199600,31.05
2011-12-27,32.55,32.84,32.47,32.82,1259500,31.33
2011-12-23,32.32,32.71,32.27,32.54,1950700,31.07
2011-12-22,31.77,32.25,31.67,32.15,2814700,30.69
2011-12-21,31.30,31.68,31.21,31.67,3293800,30.24
2011-12-20,31.06,31.30,30.79,31.28,3032500,29.86
2011-12-19,31.45,31.64,30.60,30.64,3300700,29.25
2011-12-16,31.95,32.01,31.22,31.29,4574600,29.87
2011-12-15,31.35,31.90,31.33,31.84,2625100,30.40
2011-12-14,31.49,31.68,31.05,31.05,3058300,29.64
2011-12-13,31.53,31.94,31.35,31.49,2769300,30.06
2011-12-12,31.50,31.70,31.20,31.42,2379100,30.00
2011-12-09,31.69,31.79,31.36,31.71,2218900,30.27
2011-12-08,31.99,32.07,31.47,31.53,2502700,30.10
2011-12-07,32.04,32.25,31.71,32.07,3936400,30.62
2011-12-06,32.69,32.85,32.48,32.65,3434900,30.84
2011-12-05,32.70,32.78,32.35,32.58,3429900,30.78
2011-12-02,32.88,32.88,32.22,32.31,2559100,30.52
2011-12-01,32.76,33.00,32.59,32.65,2366600,30.84
2011-11-30,32.70,33.00,32.63,32.94,3563700,31.12
2011-11-29,31.77,32.15,31.70,31.95,3611600,30.18
2011-11-28,31.85,31.95,31.37,31.59,2220200,29.84
2011-11-25,31.30,31.44,31.18,31.21,972200,29.48
2011-11-23,31.51,31.62,31.05,31.18,3071900,29.46
2011-11-22,32.25,32.29,31.70,31.72,3260700,29.97
2011-11-21,32.33,32.44,31.93,32.20,10806900,30.42
2011-11-18,32.82,32.82,32.51,32.69,6638500,30.88
2011-11-17,32.78,32.85,32.27,32.59,3942900,30.79
2011-11-16,33.03,33.22,32.71,32.77,3198900,30.96
2011-11-15,33.42,33.59,33.16,33.26,3526000,31.42
2011-11-14,33.89,34.05,33.40,33.60,1918400,31.74
2011-11-11,33.96,34.32,33.96,34.03,2546900,32.15
2011-11-10,33.52,34.00,33.38,33.62,3309900,31.76
2011-11-09,33.75,33.77,33.00,33.07,3457900,31.24
2011-11-08,34.15,34.22,33.75,34.18,2667100,32.29
2011-11-07,33.97,34.18,33.71,34.17,1991400,32.28
2011-11-04,34.12,34.12,33.50,33.88,2488200,32.01
2011-11-03,33.88,34.49,33.75,34.38,4392400,32.48
2011-11-02,33.01,33.83,33.01,33.59,3576800,31.73
2011-11-01,32.59,33.47,32.46,32.57,4458400,30.77
2011-10-31,33.75,34.20,33.70,33.70,2984000,31.84
2011-10-28,34.35,34.45,33.86,33.99,4434400,32.11
2011-10-27,34.87,34.96,34.29,34.43,4725600,32.53
2011-10-26,34.40,34.44,34.00,34.31,2328600,32.41
2011-10-25,34.17,34.39,33.93,33.95,3035700,32.07
2011-10-24,34.27,34.42,34.03,34.42,2797600,32.52
2011-10-21,33.68,34.17,33.66,34.17,2828100,32.28
2011-10-20,33.11,33.55,33.08,33.41,2935400,31.56
2011-10-19,33.07,33.61,32.93,33.04,1813700,31.21
2011-10-18,33.11,33.31,32.80,33.03,4042700,31.20
2011-10-17,32.99,33.36,32.96,33.20,2403800,31.36
2011-10-14,32.92,33.09,32.79,33.06,2178700,31.23
2011-10-13,32.46,32.74,32.23,32.64,3457400,30.83
2011-10-12,32.94,32.99,32.44,32.63,3742100,30.82
2011-10-11,32.77,32.84,32.33,32.79,2968800,30.98
2011-10-10,32.72,32.88,32.60,32.82,3134800,31.00
2011-10-07,32.73,32.83,32.12,32.32,4706100,30.53
2011-10-06,31.92,32.57,31.80,32.56,2621700,30.76
2011-10-05,31.97,32.02,31.37,31.97,3834000,30.20
2011-10-04,31.97,32.31,31.24,31.89,6600000,30.13
2011-10-03,33.35,33.55,32.31,32.33,4214900,30.54
2011-09-30,33.67,34.06,33.37,33.37,4447200,31.52
2011-09-29,34.15,34.20,33.52,33.96,2878300,32.08
2011-09-28,34.14,34.33,33.47,33.53,3187900,31.68
2011-09-27,34.52,34.59,33.93,34.09,2699300,32.20
2011-09-26,33.86,34.02,33.47,34.00,2555500,32.12
2011-09-23,32.98,33.68,32.92,33.61,3042800,31.75
2011-09-22,33.05,33.36,32.65,33.04,4908700,31.21
2011-09-21,34.71,35.03,33.80,33.82,3636400,31.95
2011-09-20,34.52,35.48,34.40,34.81,3576800,32.88
2011-09-19,33.92,34.44,33.90,34.34,2133900,32.44
2011-09-16,34.23,34.58,34.13,34.47,3556700,32.56
2011-09-15,33.93,34.10,33.64,34.05,2493400,32.17
2011-09-14,33.24,33.96,32.88,33.60,3273600,31.74
2011-09-13,32.74,33.24,32.48,33.19,3437600,31.35
2011-09-12,32.05,32.67,31.87,32.66,4448700,30.85
2011-09-09,32.89,32.91,32.13,32.28,3790800,30.49
2011-09-08,33.00,33.56,33.00,33.26,2329800,31.42
2011-09-07,32.66,33.31,32.58,33.23,3471200,31.39
2011-09-06,32.14,32.94,31.90,32.89,3783400,30.75
2011-09-02,32.94,33.34,32.88,33.08,2354600,30.92
2011-09-01,34.12,34.22,33.41,33.50,4061400,31.32
2011-08-31,33.78,34.19,33.65,34.13,4599100,31.91
2011-08-30,33.64,33.87,33.49,33.69,2689100,31.49
2011-08-29,33.36,33.77,33.25,33.74,5126500,31.54
2011-08-26,32.95,33.25,32.15,33.00,3022700,30.85
2011-08-25,33.51,33.51,32.95,33.16,11385100,31.00
2011-08-24,32.22,33.46,32.06,33.44,4454700,31.26
2011-08-23,31.61,32.31,31.44,32.30,3964100,30.19
2011-08-22,32.41,32.41,31.51,31.89,4061700,29.81
2011-08-19,31.60,32.07,31.43,31.62,4068600,29.56
2011-08-18,31.75,32.17,31.45,32.03,5492400,29.94
2011-08-17,32.36,32.87,32.32,32.50,4113600,30.38
2011-08-16,32.09,32.47,31.89,32.37,3719600,30.26
2011-08-15,31.33,32.41,31.22,32.37,4854800,30.26
2011-08-12,31.01,31.48,30.75,31.07,6167900,29.05
2011-08-11,29.08,31.24,29.01,30.87,7297300,28.86
2011-08-10,29.33,29.96,28.89,28.97,5427600,27.08
2011-08-09,29.29,29.84,27.97,29.81,5722700,27.87
2011-08-08,29.83,30.25,28.69,28.84,6464400,26.96
2011-08-05,30.56,30.73,29.87,30.33,5603200,28.35
2011-08-04,31.47,31.53,30.20,30.27,4704200,28.30
2011-08-03,32.32,32.32,31.32,31.73,3799800,29.66
2011-08-02,32.46,32.60,32.19,32.25,3406500,30.15
2011-08-01,33.02,33.05,32.29,32.66,2397000,30.53
2011-07-29,32.86,33.06,32.61,32.75,3232700,30.62
2011-07-28,33.20,33.21,32.89,33.09,2074000,30.93
2011-07-27,33.20,33.33,33.03,33.24,3830200,31.07
2011-07-26,33.16,33.48,33.00,33.29,3964200,31.12
2011-07-25,32.64,33.31,32.64,33.20,3155400,31.04
2011-07-22,32.67,32.87,32.48,32.81,2079000,30.67
2011-07-21,32.18,32.75,32.14,32.62,2273300,30.49
2011-07-20,31.92,32.13,31.78,31.96,943700,29.88
2011-07-19,31.68,31.90,31.45,31.88,1466700,29.80
2011-07-18,31.73,31.81,31.46,31.58,1478200,29.52
2011-07-15,32.04,32.09,31.67,31.84,2658700,29.76
2011-07-14,32.08,32.11,31.80,32.00,2825500,29.91
2011-07-13,32.33,32.43,31.93,32.03,2107200,29.94
2011-07-12,31.96,32.37,31.88,32.13,2756800,30.04
2011-07-11,32.18,32.20,31.88,32.06,1523500,29.97
2011-07-08,32.61,32.66,32.34,32.54,1400300,30.42
2011-07-07,32.76,32.86,32.52,32.83,1989800,30.69
2011-07-06,32.64,32.81,32.38,32.60,1459400,30.48
2011-07-05,32.89,32.89,32.54,32.65,1996100,30.52
2011-07-01,32.68,32.96,32.53,32.93,1720100,30.78
2011-06-30,32.39,32.68,32.11,32.64,2496800,30.51
2011-06-29,32.16,32.37,31.97,32.24,1994900,30.14
2011-06-28,31.95,32.15,31.81,32.09,2110700,30.00
2011-06-27,31.28,32.02,31.26,31.91,3311100,29.83
2011-06-24,31.65,32.03,31.08,31.08,4761100,29.05
2011-06-23,31.42,31.61,31.13,31.58,2798300,29.52
2011-06-22,31.62,32.04,31.50,31.79,2629200,29.72
2011-06-21,31.83,32.06,31.60,31.76,2184200,29.69
2011-06-20,31.44,31.74,31.27,31.66,1599700,29.60
2011-06-17,31.57,31.80,31.46,31.56,2205500,29.50
2011-06-16,31.20,31.74,31.17,31.41,2496300,29.36
2011-06-15,31.64,31.87,31.07,31.14,3747600,29.11
2011-06-14,31.85,32.03,31.50,31.88,3288100,29.80
2011-06-13,31.60,32.40,31.59,31.60,3882700,29.54
2011-06-10,32.00,32.01,31.70,31.75,1807500,29.68
2011-06-09,31.96,32.19,31.74,32.04,2155400,29.95
2011-06-08,32.07,32.21,31.77,31.91,3201100,29.83
2011-06-07,32.27,32.49,31.95,31.99,2747800,29.91
2011-06-06,32.43,32.52,32.19,32.38,1755000,29.95
2011-06-03,32.53,32.73,32.32,32.48,1853500,30.04
2011-06-02,33.00,33.00,32.58,32.88,2542000,30.41
2011-06-01,33.34,33.52,32.90,32.90,2588200,30.43
2011-05-31,33.49,33.65,33.15,33.50,2072000,30.98
2011-05-27,33.41,33.50,33.16,33.34,1892700,30.84
2011-05-26,33.34,33.45,32.98,33.22,2403200,30.73
2011-05-25,33.44,33.65,33.06,33.44,2310100,30.93
2011-05-24,33.93,33.94,33.37,33.40,2652100,30.89
2011-05-23,33.99,34.12,33.76,33.81,2168500,31.27
2011-05-20,34.07,34.22,33.85,34.11,2359400,31.55
2011-05-19,33.96,34.20,33.90,34.18,2455300,31.61
2011-05-18,33.82,33.96,33.44,33.93,2389800,31.38
2011-05-17,33.49,33.91,33.43,33.82,2213600,31.28
2011-05-16,33.36,33.83,33.10,33.53,3536400,31.01
2011-05-13,33.81,33.94,33.28,33.45,3405700,30.94
2011-05-12,33.26,33.82,33.10,33.70,3700000,31.17
2011-05-11,32.94,33.29,32.76,33.25,3657900,30.75
2011-05-10,32.46,33.10,32.38,32.99,2724600,30.51
2011-05-09,32.38,32.55,32.14,32.34,2537500,29.91
2011-05-06,32.14,32.62,32.08,32.30,7308000,29.88
2011-05-05,32.27,32.46,31.73,32.05,3207500,29.64
2011-05-04,32.15,32.42,31.67,32.34,4362200,29.91
2011-05-03,32.19,32.80,31.94,32.22,4520500,29.80
2011-05-02,32.19,32.49,32.02,32.18,2526000,29.76
2011-04-29,32.12,32.20,31.81,32.17,2148500,29.75
2011-04-28,31.73,32.23,31.69,32.09,2797400,29.68
2011-04-27,31.30,31.88,31.22,31.80,3720000,29.41
2011-04-26,30.91,31.30,30.78,31.24,2395800,28.89
2011-04-25,30.87,31.00,30.75,30.81,1059100,28.50
2011-04-21,30.79,30.94,30.49,30.93,1680000,28.61
2011-04-20,30.77,30.95,30.62,30.76,3153900,28.45
2011-04-19,30.88,30.90,30.47,30.52,2867000,28.23
2011-04-18,31.02,31.07,30.72,30.90,2118300,28.58
2011-04-15,30.96,31.51,30.93,31.20,2880200,28.86
2011-04-14,30.79,31.05,30.66,30.87,2714200,28.55
2011-04-13,30.63,31.10,30.61,30.96,3624700,28.64
2011-04-12,30.48,30.70,30.30,30.58,3569100,28.28
2011-04-11,31.08,31.14,30.44,30.56,3957500,28.27
2011-04-08,31.53,31.55,31.00,31.22,1497200,28.88
2011-04-07,31.49,31.53,31.08,31.36,2359500,29.01
2011-04-06,30.91,31.56,30.85,31.56,4590200,29.19
2011-04-05,30.87,31.00,30.77,30.81,4063900,28.50
2011-04-04,31.45,31.50,30.73,30.89,5329700,28.57
2011-04-01,31.71,31.77,31.37,31.50,2431300,29.14
2011-03-31,31.74,31.88,31.49,31.51,2322100,29.14
2011-03-30,31.39,31.87,31.29,31.69,2004600,29.31
2011-03-29,30.96,31.38,30.76,31.31,1536500,28.96
2011-03-28,31.17,31.27,30.98,30.98,1376400,28.65
2011-03-25,31.25,31.49,31.06,31.09,2319100,28.76
2011-03-24,31.31,31.44,31.16,31.17,2497300,28.83
2011-03-23,30.92,31.23,30.77,31.15,1856200,28.81
2011-03-22,30.82,31.18,30.74,31.00,2085500,28.67
2011-03-21,30.62,30.99,30.54,30.76,2280300,28.45
2011-03-18,30.54,30.70,30.21,30.43,3378500,28.15
2011-03-17,30.70,30.75,30.16,30.47,3962000,28.18
2011-03-16,31.10,31.58,30.15,30.32,7318400,28.04
2011-03-15,30.90,31.18,30.61,31.10,4011300,28.77
2011-03-14,32.13,32.13,31.33,31.51,4001800,29.14
2011-03-11,32.10,32.46,31.88,32.38,2556200,29.95
2011-03-10,32.27,32.65,31.97,32.05,3110900,29.64
2011-03-09,31.68,32.54,31.68,32.51,3497700,30.07
2011-03-08,31.06,31.78,31.06,31.68,2024400,29.30
2011-03-07,31.65,32.07,31.45,31.47,2725800,28.79
2011-03-04,31.99,32.00,31.33,31.61,2506300,28.92
2011-03-03,32.15,32.30,31.95,31.95,2313700,29.23
2011-03-02,31.93,32.09,31.63,31.89,2324200,29.17
2011-03-01,32.59,32.73,31.89,31.91,4022800,29.19
2011-02-28,32.51,32.90,32.37,32.70,2862000,29.92
2011-02-25,32.27,32.44,32.05,32.42,2317800,29.66
2011-02-24,32.29,32.48,32.01,32.23,4264000,29.49
2011-02-23,32.28,32.46,31.92,32.30,4238600,29.55
2011-02-22,31.28,32.36,31.05,32.23,5709700,29.49
2011-02-18,32.12,32.12,31.71,31.74,3141000,29.04
2011-02-17,32.08,32.18,31.70,32.07,2275600,29.34
2011-02-16,32.42,32.61,31.88,32.12,2868300,29.38
2011-02-15,32.46,32.53,32.30,32.45,1709600,29.69
2011-02-14,32.83,32.92,32.41,32.58,1075100,29.81
2011-02-11,32.78,33.11,32.74,32.87,1130000,30.07
2011-02-10,33.00,33.06,32.74,32.89,1612800,30.09
2011-02-09,32.64,33.12,32.42,33.02,2549900,30.21
2011-02-08,32.59,32.75,32.38,32.74,1628200,29.95
2011-02-07,32.33,32.61,32.23,32.61,1554700,29.83
2011-02-04,32.67,32.67,32.21,32.22,3299300,29.48
2011-02-03,32.60,32.82,32.41,32.75,2384200,29.96
2011-02-02,32.94,32.94,32.27,32.59,3733800,29.81
2011-02-01,32.61,33.12,32.27,33.12,2877500,30.30
2011-01-31,32.46,32.60,32.29,32.43,2136000,29.67
2011-01-28,32.66,32.75,32.25,32.43,2277500,29.67
2011-01-27,32.60,32.78,32.49,32.63,1967400,29.85
2011-01-26,32.53,32.65,32.42,32.57,1968800,29.80
2011-01-25,32.67,32.85,32.46,32.50,2619000,29.73
2011-01-24,32.38,32.78,32.36,32.70,2246100,29.92
2011-01-21,32.49,32.49,32.21,32.46,3530500,29.70
2011-01-20,31.78,32.31,31.78,32.17,2067900,29.43
2011-01-19,31.31,31.80,31.31,31.77,2363700,29.06
2011-01-18,31.67,31.85,31.23,31.32,3337500,28.65
2011-01-14,31.49,31.66,31.41,31.62,1731000,28.93
2011-01-13,32.08,32.21,31.50,31.59,2870900,28.90
2011-01-12,31.93,32.43,31.93,32.16,2220400,29.42
2011-01-11,31.63,31.95,31.45,31.90,2630800,29.18
2011-01-10,31.50,31.65,31.11,31.60,3082000,28.91
2011-01-07,31.31,31.59,30.91,31.59,4845700,28.90
2011-01-06,31.37,31.42,31.09,31.25,3401600,28.59
2011-01-05,31.45,31.64,31.23,31.32,3161100,28.65
2011-01-04,31.80,31.87,31.29,31.58,3440500,28.89
2011-01-03,32.01,32.06,31.56,31.80,2671200,29.09
