Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,66.42,66.69,66.24,66.35,2632900,64.32
2011-12-29,65.97,66.63,65.96,66.54,2840300,64.50
2011-12-28,66.38,66.50,65.84,65.91,3179800,63.89
2011-12-27,66.47,66.78,66.32,66.38,2544000,64.35
2011-12-23,66.28,66.69,66.12,66.57,2625700,64.53
2011-12-22,66.03,66.42,65.92,66.04,3537200,64.02
2011-12-21,65.22,66.25,65.22,66.04,4979700,64.02
2011-12-20,64.80,65.71,64.62,65.53,4800400,63.52
2011-12-19,64.63,65.17,64.20,64.37,4943000,62.40
2011-12-16,65.28,65.40,64.62,64.71,8619400,62.73
2011-12-15,64.03,65.10,63.94,64.85,6417700,62.86
2011-12-14,64.41,64.67,63.93,63.98,5665500,62.02
2011-12-13,64.95,65.24,64.14,64.28,4946400,62.31
2011-12-12,65.10,65.24,63.89,64.66,5834400,62.68
2011-12-09,64.44,65.40,64.42,65.19,6351700,63.19
2011-12-08,64.54,65.14,64.22,64.33,5170100,62.36
2011-12-07,64.45,65.17,64.23,64.91,5638400,62.92
2011-12-06,64.60,65.04,64.15,64.65,5992700,62.67
2011-12-05,64.69,64.77,64.09,64.40,5601300,62.43
2011-12-02,64.44,64.70,64.15,64.28,6571600,62.31
2011-12-01,64.27,64.47,63.83,64.09,7686200,62.13
2011-11-30,64.39,64.61,63.67,64.00,10022600,62.04
2011-11-29,63.09,64.01,63.00,63.66,6408900,61.21
2011-11-28,62.70,63.55,62.58,62.99,5459000,60.57
2011-11-25,62.70,62.91,62.40,62.49,2893500,60.08
2011-11-23,62.83,62.96,62.25,62.40,5386100,60.00
2011-11-22,62.89,63.54,62.88,63.18,4745100,60.75
2011-11-21,63.21,63.74,63.05,63.15,6964200,60.72
2011-11-18,64.05,64.14,63.04,63.89,10355300,61.43
2011-11-17,64.90,65.09,63.20,64.09,13519700,61.62
2011-11-16,64.43,66.65,64.28,65.09,17887600,62.58
2011-11-15,63.12,64.92,63.09,64.50,14947300,62.02
