Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,24.83,24.83,24.60,24.60,758700,23.89
2011-12-29,24.38,24.84,24.34,24.74,1342700,24.02
2011-12-28,24.72,24.76,24.21,24.23,1256700,23.53
2011-12-27,24.92,25.11,24.68,24.68,823900,23.97
2011-12-23,24.95,25.01,24.74,24.95,810500,24.23
2011-12-22,24.61,24.93,24.58,24.83,1285600,24.11
2011-12-21,24.16,24.68,23.81,24.56,3217900,23.85
2011-12-20,23.61,24.45,23.53,24.23,3725700,23.53
2011-12-19,23.58,23.68,22.81,22.93,2095000,22.27
2011-12-16,23.71,23.79,23.31,23.54,4100500,22.86
2011-12-15,23.88,23.92,23.44,23.46,2466900,22.78
2011-12-14,23.05,23.71,22.96,23.46,3539600,22.78
2011-12-13,23.96,24.22,23.09,23.33,3001400,22.66
2011-12-12,24.13,24.13,23.51,23.75,2884800,23.06
2011-12-09,24.29,24.73,24.23,24.53,4422300,23.82
2011-12-08,25.12,25.12,23.99,24.05,4415600,23.35
2011-12-07,25.15,25.70,24.74,25.53,3132200,24.79
2011-12-06,25.03,25.72,24.94,25.47,3565700,24.73
2011-12-05,24.91,25.51,24.86,25.15,3517300,24.42
2011-12-02,24.64,25.24,24.26,24.30,5266800,23.60
2011-12-01,23.88,24.72,23.24,24.24,6375600,23.54
2011-11-30,23.36,24.15,23.31,24.13,3436500,23.43
2011-11-29,22.34,22.83,22.12,22.36,2047800,21.71
2011-11-28,22.40,22.55,22.00,22.29,4593400,21.65
2011-11-25,21.48,22.00,21.42,21.43,1522600,20.81
2011-11-23,22.35,22.37,21.65,21.67,2421000,21.04
2011-11-22,22.96,23.16,22.61,22.70,2281600,22.04
2011-11-21,23.28,23.46,22.67,22.98,3675400,22.32
2011-11-18,23.18,23.93,22.89,23.75,4843300,23.06
2011-11-17,23.51,23.64,22.66,22.87,4056800,22.21
2011-11-16,23.76,23.90,23.45,23.52,3515100,22.84
2011-11-15,23.88,24.35,23.46,24.15,3374600,23.45
2011-11-14,23.79,24.15,23.60,24.03,4306700,23.34
2011-11-11,24.17,24.47,23.89,24.02,2169900,23.33
2011-11-10,23.76,23.87,23.11,23.68,4812000,23.00
2011-11-09,24.17,24.17,23.17,23.26,4700500,22.59
2011-11-08,24.43,25.31,24.31,25.15,4532200,24.42
2011-11-07,24.93,25.11,24.24,25.00,3776400,23.60
2011-11-04,25.05,25.18,24.57,24.99,10948700,23.59
2011-11-03,25.13,25.59,24.22,25.48,11763700,24.05
2011-11-02,24.79,25.11,24.30,24.72,3156100,23.33
2011-11-01,24.45,25.04,24.00,24.22,4598300,22.86
2011-10-31,26.35,26.46,25.76,25.78,4129400,24.33
2011-10-28,27.67,27.82,26.05,26.98,6284500,25.47
2011-10-27,27.80,28.76,27.60,28.47,5501200,26.87
2011-10-26,25.74,26.44,25.17,26.37,2663800,24.89
2011-10-25,26.27,26.27,25.12,25.19,2723700,23.78
2011-10-24,26.20,26.78,26.00,26.64,1950600,25.15
2011-10-21,25.50,26.18,25.30,25.96,2519300,24.50
2011-10-20,24.60,25.25,24.16,25.07,3228700,23.66
2011-10-19,25.36,25.70,24.51,24.59,2721700,23.21
2011-10-18,24.08,25.61,23.77,25.36,2956200,23.94
2011-10-17,24.76,24.79,23.85,23.90,2153900,22.56
