Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,6.29,6.43,6.27,6.31,5856400,6.31
2011-12-29,5.99,6.33,5.96,6.31,6054600,6.31
2011-12-28,6.02,6.06,5.88,5.95,4539300,5.95
2011-12-27,6.09,6.12,5.98,6.05,3406900,6.05
2011-12-23,6.25,6.30,6.04,6.08,4286000,6.08
2011-12-22,6.31,6.39,6.18,6.20,7920000,6.20
2011-12-21,6.13,6.35,6.05,6.31,9192400,6.31
2011-12-20,5.78,6.19,5.78,6.17,10904600,6.17
2011-12-19,5.82,5.88,5.54,5.59,7613400,5.59
2011-12-16,5.80,5.96,5.73,5.76,10490000,5.76
2011-12-15,5.69,5.84,5.69,5.74,10471100,5.74
2011-12-14,5.92,5.94,5.60,5.60,13841200,5.60
2011-12-13,6.25,6.34,5.90,5.96,8522000,5.96
2011-12-12,6.24,6.30,6.07,6.22,8735000,6.22
2011-12-09,6.16,6.37,6.10,6.32,10566600,6.32
2011-12-08,6.39,6.41,6.04,6.07,14121500,6.07
2011-12-07,6.39,6.50,6.24,6.45,14128300,6.45
2011-12-06,6.39,6.59,6.30,6.48,18778000,6.48
2011-12-05,6.32,6.50,6.26,6.39,12465500,6.39
2011-12-02,6.21,6.31,6.06,6.16,11299500,6.16
2011-12-01,6.05,6.22,5.93,6.08,9436900,6.08
2011-11-30,5.97,6.11,5.78,6.11,28575400,6.11
2011-11-29,5.57,5.80,5.45,5.66,13860700,5.66
2011-11-28,5.47,5.67,5.39,5.52,13934300,5.52
2011-11-25,5.11,5.40,5.08,5.22,3749300,5.22
2011-11-23,5.32,5.32,5.08,5.15,9434300,5.15
2011-11-22,5.35,5.50,5.25,5.42,10736000,5.42
2011-11-21,5.35,5.40,5.13,5.38,10300700,5.38
2011-11-18,5.53,5.54,5.38,5.47,8548100,5.47
2011-11-17,5.65,5.69,5.41,5.46,9781900,5.46
2011-11-16,5.45,5.78,5.41,5.59,13000800,5.59
2011-11-15,5.48,5.60,5.39,5.53,11771200,5.53
2011-11-14,5.69,5.72,5.50,5.54,8263900,5.54
2011-11-11,5.74,5.80,5.64,5.76,10914600,5.76
2011-11-10,5.66,5.69,5.46,5.61,11987900,5.61
2011-11-09,5.79,5.79,5.45,5.54,19342500,5.54
2011-11-08,5.81,6.04,5.81,5.98,29704500,5.98
2011-11-07,5.44,5.77,5.44,5.74,11666000,5.74
2011-11-04,5.46,5.62,5.36,5.48,10911000,5.48
2011-11-03,5.29,5.55,5.19,5.53,11196300,5.53
2011-11-02,5.12,5.31,5.01,5.22,9667000,5.22
2011-11-01,4.86,5.12,4.77,5.00,15627600,5.00
2011-10-31,5.43,5.43,5.10,5.18,13759300,5.18
2011-10-28,5.33,5.57,5.17,5.50,15806300,5.50
2011-10-27,5.42,5.50,5.09,5.41,18606000,5.41
2011-10-26,4.91,5.08,4.72,4.93,12383900,4.93
