Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,19.84,20.15,19.77,20.00,594800,19.78
2011-12-29,19.59,20.02,19.50,19.85,673700,19.64
2011-12-28,20.01,20.01,19.46,19.55,1050300,19.34
2011-12-27,19.82,20.05,19.73,19.94,611700,19.72
2011-12-23,19.62,19.95,19.61,19.82,673000,19.61
2011-12-22,19.33,19.78,19.33,19.63,1169100,19.42
2011-12-21,19.40,19.45,19.04,19.34,1269400,19.13
2011-12-20,18.80,19.40,18.74,19.37,1129400,19.16
2011-12-19,18.60,18.88,18.38,18.43,982200,18.23
2011-12-16,18.85,18.85,18.39,18.57,1080000,18.37
2011-12-15,18.48,18.87,18.41,18.67,1747200,18.47
2011-12-14,17.99,18.10,17.73,18.02,1146300,17.83
2011-12-13,18.66,18.77,17.99,18.11,1168800,17.91
2011-12-12,18.70,18.74,18.38,18.51,1170000,18.31
2011-12-09,18.73,19.00,18.62,18.96,908700,18.75
2011-12-08,19.06,19.13,18.58,18.63,1893100,18.43
2011-12-07,18.95,19.33,18.75,19.29,1553400,19.08
2011-12-06,19.18,19.20,18.92,19.10,1166700,18.89
2011-12-05,19.33,19.43,18.99,19.16,1727300,18.95
2011-12-02,19.13,19.17,18.94,19.00,1728000,18.79
2011-12-01,18.83,19.14,18.78,18.95,2190400,18.74
2011-11-30,18.47,18.94,18.47,18.92,1730300,18.72
2011-11-29,18.13,18.28,17.87,17.90,695000,17.71
2011-11-28,18.05,18.23,17.88,18.11,802400,17.91
2011-11-25,17.50,17.72,17.45,17.49,220000,17.30
2011-11-23,17.76,17.83,17.55,17.56,1078100,17.37
2011-11-22,18.29,18.43,17.88,17.92,1648400,17.73
2011-11-21,18.51,18.53,18.13,18.35,1402500,18.15
2011-11-18,18.89,18.98,18.61,18.84,1391700,18.64
2011-11-17,19.22,19.23,18.59,18.79,1143600,18.59
2011-11-16,19.39,19.57,19.20,19.21,1585200,19.00
2011-11-15,19.61,19.72,19.36,19.60,1697400,19.39
2011-11-14,19.46,19.64,19.27,19.45,928600,19.24
2011-11-11,19.67,19.75,19.46,19.56,2018700,19.35
2011-11-10,19.69,19.76,19.27,19.35,1883300,19.14
2011-11-09,19.97,19.97,19.14,19.36,1356400,19.15
2011-11-08,20.17,20.44,19.97,20.39,1517500,20.17
2011-11-07,19.63,20.12,19.49,20.10,1564000,19.88
2011-11-04,19.63,20.26,19.15,19.56,2980500,19.35
2011-11-03,20.09,20.69,19.68,20.63,1725200,20.41
2011-11-02,19.97,20.11,19.68,19.80,1577300,19.59
2011-11-01,20.06,20.33,19.69,19.71,1490600,19.50
2011-10-31,21.43,21.43,20.62,20.67,1531100,20.45
2011-10-28,20.70,21.67,20.65,21.61,2330400,21.38
2011-10-27,20.04,20.86,19.72,20.78,2427300,20.56
2011-10-26,19.76,19.76,18.81,19.41,1764300,19.20
2011-10-25,19.82,20.18,19.49,19.58,2134700,19.37
2011-10-24,19.44,20.11,19.42,20.02,1349400,19.80
2011-10-21,19.21,19.66,19.18,19.39,1115200,19.18
2011-10-20,18.74,19.00,18.51,18.98,891300,18.77
2011-10-19,18.95,19.06,18.73,18.78,941000,18.58
2011-10-18,18.63,19.16,18.50,19.01,1413800,18.74
2011-10-17,19.05,19.14,18.57,18.61,1125800,18.34
2011-10-14,18.98,19.25,18.94,19.21,908800,18.93
2011-10-13,18.90,18.90,18.39,18.75,684000,18.48
2011-10-12,18.84,19.27,18.78,18.99,987900,18.72
2011-10-11,18.22,18.77,18.22,18.77,1469100,18.50
2011-10-10,18.17,18.74,18.13,18.39,2606500,18.12
2011-10-07,19.27,19.31,17.48,17.93,3582400,17.67
2011-10-06,18.95,19.60,18.86,19.55,2208100,19.27
2011-10-05,18.80,19.28,18.65,19.00,2226500,18.73
2011-10-04,18.22,19.39,18.05,19.37,2307300,19.09
2011-10-03,19.07,19.30,18.36,18.44,1568800,18.17
2011-09-30,19.37,19.63,19.21,19.21,1516900,18.93
2011-09-29,19.36,19.59,18.94,19.58,1282500,19.30
2011-09-28,19.98,20.00,19.00,19.06,1400200,18.78
2011-09-27,19.88,20.61,19.81,19.97,1700000,19.68
2011-09-26,19.25,19.64,18.91,19.61,1125200,19.33
2011-09-23,18.68,19.50,18.68,19.24,1488300,18.96
2011-09-22,19.02,19.09,18.60,18.84,1124900,18.57
2011-09-21,20.38,20.49,19.51,19.51,906100,19.23
2011-09-20,20.59,21.07,20.35,20.37,1327500,20.08
2011-09-19,20.69,20.74,20.36,20.57,1045400,20.27
2011-09-16,21.16,21.31,20.91,21.04,1017600,20.74
2011-09-15,21.37,21.38,20.81,21.08,1209400,20.78
2011-09-14,20.74,21.37,20.37,21.10,1018800,20.79
2011-09-13,20.38,20.59,20.15,20.55,1249500,20.25
2011-09-12,20.05,20.35,19.90,20.32,1327300,20.03
2011-09-09,20.62,20.81,20.16,20.28,1911500,19.99
2011-09-08,22.00,22.00,20.71,20.75,3097800,20.45
2011-09-07,21.69,22.25,21.59,22.05,1277500,21.73
2011-09-06,20.98,21.40,20.67,21.36,1716300,21.05
2011-09-02,21.83,21.94,21.51,21.63,902100,21.32
2011-09-01,22.83,22.98,22.29,22.34,839900,22.02
2011-08-31,22.94,23.22,22.64,22.87,994700,22.54
2011-08-30,22.67,22.89,22.31,22.74,1038900,22.41
2011-08-29,22.18,22.79,22.18,22.78,712200,22.45
2011-08-26,21.34,21.93,20.84,21.90,633100,21.58
2011-08-25,21.95,22.06,21.29,21.42,822800,21.11
2011-08-24,21.53,21.93,21.44,21.88,711100,21.56
2011-08-23,20.92,21.63,20.71,21.61,879200,21.30
2011-08-22,21.41,21.46,20.77,20.84,853400,20.54
2011-08-19,20.82,21.39,20.82,20.92,1227200,20.62
2011-08-18,21.91,21.91,20.90,21.15,1157200,20.84
2011-08-17,22.74,22.87,22.28,22.43,842600,22.11
2011-08-16,22.58,22.78,22.36,22.61,866300,22.28
2011-08-15,22.69,22.99,22.46,22.79,1187800,22.46
2011-08-12,22.44,22.82,22.14,22.53,1094900,22.20
2011-08-11,22.02,22.51,21.61,22.21,2767300,21.89
2011-08-10,22.00,22.82,21.61,21.87,3947200,21.55
2011-08-09,22.00,22.39,20.89,22.14,3225600,21.82
2011-08-08,21.94,22.27,21.26,21.71,5552700,21.40
2011-08-05,21.64,22.82,20.91,22.50,4265700,22.17
2011-08-04,22.38,22.50,21.33,21.39,2144500,21.08
2011-08-03,22.94,22.98,22.20,22.71,3196000,22.38
2011-08-02,23.50,23.80,23.05,23.05,1510100,22.72
2011-08-01,24.67,24.72,23.51,23.68,1332500,23.34
2011-07-29,24.38,24.62,23.93,24.46,1124800,24.11
2011-07-28,24.94,25.00,24.42,24.46,1294500,24.11
2011-07-27,25.71,25.74,24.90,24.91,1166200,24.55
2011-07-26,26.39,26.39,25.76,25.81,1003800,25.44
2011-07-25,26.55,26.75,26.48,26.53,401500,26.15
2011-07-22,26.86,26.91,26.65,26.81,315600,26.42
2011-07-21,26.50,26.97,26.38,26.88,553300,26.49
2011-07-20,26.44,26.44,26.08,26.37,452800,25.99
2011-07-19,26.09,26.48,26.06,26.45,823800,26.00
2011-07-18,26.08,26.20,25.68,25.86,615900,25.42
2011-07-15,26.26,26.33,26.04,26.19,688200,25.74
2011-07-14,26.52,26.63,26.06,26.21,616200,25.76
2011-07-13,26.44,26.76,26.41,26.47,761500,26.02
2011-07-12,26.48,26.53,26.27,26.30,841300,25.85
2011-07-11,26.95,27.07,26.49,26.53,670300,26.08
2011-07-08,27.23,27.29,26.98,27.26,751500,26.79
2011-07-07,27.73,27.78,27.43,27.55,592200,27.08
2011-07-06,27.15,27.51,27.03,27.51,828000,27.04
2011-07-05,27.44,27.44,27.09,27.14,700000,26.68
2011-07-01,26.98,27.47,26.94,27.46,573400,26.99
2011-06-30,26.89,27.11,26.78,26.91,972400,26.45
2011-06-29,26.87,26.96,26.67,26.82,786900,26.36
2011-06-28,26.31,26.75,26.26,26.74,701500,26.28
2011-06-27,25.95,26.26,25.80,26.21,738200,25.76
2011-06-24,26.15,26.34,25.93,25.98,1480000,25.54
2011-06-23,26.01,26.23,25.54,26.18,829900,25.73
2011-06-22,26.39,26.56,26.25,26.27,674100,25.82
2011-06-21,26.15,26.58,26.08,26.53,498500,26.08
2011-06-20,25.79,26.07,25.77,26.04,715600,25.60
2011-06-17,25.97,26.18,25.78,25.91,824400,25.47
2011-06-16,25.76,25.91,25.52,25.77,642500,25.33
2011-06-15,25.90,26.32,25.73,25.81,936700,25.37
2011-06-14,26.09,26.29,25.97,26.10,852700,25.65
2011-06-13,25.81,26.18,25.71,25.81,700500,25.37
2011-06-10,26.45,26.51,26.05,26.08,828400,25.63
2011-06-09,26.37,26.71,26.31,26.57,768600,26.12
2011-06-08,26.10,26.39,25.94,26.35,1249600,25.90
2011-06-07,26.25,26.39,26.06,26.22,674100,25.77
2011-06-06,26.29,26.40,26.06,26.11,1052000,25.66
2011-06-03,26.69,26.76,26.35,26.40,810400,25.95
2011-06-02,27.19,27.32,26.93,26.99,619600,26.53
2011-06-01,27.60,27.74,27.17,27.22,839500,26.76
2011-05-31,27.88,28.00,27.39,27.69,1057000,27.22
2011-05-27,27.67,27.82,27.53,27.71,657500,27.24
2011-05-26,27.24,27.63,27.08,27.55,590100,27.08
2011-05-25,27.29,27.47,27.01,27.29,801600,26.82
2011-05-24,27.28,27.45,27.05,27.14,679700,26.68
2011-05-23,27.56,27.56,27.17,27.30,1164300,26.83
2011-05-20,28.27,28.27,27.58,27.89,846100,27.41
2011-05-19,28.38,28.50,28.05,28.23,878600,27.75
2011-05-18,27.79,28.27,27.71,28.23,1078400,27.75
2011-05-17,28.04,28.11,27.57,27.76,921700,27.29
2011-05-16,28.04,28.43,27.94,28.19,1023700,27.71
2011-05-13,28.40,28.60,27.91,28.05,835300,27.57
2011-05-12,27.94,28.47,27.93,28.31,750000,27.83
2011-05-11,28.17,28.28,27.87,28.09,744100,27.61
2011-05-10,28.06,28.39,28.06,28.22,968700,27.74
2011-05-09,27.91,28.10,27.89,28.04,996900,27.56
2011-05-06,28.27,28.75,27.86,27.94,1322000,27.46
2011-05-05,27.87,28.13,27.61,27.80,837100,27.33
2011-05-04,28.28,28.34,27.79,27.99,592200,27.51
2011-05-03,28.43,28.44,28.15,28.32,881400,27.84
2011-05-02,28.40,28.63,28.29,28.46,885600,27.97
2011-04-29,28.02,28.45,27.90,28.27,1000000,27.79
2011-04-28,27.69,28.05,27.59,28.01,1120500,27.53
2011-04-27,27.64,27.86,27.35,27.80,1084100,27.33
2011-04-26,27.13,27.67,27.12,27.57,915600,27.10
2011-04-25,27.10,27.11,26.73,26.91,330500,26.45
2011-04-21,27.11,27.17,26.96,27.10,535500,26.64
2011-04-20,26.64,27.06,26.59,26.97,983800,26.51
2011-04-19,26.23,26.29,26.00,26.28,638600,25.83
2011-04-18,26.44,26.44,26.04,26.35,945700,25.83
2011-04-15,26.33,26.89,26.25,26.71,1738900,26.18
2011-04-14,26.39,26.39,26.05,26.24,1162100,25.72
2011-04-13,26.57,26.63,26.33,26.50,525800,25.98
2011-04-12,26.48,26.65,26.39,26.53,1036400,26.01
2011-04-11,26.66,26.78,26.53,26.66,927900,26.14
2011-04-08,26.78,26.88,26.53,26.72,713300,26.19
2011-04-07,26.68,26.93,26.59,26.71,861700,26.18
2011-04-06,26.98,27.05,26.63,26.73,806500,26.20
2011-04-05,26.81,27.13,26.65,26.91,1245900,26.38
2011-04-04,26.49,26.98,26.35,26.82,1826300,26.29
2011-04-01,26.31,26.39,26.15,26.38,2249200,25.86
2011-03-31,26.39,26.41,26.11,26.27,667700,25.75
2011-03-30,26.25,26.68,26.25,26.39,1175600,25.87
2011-03-29,25.88,26.22,25.85,26.17,735300,25.65
2011-03-28,26.13,26.25,25.90,25.92,1163800,25.41
2011-03-25,26.14,26.28,26.00,26.02,1482500,25.51
2011-03-24,26.01,26.26,25.61,26.04,1806000,25.53
2011-03-23,25.76,25.92,25.46,25.83,1321700,25.32
2011-03-22,25.91,26.02,25.62,25.84,1352000,25.33
2011-03-21,25.87,26.10,25.85,25.89,1612200,25.38
2011-03-18,26.10,26.13,25.46,25.60,3020900,25.10
2011-03-17,25.92,26.04,25.53,25.74,3276100,25.23
2011-03-16,26.00,26.11,25.55,25.60,1675500,25.10
2011-03-15,25.93,26.20,25.63,26.12,1669200,25.61
2011-03-14,26.81,26.94,26.36,26.51,1023500,25.99
2011-03-11,26.62,27.02,26.40,26.98,885700,26.45
2011-03-10,27.23,27.23,26.68,26.86,932400,26.33
2011-03-09,27.60,27.71,27.13,27.49,756700,26.95
2011-03-08,27.40,27.78,27.05,27.70,947100,27.15
