Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,58.21,58.41,57.45,57.67,1827200,56.25
2011-12-29,57.56,58.36,57.56,58.30,2570400,56.87
2011-12-28,58.28,58.37,57.29,57.48,2543100,56.07
2011-12-27,58.60,58.60,58.11,58.37,1671900,56.94
2011-12-23,58.28,58.70,57.80,58.57,2264800,57.13
2011-12-22,56.96,58.30,56.96,58.00,3647200,56.58
2011-12-21,56.31,57.00,55.42,56.88,2674800,55.48
2011-12-20,55.50,56.44,55.44,56.15,3957600,54.77
2011-12-19,55.13,55.65,54.07,54.38,4860000,53.05
2011-12-16,54.60,55.53,54.59,55.09,5320900,53.74
2011-12-15,54.65,55.09,53.83,53.90,3175300,52.58
2011-12-14,53.57,54.65,53.40,54.05,4053400,52.72
2011-12-13,54.75,55.34,53.40,53.85,3792800,52.53
2011-12-12,55.18,55.43,54.03,54.62,2868400,53.28
2011-12-09,54.81,56.10,54.60,55.91,3077400,54.54
2011-12-08,55.62,56.01,54.24,54.40,4809500,53.06
2011-12-07,54.74,56.25,54.52,55.96,3565100,54.59
2011-12-06,55.19,55.33,54.44,54.97,2575400,53.62
2011-12-05,54.98,55.65,54.59,55.18,3260900,53.83
2011-12-02,54.14,54.81,53.80,53.97,3284200,52.65
2011-12-01,53.92,54.00,52.62,53.47,2505500,52.16
2011-11-30,52.86,54.35,51.93,54.21,5665400,52.88
2011-11-29,50.78,51.56,50.16,50.83,3299000,49.58
2011-11-28,50.66,50.82,49.72,50.25,3010600,49.02
2011-11-25,48.80,50.09,48.80,49.07,1725400,47.87
2011-11-23,49.88,49.88,48.87,48.88,4555800,47.68
2011-11-22,50.82,51.13,50.12,50.21,3861100,48.98
2011-11-21,51.96,51.96,50.83,50.97,5226700,49.72
2011-11-18,52.25,52.96,51.62,52.69,3810500,51.40
2011-11-17,52.70,53.74,51.74,52.02,4704600,50.74
2011-11-16,52.77,54.43,52.69,52.82,4225500,51.52
2011-11-15,52.60,54.01,52.54,53.61,2908000,52.29
