Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,48.68,48.75,48.15,48.18,541300,46.20
2011-12-29,48.49,48.75,48.45,48.59,483300,46.59
2011-12-28,48.70,48.78,48.30,48.36,505400,46.37
2011-12-27,48.46,48.87,48.33,48.71,614800,46.71
2011-12-23,48.09,48.65,47.91,48.39,498400,46.40
2011-12-22,48.01,48.05,47.75,47.88,699700,45.91
2011-12-21,47.42,47.94,47.35,47.80,936500,45.84
2011-12-20,46.78,47.36,46.60,47.29,863700,45.35
2011-12-19,45.96,46.83,45.72,46.26,1367700,44.36
2011-12-16,46.43,46.91,45.92,46.63,3296800,44.72
2011-12-15,45.70,46.45,45.70,46.31,1413200,44.41
2011-12-14,45.66,45.98,45.11,45.30,1222400,43.44
2011-12-13,46.57,46.65,45.91,46.03,1227800,44.14
2011-12-12,46.07,46.36,45.75,46.22,1526900,44.32
2011-12-09,45.79,46.38,45.59,46.26,859000,44.36
2011-12-08,46.19,46.20,45.42,45.49,1141700,43.62
2011-12-07,46.49,46.61,45.92,46.37,766800,44.47
2011-12-06,46.70,46.83,46.44,46.65,791600,44.73
2011-12-05,47.20,47.21,46.27,46.59,784600,44.68
2011-12-02,47.50,47.50,46.47,46.50,611800,44.59
2011-12-01,47.42,47.73,47.10,47.10,1122500,45.17
2011-11-30,47.45,47.45,46.77,47.41,1090900,45.46
2011-11-29,45.46,46.24,45.42,46.10,647000,44.21
2011-11-28,45.33,45.77,45.12,45.29,788800,43.43
2011-11-25,44.74,44.98,44.52,44.57,420700,42.74
2011-11-23,45.10,45.10,44.19,44.67,1009100,42.84
2011-11-22,46.04,46.20,45.33,45.37,1410800,43.51
2011-11-21,45.81,46.23,45.49,46.01,1407200,44.12
2011-11-18,46.04,46.50,46.01,46.33,831000,44.43
2011-11-17,46.03,46.30,45.53,45.76,945100,43.88
2011-11-16,46.20,46.52,45.92,45.97,764400,44.08
2011-11-15,46.21,46.56,46.07,46.44,652700,44.53
2011-11-14,46.66,46.76,46.22,46.32,534100,44.42
2011-11-11,46.55,46.92,46.45,46.88,590900,44.95
2011-11-10,46.02,46.30,45.62,45.95,899200,44.06
2011-11-09,46.10,46.24,45.45,45.56,716000,43.69
2011-11-08,46.47,46.71,46.09,46.69,714700,44.77
2011-11-07,46.16,46.37,45.64,46.32,491600,44.42
2011-11-04,46.27,46.35,45.50,46.25,906500,44.35
2011-11-03,46.01,46.74,45.88,46.60,1387300,44.69
2011-11-02,45.14,46.37,45.12,45.76,1437300,43.88
2011-11-01,44.05,45.46,43.97,44.41,1466000,42.59
2011-10-31,46.12,46.15,45.50,45.58,1164500,43.71
2011-10-28,46.02,46.50,45.55,46.46,1254800,44.55
2011-10-27,46.66,47.36,46.29,47.02,1026200,44.59
