Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,29.83,29.83,29.42,29.42,2866100,27.97
2011-12-29,29.76,29.88,29.69,29.75,2544800,28.28
2011-12-28,29.85,29.86,29.64,29.69,2121800,28.23
2011-12-27,29.68,29.81,29.58,29.80,2335400,28.33
2011-12-23,29.65,29.85,29.58,29.65,2034900,28.19
2011-12-22,29.55,29.57,29.29,29.54,3502900,28.08
2011-12-21,28.73,29.41,28.73,29.41,3911000,27.96
2011-12-20,28.67,28.77,28.45,28.71,4237700,27.30
2011-12-19,28.74,28.90,28.28,28.36,3061000,26.96
2011-12-16,29.01,29.20,28.71,28.74,5946700,27.32
2011-12-15,28.81,29.09,28.75,29.01,3473000,27.58
2011-12-14,28.85,28.96,28.63,28.63,3943500,27.22
2011-12-13,28.89,29.13,28.75,28.85,6054500,27.43
2011-12-12,28.95,29.07,28.61,28.84,2921100,27.42
2011-12-09,28.99,29.17,28.83,29.07,4402000,27.64
2011-12-08,29.25,29.28,28.83,28.90,5596100,27.48
2011-12-07,29.46,29.51,29.07,29.26,4595600,27.82
2011-12-06,29.88,30.02,29.72,29.78,4474100,27.98
2011-12-05,29.97,30.06,29.68,29.79,4835000,27.99
2011-12-02,29.97,29.97,29.61,29.68,3354900,27.89
2011-12-01,29.91,30.11,29.71,29.78,7530500,27.98
2011-11-30,29.84,30.02,29.67,30.02,5660000,28.21
2011-11-29,28.88,29.26,28.80,29.23,4492500,27.46
2011-11-28,29.00,29.14,28.91,29.08,2991700,27.32
2011-11-25,28.43,28.74,28.38,28.57,1043500,26.84
2011-11-23,28.87,28.87,28.28,28.41,4764400,26.69
2011-11-22,29.44,29.48,28.99,29.08,4043100,27.32
2011-11-21,29.40,29.44,29.00,29.30,10867000,27.53
2011-11-18,29.36,29.57,29.19,29.53,11063800,27.75
2011-11-17,29.43,29.48,29.04,29.20,10717100,27.44
2011-11-16,29.68,29.83,29.43,29.43,3321500,27.65
