Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,99.40,99.63,97.30,97.30,681700,96.99
2011-12-29,98.52,99.51,98.52,99.04,476600,98.73
2011-12-28,101.04,101.04,98.56,98.90,540100,98.59
2011-12-27,102.08,102.39,99.97,100.68,584600,100.36
2011-12-23,100.81,101.44,99.82,100.96,753100,100.64
2011-12-22,102.28,104.70,100.42,100.78,1675500,100.46
2011-12-21,100.98,102.65,99.58,102.47,1362000,102.15
2011-12-20,99.40,101.64,99.31,100.80,1308000,100.48
2011-12-19,98.32,99.19,97.15,98.03,1109600,97.72
2011-12-16,97.36,99.36,95.60,98.18,20700100,97.87
2011-12-15,97.02,97.59,96.36,96.97,696300,96.66
2011-12-14,95.63,96.96,95.04,95.83,1208800,95.53
2011-12-13,99.35,99.96,96.71,97.22,689400,96.91
2011-12-12,98.73,99.10,97.59,98.38,756000,98.07
2011-12-09,99.55,100.23,97.95,99.63,1115400,99.32
2011-12-08,99.17,99.93,97.10,97.39,606700,97.08
2011-12-07,99.92,99.97,96.99,99.53,804700,99.22
2011-12-06,101.41,101.48,99.38,100.83,935900,100.51
2011-12-05,101.00,101.94,99.83,101.51,3067500,101.19
2011-12-02,97.92,100.90,97.92,98.96,1078900,98.65
2011-12-01,97.63,99.16,97.15,97.16,510000,96.85
2011-11-30,98.74,99.63,96.16,97.90,1205700,97.59
2011-11-29,94.51,97.94,94.27,97.74,1146500,97.43
2011-11-28,92.04,95.50,92.04,95.14,1079400,94.84
2011-11-25,89.35,90.04,89.07,89.57,276400,89.29
2011-11-23,89.17,91.19,88.65,89.97,681100,89.69
2011-11-22,89.50,90.65,88.72,90.00,521900,89.72
2011-11-21,89.95,90.32,88.54,89.96,956100,89.60
2011-11-18,91.22,91.80,89.83,91.45,649900,91.08
2011-11-17,92.08,92.51,89.72,90.26,557000,89.90
2011-11-16,93.80,93.90,91.62,91.76,588500,91.39
2011-11-15,92.06,94.28,92.05,93.97,863800,93.59
2011-11-14,92.15,92.95,91.78,91.84,529600,91.47
2011-11-11,91.14,92.25,90.50,91.72,551800,91.35
2011-11-10,90.65,91.16,89.83,90.29,855900,89.92
2011-11-09,90.15,91.42,88.62,89.31,1256100,88.95
2011-11-08,89.79,92.03,88.84,91.85,786800,91.48
2011-11-07,89.07,89.95,87.91,89.37,840200,89.01
2011-11-04,89.03,89.29,87.06,88.84,827000,88.48
2011-11-03,90.46,91.34,89.30,89.42,671900,89.06
2011-11-02,90.05,90.71,88.62,89.86,898700,89.50
2011-11-01,87.97,90.10,87.01,88.15,1166100,87.79
2011-10-31,89.35,91.49,89.25,90.28,1165200,89.91
2011-10-28,92.20,92.50,89.50,89.94,1234800,89.58
2011-10-27,96.50,96.51,90.14,90.44,4276600,90.07
2011-10-26,99.82,99.92,98.10,98.83,580600,98.43
2011-10-25,101.00,101.46,98.01,98.19,642500,97.79
2011-10-24,98.00,101.42,97.91,101.01,888400,100.60
2011-10-21,97.46,97.96,96.13,97.16,384400,96.77
2011-10-20,96.41,97.67,95.50,96.31,370500,95.92
2011-10-19,98.02,98.52,95.61,96.13,441600,95.74
2011-10-18,97.63,98.60,96.88,98.05,502300,97.65
2011-10-17,98.71,99.32,97.19,97.55,813400,97.16
2011-10-14,98.76,98.76,97.22,97.89,396900,97.49
2011-10-13,96.77,97.98,96.75,97.69,371700,97.29
2011-10-12,99.39,99.44,96.98,97.19,443900,96.80
