Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,50.09,50.41,50.00,50.12,1961500,48.53
2011-12-29,49.55,50.55,49.44,50.31,1844900,48.71
2011-12-28,50.64,50.64,49.43,49.50,2416600,47.93
2011-12-27,50.59,51.00,50.25,50.49,1948500,48.89
2011-12-23,50.74,50.98,50.20,50.92,1860900,49.30
2011-12-22,49.56,50.59,49.36,50.48,2963400,48.88
2011-12-21,49.19,49.48,48.48,49.33,3725900,47.76
2011-12-20,47.98,49.44,47.79,49.16,4994700,47.60
2011-12-19,48.37,48.40,46.77,46.98,3592200,45.49
2011-12-16,48.30,48.75,47.77,48.07,5708100,46.54
2011-12-15,48.56,48.74,47.81,47.91,3588900,46.39
2011-12-14,47.45,48.23,46.75,47.66,4330500,46.15
2011-12-13,48.95,49.68,47.19,47.77,4136900,46.25
2011-12-12,49.43,49.43,48.09,48.62,4023800,47.08
2011-12-09,49.76,50.99,49.65,50.39,7174200,48.79
2011-12-08,50.88,50.88,49.20,49.38,4405300,47.81
2011-12-07,50.95,52.00,50.13,51.71,3212400,50.07
2011-12-06,51.61,51.83,50.91,51.41,3626700,49.78
2011-12-05,51.25,52.45,50.98,51.56,3422400,49.92
2011-12-02,50.51,51.48,50.25,50.40,3452900,48.80
2011-12-01,50.01,50.52,49.42,49.96,3206600,48.37
2011-11-30,48.92,50.76,48.40,50.64,5655600,49.03
2011-11-29,47.06,47.59,46.61,46.86,3201300,45.37
2011-11-28,46.83,47.25,46.33,46.96,5190800,45.47
2011-11-25,44.95,45.98,44.69,44.91,1780100,43.48
2011-11-23,46.32,46.35,45.17,45.17,4880000,43.74
2011-11-22,47.57,48.33,46.90,46.95,5067500,45.46
2011-11-21,47.60,48.26,47.13,47.84,5574300,46.32
2011-11-18,49.61,49.65,48.44,48.53,9723400,46.99
2011-11-17,51.97,52.24,50.23,50.49,6702100,47.48
2011-11-16,52.55,53.36,51.81,51.90,5985800,48.81
2011-11-15,53.01,54.07,52.23,53.39,3886700,50.21
2011-11-14,53.72,54.30,53.07,53.55,3710100,50.36
2011-11-11,53.77,54.59,53.77,54.05,3341100,50.83
2011-11-10,52.88,53.48,51.87,52.91,4407900,49.76
2011-11-09,52.38,52.64,51.43,51.87,8167000,48.78
2011-11-08,53.87,54.82,52.97,54.48,5512000,51.24
2011-11-07,52.00,53.38,51.37,53.31,13556400,50.14
2011-11-04,52.26,52.57,51.32,52.19,14079900,49.08
2011-11-03,52.46,53.26,50.02,53.05,8070400,49.89
2011-11-02,52.77,53.89,52.50,53.67,4452500,50.47
2011-11-01,51.73,53.23,51.02,51.52,6054200,48.45
2011-10-31,54.82,56.01,54.16,54.20,5841300,50.97
2011-10-28,56.90,57.49,56.43,57.30,4982700,53.89
2011-10-27,56.04,57.95,55.61,57.32,6205500,53.91
2011-10-26,53.05,53.87,51.43,53.52,6325900,50.33
2011-10-25,53.93,53.93,51.70,51.90,5848700,48.81
2011-10-24,53.14,54.67,53.00,54.52,6034100,51.27
2011-10-21,52.30,53.25,51.87,53.23,5701900,50.06
2011-10-20,50.41,51.99,49.90,51.75,4964600,48.67
2011-10-19,51.40,52.14,50.02,50.21,4164400,47.22
2011-10-18,48.94,52.14,48.37,51.59,6042300,48.52
2011-10-17,50.13,50.37,48.76,48.97,4908000,46.05
2011-10-14,50.79,51.94,50.26,50.92,5008000,47.89
2011-10-13,50.89,51.09,49.10,49.75,8750700,46.79
2011-10-12,50.06,51.83,50.06,51.00,4658900,47.96
2011-10-11,48.14,50.00,47.74,49.72,4558700,46.76
2011-10-10,47.09,48.81,47.09,48.74,4203200,45.84
2011-10-07,48.64,48.80,45.95,46.02,4806400,43.28
2011-10-06,46.75,48.41,45.82,48.27,4652100,45.40
2011-10-05,45.10,47.18,44.36,46.86,6420400,44.07
2011-10-04,43.13,45.41,42.45,45.25,7400000,42.56
2011-10-03,45.98,46.87,43.89,43.91,7632700,41.30
2011-09-30,46.99,48.00,46.60,46.86,5852000,44.07
2011-09-29,46.71,48.06,46.24,48.06,5723600,45.20
