Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,88.70,90.07,88.40,89.48,861300,89.41
2011-12-29,88.20,89.07,87.53,88.97,783700,88.90
2011-12-28,89.86,90.29,87.44,87.83,625500,87.76
2011-12-27,88.60,90.64,88.60,90.02,1087700,89.95
2011-12-23,89.51,89.63,87.84,88.51,926100,88.44
2011-12-22,87.60,89.56,87.33,89.29,1372100,89.22
2011-12-21,86.15,87.65,84.73,87.48,1373300,87.41
2011-12-20,83.00,86.45,83.00,86.15,1397800,86.08
2011-12-19,83.95,84.27,80.99,81.38,1162200,81.32
2011-12-16,83.40,84.85,82.60,83.78,2576500,83.72
2011-12-15,84.24,85.56,82.28,82.81,1885900,82.75
2011-12-14,85.60,85.79,80.95,82.84,2669900,82.78
2011-12-13,88.84,90.71,85.98,87.03,1405400,86.96
2011-12-12,89.52,89.67,87.25,88.21,1284800,88.14
2011-12-09,88.64,91.71,88.53,91.16,1606100,91.09
2011-12-08,91.87,92.53,88.10,88.45,1747500,88.38
2011-12-07,93.93,93.93,90.53,92.32,1659000,92.25
2011-12-06,93.68,95.15,92.42,94.40,974400,94.33
2011-12-05,94.33,95.38,92.62,93.38,1151800,93.31
2011-12-02,94.86,95.00,92.58,92.85,1860100,92.78
2011-12-01,94.16,95.69,93.00,93.74,1468700,93.67
2011-11-30,93.30,94.99,92.93,94.54,1513600,94.47
2011-11-29,88.26,90.20,87.44,89.38,1611500,89.31
2011-11-28,86.54,88.81,86.33,87.91,1363100,87.84
2011-11-25,83.72,85.18,83.41,83.44,274100,83.38
2011-11-23,86.44,86.45,83.51,84.07,1562400,84.01
2011-11-22,88.40,89.78,86.84,87.51,1935000,87.44
2011-11-21,88.59,89.26,86.71,88.58,1282200,88.51
2011-11-18,91.83,92.39,89.69,89.82,1796100,89.75
2011-11-17,93.95,94.41,90.10,91.07,2397100,91.00
2011-11-16,92.70,97.10,92.58,94.27,2734300,94.20
2011-11-15,93.12,94.50,92.15,93.24,2284700,93.17
2011-11-14,92.93,93.53,91.20,93.03,1127000,92.96
2011-11-11,91.17,93.79,90.76,93.37,2245800,93.30
2011-11-10,87.98,93.50,87.98,92.12,4170100,92.05
2011-11-09,86.32,88.82,86.13,86.30,4307700,86.23
2011-11-08,88.85,89.05,87.02,88.59,7510100,88.52
2011-11-07,93.57,94.25,91.64,92.03,2513300,91.96
2011-11-04,92.97,94.05,91.45,93.17,2199900,93.10
2011-11-03,91.91,94.80,91.47,94.15,3038100,94.08
2011-11-02,87.79,91.25,85.01,91.16,4009800,91.09
2011-11-01,79.07,82.85,77.85,80.97,2683800,80.91
2011-10-31,86.80,86.97,83.70,83.90,1746300,83.84
2011-10-28,87.20,89.33,86.82,88.49,1536900,88.42
2011-10-27,86.42,89.43,85.44,88.01,1875100,87.94
2011-10-26,84.32,85.31,81.25,83.96,1469100,83.90
2011-10-25,83.93,84.03,81.34,82.82,1703500,82.76
2011-10-24,82.72,84.80,82.58,84.67,1680100,84.61
2011-10-21,81.71,83.26,80.47,82.03,2086400,81.97
2011-10-20,79.33,80.57,76.97,80.09,2673500,80.03
2011-10-19,78.75,81.86,78.45,79.52,2640700,79.46
2011-10-18,73.75,79.85,73.44,79.19,2456200,79.13
2011-10-17,75.21,76.17,73.72,73.93,1599100,73.87
2011-10-14,71.59,75.53,71.36,75.44,1996300,75.38
2011-10-13,68.91,70.30,67.76,69.95,2335800,69.90
2011-10-12,70.43,70.95,69.66,69.75,2457300,69.70
2011-10-11,70.40,72.09,69.46,69.87,1521800,69.82
2011-10-10,69.28,72.00,68.54,71.42,1389000,71.37
2011-10-07,71.11,71.23,67.56,68.45,1633000,68.40
2011-10-06,68.18,70.71,67.24,70.41,1709600,70.36
2011-10-05,64.98,68.40,63.71,68.23,2614000,68.18
2011-10-04,60.23,65.49,58.63,65.31,2500000,65.26
2011-10-03,64.87,65.64,61.68,61.82,2818200,61.77
2011-09-30,67.10,67.89,65.73,65.77,1622100,65.72
2011-09-29,70.72,70.90,66.68,68.50,1596800,68.45
2011-09-28,72.24,73.41,68.54,68.66,1276800,68.61
2011-09-27,72.60,73.99,71.52,71.98,1827700,71.89
2011-09-26,67.91,70.45,65.95,70.30,1535700,70.21
2011-09-23,67.70,68.84,66.88,67.56,1872600,67.47
2011-09-22,71.08,71.27,66.61,68.44,3034500,68.35
2011-09-21,76.42,78.44,74.29,74.34,2058400,74.24
2011-09-20,78.50,79.52,76.17,76.28,1491300,76.18
2011-09-19,78.42,78.60,76.27,77.71,2439000,77.61
2011-09-16,79.41,80.74,78.42,80.63,2496700,80.52
2011-09-15,76.50,79.19,75.48,78.99,2787900,78.89
2011-09-14,74.28,76.55,72.84,75.42,1657500,75.32
2011-09-13,73.06,74.35,71.69,73.97,1419700,73.87
2011-09-12,71.30,73.06,70.94,72.94,1560800,72.84
2011-09-09,74.32,75.08,71.95,72.70,1660300,72.60
2011-09-08,76.21,77.93,75.09,75.54,1929500,75.44
2011-09-07,74.96,77.19,74.31,77.13,1821300,77.03
2011-09-06,71.51,73.25,71.28,73.11,1816900,73.01
