Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,107.28,107.47,106.83,106.90,987400,104.70
2011-12-29,106.20,107.29,106.03,107.14,930600,104.93
2011-12-28,107.42,107.65,105.78,106.04,1066700,103.85
2011-12-27,106.47,107.82,106.23,107.29,710900,105.08
2011-12-23,105.66,106.70,105.50,106.59,932100,104.39
2011-12-22,105.29,106.05,104.81,105.73,1681900,103.55
2011-12-21,105.84,105.95,103.94,105.15,1356800,102.98
2011-12-20,104.59,105.69,104.56,105.52,1614700,103.34
2011-12-19,104.14,104.88,102.83,103.06,1365300,100.93
2011-12-16,104.44,104.99,102.67,103.77,2059300,101.63
2011-12-15,103.00,103.91,101.98,103.28,1296100,101.15
2011-12-14,101.86,102.55,101.40,101.88,2281900,99.78
2011-12-13,102.87,104.07,101.55,102.12,1932600,100.01
2011-12-12,102.31,102.62,101.15,102.34,2031900,100.23
2011-12-09,102.55,103.98,102.05,103.53,2138700,101.40
2011-12-08,103.16,103.96,101.99,102.82,2361400,100.70
2011-12-07,102.32,104.42,101.49,103.90,1766400,101.76
2011-12-06,101.89,102.94,101.37,102.44,1468200,100.33
2011-12-05,100.99,103.21,100.38,101.81,2642000,99.71
2011-12-02,102.06,102.07,100.19,100.46,1301600,97.90
2011-12-01,101.94,102.81,100.65,100.85,1612000,98.28
2011-11-30,99.98,102.22,99.79,102.00,1762900,99.40
2011-11-29,97.45,97.76,96.55,96.81,1769400,94.34
2011-11-28,95.75,98.26,95.54,97.20,1979100,94.72
2011-11-25,93.51,94.97,93.46,93.51,686600,91.13
2011-11-23,94.60,94.89,93.64,93.95,1555600,91.55
2011-11-22,95.62,96.91,95.02,95.34,1540500,92.91
2011-11-21,95.48,96.33,95.04,95.94,1528100,93.49
2011-11-18,97.01,97.66,95.80,97.00,1385700,94.53
2011-11-17,98.16,98.82,95.41,96.73,2035300,94.26
2011-11-16,99.66,100.33,98.28,98.45,1562900,95.94
2011-11-15,100.99,101.55,99.89,100.83,1219200,98.26
2011-11-14,101.10,101.50,99.94,101.39,1032700,98.80
2011-11-11,100.74,102.48,100.74,101.49,1082500,98.90
2011-11-10,99.58,100.39,98.58,99.84,1660600,97.29
2011-11-09,99.68,100.02,98.03,98.30,2398700,95.79
2011-11-08,101.25,102.61,100.35,102.20,1216000,99.59
2011-11-07,100.47,101.13,99.15,101.03,1638000,98.45
2011-11-04,100.91,101.12,99.39,100.46,1522800,97.90
2011-11-03,101.69,102.19,100.20,101.89,1612700,99.29
2011-11-02,99.41,100.85,99.04,100.46,1715700,97.90
2011-11-01,99.51,100.54,97.86,98.53,2139100,96.02
2011-10-31,104.06,104.97,101.61,101.67,2158200,99.08
2011-10-28,104.90,106.02,104.08,105.27,2166700,102.59
2011-10-27,105.42,106.45,103.31,105.58,3248000,102.89
2011-10-26,100.95,104.62,100.11,104.32,2210000,101.66
2011-10-25,103.15,104.15,101.52,101.65,1573300,99.06
2011-10-24,103.50,103.89,102.68,103.60,1572300,100.96
2011-10-21,102.34,103.51,101.36,103.50,2105800,100.86
2011-10-20,100.71,102.17,99.65,101.55,1544900,98.96
2011-10-19,102.97,103.00,100.36,100.73,1698000,98.16
2011-10-18,100.70,103.94,99.80,103.07,2096900,100.44
2011-10-17,102.48,102.48,100.58,100.91,1336100,98.34
2011-10-14,101.92,102.91,101.20,102.65,1548000,100.03
2011-10-13,100.76,101.40,99.22,101.04,1189100,98.46
2011-10-12,101.26,102.85,100.46,101.62,1659000,99.03
2011-10-11,101.00,101.70,100.28,100.86,1037300,98.29
2011-10-10,99.87,102.03,99.69,101.96,1443100,99.36
2011-10-07,99.01,99.29,96.75,98.09,1807800,95.59
2011-10-06,97.82,99.07,97.18,98.73,2432500,96.21
2011-10-05,95.91,98.64,94.20,98.29,2632600,95.78
2011-10-04,90.30,95.15,89.75,94.95,3200000,92.53
2011-10-03,92.79,94.82,91.58,91.74,2466700,89.40
2011-09-30,94.27,95.59,93.09,93.48,2214100,91.10
2011-09-29,95.77,96.19,93.73,95.41,1301000,92.98
2011-09-28,97.02,97.64,94.06,94.21,1195100,91.81
2011-09-27,97.26,98.11,95.89,96.52,2332400,94.06
2011-09-26,93.37,95.16,92.00,95.08,1821900,92.66
2011-09-23,92.85,93.88,91.87,92.91,2219000,90.54
2011-09-22,94.26,94.44,92.66,93.46,2972000,91.08
2011-09-21,101.35,101.35,96.97,97.06,2355900,94.59
2011-09-20,100.32,102.32,98.94,101.51,2626000,98.92
2011-09-19,98.89,100.45,97.84,100.09,1506000,97.54
2011-09-16,100.57,100.87,99.32,100.81,1824900,98.24
2011-09-15,99.20,100.21,98.01,99.97,1233800,97.42
2011-09-14,96.22,99.42,94.60,98.21,1909300,95.71
2011-09-13,94.56,95.98,93.75,95.78,973700,93.34
2011-09-12,93.88,95.03,92.49,94.39,1640600,91.98
2011-09-09,96.17,96.43,94.19,94.72,1633700,92.31
2011-09-08,97.93,98.78,96.71,97.03,1361800,94.56
2011-09-07,97.67,98.44,97.05,98.39,1587700,95.88
2011-09-06,95.94,96.47,93.76,96.38,1885200,93.92
2011-09-02,96.62,97.61,95.66,96.60,1681600,94.14
2011-09-01,98.55,100.14,97.88,98.19,1541800,95.20
2011-08-31,99.15,99.75,97.74,98.49,2134200,95.49
2011-08-30,96.85,98.91,96.37,98.23,1632800,95.24
2011-08-29,95.32,97.35,95.32,97.33,2035600,94.37
2011-08-26,91.89,94.44,89.93,94.39,1831600,91.52
2011-08-25,92.71,93.51,91.28,92.47,1959600,89.65
2011-08-24,91.72,92.95,90.86,92.45,4511600,89.63
2011-08-23,89.77,92.10,89.20,91.77,2111800,88.97
2011-08-22,91.50,91.87,88.64,88.93,2931000,86.22
2011-08-19,91.88,93.33,89.91,90.16,4744200,87.41
2011-08-18,96.12,96.30,92.48,93.43,3442600,90.58
2011-08-17,99.25,99.71,98.09,98.40,1626800,95.40
2011-08-16,98.56,99.80,97.80,98.74,1750000,95.73
2011-08-15,99.15,99.73,97.98,99.66,1804400,96.62
2011-08-12,97.83,99.50,96.48,98.60,2036400,95.60
2011-08-11,92.52,98.57,92.30,97.22,2722100,94.26
2011-08-10,93.22,95.81,92.32,92.38,3894300,89.57
2011-08-09,92.96,94.55,89.87,94.43,4194700,91.55
2011-08-08,94.30,95.91,90.78,91.36,3566000,88.58
2011-08-05,99.32,99.45,94.36,96.34,2855900,93.41
2011-08-04,100.77,100.96,97.54,97.70,3810900,94.72
2011-08-03,100.80,101.96,99.78,101.90,1734600,98.80
2011-08-02,101.85,102.61,100.56,100.57,2573900,97.51
2011-08-01,103.98,104.46,101.50,102.51,1330300,99.39
2011-07-29,101.26,104.44,100.85,103.64,2715500,100.48
2011-07-28,101.74,102.50,101.62,102.17,2073300,99.06
2011-07-27,103.23,103.96,101.62,101.69,2006300,98.59
2011-07-26,104.85,104.99,103.70,103.92,1258400,100.75
2011-07-25,104.39,105.91,104.10,105.10,1262300,101.90
2011-07-22,107.14,107.21,104.79,105.11,2152000,101.91
2011-07-21,106.92,107.29,106.32,107.19,1768200,103.93
2011-07-20,106.85,107.01,106.01,106.25,1127800,103.01
2011-07-19,106.47,108.00,106.36,106.73,1589200,103.48
2011-07-18,106.97,107.00,105.43,105.86,922000,102.64
2011-07-15,106.78,107.26,105.91,107.03,1101600,103.77
2011-07-14,107.30,107.78,105.72,106.33,1444600,103.09
2011-07-13,107.97,108.22,107.05,107.30,1387400,104.03
2011-07-12,107.87,109.11,107.56,107.72,1052800,104.44
2011-07-11,109.27,109.84,108.00,108.36,1088800,105.06
2011-07-08,110.11,110.89,109.56,110.47,1604700,107.11
2011-07-07,110.00,111.74,109.95,111.30,1615200,107.91
2011-07-06,108.34,109.65,107.81,109.44,1529400,106.11
2011-07-05,109.02,109.46,108.25,108.41,1627600,105.11
2011-07-01,108.26,109.16,107.19,109.01,1888500,105.69
2011-06-30,107.90,108.51,107.11,108.39,1763200,105.09
2011-06-29,106.50,108.00,105.81,107.98,3502200,104.69
2011-06-28,104.19,106.15,103.79,106.10,1457900,102.87
2011-06-27,103.57,104.05,102.19,103.83,839100,100.67
2011-06-24,103.50,103.72,102.51,103.29,1061500,100.14
2011-06-23,102.48,103.61,101.44,103.51,1324100,100.36
2011-06-22,103.21,104.41,102.89,103.83,1366400,100.67
2011-06-21,102.65,104.08,102.22,103.81,999500,100.65
2011-06-20,100.60,102.64,100.60,102.12,920200,99.01
2011-06-17,101.88,102.36,100.61,101.06,1531500,97.98
2011-06-16,100.60,101.26,99.76,101.08,1878400,98.00
2011-06-15,101.13,101.89,99.89,100.47,1387700,97.41
2011-06-14,101.64,102.48,101.26,102.13,1280900,99.02
2011-06-13,100.46,101.73,100.03,100.46,1236000,97.40
2011-06-10,101.22,101.60,99.90,100.02,1483700,96.97
2011-06-09,100.45,102.33,100.22,101.65,1060100,98.55
2011-06-08,99.75,100.33,99.55,100.00,1415800,96.95
2011-06-07,100.47,101.06,100.05,100.09,1413800,97.04
2011-06-06,100.58,101.29,100.04,100.18,1803000,97.13
2011-06-03,101.44,101.78,100.71,100.86,1715400,97.79
2011-06-02,103.26,104.03,102.22,103.15,1528600,99.52
2011-06-01,105.46,105.97,103.11,103.39,2110000,99.76
2011-05-31,105.78,106.23,104.44,105.84,1538400,102.12
2011-05-27,104.58,105.49,104.58,105.02,936900,101.33
2011-05-26,104.27,104.66,103.39,104.28,1065300,100.61
2011-05-25,104.58,105.15,102.42,104.58,1267100,100.90
2011-05-24,103.67,104.44,102.80,103.01,921200,99.39
2011-05-23,103.21,103.75,102.42,103.30,1067600,99.67
2011-05-20,104.91,105.11,103.65,104.47,1481600,100.80
2011-05-19,104.71,105.54,104.24,105.06,1404000,101.37
